Date,Drivetime Automotive
2010-10-21,53
2010-10-22,54
2010-10-23,58
2010-10-24,55
2010-10-25,54
2010-10-26,57
2010-10-27,52
2010-10-28,51
2010-10-29,50
2010-10-30,50
2010-10-31,54
2010-11-01,49
2010-11-02,48
2010-11-03,50
2010-11-04,47
2010-11-05,48
2010-11-06,47
2010-11-07,51
2010-11-08,50
2010-11-09,51
2010-11-10,57
2010-11-11,54
2010-11-12,56
2010-11-13,61
2010-11-14,59
2010-11-15,58
2010-11-16,58
2010-11-17,62
2010-11-18,58
2010-11-19,63
2010-11-20,62
2010-11-21,55
2010-11-22,52
2010-11-23,47
2010-11-24,44
2010-11-25,40
2010-11-26,35
2010-11-27,32
2010-11-28,34
2010-11-29,37
2010-11-30,41
2010-12-01,42
2010-12-02,46
2010-12-03,47
2010-12-04,55
2010-12-05,49
2010-12-06,49
2010-12-07,51
2010-12-08,48
2010-12-09,51
2010-12-10,47
2010-12-11,53
2010-12-12,46
2010-12-13,45
2010-12-14,44
2010-12-15,46
2010-12-16,43
2010-12-17,43
2010-12-18,41
2010-12-19,45
2010-12-20,42
2010-12-21,46
2010-12-22,43
2010-12-23,45
2010-12-24,44
2010-12-25,45
2010-12-26,45
2010-12-27,45
2010-12-28,45
2010-12-29,49
2010-12-30,46
2010-12-31,47
2011-01-01,48
2011-01-02,49
2011-01-03,51
2011-01-04,55
2011-01-05,57
2011-01-06,59
2011-01-07,63
2011-01-08,64
2011-01-09,68
2011-01-10,60
2011-01-11,60
2011-01-12,56
2011-01-13,57
2011-01-14,52
2011-01-15,53
2011-01-16,50
2011-01-17,50
2011-01-18,53
2011-01-19,50
2011-01-20,50
2011-01-21,50
2011-01-22,56
2011-01-23,50
2011-01-24,51
2011-01-25,52
2011-01-26,57
2011-01-27,53
2011-01-28,57
2011-01-29,60
2011-01-30,56
2011-01-31,57
2011-02-01,65
2011-02-02,60
2011-02-03,65
2011-02-04,62
2011-02-05,64
2011-02-06,70
2011-02-07,63
2011-02-08,66
2011-02-09,62
2011-02-10,61
2011-02-11,65
2011-02-12,62
2011-02-13,61
2011-02-14,63
2011-02-15,62
2011-02-16,64
2011-02-17,65
2011-02-18,64
2011-02-19,66
2011-02-20,69
2011-02-21,65
2011-02-22,67
2011-02-23,65
2011-02-24,65
2011-02-25,65
2011-02-26,66
2011-02-27,70
2011-02-28,67
2011-03-01,63
2011-03-02,63
2011-03-03,62
2011-03-04,61
2011-03-05,61
2011-03-06,66
2011-03-07,59
2011-03-08,58
2011-03-09,58
2011-03-10,58
2011-03-11,55
2011-03-12,57
2011-03-13,60
2011-03-14,53
2011-03-15,55
2011-03-16,52
2011-03-17,53
2011-03-18,50
2011-03-19,50
2011-03-20,51
2011-03-21,52
2011-03-22,56
2011-03-23,55
2011-03-24,57
2011-03-25,63
2011-03-26,60
2011-03-27,63
2011-03-28,60
2011-03-29,62
2011-03-30,60
2011-03-31,60
2011-04-01,60
2011-04-02,60
2011-04-03,60
2011-04-04,64
2011-04-05,60
2011-04-06,66
2011-04-07,60
2011-04-08,60
2011-04-09,65
2011-04-10,64
2011-04-11,58
2011-04-12,57
2011-04-13,59
2011-04-14,55
2011-04-15,54
2011-04-16,57
2011-04-17,54
2011-04-18,56
2011-04-19,58
2011-04-20,61
2011-04-21,63
2011-04-22,63
2011-04-23,69
2011-04-24,64
2011-04-25,63
2011-04-26,65
2011-04-27,61
2011-04-28,63
2011-04-29,59
2011-04-30,58
2011-05-01,59
2011-05-02,59
2011-05-03,59
2011-05-04,62
2011-05-05,62
2011-05-06,61
2011-05-07,63
2011-05-08,64
2011-05-09,62
2011-05-10,66
2011-05-11,65
2011-05-12,67
2011-05-13,64
2011-05-14,67
2011-05-15,66
2011-05-16,62
2011-05-17,61
2011-05-18,59
2011-05-19,65
2011-05-20,57
2011-05-21,60
2011-05-22,55
2011-05-23,54
2011-05-24,56
2011-05-25,52
2011-05-26,52
2011-05-27,52
2011-05-28,50
2011-05-29,54
2011-05-30,54
2011-05-31,53
2011-06-01,54
2011-06-02,56
2011-06-03,58
2011-06-04,57
2011-06-05,61
2011-06-06,58
2011-06-07,62
2011-06-08,60
2011-06-09,62
2011-06-10,62
2011-06-11,68
2011-06-12,63
2011-06-13,63
2011-06-14,63
2011-06-15,65
2011-06-16,64
2011-06-17,66
2011-06-18,70
2011-06-19,66
2011-06-20,63
2011-06-21,63
2011-06-22,62
2011-06-23,62
2011-06-24,64
2011-06-25,63
2011-06-26,61
2011-06-27,61
2011-06-28,62
2011-06-29,63
2011-06-30,63
2011-07-01,63
2011-07-02,64
2011-07-03,63
2011-07-04,67
2011-07-05,61
2011-07-06,61
2011-07-07,60
2011-07-08,59
2011-07-09,61
2011-07-10,64
2011-07-11,61
2011-07-12,67
2011-07-13,64
2011-07-14,66
2011-07-15,67
2011-07-16,73
2011-07-17,75
2011-07-18,69
2011-07-19,79
2011-07-20,70
2011-07-21,71
2011-07-22,70
2011-07-23,71
2011-07-24,79
2011-07-25,69
2011-07-26,68
2011-07-27,69
2011-07-28,69
2011-07-29,65
2011-07-30,65
2011-07-31,71
2011-08-01,65
2011-08-02,65
2011-08-03,68
2011-08-04,67
2011-08-05,65
2011-08-06,66
2011-08-07,72
2011-08-08,65
2011-08-09,66
2011-08-10,64
2011-08-11,64
2011-08-12,65
2011-08-13,64
2011-08-14,68
2011-08-15,64
2011-08-16,64
2011-08-17,69
2011-08-18,65
2011-08-19,69
2011-08-20,66
2011-08-21,71
2011-08-22,66
2011-08-23,67
2011-08-24,68
2011-08-25,70
2011-08-26,70
2011-08-27,69
2011-08-28,73
2011-08-29,72
2011-08-30,71
2011-08-31,71
2011-09-01,72
2011-09-02,78
2011-09-03,74
2011-09-04,80
2011-09-05,68
2011-09-06,65
2011-09-07,65
2011-09-08,62
2011-09-09,57
2011-09-10,61
2011-09-11,58
2011-09-12,58
2011-09-13,60
2011-09-14,62
2011-09-15,63
2011-09-16,67
2011-09-17,67
2011-09-18,72
2011-09-19,66
2011-09-20,66
2011-09-21,66
2011-09-22,66
2011-09-23,69
2011-09-24,69
2011-09-25,65
2011-09-26,64
2011-09-27,64
2011-09-28,65
2011-09-29,63
2011-09-30,66
2011-10-01,62
2011-10-02,69
2011-10-03,62
2011-10-04,63
2011-10-05,64
2011-10-06,67
2011-10-07,64
2011-10-08,65
2011-10-09,70
2011-10-10,64
2011-10-11,66
2011-10-12,63
2011-10-13,63
2011-10-14,62
2011-10-15,65
2011-10-16,63
2011-10-17,63
2011-10-18,65
2011-10-19,65
2011-10-20,66
2011-10-21,66
2011-10-22,67
2011-10-23,72
2011-10-24,63
2011-10-25,65
2011-10-26,60
2011-10-27,59
2011-10-28,57
2011-10-29,59
2011-10-30,63
2011-10-31,60
2011-11-01,62
2011-11-02,65
2011-11-03,67
2011-11-04,68
2011-11-05,70
2011-11-06,77
2011-11-07,69
2011-11-08,69
2011-11-09,68
2011-11-10,69
2011-11-11,68
2011-11-12,69
2011-11-13,71
2011-11-14,64
2011-11-15,62
2011-11-16,60
2011-11-17,62
2011-11-18,56
2011-11-19,55
2011-11-20,53
2011-11-21,52
2011-11-22,54
2011-11-23,50
2011-11-24,51
2011-11-25,50
2011-11-26,48
2011-11-27,49
2011-11-28,49
2011-11-29,51
2011-11-30,51
2011-12-01,52
2011-12-02,53
2011-12-03,54
2011-12-04,60
2011-12-05,53
2011-12-06,53
2011-12-07,55
2011-12-08,53
2011-12-09,55
2011-12-10,54
2011-12-11,53
2011-12-12,54
2011-12-13,54
2011-12-14,55
2011-12-15,58
2011-12-16,56
2011-12-17,59
2011-12-18,57
2011-12-19,54
2011-12-20,53
2011-12-21,56
2011-12-22,50
2011-12-23,49
2011-12-24,50
2011-12-25,52
2011-12-26,52
2011-12-27,54
2011-12-28,56
2011-12-29,60
2011-12-30,60
2011-12-31,67
2012-01-01,70
2012-01-02,63
2012-01-03,64
2012-01-04,66
2012-01-05,66
2012-01-06,67
2012-01-07,68
2012-01-08,75
2012-01-09,71
2012-01-10,73
2012-01-11,75
2012-01-12,77
2012-01-13,83
2012-01-14,84
2012-01-15,81
2012-01-16,82
2012-01-17,83
2012-01-18,86
2012-01-19,87
2012-01-20,86
2012-01-21,87
2012-01-22,94
2012-01-23,86
2012-01-24,88
2012-01-25,86
2012-01-26,87
2012-01-27,86
2012-01-28,89
2012-01-29,87
2012-01-30,89
2012-01-31,89
2012-02-01,90
2012-02-02,94
2012-02-03,92
2012-02-04,93
2012-02-05,97
2012-02-06,96
2012-02-07,96
2012-02-08,97
2012-02-09,101
2012-02-10,99
2012-02-11,106
2012-02-12,102
2012-02-13,98
2012-02-14,108
2012-02-15,97
2012-02-16,96
2012-02-17,95
2012-02-18,96
2012-02-19,98
2012-02-20,93
2012-02-21,92
2012-02-22,92
2012-02-23,90
2012-02-24,94
2012-02-25,89
2012-02-26,95
2012-02-27,88
2012-02-28,90
2012-02-29,87
