Date,MAKO Surgical
2008-05-10,47
2008-05-11,47
2008-05-12,47
2008-05-13,47
2008-05-14,47
2008-05-15,46
2008-05-16,46
2008-05-17,46
2008-05-18,46
2008-05-19,45
2008-05-20,45
2008-05-21,45
2008-05-22,45
2008-05-23,45
2008-05-24,44
2008-05-25,44
2008-05-26,44
2008-05-27,44
2008-05-28,43
2008-05-29,43
2008-05-30,43
2008-05-31,43
2008-06-01,43
2008-06-02,42
2008-06-03,42
2008-06-04,42
2008-06-05,42
2008-06-06,42
2008-06-07,42
2008-06-08,42
2008-06-09,41
2008-06-10,41
2008-06-11,41
2008-06-12,41
2008-06-13,41
2008-06-14,41
2008-06-15,41
2008-06-16,41
2008-06-17,40
2008-06-18,40
2008-06-19,40
2008-06-20,40
2008-06-21,40
2008-06-22,40
2008-06-23,40
2008-06-24,39
2008-06-25,39
2008-06-26,39
2008-06-27,39
2008-06-28,39
2008-06-29,39
2008-06-30,39
2008-07-01,39
2008-07-02,38
2008-07-03,37
2008-07-04,37
2008-07-05,36
2008-07-06,36
2008-07-07,35
2008-07-08,35
2008-07-09,34
2008-07-10,34
2008-07-11,33
2008-07-12,32
2008-07-13,32
2008-07-14,31
2008-07-15,31
2008-07-16,30
2008-07-17,30
2008-07-18,29
2008-07-19,29
2008-07-20,28
2008-07-21,28
2008-07-22,27
2008-07-23,26
2008-07-24,26
2008-07-25,25
2008-07-26,25
2008-07-27,24
2008-07-28,24
2008-07-29,23
2008-07-30,23
2008-07-31,22
2008-08-01,22
2008-08-02,22
2008-08-03,22
2008-08-04,22
2008-08-05,23
2008-08-06,23
2008-08-07,23
2008-08-08,24
2008-08-09,24
2008-08-10,24
2008-08-11,25
2008-08-12,25
2008-08-13,25
2008-08-14,26
2008-08-15,26
2008-08-16,26
2008-08-17,27
2008-08-18,27
2008-08-19,27
2008-08-20,28
2008-08-21,28
2008-08-22,28
2008-08-23,29
2008-08-24,29
2008-08-25,29
2008-08-26,30
2008-08-27,30
2008-08-28,30
2008-08-29,31
2008-08-30,31
2008-08-31,31
2008-09-01,32
2008-09-02,32
2008-09-03,32
2008-09-04,32
2008-09-05,32
2008-09-06,32
2008-09-07,32
2008-09-08,32
2008-09-09,32
2008-09-10,32
2008-09-11,32
2008-09-12,32
2008-09-13,32
2008-09-14,32
2008-09-15,32
2008-09-16,33
2008-09-17,33
2008-09-18,33
2008-09-19,33
2008-09-20,33
2008-09-21,33
2008-09-22,33
2008-09-23,33
2008-09-24,33
2008-09-25,33
2008-09-26,33
2008-09-27,33
2008-09-28,33
2008-09-29,33
2008-09-30,33
2008-10-01,34
2008-10-02,34
2008-10-03,34
2008-10-04,34
2008-10-05,34
2008-10-06,34
2008-10-07,35
2008-10-08,35
2008-10-09,35
2008-10-10,35
2008-10-11,35
2008-10-12,36
2008-10-13,36
2008-10-14,36
2008-10-15,36
2008-10-16,36
2008-10-17,37
2008-10-18,37
2008-10-19,37
2008-10-20,37
2008-10-21,37
2008-10-22,38
2008-10-23,38
2008-10-24,38
2008-10-25,38
2008-10-26,38
2008-10-27,39
2008-10-28,39
2008-10-29,39
2008-10-30,39
2008-10-31,39
2008-11-01,40
2008-11-02,39
2008-11-03,39
2008-11-04,38
2008-11-05,38
2008-11-06,38
2008-11-07,37
2008-11-08,37
2008-11-09,36
2008-11-10,36
2008-11-11,36
2008-11-12,35
2008-11-13,35
2008-11-14,34
2008-11-15,34
2008-11-16,34
2008-11-17,33
2008-11-18,33
2008-11-19,32
2008-11-20,32
2008-11-21,32
2008-11-22,31
2008-11-23,31
2008-11-24,30
2008-11-25,30
2008-11-26,30
2008-11-27,29
2008-11-28,29
2008-11-29,28
2008-11-30,28
2008-12-01,28
2008-12-02,28
2008-12-03,28
2008-12-04,28
2008-12-05,28
2008-12-06,28
2008-12-07,28
2008-12-08,28
2008-12-09,28
2008-12-10,28
2008-12-11,28
2008-12-12,28
2008-12-13,28
2008-12-14,28
2008-12-15,28
2008-12-16,28
2008-12-17,28
2008-12-18,28
2008-12-19,28
2008-12-20,28
2008-12-21,28
2008-12-22,28
2008-12-23,28
2008-12-24,28
2008-12-25,28
2008-12-26,28
2008-12-27,28
2008-12-28,28
2008-12-29,28
2008-12-30,28
2008-12-31,28
2009-01-01,28
2009-01-02,28
2009-01-03,29
2009-01-04,30
2009-01-05,30
2009-01-06,31
2009-01-07,32
2009-01-08,32
2009-01-09,33
2009-01-10,34
2009-01-11,34
2009-01-12,35
2009-01-13,36
2009-01-14,36
2009-01-15,37
2009-01-16,38
2009-01-17,38
2009-01-18,39
2009-01-19,40
2009-01-20,40
2009-01-21,41
2009-01-22,42
2009-01-23,42
2009-01-24,43
2009-01-25,44
2009-01-26,44
2009-01-27,45
2009-01-28,46
2009-01-29,46
2009-01-30,47
2009-01-31,48
2009-02-01,49
2009-02-02,48
2009-02-03,47
2009-02-04,46
2009-02-05,45
2009-02-06,44
2009-02-07,44
2009-02-08,43
2009-02-09,42
2009-02-10,41
2009-02-11,40
2009-02-12,39
2009-02-13,39
2009-02-14,38
2009-02-15,37
2009-02-16,36
2009-02-17,35
2009-02-18,35
2009-02-19,34
2009-02-20,33
2009-02-21,32
2009-02-22,31
2009-02-23,30
2009-02-24,30
2009-02-25,29
2009-02-26,28
2009-02-27,27
2009-02-28,26
