Date,Financial Engines
2009-11-24,10
2009-11-25,9
2009-11-26,9
2009-11-27,9
2009-11-28,9
2009-11-29,9
2009-12-06,9
2009-12-07,10
2009-12-08,11
2009-12-09,11
2009-12-10,12
2009-12-11,13
2009-12-12,14
2009-12-13,14
2009-12-14,14
2009-12-15,14
2009-12-16,14
2009-12-17,14
2009-12-18,14
2009-12-19,14
2009-12-20,14
2009-12-21,14
2009-12-22,14
2009-12-23,14
2009-12-24,14
2009-12-25,14
2009-12-26,14
2009-12-27,14
2009-12-28,14
2009-12-29,14
2009-12-30,14
2009-12-31,14
2010-01-01,14
2010-01-02,14
2010-01-03,14
2010-01-04,14
2010-01-05,14
2010-01-06,15
2010-01-07,15
2010-01-08,15
2010-01-09,16
2010-01-10,17
2010-01-11,18
2010-01-12,19
2010-01-13,20
2010-01-14,21
2010-01-15,22
2010-01-16,23
2010-01-17,22
2010-01-18,21
2010-01-19,20
2010-01-20,19
2010-01-21,18
2010-01-22,17
2010-01-23,17
2010-01-24,17
2010-01-25,18
2010-01-26,18
2010-01-27,18
2010-01-28,19
2010-01-29,19
2010-01-30,20
2010-01-31,18
2010-02-01,16
2010-02-02,14
2010-02-03,12
2010-02-04,10
2010-02-05,8
2010-02-06,7
2010-02-07,7
2010-02-08,7
2010-02-09,7
2010-02-10,7
2010-02-11,7
2010-02-12,7
2010-02-13,8
2010-02-14,8
2010-02-15,8
2010-02-16,9
2010-02-17,9
2010-02-18,10
2010-02-19,10
2010-02-20,11
2010-02-21,11
2010-02-22,12
2010-02-23,13
2010-02-24,13
2010-02-25,14
2010-02-26,15
2010-02-27,16
2010-02-28,16
2010-03-07,17
2010-03-08,18
2010-03-09,19
2010-03-10,19
2010-03-11,20
2010-03-12,21
2010-03-13,22
2010-03-14,33
2010-03-15,45
2010-03-16,56
2010-03-17,68
2010-03-18,80
2010-03-19,92
2010-03-20,104
2010-03-21,94
2010-03-22,79
2010-03-23,69
2010-03-24,58
2010-03-25,48
2010-03-26,37
2010-03-27,27
2010-03-28,25
2010-03-29,22
2010-03-30,20
2010-03-31,18
2010-04-01,16
2010-04-02,14
2010-04-03,12
2010-04-04,12
2010-04-05,13
2010-04-06,14
2010-04-07,14
2010-04-08,15
2010-04-09,16
2010-04-10,17
2010-04-11,16
2010-04-12,16
2010-04-13,15
2010-04-14,15
2010-04-15,14
2010-04-16,14
2010-04-17,14
2010-04-18,13
2010-04-19,12
2010-04-20,12
2010-04-21,11
2010-04-22,11
2010-04-23,10
2010-04-24,10
2010-04-25,10
2010-04-26,11
2010-04-27,12
2010-04-28,12
2010-04-29,13
2010-04-30,14
2010-05-01,15
2010-05-02,15
2010-05-03,15
2010-05-04,15
2010-05-05,15
2010-05-06,15
2010-05-07,15
2010-05-08,15
2010-05-09,15
2010-05-10,15
2010-05-11,15
2010-05-12,15
2010-05-13,15
2010-05-14,15
2010-05-15,15
2010-05-16,14
2010-05-17,14
2010-05-18,14
2010-05-19,13
2010-05-20,13
2010-05-21,13
2010-05-22,13
2010-05-23,12
2010-05-24,12
2010-05-25,12
2010-05-26,11
2010-05-27,11
2010-05-28,11
2010-05-29,11
2010-05-30,11
2010-06-06,12
2010-06-07,12
2010-06-08,12
2010-06-09,12
2010-06-10,12
2010-06-11,12
2010-06-12,13
2010-06-13,12
2010-06-14,12
2010-06-15,12
2010-06-16,11
2010-06-17,11
2010-06-18,11
2010-06-19,11
2010-06-20,11
2010-06-21,11
2010-06-22,11
2010-06-23,12
2010-06-24,12
2010-06-25,12
2010-06-26,13
2010-06-27,12
2010-06-28,11
2010-06-29,10
2010-06-30,10
2010-07-01,9
2010-07-02,8
2010-07-03,8
2010-07-04,8
2010-07-05,8
2010-07-06,8
2010-07-07,8
2010-07-08,8
2010-07-09,8
2010-07-10,9
2010-07-11,9
2010-07-12,9
2010-07-13,9
2010-07-14,9
2010-07-15,9
2010-07-16,9
2010-07-17,10
2010-07-18,10
2010-07-19,11
2010-07-20,12
2010-07-21,13
2010-07-22,14
2010-07-23,15
2010-07-24,16
2010-07-25,15
2010-07-26,15
2010-07-27,14
2010-07-28,14
2010-07-29,13
2010-07-30,13
2010-07-31,13
2010-08-01,12
2010-08-02,12
2010-08-03,12
2010-08-04,11
2010-08-05,11
2010-08-06,11
2010-08-07,11
2010-08-08,10
2010-08-09,10
2010-08-10,9
2010-08-11,9
2010-08-12,8
2010-08-13,8
2010-08-14,8
2010-08-15,8
2010-08-16,8
2010-08-17,8
2010-08-18,8
2010-08-19,8
2010-08-20,8
2010-08-21,8
2010-08-22,8
2010-08-23,8
2010-08-24,8
2010-08-25,8
2010-08-26,8
2010-08-27,8
2010-08-28,8
2010-08-29,8
2010-09-05,12
2010-09-06,11
2010-09-07,11
2010-09-08,10
2010-09-09,10
2010-09-10,9
2010-09-11,9
2010-09-12,9
2010-09-13,9
2010-09-14,10
2010-09-15,10
2010-09-16,11
2010-09-17,11
2010-09-18,12
2010-09-19,11
2010-09-20,11
2010-09-21,11
2010-09-22,10
2010-09-23,10
2010-09-24,10
2010-09-25,10
2010-09-26,10
2010-09-27,10
2010-09-28,10
2010-09-29,11
2010-09-30,11
2010-10-01,11
2010-10-02,12
2010-10-03,11
2010-10-04,11
2010-10-05,11
2010-10-06,11
2010-10-07,11
2010-10-08,11
2010-10-09,11
2010-10-10,10
2010-10-11,10
2010-10-12,10
2010-10-13,10
2010-10-14,10
2010-10-15,10
2010-10-16,10
2010-10-17,10
2010-10-18,11
2010-10-19,12
2010-10-20,13
2010-10-21,14
2010-10-22,15
2010-10-23,16
2010-10-24,15
2010-10-25,15
2010-10-26,15
2010-10-27,15
2010-10-28,14
2010-10-29,14
2010-10-30,14
2010-10-31,14
2010-11-01,13
2010-11-02,13
2010-11-03,13
2010-11-04,13
2010-11-05,13
2010-11-06,13
2010-11-07,12
2010-11-08,11
2010-11-09,10
2010-11-10,9
2010-11-11,8
2010-11-12,7
2010-11-13,7
2010-11-14,7
2010-11-15,7
2010-11-16,8
2010-11-17,8
2010-11-18,9
2010-11-19,9
2010-11-20,10
2010-11-21,10
2010-11-22,10
2010-11-23,10
2010-11-24,10
2010-11-25,10
2010-11-26,10
2010-11-27,10
2010-11-28,10
2010-12-05,10
2010-12-06,10
2010-12-07,10
2010-12-08,9
2010-12-09,9
2010-12-10,9
2010-12-11,9
2010-12-12,9
2010-12-13,9
2010-12-14,10
2010-12-15,10
2010-12-16,11
2010-12-17,11
2010-12-18,12
2010-12-19,11
2010-12-20,10
2010-12-21,9
2010-12-22,8
2010-12-23,7
2010-12-24,6
2010-12-25,6
2010-12-26,6
2010-12-27,6
2010-12-28,6
2010-12-29,6
2010-12-30,6
2010-12-31,6
2011-01-01,7
2011-01-02,7
2011-01-03,7
2011-01-04,7
2011-01-05,8
2011-01-06,8
2011-01-07,8
2011-01-08,9
2011-01-09,9
2011-01-10,9
2011-01-11,9
2011-01-12,9
2011-01-13,9
2011-01-14,9
2011-01-15,9
2011-01-16,9
2011-01-17,9
2011-01-18,9
2011-01-19,9
2011-01-20,9
2011-01-21,9
2011-01-22,10
2011-01-23,9
2011-01-24,9
2011-01-25,9
2011-01-26,9
2011-01-27,9
2011-01-28,9
2011-01-29,9
2011-01-30,10
2011-01-31,11
2011-02-01,12
2011-02-02,13
2011-02-03,14
2011-02-04,15
2011-02-05,17
2011-02-06,16
2011-02-07,15
2011-02-08,14
2011-02-09,13
2011-02-10,12
2011-02-11,11
2011-02-12,11
2011-02-13,11
2011-02-14,11
2011-02-15,12
2011-02-16,12
2011-02-17,12
2011-02-18,12
2011-02-19,13
2011-02-20,12
2011-02-21,12
2011-02-22,11
2011-02-23,11
2011-02-24,10
2011-02-25,10
2011-02-26,10
2011-02-27,11
2011-03-06,18
2011-03-07,17
2011-03-08,16
2011-03-09,14
2011-03-10,13
2011-03-11,12
2011-03-12,11
2011-03-13,11
2011-03-14,11
2011-03-15,11
2011-03-16,12
2011-03-17,12
2011-03-18,12
2011-03-19,13
2011-03-20,12
2011-03-21,11
2011-03-22,10
2011-03-23,9
2011-03-24,8
2011-03-25,7
2011-03-26,7
2011-03-27,8
2011-03-28,9
2011-03-29,10
2011-03-30,11
2011-03-31,12
2011-04-01,13
2011-04-02,15
2011-04-03,14
2011-04-04,13
2011-04-05,12
2011-04-06,12
2011-04-07,11
2011-04-08,10
2011-04-09,10
2011-04-10,10
2011-04-11,10
2011-04-12,10
2011-04-13,10
2011-04-14,10
2011-04-15,10
2011-04-16,10
2011-04-17,10
2011-04-18,10
2011-04-19,10
2011-04-20,10
2011-04-21,10
2011-04-22,10
2011-04-23,11
2011-04-24,11
2011-04-25,11
2011-04-26,12
2011-04-27,12
2011-04-28,13
2011-04-29,13
2011-04-30,14
2011-05-01,14
2011-05-02,14
2011-05-03,14
2011-05-04,14
2011-05-05,14
2011-05-06,14
2011-05-07,14
2011-05-08,13
2011-05-09,13
2011-05-10,12
2011-05-11,12
2011-05-12,11
2011-05-13,11
2011-05-14,11
2011-05-15,10
2011-05-16,9
2011-05-17,9
2011-05-18,8
2011-05-19,8
2011-05-20,7
2011-05-21,7
2011-05-22,8
2011-05-23,10
2011-05-24,12
2011-05-25,13
2011-05-26,15
2011-05-27,17
2011-05-28,19
2011-05-29,18
