Date,Thermage
2006-07-27,22
2006-07-28,23
2006-07-29,24
2006-07-30,24
2006-07-31,25
2006-08-01,25
2006-08-02,28
2006-08-03,26
2006-08-04,27
2006-08-05,28
2006-08-06,27
2006-08-07,26
2006-08-08,27
2006-08-09,25
2006-08-10,25
2006-08-11,24
2006-08-12,24
2006-08-13,23
2006-08-14,22
2006-08-15,22
2006-08-16,22
2006-08-17,21
2006-08-18,20
2006-08-19,20
2006-08-20,20
2006-08-21,20
2006-08-22,20
2006-08-23,21
2006-08-24,22
2006-08-25,21
2006-08-26,22
2006-08-27,21
2006-08-28,21
2006-08-29,22
2006-08-30,20
2006-08-31,19
2006-09-01,19
2006-09-02,19
2006-09-03,19
2006-09-04,20
2006-09-05,22
2006-09-06,21
2006-09-07,23
2006-09-08,23
2006-09-09,25
2006-09-10,23
2006-09-11,22
2006-09-12,21
2006-09-13,21
2006-09-14,20
2006-09-15,20
2006-09-16,19
2006-09-17,19
2006-09-18,19
2006-09-19,20
2006-09-20,20
2006-09-21,21
2006-09-22,21
2006-09-23,22
2006-09-24,22
2006-09-25,24
2006-09-26,22
2006-09-27,22
2006-09-28,22
2006-09-29,22
2006-09-30,23
2006-10-01,22
2006-10-02,21
2006-10-03,20
2006-10-04,19
2006-10-05,18
2006-10-06,17
2006-10-07,17
2006-10-08,17
2006-10-09,18
2006-10-10,19
2006-10-11,20
2006-10-12,20
2006-10-13,21
2006-10-14,22
2006-10-15,22
2006-10-16,22
2006-10-17,22
2006-10-18,23
2006-10-19,23
2006-10-20,24
2006-10-21,24
2006-10-22,23
2006-10-23,23
2006-10-24,23
2006-10-25,23
2006-10-26,22
2006-10-27,22
2006-10-28,22
2006-10-29,22
2006-10-30,23
2006-10-31,26
2006-11-01,25
2006-11-02,26
2006-11-03,27
2006-11-04,28
2006-11-05,28
2006-11-06,28
2006-11-07,28
2006-11-08,28
2006-11-09,28
2006-11-10,28
2006-11-11,28
2006-11-12,27
2006-11-13,26
2006-11-14,26
2006-11-15,25
2006-11-16,27
2006-11-17,24
2006-11-18,25
2006-11-19,22
2006-11-20,21
2006-11-21,21
2006-11-22,18
2006-11-23,17
2006-11-24,16
2006-11-25,15
2006-11-26,16
2006-11-27,17
2006-11-28,18
2006-11-29,21
2006-11-30,20
2006-12-01,21
2006-12-02,23
2006-12-03,22
2006-12-04,21
2006-12-05,21
2006-12-06,21
2006-12-07,20
2006-12-08,19
2006-12-09,19
2006-12-10,18
2006-12-11,18
2006-12-12,18
2006-12-13,17
2006-12-14,17
2006-12-15,17
2006-12-16,17
2006-12-17,17
2006-12-18,18
2006-12-19,19
2006-12-20,20
2006-12-21,20
2006-12-22,21
2006-12-23,22
2006-12-24,21
2006-12-25,20
2006-12-26,20
2006-12-27,19
2006-12-28,19
2006-12-29,18
2006-12-30,18
2006-12-31,18
2007-01-01,18
2007-01-02,18
2007-01-03,19
2007-01-04,19
2007-01-05,18
2007-01-06,19
2007-01-07,18
2007-01-08,18
2007-01-09,19
2007-01-10,18
2007-01-11,18
2007-01-12,18
2007-01-13,18
2007-01-14,18
2007-01-15,19
2007-01-16,19
2007-01-17,20
2007-01-18,20
2007-01-19,21
2007-01-20,22
2007-01-21,22
2007-01-22,23
2007-01-23,24
2007-01-24,23
2007-01-25,25
2007-01-26,25
2007-01-27,25
2007-01-28,24
2007-01-29,24
2007-01-30,24
2007-01-31,26
2007-02-01,24
2007-02-02,24
2007-02-03,24
2007-02-04,24
2007-02-05,26
2007-02-06,25
2007-02-07,25
2007-02-08,25
2007-02-09,25
2007-02-10,26
2007-02-11,25
2007-02-12,27
2007-02-13,25
2007-02-14,24
2007-02-15,24
2007-02-16,24
2007-02-17,24
2007-02-18,24
2007-02-19,23
2007-02-20,23
2007-02-21,22
2007-02-22,24
2007-02-23,22
2007-02-24,22
2007-02-25,21
2007-02-26,21
2007-02-27,22
2007-02-28,21
2007-03-01,21
2007-03-02,21
2007-03-03,21
2007-03-04,21
2007-03-05,22
2007-03-06,22
2007-03-07,21
2007-03-08,22
2007-03-09,21
2007-03-10,22
2007-03-11,21
2007-03-12,20
2007-03-13,20
2007-03-14,19
2007-03-15,19
2007-03-16,18
2007-03-17,18
2007-03-18,18
2007-03-19,18
2007-03-20,19
2007-03-21,19
2007-03-22,21
2007-03-23,20
2007-03-24,21
2007-03-25,20
2007-03-26,20
2007-03-27,20
2007-03-28,20
2007-03-29,19
2007-03-30,19
2007-03-31,19
2007-05-01,18
2007-05-02,18
2007-05-03,18
2007-05-04,19
2007-05-05,18
2007-05-06,18
2007-05-07,19
2007-05-08,20
2007-05-09,20
2007-05-10,21
2007-05-11,21
2007-05-12,22
2007-05-13,22
2007-05-14,22
2007-05-15,24
2007-05-16,22
2007-05-17,22
2007-05-18,22
2007-05-19,22
2007-05-20,21
2007-05-21,20
2007-05-22,19
2007-05-23,18
2007-05-24,18
2007-05-25,17
2007-05-26,16
2007-05-27,16
2007-05-28,16
2007-05-29,16
2007-05-30,17
2007-05-31,17
2007-06-01,18
2007-06-02,18
2007-06-03,18
2007-06-04,18
2007-06-05,19
2007-06-06,18
2007-06-07,18
2007-06-08,18
2007-06-09,18
2007-06-10,18
2007-06-11,18
2007-06-12,19
2007-06-13,19
2007-06-14,20
2007-06-15,21
2007-06-16,22
2007-06-17,21
2007-06-18,21
2007-06-19,21
2007-06-20,21
2007-06-21,22
2007-06-22,21
2007-06-23,22
2007-06-24,21
2007-06-25,21
2007-06-26,21
2007-06-27,21
2007-06-28,21
2007-06-29,21
2007-06-30,21
2007-07-01,21
2007-07-02,21
2007-07-03,21
2007-07-04,21
2007-07-05,21
2007-07-06,21
2007-07-07,21
2007-07-08,20
2007-07-09,20
2007-07-10,20
2007-07-11,19
2007-07-12,19
2007-07-13,19
2007-07-14,19
2007-07-15,19
2007-07-16,21
2007-07-17,19
2007-07-18,20
2007-07-19,20
2007-07-20,20
2007-07-21,21
2007-07-22,21
2007-07-23,21
2007-07-24,22
2007-07-25,21
2007-07-26,21
2007-07-27,21
2007-07-28,21
2007-07-29,20
2007-07-30,20
2007-07-31,18
2007-08-01,17
2007-08-02,16
2007-08-03,15
2007-08-04,15
2007-08-05,15
2007-08-06,15
2007-08-07,16
2007-08-08,16
2007-08-09,16
2007-08-10,16
2007-08-11,17
2007-08-12,17
2007-08-13,19
2007-08-14,19
2007-08-15,19
2007-08-16,22
2007-08-17,21
2007-08-18,22
2007-08-19,22
2007-08-20,20
2007-08-21,19
2007-08-22,18
2007-08-23,17
2007-08-24,16
2007-08-25,15
2007-08-26,15
2007-08-27,16
2007-08-28,16
2007-08-29,18
2007-08-30,17
2007-08-31,18
2007-09-01,18
2007-09-02,17
2007-09-03,17
2007-09-04,17
2007-09-05,17
2007-09-06,18
2007-09-07,17
2007-09-08,17
2007-09-09,18
2007-09-10,17
2007-09-11,17
2007-09-12,17
2007-09-13,17
2007-09-14,17
2007-09-15,18
2007-09-16,20
2007-09-17,18
2007-09-18,18
2007-09-19,19
2007-09-20,18
2007-09-21,18
2007-09-22,19
2007-09-23,18
2007-09-24,18
2007-09-25,19
2007-09-26,19
2007-09-27,18
2007-09-28,18
2007-09-29,19
2007-09-30,17
2007-10-01,17
2007-10-02,17
2007-10-03,18
2007-10-04,17
2007-10-05,17
2007-10-06,17
2007-10-07,17
2007-10-08,17
2007-10-09,19
2007-10-10,18
2007-10-11,19
2007-10-12,20
2007-10-13,20
2007-10-14,19
2007-10-15,19
2007-10-16,18
2007-10-17,17
2007-10-18,17
2007-10-19,17
2007-10-20,16
2007-10-21,16
2007-10-22,16
2007-10-23,17
2007-10-24,17
2007-10-25,17
2007-10-26,18
2007-10-27,18
2007-10-28,18
2007-10-29,18
2007-10-30,18
2007-10-31,18
2007-11-01,18
2007-11-02,18
2007-11-03,18
2007-11-04,18
2007-11-05,18
2007-11-06,18
2007-11-07,19
2007-11-08,18
2007-11-09,18
2007-11-10,19
2007-11-11,18
2007-11-12,18
2007-11-13,17
2007-11-14,17
2007-11-15,16
2007-11-16,16
2007-11-17,16
2007-11-18,15
2007-11-19,15
2007-11-20,15
2007-11-21,15
2007-11-22,15
2007-11-23,15
2007-11-24,15
2007-11-25,15
2007-11-26,15
2007-11-27,15
2007-11-28,17
2007-11-29,16
2007-11-30,16
2007-12-01,17
2007-12-02,17
2007-12-03,17
2007-12-04,17
2007-12-05,17
2007-12-06,17
2007-12-07,18
2007-12-08,18
2007-12-09,18
2007-12-10,18
2007-12-11,18
2007-12-12,18
2007-12-13,18
2007-12-14,19
2007-12-15,19
2007-12-16,18
2007-12-17,18
2007-12-18,18
2007-12-19,19
2007-12-20,18
2007-12-21,18
2007-12-22,18
2007-12-23,17
2007-12-24,18
2007-12-25,17
2007-12-26,16
2007-12-27,16
2007-12-28,16
2007-12-29,16
2007-12-30,16
2007-12-31,17
2008-01-01,18
2008-01-02,18
2008-01-03,19
2008-01-04,19
2008-01-05,20
2008-01-06,21
2008-01-07,21
2008-01-08,22
2008-01-09,23
2008-01-10,24
2008-01-11,24
2008-01-12,27
2008-01-13,24
2008-01-14,23
2008-01-15,24
2008-01-16,23
2008-01-17,22
2008-01-18,21
2008-01-19,21
2008-01-20,20
2008-01-21,20
2008-01-22,22
2008-01-23,20
2008-01-24,20
2008-01-25,20
2008-01-26,20
2008-01-27,20
2008-01-28,20
2008-01-29,21
2008-01-30,22
2008-01-31,22
