Date,Eyeblaster
2009-10-16,65
2009-10-17,65
2009-10-18,62
2009-10-19,60
2009-10-20,58
2009-10-21,56
2009-10-22,54
2009-10-23,52
2009-10-24,50
2009-10-25,50
2009-10-26,51
2009-10-27,52
2009-10-28,53
2009-10-29,54
2009-10-30,55
2009-10-31,56
2009-11-01,56
2009-11-02,56
2009-11-03,56
2009-11-04,56
2009-11-05,56
2009-11-06,56
2009-11-07,56
2009-11-08,54
2009-11-09,52
2009-11-10,50
2009-11-11,49
2009-11-12,47
2009-11-13,45
2009-11-14,44
2009-11-15,48
2009-11-16,53
2009-11-17,58
2009-11-18,63
2009-11-19,68
2009-11-20,73
2009-11-21,78
2009-11-22,75
2009-11-23,72
2009-11-24,69
2009-11-25,67
2009-11-26,64
2009-11-27,61
2009-11-28,59
2009-11-29,58
2009-12-06,59
2009-12-07,62
2009-12-08,65
2009-12-09,68
2009-12-10,71
2009-12-11,74
2009-12-12,77
2009-12-13,72
2009-12-14,67
2009-12-15,62
2009-12-16,57
2009-12-17,52
2009-12-18,46
2009-12-19,41
2009-12-20,42
2009-12-21,42
2009-12-22,43
2009-12-23,44
2009-12-24,45
2009-12-25,46
2009-12-26,47
2009-12-27,46
2009-12-28,46
2009-12-29,45
2009-12-30,45
2009-12-31,44
2010-01-01,44
2010-01-02,44
2010-01-03,44
2010-01-04,44
2010-01-05,44
2010-01-06,44
2010-01-07,44
2010-01-08,44
2010-01-09,44
2010-01-10,50
2010-01-11,56
2010-01-12,62
2010-01-13,68
2010-01-14,74
2010-01-15,80
2010-01-16,86
2010-01-17,82
2010-01-18,79
2010-01-19,75
2010-01-20,71
2010-01-21,68
2010-01-22,64
2010-01-23,61
2010-01-24,58
2010-01-25,55
2010-01-26,52
2010-01-27,49
2010-01-28,46
2010-01-29,43
2010-01-30,41
2010-01-31,42
2010-02-01,44
2010-02-02,45
2010-02-03,46
2010-02-04,48
2010-02-05,49
2010-02-06,51
2010-02-07,52
2010-02-08,53
2010-02-09,54
2010-02-10,55
2010-02-11,56
2010-02-12,57
2010-02-13,59
2010-02-14,60
2010-02-15,61
2010-02-16,63
2010-02-17,64
2010-02-18,65
2010-02-19,67
2010-02-20,68
2010-02-21,66
2010-02-22,64
2010-02-23,63
2010-02-24,61
2010-02-25,60
2010-02-26,58
2010-02-27,57
2010-02-28,59
2010-03-07,70
2010-03-08,67
2010-03-09,63
2010-03-10,60
2010-03-11,56
2010-03-12,53
2010-03-13,50
2010-03-14,49
2010-03-15,49
2010-03-16,49
2010-03-17,49
2010-03-18,48
2010-03-19,48
2010-03-20,48
2010-03-21,49
2010-03-22,50
2010-03-23,51
2010-03-24,52
2010-03-25,53
2010-03-26,54
2010-03-27,56
2010-03-28,55
2010-03-29,55
2010-03-30,54
2010-03-31,54
2010-04-01,53
2010-04-02,53
2010-04-03,53
2010-04-04,52
2010-04-05,51
2010-04-06,50
2010-04-07,49
2010-04-08,48
2010-04-09,47
2010-04-10,46
2010-04-11,49
2010-04-12,53
2010-04-13,56
2010-04-14,60
2010-04-15,63
2010-04-16,67
2010-04-17,71
2010-04-18,70
2010-04-19,69
2010-04-20,68
2010-04-21,67
2010-04-22,66
2010-04-23,65
2010-04-24,64
2010-04-25,65
2010-04-26,66
2010-04-27,67
2010-04-28,68
2010-04-29,69
2010-04-30,70
2010-05-01,72
2010-05-02,72
2010-05-03,72
2010-05-04,72
2010-05-05,72
2010-05-06,72
2010-05-07,72
2010-05-08,73
2010-05-09,74
2010-05-10,76
2010-05-11,78
2010-05-12,80
2010-05-13,82
2010-05-14,84
2010-05-15,86
2010-05-16,82
2010-05-17,78
2010-05-18,75
2010-05-19,71
2010-05-20,67
2010-05-21,64
2010-05-22,60
2010-05-23,60
2010-05-24,60
2010-05-25,60
2010-05-26,61
2010-05-27,61
2010-05-28,61
2010-05-29,62
2010-05-30,60
