Date,Regado Biosciences
2013-11-26,43
2013-11-27,43
2013-11-28,42
2013-11-29,42
2013-11-30,41
2013-12-01,41
2013-12-02,40
2013-12-03,40
2013-12-04,40
2013-12-05,40
2013-12-06,39
2013-12-07,39
2013-12-08,39
2013-12-09,39
2013-12-10,38
2013-12-11,38
2013-12-12,38
2013-12-13,38
2013-12-14,38
2013-12-15,37
2013-12-16,37
2013-12-17,37
2013-12-18,37
2013-12-19,36
2013-12-20,36
2013-12-21,36
2013-12-22,36
2013-12-23,36
2013-12-24,35
2013-12-25,35
2013-12-26,35
2013-12-27,35
2013-12-28,34
2013-12-29,34
2013-12-30,34
2013-12-31,34
2014-01-01,34
2014-01-02,34
2014-01-03,34
2014-01-04,35
2014-01-05,35
2014-01-06,36
2014-01-07,36
2014-01-08,37
2014-01-09,37
2014-01-10,38
2014-01-11,38
2014-01-12,39
2014-01-13,39
2014-01-14,40
2014-01-15,40
2014-01-16,41
2014-01-17,41
2014-01-18,42
2014-01-19,42
2014-01-20,43
2014-01-21,43
2014-01-22,44
2014-01-23,44
2014-01-24,45
2014-01-25,45
2014-01-26,46
2014-01-27,46
2014-01-28,47
2014-01-29,47
2014-01-30,48
2014-01-31,48
2014-02-01,49
