Date,Healthport
2009-12-24,36
2009-12-25,36
2009-12-26,36
2009-12-27,37
2010-01-03,50
2010-01-04,52
2010-01-05,53
2010-01-06,55
2010-01-07,57
2010-01-08,58
2010-01-09,60
2010-01-10,58
2010-01-11,55
2010-01-12,53
2010-01-13,51
2010-01-14,49
2010-01-15,47
2010-01-16,45
2010-01-17,45
2010-01-18,45
2010-01-19,45
2010-01-20,45
2010-01-21,45
2010-01-22,45
2010-01-23,45
2010-01-24,44
2010-01-25,44
2010-01-26,43
2010-01-27,43
2010-01-28,42
2010-01-29,42
2010-01-30,42
2010-01-31,43
2010-02-01,44
2010-02-02,46
2010-02-03,47
2010-02-04,49
2010-02-05,50
2010-02-06,52
2010-02-07,51
2010-02-08,49
2010-02-09,48
2010-02-10,47
2010-02-11,46
2010-02-12,45
2010-02-13,44
2010-02-14,42
2010-02-15,40
2010-02-16,38
2010-02-17,37
2010-02-18,35
2010-02-19,33
2010-02-20,32
2010-02-21,34
2010-02-22,36
2010-02-23,39
2010-02-24,41
2010-02-25,43
2010-02-26,46
2010-02-27,48
2010-02-28,45
2010-03-01,42
2010-03-02,40
2010-03-03,37
2010-03-04,35
2010-03-05,32
2010-03-06,30
2010-03-07,32
2010-03-08,34
2010-03-09,36
2010-03-10,39
2010-03-11,41
2010-03-12,43
2010-03-13,46
2010-03-14,46
2010-03-15,46
2010-03-16,46
2010-03-17,46
2010-03-18,46
2010-03-19,46
2010-03-20,47
2010-03-21,47
2010-03-22,48
2010-03-23,49
2010-03-24,50
2010-03-25,51
2010-03-26,52
2010-03-27,53
2010-03-28,53
2010-04-04,56
2010-04-05,53
2010-04-06,50
2010-04-07,47
2010-04-08,44
2010-04-09,42
2010-04-10,39
2010-04-11,39
2010-04-12,39
2010-04-13,40
2010-04-14,40
2010-04-15,41
2010-04-16,41
2010-04-17,42
2010-04-18,41
2010-04-19,41
2010-04-20,41
2010-04-21,40
2010-04-22,40
2010-04-23,40
2010-04-24,40
2010-04-25,41
2010-04-26,43
2010-04-27,45
2010-04-28,46
2010-04-29,48
2010-04-30,49
2010-05-01,51
2010-05-02,51
2010-05-03,50
2010-05-04,49
2010-05-05,49
2010-05-06,48
2010-05-07,48
2010-05-08,48
2010-05-09,50
2010-05-10,53
2010-05-11,56
2010-05-12,58
2010-05-13,61
2010-05-14,64
2010-05-15,66
2010-05-16,64
2010-05-17,60
2010-05-18,58
2010-05-19,55
2010-05-20,52
2010-05-21,50
2010-05-22,47
2010-05-23,46
2010-05-24,45
2010-05-25,45
2010-05-26,44
2010-05-27,44
2010-05-28,43
2010-05-29,43
2010-05-30,41
2010-05-31,40
2010-06-01,39
2010-06-02,38
2010-06-03,37
2010-06-04,36
2010-06-05,35
2010-06-06,37
2010-06-07,39
2010-06-08,41
2010-06-09,43
2010-06-10,45
2010-06-11,47
2010-06-12,49
2010-06-13,48
2010-06-14,46
2010-06-15,45
2010-06-16,44
2010-06-17,43
2010-06-18,42
2010-06-19,41
2010-06-20,41
2010-06-21,42
2010-06-22,43
2010-06-23,44
2010-06-24,45
2010-06-25,46
2010-06-26,47
2010-06-27,47
2010-07-01,47
2010-07-02,47
2010-07-03,47
2010-07-04,48
2010-07-05,49
2010-07-06,50
2010-07-07,51
2010-07-08,52
2010-07-09,56
2010-07-10,54
2010-07-11,53
2010-07-12,53
2010-07-13,53
2010-07-14,53
2010-07-15,53
2010-07-16,53
2010-07-17,53
2010-07-18,52
2010-07-19,52
2010-07-20,52
2010-07-21,52
2010-07-22,52
2010-07-23,52
2010-07-24,52
2010-07-25,52
2010-07-26,53
2010-07-27,54
2010-07-28,54
2010-07-29,55
2010-07-30,59
2010-07-31,57
2010-08-01,60
2010-08-02,63
2010-08-03,66
2010-08-04,70
2010-08-05,73
2010-08-06,76
2010-08-07,80
2010-08-08,76
2010-08-09,72
2010-08-10,68
2010-08-11,64
2010-08-12,60
2010-08-13,56
2010-08-14,53
2010-08-15,53
2010-08-16,53
2010-08-17,53
2010-08-18,53
2010-08-19,53
2010-08-20,53
2010-08-21,53
2010-08-22,54
2010-08-23,57
2010-08-24,61
2010-08-25,60
2010-08-26,62
2010-08-27,64
2010-08-28,66
2010-08-29,67
2010-08-30,68
2010-08-31,69
2010-09-01,74
2010-09-02,71
2010-09-03,76
2010-09-04,74
2010-09-05,71
2010-09-06,68
2010-09-07,65
2010-09-08,62
2010-09-09,59
2010-09-10,56
2010-09-11,53
2010-09-12,56
2010-09-13,60
2010-09-14,64
2010-09-15,68
2010-09-16,72
2010-09-17,79
2010-09-18,85
2010-09-19,77
2010-09-20,75
2010-09-21,73
2010-09-22,72
2010-09-23,68
2010-09-24,66
2010-09-25,64
2010-09-26,65
2010-09-27,66
2010-09-28,68
2010-09-29,69
2010-09-30,71
2010-10-01,72
2010-10-02,74
2010-10-03,73
2010-10-04,72
2010-10-05,72
2010-10-06,71
2010-10-07,72
2010-10-08,70
2010-10-09,70
2010-10-10,66
2010-10-11,63
2010-10-12,60
2010-10-13,56
2010-10-14,53
2010-10-15,50
2010-10-16,47
2010-10-17,49
2010-10-18,51
2010-10-19,54
2010-10-20,56
2010-10-21,58
2010-10-22,62
2010-10-23,63
2010-10-24,64
2010-10-25,65
2010-10-26,66
2010-10-27,68
2010-10-28,69
2010-10-29,73
2010-10-30,72
2010-10-31,72
2010-11-01,73
2010-11-02,75
2010-11-03,75
2010-11-04,76
2010-11-05,83
2010-11-06,78
2010-11-07,77
2010-11-08,77
2010-11-09,76
2010-11-10,76
2010-11-11,78
2010-11-12,75
2010-11-13,75
2010-11-14,77
2010-11-15,79
2010-11-16,81
2010-11-17,84
2010-11-18,85
2010-11-19,97
2010-11-20,89
2010-11-21,85
2010-11-22,81
2010-11-23,77
2010-11-24,80
2010-11-25,70
2010-11-26,66
2010-11-27,63
2010-11-28,63
2010-11-29,64
2010-11-30,64
2010-12-01,65
2010-12-02,65
2010-12-03,66
2010-12-04,68
2010-12-05,65
2010-12-06,64
2010-12-07,63
2010-12-08,61
2010-12-09,60
2010-12-10,63
2010-12-11,58
2010-12-12,60
2010-12-13,62
2010-12-14,64
2010-12-15,66
2010-12-16,69
2010-12-17,70
2010-12-18,72
2010-12-19,69
2010-12-20,66
2010-12-21,65
2010-12-22,60
2010-12-23,57
2010-12-24,54
2010-12-25,51
2010-12-26,53
2010-12-27,55
2010-12-28,57
2010-12-29,59
2010-12-30,61
2010-12-31,63
2011-01-01,65
2011-01-02,68
2011-01-03,72
2011-01-04,76
2011-01-05,79
2011-01-06,83
2011-01-07,91
2011-01-08,91
2011-01-09,89
2011-01-10,87
2011-01-11,86
2011-01-12,83
2011-01-13,81
2011-01-14,83
2011-01-15,77
2011-01-16,75
2011-01-17,73
2011-01-18,72
2011-01-19,69
2011-01-20,67
2011-01-21,69
2011-01-22,64
2011-01-23,67
2011-01-24,71
2011-01-25,77
2011-01-26,78
2011-01-27,82
2011-01-28,91
2011-01-29,93
2011-01-30,87
2011-01-31,85
2011-02-01,82
2011-02-02,80
2011-02-03,79
2011-02-04,75
2011-02-05,73
2011-02-06,75
2011-02-07,77
2011-02-08,79
2011-02-09,82
2011-02-10,83
2011-02-11,85
2011-02-12,87
2011-02-13,85
2011-02-14,83
2011-02-15,82
2011-02-16,80
2011-02-17,81
2011-02-18,77
2011-02-19,82
2011-02-20,74
2011-02-21,72
2011-02-22,70
2011-02-23,69
2011-02-24,67
2011-02-25,69
2011-02-26,64
2011-02-27,64
2011-02-28,64
2011-03-01,64
2011-03-02,65
2011-03-03,65
2011-03-04,68
2011-03-05,66
2011-03-06,66
2011-03-07,67
2011-03-08,68
2011-03-09,77
2011-03-10,70
2011-03-11,79
2011-03-12,72
2011-03-13,72
2011-03-14,73
2011-03-15,78
2011-03-16,77
2011-03-17,74
2011-03-18,75
2011-03-19,76
2011-03-20,73
2011-03-21,70
2011-03-22,67
2011-03-23,64
2011-03-24,61
2011-03-25,58
2011-03-26,55
2011-03-27,57
2011-03-28,60
2011-03-29,64
2011-03-30,66
2011-03-31,69
2011-04-01,72
2011-04-02,75
2011-04-03,76
2011-04-04,78
2011-04-05,80
2011-04-06,81
2011-04-07,83
2011-04-08,85
2011-04-09,87
2011-04-10,86
2011-04-11,85
2011-04-12,86
2011-04-13,86
2011-04-14,82
2011-04-15,82
2011-04-16,80
2011-04-17,82
2011-04-18,85
2011-04-19,88
2011-04-20,91
2011-04-21,95
2011-04-22,102
2011-04-23,100
2011-04-24,97
2011-04-25,94
2011-04-26,92
2011-04-27,95
2011-04-28,85
2011-04-29,82
2011-04-30,87
2011-05-01,78
2011-05-02,76
2011-05-03,75
2011-05-04,78
2011-05-05,72
2011-05-06,71
2011-05-07,69
2011-05-08,69
2011-05-09,69
2011-05-10,70
2011-05-11,70
2011-05-12,73
2011-05-13,74
2011-05-14,72
2011-05-15,73
2011-05-16,74
2011-05-17,75
2011-05-18,76
2011-05-19,77
2011-05-20,78
2011-05-21,82
2011-05-22,76
2011-05-23,74
2011-05-24,71
2011-05-25,71
2011-05-26,66
2011-05-27,64
2011-05-28,62
2011-05-29,62
2011-05-30,62
2011-05-31,62
2011-06-01,62
2011-06-02,63
2011-06-03,62
2011-06-04,65
2011-06-05,62
2011-06-06,63
2011-06-07,64
2011-06-08,70
2011-06-09,65
2011-06-10,66
2011-06-11,68
2011-06-12,69
2011-06-13,71
2011-06-14,73
2011-06-15,80
2011-06-16,78
2011-06-17,88
2011-06-18,83
2011-06-19,82
2011-06-20,81
2011-06-21,83
2011-06-22,80
2011-06-23,79
2011-06-24,78
2011-06-25,78
2011-06-26,77
2011-06-27,77
2011-06-28,77
2011-06-29,82
2011-06-30,77
