Date,Marcus & Millichap
2013-08-15,84
2013-08-16,83
2013-08-17,82
2013-08-18,80
2013-08-19,77
2013-08-20,75
2013-08-21,72
2013-08-22,70
2013-08-23,67
2013-08-24,65
2013-08-25,65
2013-09-01,67
2013-09-02,68
2013-09-03,69
2013-09-04,69
2013-09-05,70
2013-09-06,71
2013-09-07,72
2013-09-08,72
2013-09-09,72
2013-09-10,72
2013-09-11,73
2013-09-12,73
2013-09-13,73
2013-09-14,74
2013-09-15,77
2013-09-16,81
2013-09-17,85
2013-09-18,89
2013-09-19,92
2013-09-20,96
2013-09-21,100
2013-09-22,98
2013-09-23,96
2013-09-24,94
2013-09-25,91
2013-09-26,89
2013-09-27,87
2013-09-28,84
2013-09-29,82
2013-09-30,79
2013-10-01,77
2013-10-02,74
2013-10-03,72
2013-10-04,70
2013-10-05,68
2013-10-06,67
2013-10-07,66
2013-10-08,65
2013-10-09,64
2013-10-10,63
2013-10-11,62
2013-10-12,62
2013-10-13,64
2013-10-14,67
2013-10-15,69
2013-10-16,71
2013-10-17,74
2013-10-18,76
2013-10-19,79
2013-10-20,79
2013-10-21,79
2013-10-22,79
2013-10-23,80
2013-10-24,80
2013-10-25,80
2013-10-26,81
2013-10-27,82
2013-10-28,83
2013-10-29,85
2013-10-30,86
2013-10-31,87
2013-11-01,89
2013-11-02,90
2013-11-03,90
2013-11-04,90
2013-11-05,91
2013-11-06,91
2013-11-07,92
2013-11-08,92
2013-11-09,93
2013-11-10,90
2013-11-11,88
2013-11-12,86
2013-11-13,83
2013-11-14,81
2013-11-15,79
2013-11-16,77
2013-11-17,77
2013-11-18,79
2013-11-19,80
2013-11-20,80
2013-11-21,81
2013-11-22,82
2013-11-23,83
2013-11-24,78
2013-12-01,49
2013-12-02,50
2013-12-03,52
2013-12-04,53
2013-12-05,55
2013-12-06,56
2013-12-07,58
2013-12-08,57
2013-12-09,57
2013-12-10,57
2013-12-11,56
2013-12-12,56
2013-12-13,55
2013-12-14,55
2013-12-15,57
2013-12-16,59
2013-12-17,61
2013-12-18,63
2013-12-19,65
2013-12-20,67
2013-12-21,68
2013-12-22,63
2013-12-23,57
2013-12-24,52
2013-12-25,47
2013-12-26,42
2013-12-27,37
2013-12-28,32
2013-12-29,31
2013-12-30,30
2013-12-31,30
2014-01-01,29
2014-01-02,29
2014-01-03,28
2014-01-04,28
2014-01-05,31
2014-01-06,35
2014-01-07,38
2014-01-08,42
2014-01-09,45
2014-01-10,49
2014-01-11,53
2014-01-12,55
2014-01-13,59
2014-01-14,62
2014-01-15,65
2014-01-16,68
2014-01-17,71
2014-01-18,74
2014-01-19,71
2014-01-20,67
2014-01-21,64
2014-01-22,61
2014-01-23,58
2014-01-24,55
2014-01-25,52
2014-01-26,50
2014-01-27,48
2014-01-28,46
2014-01-29,44
2014-01-30,42
2014-01-31,40
2014-02-01,38
2014-02-02,39
2014-02-03,41
2014-02-04,43
2014-02-05,45
2014-02-06,47
2014-02-07,49
2014-02-08,51
2014-02-09,49
2014-02-10,47
2014-02-11,45
2014-02-12,43
2014-02-13,41
2014-02-14,39
2014-02-15,38
2014-02-16,39
2014-02-17,40
2014-02-18,41
2014-02-19,42
2014-02-20,43
2014-02-21,44
2014-02-22,45
2014-02-23,47
2014-03-01,63
