Date,Medidata
2009-09-12,24
2009-09-13,24
2009-09-14,24
2009-09-15,24
2009-09-16,24
2009-09-17,24
2009-09-18,24
2009-09-19,25
2009-09-20,26
2009-09-21,27
2009-09-22,29
2009-09-23,30
2009-09-24,32
2009-09-25,33
2009-09-26,35
2009-09-27,33
2009-10-04,24
2009-10-05,22
2009-10-06,20
2009-10-07,18
2009-10-08,16
2009-10-09,14
2009-10-10,13
2009-10-11,16
2009-10-12,20
2009-10-13,24
2009-10-14,28
2009-10-15,31
2009-10-16,35
2009-10-17,39
2009-10-18,38
2009-10-19,37
2009-10-20,36
2009-10-21,36
2009-10-22,35
2009-10-23,34
2009-10-24,34
2009-10-25,33
2009-10-26,33
2009-10-27,32
2009-10-28,31
2009-10-29,31
2009-10-30,30
2009-10-31,30
2009-11-01,29
2009-11-02,28
2009-11-03,28
2009-11-04,27
2009-11-05,27
2009-11-06,26
2009-11-07,26
2009-11-08,25
2009-11-09,25
2009-11-10,25
2009-11-11,25
2009-11-12,25
2009-11-13,25
2009-11-14,25
2009-11-15,25
2009-11-16,26
2009-11-17,26
2009-11-18,27
2009-11-19,28
2009-11-20,28
2009-11-21,29
2009-11-22,27
2009-11-23,25
2009-11-24,23
2009-11-25,21
2009-11-26,19
2009-11-27,17
2009-11-28,16
2009-11-29,17
2009-11-30,19
2009-12-01,20
2009-12-02,22
2009-12-03,23
2009-12-04,25
2009-12-05,27
2009-12-06,26
2009-12-07,25
2009-12-08,25
2009-12-09,24
2009-12-10,23
2009-12-11,23
2009-12-12,22
2009-12-13,22
2009-12-14,21
2009-12-15,21
2009-12-16,21
2009-12-17,21
2009-12-18,21
2009-12-19,21
2009-12-20,20
2009-12-21,20
2009-12-22,19
2009-12-23,19
2009-12-24,18
2009-12-25,18
2009-12-26,18
2009-12-27,17
2010-01-03,16
2010-01-04,18
2010-01-05,20
2010-01-06,22
2010-01-07,24
2010-01-08,26
2010-01-09,28
2010-01-10,29
2010-01-11,30
2010-01-12,31
2010-01-13,32
2010-01-14,33
2010-01-15,34
2010-01-16,35
2010-01-17,34
2010-01-18,33
2010-01-19,32
2010-01-20,31
2010-01-21,30
2010-01-22,29
2010-01-23,28
2010-01-24,28
2010-01-25,29
2010-01-26,30
2010-01-27,31
2010-01-28,32
2010-01-29,32
2010-01-30,33
2010-01-31,32
2010-02-01,31
2010-02-02,30
2010-02-03,30
2010-02-04,29
2010-02-05,28
2010-02-06,28
2010-02-07,27
2010-02-08,27
2010-02-09,26
2010-02-10,25
2010-02-11,25
2010-02-12,24
2010-02-13,24
2010-02-14,22
2010-02-15,21
2010-02-16,19
2010-02-17,18
2010-02-18,16
2010-02-19,15
2010-02-20,14
2010-02-21,16
2010-02-22,18
2010-02-23,20
2010-02-24,22
2010-02-25,24
2010-02-26,26
2010-02-27,28
2010-02-28,29
2010-03-01,31
2010-03-02,32
2010-03-03,33
2010-03-04,35
2010-03-05,36
2010-03-06,38
2010-03-07,36
2010-03-08,34
2010-03-09,32
2010-03-10,30
2010-03-11,28
2010-03-12,26
2010-03-13,25
2010-03-14,24
2010-03-15,24
2010-03-16,23
2010-03-17,23
2010-03-18,23
2010-03-19,22
2010-03-20,22
2010-03-21,22
2010-03-22,22
2010-03-23,22
2010-03-24,23
2010-03-25,23
2010-03-26,23
2010-03-27,24
2010-03-28,24
2010-04-04,29
2010-04-05,29
2010-04-06,29
2010-04-07,29
2010-04-08,29
2010-04-09,29
2010-04-10,29
2010-04-11,29
2010-04-12,29
2010-04-13,29
2010-04-14,29
2010-04-15,29
2010-04-16,29
2010-04-17,29
2010-04-18,28
2010-04-19,28
2010-04-20,28
2010-04-21,28
2010-04-22,27
2010-04-23,27
2010-04-24,27
2010-04-25,26
2010-04-26,26
2010-04-27,25
2010-04-28,25
2010-04-29,24
2010-04-30,24
2010-05-01,24
2010-05-02,25
2010-05-03,26
2010-05-04,27
2010-05-05,29
2010-05-06,30
2010-05-07,31
2010-05-08,33
2010-05-09,32
2010-05-10,32
2010-05-11,32
2010-05-12,31
2010-05-13,31
2010-05-14,30
2010-05-15,30
2010-05-16,28
2010-05-17,26
2010-05-18,24
2010-05-19,23
2010-05-20,21
2010-05-21,19
2010-05-22,18
2010-05-23,17
2010-05-24,17
2010-05-25,17
2010-05-26,17
2010-05-27,17
2010-05-28,17
2010-05-29,17
2010-05-30,17
2010-05-31,18
2010-06-01,19
2010-06-02,20
2010-06-03,21
2010-06-04,22
2010-06-05,23
2010-06-06,23
2010-06-07,23
2010-06-08,24
2010-06-09,24
2010-06-10,25
2010-06-11,25
2010-06-12,26
2010-06-13,25
2010-06-14,25
2010-06-15,25
2010-06-16,25
2010-06-17,25
2010-06-18,25
2010-06-19,25
2010-06-20,25
2010-06-21,25
2010-06-22,26
2010-06-23,26
2010-06-24,27
2010-06-25,27
2010-06-26,28
2010-06-27,29
