Date,Responsys
2011-12-24,34
2011-12-25,32
2011-12-26,29
2011-12-27,27
2011-12-28,25
2011-12-29,23
2011-12-30,21
2011-12-31,19
2012-01-01,21
2012-01-02,23
2012-01-03,25
2012-01-04,28
2012-01-05,30
2012-01-06,32
2012-01-07,35
2012-01-08,39
2012-01-09,43
2012-01-10,47
2012-01-11,51
2012-01-12,55
2012-01-13,59
2012-01-14,64
2012-01-15,60
2012-01-16,56
2012-01-17,53
2012-01-18,49
2012-01-19,45
2012-01-20,41
2012-01-21,38
2012-01-22,38
2012-01-23,38
2012-01-24,38
2012-01-25,38
2012-01-26,38
2012-01-27,38
2012-01-28,38
2012-01-29,41
2012-01-30,45
2012-01-31,48
2012-02-01,52
2012-02-02,55
2012-02-03,59
2012-02-04,63
2012-02-05,60
2012-02-06,57
2012-02-07,54
2012-02-08,52
2012-02-09,49
2012-02-10,46
2012-02-11,44
2012-02-12,46
2012-02-13,48
2012-02-14,50
2012-02-15,53
2012-02-16,55
2012-02-17,57
2012-02-18,59
2012-02-19,58
2012-02-20,56
2012-02-21,55
2012-02-22,53
2012-02-23,52
2012-02-24,51
2012-02-25,50
2012-02-26,49
2012-03-04,48
2012-03-05,48
2012-03-06,48
2012-03-07,49
2012-03-08,49
2012-03-09,49
2012-03-10,50
2012-03-11,51
2012-03-12,52
2012-03-13,53
2012-03-14,54
2012-03-15,56
2012-03-16,57
2012-03-17,58
2012-03-18,56
2012-03-19,55
2012-03-20,53
2012-03-21,52
2012-03-22,50
2012-03-23,49
2012-03-24,48
2012-03-25,48
2012-03-26,48
2012-03-27,48
2012-03-28,48
2012-03-29,48
2012-03-30,48
2012-03-31,49
2012-04-01,49
2012-04-02,49
2012-04-03,49
2012-04-04,49
2012-04-05,49
2012-04-06,49
2012-04-07,49
2012-04-08,48
2012-04-09,47
2012-04-10,46
2012-04-11,45
2012-04-12,44
2012-04-13,43
2012-04-14,43
2012-04-15,45
2012-04-16,47
2012-04-17,49
2012-04-18,52
2012-04-19,54
2012-04-20,56
2012-04-21,59
2012-04-22,60
2012-04-23,61
2012-04-24,63
2012-04-25,64
2012-04-26,65
2012-04-27,67
2012-04-28,68
2012-04-29,65
2012-04-30,61
2012-05-01,58
2012-05-02,54
2012-05-03,51
2012-05-04,48
2012-05-05,45
2012-05-06,44
2012-05-07,44
2012-05-08,44
2012-05-09,44
2012-05-10,44
2012-05-11,44
2012-05-12,44
2012-05-13,45
2012-05-14,46
2012-05-15,47
2012-05-16,48
2012-05-17,49
2012-05-18,50
2012-05-19,52
2012-05-20,49
2012-05-21,46
2012-05-22,43
2012-05-23,41
2012-05-24,38
2012-05-25,35
2012-05-26,33
2012-05-27,35
