Date,International Decision Systems
2009-02-09,57
2009-02-10,56
2009-02-11,55
2009-02-12,54
2009-02-13,54
2009-02-14,53
2009-02-15,52
2009-02-16,51
2009-02-17,51
2009-02-18,50
2009-02-19,49
2009-02-20,48
2009-02-21,48
2009-02-22,47
2009-02-23,46
2009-02-24,45
2009-02-25,45
2009-02-26,44
2009-02-27,43
2009-02-28,42
2009-03-01,42
2009-03-02,42
2009-03-03,43
2009-03-04,44
2009-03-05,45
2009-03-06,46
2009-03-07,47
2009-03-08,48
2009-03-09,49
2009-03-10,50
2009-03-11,51
2009-03-12,52
2009-03-13,53
2009-03-14,54
2009-03-15,55
2009-03-16,56
2009-03-17,56
2009-03-18,57
2009-03-19,58
2009-03-20,59
2009-03-21,60
2009-03-22,61
2009-03-23,62
2009-03-24,63
2009-03-25,64
2009-03-26,65
2009-03-27,66
2009-03-28,67
2009-03-29,68
2009-03-30,69
2009-03-31,70
2009-04-01,71
2009-04-02,70
2009-04-03,69
2009-04-04,69
2009-04-05,68
2009-04-06,67
2009-04-07,67
2009-04-08,66
2009-04-09,65
2009-04-10,65
2009-04-11,64
2009-04-12,63
2009-04-13,63
2009-04-14,62
2009-04-15,61
2009-04-16,61
2009-04-17,60
2009-04-18,59
2009-04-19,59
2009-04-20,58
2009-04-21,57
2009-04-22,57
2009-04-23,56
2009-04-24,55
2009-04-25,55
2009-04-26,54
2009-04-27,53
2009-04-28,53
2009-04-29,52
2009-04-30,51
2009-05-01,51
2009-05-02,50
2009-05-03,50
2009-05-04,50
2009-05-05,50
2009-05-06,50
2009-05-07,49
2009-05-08,49
2009-05-09,49
2009-05-10,49
2009-05-11,49
2009-05-12,48
2009-05-13,48
2009-05-14,48
2009-05-15,48
2009-05-16,48
2009-05-17,47
2009-05-18,47
2009-05-19,47
2009-05-20,47
2009-05-21,47
2009-05-22,46
2009-05-23,46
2009-05-24,46
2009-05-25,46
2009-05-26,46
2009-05-27,45
2009-05-28,45
2009-05-29,45
2009-05-30,45
2009-05-31,45
2009-06-01,45
2009-06-02,45
2009-06-03,46
2009-06-04,47
2009-06-05,47
2009-06-06,48
2009-06-07,49
2009-06-08,50
2009-06-09,50
2009-06-10,51
2009-06-11,52
2009-06-12,53
2009-06-13,53
2009-06-14,54
2009-06-15,55
2009-06-16,56
2009-06-17,56
2009-06-18,57
2009-06-19,58
2009-06-20,58
2009-06-21,59
2009-06-22,60
2009-06-23,61
2009-06-24,61
2009-06-25,62
2009-06-26,63
2009-06-27,64
2009-06-28,64
2009-06-29,65
2009-06-30,66
2009-07-01,67
