Date,ULTA Salon
2008-03-22,100
2008-03-23,96
2008-03-24,90
2008-03-25,86
2008-03-26,81
2008-03-27,77
2008-03-28,72
2008-03-29,68
2008-03-30,69
2008-04-06,74
2008-04-07,71
2008-04-08,69
2008-04-09,66
2008-04-10,64
2008-04-11,61
2008-04-12,59
2008-04-13,62
2008-04-14,66
2008-04-15,70
2008-04-16,73
2008-04-17,77
2008-04-18,81
2008-04-19,85
2008-04-20,85
2008-04-21,85
2008-04-22,85
2008-04-23,86
2008-04-24,86
2008-04-25,86
2008-04-26,87
2008-04-27,85
2008-04-28,83
2008-04-29,81
2008-04-30,79
2008-05-01,77
2008-05-02,75
2008-05-03,74
2008-05-04,75
2008-05-05,78
2008-05-06,80
2008-05-07,82
2008-05-08,84
2008-05-09,87
2008-05-10,89
2008-05-11,85
2008-05-12,78
2008-05-13,74
2008-05-14,70
2008-05-15,66
2008-05-16,62
2008-05-17,58
2008-05-18,60
2008-05-19,63
2008-05-20,66
2008-05-21,69
2008-05-22,72
2008-05-23,74
2008-05-24,77
2008-05-25,73
2008-05-26,68
2008-05-27,63
2008-05-28,59
2008-05-29,54
2008-05-30,50
2008-05-31,46
2008-06-01,50
2008-06-02,54
2008-06-03,59
2008-06-04,63
2008-06-05,67
2008-06-06,72
2008-06-07,76
2008-06-08,76
2008-06-09,76
2008-06-10,76
2008-06-11,76
2008-06-12,76
2008-06-13,76
2008-06-14,76
2008-06-15,69
2008-06-16,62
2008-06-17,56
2008-06-18,49
2008-06-19,43
2008-06-20,36
2008-06-21,30
2008-06-22,37
2008-06-23,44
2008-06-24,52
2008-06-25,59
2008-06-26,67
2008-06-27,74
2008-06-28,82
2008-06-29,77
2008-07-06,44
2008-07-07,43
2008-07-08,42
2008-07-09,40
2008-07-10,39
2008-07-11,38
2008-07-12,37
2008-07-13,39
2008-07-14,42
2008-07-15,44
2008-07-16,47
2008-07-17,49
2008-07-18,52
2008-07-19,55
2008-07-20,59
2008-07-21,63
2008-07-22,67
2008-07-23,71
2008-07-24,75
2008-07-25,79
2008-07-26,84
2008-07-27,81
2008-07-28,79
2008-07-29,76
2008-07-30,74
2008-07-31,71
2008-08-01,69
2008-08-02,67
2008-08-03,71
2008-08-04,77
2008-08-05,81
2008-08-06,86
2008-08-07,91
2008-08-08,96
2008-08-09,101
2008-08-10,96
2008-08-11,91
2008-08-12,87
2008-08-13,83
2008-08-14,79
2008-08-15,75
2008-08-16,71
2008-08-17,72
2008-08-18,73
2008-08-19,74
2008-08-20,75
2008-08-21,76
2008-08-22,77
2008-08-23,78
2008-08-24,76
2008-08-25,75
2008-08-26,74
2008-08-27,72
2008-08-28,71
2008-08-29,70
2008-08-30,69
2008-08-31,70
2008-09-01,71
2008-09-02,72
2008-09-03,74
2008-09-04,75
2008-09-05,76
2008-09-06,78
2008-09-07,77
2008-09-08,76
2008-09-09,75
2008-09-10,74
2008-09-11,74
2008-09-12,73
2008-09-13,72
2008-09-14,72
2008-09-15,72
2008-09-16,71
2008-09-17,71
2008-09-18,71
2008-09-19,71
2008-09-20,71
2008-09-21,70
2008-09-22,68
2008-09-23,67
2008-09-24,65
2008-09-25,64
2008-09-26,63
2008-09-27,62
2008-09-28,61
2008-10-05,57
2008-10-06,60
2008-10-07,63
2008-10-08,66
2008-10-09,69
2008-10-10,72
2008-10-11,75
2008-10-12,75
2008-10-13,77
2008-10-14,78
2008-10-15,79
2008-10-16,79
2008-10-17,80
2008-10-18,81
2008-10-19,79
2008-10-20,77
2008-10-21,75
2008-10-22,73
2008-10-23,71
2008-10-24,69
2008-10-25,67
2008-10-26,66
2008-10-27,65
2008-10-28,64
2008-10-29,63
2008-10-30,62
2008-10-31,61
2008-11-01,60
2008-11-02,62
2008-11-03,64
2008-11-04,66
2008-11-05,68
2008-11-06,70
2008-11-07,73
2008-11-08,75
2008-11-09,72
2008-11-10,69
2008-11-11,67
2008-11-12,64
2008-11-13,62
2008-11-14,59
2008-11-15,57
2008-11-16,58
2008-11-17,59
2008-11-18,60
2008-11-19,61
2008-11-20,62
2008-11-21,64
2008-11-22,65
2008-11-23,64
2008-11-24,63
2008-11-25,62
2008-11-26,61
2008-11-27,60
2008-11-28,59
2008-11-29,58
2008-11-30,61
2008-12-01,64
2008-12-02,67
2008-12-03,70
2008-12-04,73
2008-12-05,76
2008-12-06,79
2008-12-07,77
2008-12-08,76
2008-12-09,75
2008-12-10,74
2008-12-11,73
2008-12-12,72
2008-12-13,71
2008-12-14,71
2008-12-15,71
2008-12-16,71
2008-12-17,71
2008-12-18,71
2008-12-19,71
2008-12-20,71
2008-12-21,71
2008-12-22,71
2008-12-23,71
2008-12-24,72
2008-12-25,72
2008-12-26,72
2008-12-27,73
2008-12-28,75
