Date,Peplin
2008-08-10,49
2008-08-11,49
2008-08-12,49
2008-08-13,49
2008-08-14,49
2008-08-15,49
2008-08-16,49
2008-08-17,49
2008-08-18,49
2008-08-19,49
2008-08-20,49
2008-08-21,49
2008-08-22,49
2008-08-23,49
2008-08-24,49
2008-08-25,49
2008-08-26,49
2008-08-27,49
2008-08-28,49
2008-08-29,49
2008-08-30,49
2008-08-31,49
2008-09-01,50
2008-09-02,50
2008-09-03,50
2008-09-04,50
2008-09-05,50
2008-09-06,50
2008-09-07,50
2008-09-08,50
2008-09-09,50
2008-09-10,50
2008-09-11,51
2008-09-12,51
2008-09-13,51
2008-09-14,51
2008-09-15,51
2008-09-16,51
2008-09-17,51
2008-09-18,51
2008-09-19,51
2008-09-20,51
2008-09-21,52
2008-09-22,52
2008-09-23,52
2008-09-24,52
2008-09-25,52
2008-09-26,52
2008-09-27,52
2008-09-28,52
2008-09-29,52
2008-09-30,52
2008-10-01,53
2008-10-02,52
2008-10-03,52
2008-10-04,52
2008-10-05,52
2008-10-06,52
2008-10-07,52
2008-10-08,51
2008-10-09,51
2008-10-10,51
2008-10-11,51
2008-10-12,51
2008-10-13,51
2008-10-14,50
2008-10-15,50
2008-10-16,50
2008-10-17,50
2008-10-18,50
2008-10-19,50
2008-10-20,49
2008-10-21,49
2008-10-22,49
2008-10-23,49
2008-10-24,49
2008-10-25,49
2008-10-26,48
2008-10-27,48
2008-10-28,48
2008-10-29,48
2008-10-30,48
2008-10-31,48
2008-11-01,48
2008-11-02,47
2008-11-03,46
2008-11-04,46
2008-11-05,45
2008-11-06,45
2008-11-07,44
2008-11-08,43
2008-11-09,43
2008-11-10,42
2008-11-11,42
2008-11-12,41
2008-11-13,40
2008-11-14,40
2008-11-15,39
2008-11-16,39
2008-11-17,38
2008-11-18,37
2008-11-19,37
2008-11-20,36
2008-11-21,36
2008-11-22,35
2008-11-23,34
2008-11-24,34
2008-11-25,33
2008-11-26,33
2008-11-27,32
2008-11-28,31
2008-11-29,31
2008-11-30,30
2008-12-01,30
2008-12-02,30
2008-12-03,31
2008-12-04,31
2008-12-05,32
2008-12-06,32
2008-12-07,33
2008-12-08,34
2008-12-09,34
2008-12-10,35
2008-12-11,35
2008-12-12,36
2008-12-13,36
2008-12-14,37
2008-12-15,38
2008-12-16,38
2008-12-17,39
2008-12-18,39
2008-12-19,40
2008-12-20,41
2008-12-21,41
2008-12-22,42
2008-12-23,42
2008-12-24,43
2008-12-25,43
2008-12-26,44
2008-12-27,45
2008-12-28,45
2008-12-29,46
2008-12-30,46
2008-12-31,47
2009-01-01,48
