Date,hhgregg
2007-11-28,80
2007-11-29,72
2007-11-30,67
2007-12-01,62
2007-12-02,63
2007-12-03,59
2007-12-04,60
2007-12-05,57
2007-12-06,56
2007-12-07,54
2007-12-08,53
2007-12-09,52
2007-12-10,53
2007-12-11,51
2007-12-12,50
2007-12-13,50
2007-12-14,49
2007-12-15,49
2007-12-16,50
2007-12-17,53
2007-12-18,54
2007-12-19,54
2007-12-20,56
2007-12-21,58
2007-12-22,59
2007-12-23,62
2007-12-24,62
2007-12-25,67
2007-12-26,65
2007-12-27,72
2007-12-28,70
2007-12-29,71
2007-12-30,67
2007-12-31,64
2008-01-01,60
2008-01-02,61
2008-01-03,53
2008-01-04,52
2008-01-05,47
2008-01-06,45
2008-01-07,45
2008-01-08,41
2008-01-09,39
2008-01-10,37
2008-01-11,35
2008-01-12,33
2008-01-13,33
2008-01-14,36
2008-01-15,35
2008-01-16,34
2008-01-17,35
2008-01-18,35
2008-01-19,36
2008-01-20,35
2008-01-21,36
2008-01-22,35
2008-01-23,35
2008-01-24,33
2008-01-25,33
2008-01-26,33
2008-01-27,34
2008-01-28,37
2008-01-29,36
2008-01-30,37
2008-01-31,38
2008-02-01,39
2008-02-02,40
2008-02-03,40
2008-02-04,41
2008-02-05,37
2008-02-06,37
2008-02-07,35
2008-02-08,34
2008-02-09,33
2008-02-10,35
2008-02-11,34
2008-02-12,34
2008-02-13,34
2008-02-14,35
2008-02-15,35
2008-02-16,36
2008-02-17,35
2008-02-18,37
2008-02-19,37
2008-02-20,35
2008-02-21,35
2008-02-22,35
2008-02-23,35
2008-02-24,35
2008-02-25,36
2008-02-26,36
2008-02-27,36
2008-02-28,35
2008-02-29,35
2008-03-01,36
2008-03-02,35
2008-03-03,37
2008-03-04,34
2008-03-05,34
2008-03-06,32
2008-03-07,31
2008-03-08,31
2008-03-09,32
2008-03-10,33
2008-03-11,31
2008-03-12,32
2008-03-13,32
2008-03-14,32
2008-03-15,33
2008-03-16,33
2008-03-17,36
2008-03-18,34
2008-03-19,35
2008-03-20,35
2008-03-21,35
2008-03-22,36
2008-03-23,37
2008-03-24,34
2008-03-25,34
2008-03-26,33
2008-03-27,31
2008-03-28,30
2008-03-29,29
2008-03-30,29
2008-03-31,30
2008-04-01,30
2008-04-02,32
2008-04-03,31
2008-04-04,31
2008-04-05,32
2008-04-06,32
2008-04-07,31
2008-04-08,30
2008-04-09,29
2008-04-10,29
2008-04-11,28
2008-04-12,28
2008-04-13,29
2008-04-14,30
2008-04-15,30
2008-04-16,31
2008-04-17,32
2008-04-18,32
2008-04-19,33
2008-04-20,32
2008-04-21,32
2008-04-22,30
2008-04-23,29
2008-04-24,28
2008-04-25,27
2008-04-26,26
2008-04-27,26
2008-04-28,27
2008-04-29,26
2008-04-30,28
2008-05-01,27
2008-05-02,28
2008-05-03,28
2008-05-04,29
2008-05-05,29
2008-05-06,30
2008-05-07,30
2008-05-08,31
2008-05-09,31
2008-05-10,32
2008-05-11,32
2008-05-12,32
2008-05-13,33
2008-05-14,32
2008-05-15,32
2008-05-16,32
2008-05-17,32
2008-05-18,33
2008-05-19,33
2008-05-20,33
2008-05-21,32
2008-05-22,32
2008-05-23,32
2008-05-24,33
2008-05-25,35
2008-05-26,32
2008-05-27,33
2008-05-28,31
2008-05-29,31
2008-05-30,31
2008-05-31,31
2008-06-01,31
2008-06-02,33
2008-06-03,33
2008-06-04,33
2008-06-05,34
2008-06-06,35
2008-06-07,36
2008-06-08,37
2008-06-09,38
2008-06-10,36
2008-06-11,37
2008-06-12,36
2008-06-13,36
2008-06-14,36
2008-06-15,35
2008-06-16,36
2008-06-17,32
2008-06-18,31
2008-06-19,30
2008-06-20,29
2008-06-21,28
2008-06-22,28
2008-06-23,28
2008-06-24,28
2008-06-25,28
2008-06-26,28
2008-06-27,28
2008-06-28,29
2008-06-29,29
2008-06-30,30
2008-07-01,29
2008-07-02,29
2008-07-03,30
2008-07-04,29
2008-07-05,30
2008-07-06,30
2008-07-07,31
2008-07-08,32
2008-07-09,31
2008-07-10,32
2008-07-11,32
2008-07-12,33
2008-07-13,33
2008-07-14,34
2008-07-15,35
2008-07-16,33
2008-07-17,33
2008-07-18,33
2008-07-19,34
2008-07-20,35
2008-07-21,34
2008-07-22,33
2008-07-23,32
2008-07-24,33
2008-07-25,32
2008-07-26,32
2008-07-27,32
2008-07-28,34
2008-07-29,32
2008-07-30,33
2008-07-31,34
2008-08-01,33
2008-08-02,34
2008-08-03,35
2008-08-04,34
2008-08-05,33
2008-08-06,32
2008-08-07,32
2008-08-08,32
2008-08-09,32
2008-08-10,33
2008-08-11,35
2008-08-12,33
2008-08-13,34
2008-08-14,34
2008-08-15,35
2008-08-16,37
2008-08-17,35
2008-08-18,36
2008-08-19,36
2008-08-20,34
2008-08-21,33
2008-08-22,33
2008-08-23,33
2008-08-24,33
2008-08-25,35
2008-08-26,35
2008-08-27,36
2008-08-28,36
2008-08-29,37
2008-08-30,38
2008-08-31,38
2008-09-01,37
2008-09-02,37
2008-09-03,34
2008-09-04,33
2008-09-05,32
2008-09-06,32
2008-09-07,32
2008-09-08,32
2008-09-09,31
2008-09-10,32
2008-09-11,31
2008-09-12,31
2008-09-13,31
2008-09-14,31
2008-09-15,32
2008-09-16,32
2008-09-17,31
2008-09-18,31
2008-09-19,31
2008-09-20,31
2008-09-21,31
2008-09-22,30
2008-09-23,30
2008-09-24,32
2008-09-25,30
2008-09-26,30
2008-09-27,30
2008-09-28,30
2008-09-29,30
2008-09-30,30
