Date,CardTronics
2008-01-27,57
2008-01-28,59
2008-01-29,59
2008-01-30,59
2008-01-31,60
2008-02-01,60
2008-02-02,63
2008-02-03,56
2008-02-04,56
2008-02-05,56
2008-02-06,56
2008-02-07,56
2008-02-08,56
2008-02-09,56
2008-02-10,56
2008-02-11,56
2008-02-12,56
2008-02-13,56
2008-02-14,56
2008-02-15,56
2008-02-16,56
2008-02-17,56
2008-02-18,56
2008-02-19,56
2008-02-20,56
2008-02-21,56
2008-02-22,56
2008-02-23,56
2008-02-24,56
2008-03-01,56
2008-03-02,56
2008-03-03,56
2008-03-04,56
2008-03-05,56
2008-03-06,56
2008-03-07,56
2008-03-08,56
2008-03-09,56
2008-03-10,56
2008-03-11,56
2008-03-12,56
2008-03-13,56
2008-03-14,56
2008-03-15,56
2008-03-16,56
2008-03-17,56
2008-03-18,56
2008-03-19,56
2008-03-20,56
2008-03-21,56
2008-03-22,56
2008-03-23,56
2008-03-24,56
2008-03-25,56
2008-03-26,56
2008-03-27,56
2008-03-28,56
2008-03-29,56
2008-03-30,56
2008-03-31,56
2008-04-01,56
2008-04-02,55
2008-04-03,55
2008-04-04,55
2008-04-05,55
2008-04-06,55
2008-04-07,55
2008-04-08,54
2008-04-09,54
2008-04-10,54
2008-04-11,54
2008-04-12,54
2008-04-13,54
2008-04-14,53
2008-04-15,53
2008-04-16,53
2008-04-17,53
2008-04-18,53
2008-04-19,53
2008-04-20,52
2008-04-21,52
2008-04-22,52
2008-04-23,52
2008-04-24,52
2008-04-25,52
2008-04-26,51
2008-04-27,51
2008-04-28,51
2008-04-29,51
2008-04-30,51
2008-05-01,51
2008-05-02,50
2008-05-03,50
2008-05-04,50
2008-05-05,49
2008-05-06,49
2008-05-07,49
2008-05-08,48
2008-05-09,48
2008-05-10,48
2008-05-11,47
2008-05-12,47
2008-05-13,47
2008-05-14,46
2008-05-15,46
2008-05-16,46
2008-05-17,45
2008-05-18,45
2008-05-19,45
2008-05-20,44
2008-05-21,44
2008-05-22,44
2008-05-23,43
2008-05-24,43
2008-05-25,43
2008-05-26,42
2008-05-27,42
2008-05-28,42
2008-05-29,41
2008-05-30,41
2008-05-31,41
2008-06-01,41
2008-06-02,42
2008-06-03,43
2008-06-04,45
2008-06-05,46
2008-06-06,48
2008-06-07,49
2008-06-08,51
2008-06-09,52
2008-06-10,54
2008-06-11,55
2008-06-12,57
2008-06-13,58
2008-06-14,60
2008-06-15,61
2008-06-16,63
2008-06-17,64
2008-06-18,65
2008-06-19,67
2008-06-20,68
2008-06-21,70
2008-06-22,71
2008-06-23,73
2008-06-24,74
2008-06-25,76
2008-06-26,77
2008-06-27,79
2008-06-28,80
2008-06-29,82
2008-06-30,83
2008-07-01,85
2008-07-02,84
2008-07-03,83
2008-07-04,82
2008-07-05,81
2008-07-06,80
2008-07-07,81
2008-07-08,81
2008-07-09,80
2008-07-10,80
2008-07-11,81
2008-07-12,83
2008-07-13,74
2008-07-14,73
2008-07-15,72
2008-07-16,71
2008-07-17,70
2008-07-18,69
2008-07-19,68
2008-07-20,67
2008-07-21,66
2008-07-22,66
2008-07-23,65
2008-07-24,64
2008-07-25,63
2008-07-26,62
2008-07-27,61
2008-07-28,60
2008-07-29,59
2008-07-30,58
2008-07-31,57
2008-08-01,57
2008-08-02,57
2008-08-03,57
2008-08-04,58
2008-08-05,58
2008-08-06,58
2008-08-07,59
2008-08-08,59
2008-08-09,60
2008-08-10,60
2008-08-11,60
2008-08-12,61
2008-08-13,61
2008-08-14,62
2008-08-15,62
2008-08-16,62
2008-08-17,63
2008-08-18,63
2008-08-19,63
2008-08-20,64
2008-08-21,64
2008-08-22,65
2008-08-23,65
2008-08-24,65
2008-08-25,66
2008-08-26,66
2008-08-27,67
2008-08-28,67
2008-08-29,67
2008-08-30,68
2008-08-31,68
2008-09-07,67
2008-09-08,78
2008-09-09,66
2008-09-10,66
2008-09-11,65
2008-09-12,65
2008-09-13,65
2008-09-14,64
2008-09-15,64
2008-09-16,64
2008-09-17,63
2008-09-18,63
2008-09-19,63
2008-09-20,62
2008-09-21,62
2008-09-22,63
2008-09-23,63
2008-09-24,63
2008-09-25,64
2008-09-26,64
2008-09-27,66
2008-09-28,60
2008-09-29,59
2008-09-30,59
2008-10-01,59
2008-10-02,59
2008-10-03,59
2008-10-04,59
2008-10-05,60
2008-10-06,60
2008-10-07,60
2008-10-08,60
2008-10-09,61
2008-10-10,61
2008-10-11,61
2008-10-12,61
2008-10-13,62
2008-10-14,62
2008-10-15,62
2008-10-16,62
2008-10-17,63
2008-10-18,63
2008-10-19,63
2008-10-20,63
2008-10-21,64
2008-10-22,64
2008-10-23,64
2008-10-24,64
2008-10-25,65
2008-10-26,65
2008-10-27,65
2008-10-28,65
2008-10-29,66
2008-10-30,66
2008-10-31,66
2008-11-01,67
2008-11-02,66
2008-11-03,69
2008-11-04,65
2008-11-05,65
2008-11-06,65
2008-11-07,64
2008-11-08,64
2008-11-09,64
2008-11-10,63
2008-11-11,63
2008-11-12,62
2008-11-13,62
2008-11-14,62
2008-11-15,61
2008-11-16,61
2008-11-17,61
2008-11-18,60
2008-11-19,60
2008-11-20,60
2008-11-21,59
2008-11-22,59
2008-11-23,58
2008-11-24,58
2008-11-25,58
2008-11-26,57
2008-11-27,57
2008-11-28,57
2008-11-29,56
2008-11-30,56
2008-12-07,52
2008-12-08,51
2008-12-09,51
2008-12-10,50
2008-12-11,50
2008-12-12,49
2008-12-13,49
2008-12-14,48
2008-12-15,47
2008-12-16,47
2008-12-17,46
2008-12-18,46
2008-12-19,45
2008-12-20,44
2008-12-21,44
2008-12-22,43
2008-12-23,43
2008-12-24,42
2008-12-25,42
2008-12-26,41
2008-12-27,40
2008-12-28,40
2008-12-29,39
2008-12-30,39
2008-12-31,38
2009-01-01,38
2009-01-02,38
2009-01-03,39
2009-01-04,40
2009-01-05,41
2009-01-06,42
2009-01-07,43
2009-01-08,43
2009-01-09,44
2009-01-10,45
2009-01-11,46
2009-01-12,47
2009-01-13,48
2009-01-14,48
2009-01-15,49
2009-01-16,50
2009-01-17,51
2009-01-18,52
2009-01-19,53
2009-01-20,53
2009-01-21,54
2009-01-22,55
2009-01-23,56
2009-01-24,57
2009-01-25,58
2009-01-26,58
2009-01-27,59
2009-01-28,60
2009-01-29,61
2009-01-30,62
2009-01-31,63
2009-02-01,64
