Date,Ikaria
2011-02-17,56
2011-02-18,54
2011-02-19,56
2011-02-20,52
2011-02-21,51
2011-02-22,49
2011-02-23,54
2011-02-24,48
2011-02-25,49
2011-02-26,47
2011-02-27,48
2011-02-28,46
2011-03-01,47
2011-03-02,45
2011-03-03,47
2011-03-04,44
2011-03-05,44
2011-03-06,43
2011-03-07,42
2011-03-08,41
2011-03-09,44
2011-03-10,42
2011-03-11,39
2011-03-12,39
2011-03-13,40
2011-03-14,43
2011-03-15,42
2011-03-16,43
2011-03-17,44
2011-03-18,48
2011-03-19,46
2011-03-20,46
2011-03-21,47
2011-03-22,47
2011-03-23,52
2011-03-24,48
2011-03-25,51
2011-03-26,49
2011-03-27,50
2011-03-28,55
2011-03-29,52
2011-03-30,59
2011-03-31,55
2011-05-01,53
2011-05-02,57
2011-05-03,53
2011-05-04,53
2011-05-05,53
2011-05-06,56
2011-05-07,53
2011-05-08,54
2011-05-09,53
2011-05-10,53
2011-05-11,53
2011-05-12,53
2011-05-13,53
2011-05-14,56
2011-05-15,53
2011-05-16,54
2011-05-17,55
2011-05-18,56
2011-05-19,60
2011-05-20,58
2011-05-21,59
2011-05-22,58
2011-05-23,59
2011-05-24,59
2011-05-25,57
2011-05-26,59
2011-05-27,57
2011-05-28,59
2011-05-29,56
2011-05-30,56
2011-05-31,56
2011-06-01,59
2011-06-02,56
2011-06-03,56
2011-06-04,56
2011-06-05,58
2011-06-06,63
2011-06-07,66
2011-06-08,72
2011-06-09,70
2011-06-10,78
2011-06-11,76
2011-06-12,73
2011-06-13,73
2011-06-14,69
2011-06-15,68
2011-06-16,73
2011-06-17,63
2011-06-18,61
2011-06-19,61
2011-06-20,63
2011-06-21,62
2011-06-22,63
2011-06-23,67
2011-06-24,64
2011-06-25,67
2011-06-26,66
2011-06-27,67
2011-06-28,73
2011-06-29,70
2011-06-30,74
2011-07-01,73
2011-07-02,75
2011-07-03,74
2011-07-04,76
2011-07-05,74
2011-07-06,76
2011-07-07,73
2011-07-08,73
2011-07-09,73
2011-07-10,72
2011-07-11,73
2011-07-12,69
2011-07-13,71
2011-07-14,67
2011-07-15,66
2011-07-16,65
2011-07-17,71
2011-07-18,66
2011-07-19,69
2011-07-20,68
2011-07-21,75
2011-07-22,70
2011-07-23,71
2011-07-24,74
2011-07-25,67
2011-07-26,66
2011-07-27,64
2011-07-28,66
2011-07-29,61
2011-07-30,61
2011-07-31,65
2011-08-01,60
2011-08-02,60
2011-08-03,60
2011-08-04,60
2011-08-05,63
2011-08-06,61
2011-08-07,58
2011-08-08,57
2011-08-09,57
2011-08-10,54
2011-08-11,52
2011-08-12,53
2011-08-13,50
2011-08-14,54
2011-08-15,53
2011-08-16,53
2011-08-17,54
2011-08-18,56
2011-08-19,61
2011-08-20,57
2011-08-21,57
2011-08-22,57
2011-08-23,58
2011-08-24,62
2011-08-25,62
2011-08-26,59
2011-08-27,60
2011-08-28,63
2011-08-29,58
2011-08-30,57
2011-08-31,60
2011-09-01,55
2011-09-02,54
2011-09-03,53
2011-09-04,53
2011-09-05,53
2011-09-06,52
2011-09-07,52
2011-09-08,52
2011-09-09,55
2011-09-10,53
2011-09-11,54
2011-09-12,50
2011-09-13,52
2011-09-14,48
2011-09-15,47
2011-09-16,46
2011-09-17,49
2011-09-18,45
2011-09-19,45
2011-09-20,46
2011-09-21,44
2011-09-22,47
2011-09-23,44
2011-09-24,44
2011-09-25,43
2011-09-26,42
2011-09-27,40
2011-09-28,41
2011-09-29,37
2011-09-30,36
2011-10-01,35
2011-10-02,34
2011-10-03,34
2011-10-04,33
2011-10-05,33
2011-10-06,35
2011-10-07,32
2011-10-08,32
2011-10-09,34
2011-10-10,32
2011-10-11,32
2011-10-12,34
2011-10-13,32
2011-10-14,33
2011-10-15,33
2011-10-16,33
2011-10-17,34
2011-10-18,35
2011-10-19,35
2011-10-20,37
2011-10-21,38
2011-10-22,38
2011-10-23,39
2011-10-24,34
2011-10-25,32
2011-10-26,30
2011-10-27,28
2011-10-28,26
2011-10-29,24
2011-10-30,25
2011-10-31,29
2011-11-01,28
2011-11-02,30
2011-11-03,33
2011-11-04,33
2011-11-05,35
2011-11-06,34
2011-11-07,36
2011-11-08,34
2011-11-09,33
2011-11-10,32
2011-11-11,32
2011-11-12,32
2011-11-13,30
2011-11-14,30
2011-11-15,28
2011-11-16,26
2011-11-17,25
2011-11-18,24
2011-11-19,23
2011-11-20,22
2011-11-21,22
2011-11-22,22
2011-11-23,21
2011-11-24,20
2011-11-25,20
2011-11-26,20
2011-11-27,21
2011-11-28,24
2011-11-29,24
2011-11-30,26
2011-12-01,27
2011-12-02,28
2011-12-03,30
2011-12-04,30
2011-12-05,30
2011-12-06,30
2011-12-07,30
2011-12-08,30
2011-12-09,32
2011-12-10,30
2011-12-11,30
2011-12-12,28
2011-12-13,30
2011-12-14,27
2011-12-15,28
2011-12-16,26
2011-12-17,26
2011-12-18,29
2011-12-19,28
2011-12-20,29
2011-12-21,30
2011-12-22,31
2011-12-23,33
2011-12-24,33
2011-12-25,33
2011-12-26,32
2011-12-27,32
2011-12-28,32
2011-12-29,30
2011-12-30,30
2011-12-31,30
2012-01-01,30
2012-01-02,30
2012-01-03,32
2012-01-04,30
2012-01-05,30
2012-01-06,30
2012-01-07,31
2012-01-08,30
2012-01-09,30
2012-01-10,31
2012-01-11,32
2012-01-12,32
2012-01-13,35
2012-01-14,33
2012-01-15,41
2012-01-16,52
2012-01-17,59
2012-01-18,68
2012-01-19,77
2012-01-20,106
2012-01-21,98
2012-01-22,88
2012-01-23,77
2012-01-24,70
2012-01-25,68
2012-01-26,52
2012-01-27,45
2012-01-28,35
2012-01-29,35
2012-01-30,35
2012-01-31,36
2012-02-01,36
2012-02-02,37
2012-02-03,39
2012-02-04,38
2012-02-05,39
2012-02-06,35
2012-02-07,35
2012-02-08,32
2012-02-09,31
2012-02-10,30
2012-02-11,30
2012-02-12,29
2012-02-13,32
2012-02-14,30
2012-02-15,31
2012-02-16,31
2012-02-17,31
2012-02-18,33
2012-02-19,32
2012-02-20,36
2012-02-21,34
2012-02-22,38
2012-02-23,36
2012-02-24,38
2012-02-25,39
2012-02-26,37
2012-02-27,36
2012-02-28,35
2012-02-29,39
2012-03-01,34
2012-03-02,33
2012-03-03,33
2012-03-04,32
2012-03-05,32
2012-03-06,32
2012-03-07,31
2012-03-08,32
2012-03-09,31
2012-03-10,32
2012-03-11,31
2012-03-12,31
2012-03-13,33
2012-03-14,32
2012-03-15,33
2012-03-16,33
2012-03-17,34
2012-03-18,35
2012-03-19,34
2012-03-20,37
2012-03-21,35
2012-03-22,36
2012-03-23,36
2012-03-24,37
2012-03-25,36
2012-03-26,37
2012-03-27,34
2012-03-28,33
2012-03-29,34
2012-03-30,34
2012-03-31,31
2012-04-01,31
2012-04-02,32
2012-04-03,35
2012-04-04,34
2012-04-05,34
2012-04-06,35
2012-04-07,37
2012-04-08,35
2012-04-09,35
2012-04-10,36
2012-04-11,35
2012-04-12,37
2012-04-13,35
2012-04-14,35
2012-04-15,35
2012-04-16,35
2012-04-17,36
2012-04-18,36
2012-04-19,36
2012-04-20,39
2012-04-21,38
2012-04-22,37
2012-04-23,38
2012-04-24,41
2012-04-25,40
2012-04-26,41
2012-04-27,45
2012-04-28,43
2012-04-29,43
2012-04-30,43
