Date,Elixir Pharmaceuticals
2008-03-04,49
2008-03-05,50
2008-03-06,50
2008-03-07,51
2008-03-08,51
2008-03-09,52
2008-03-10,52
2008-03-11,53
2008-03-12,53
2008-03-13,54
2008-03-14,54
2008-03-15,55
2008-03-16,55
2008-03-17,56
2008-03-18,56
2008-03-19,57
2008-03-20,57
2008-03-21,58
2008-03-22,58
2008-03-23,59
2008-03-24,59
2008-03-25,60
2008-03-26,60
2008-03-27,61
2008-03-28,61
2008-03-29,62
2008-03-30,62
2008-03-31,63
2008-04-01,64
2008-04-02,64
2008-04-03,65
2008-04-04,65
2008-04-05,66
2008-04-06,66
2008-04-07,67
2008-04-08,67
2008-04-09,68
2008-04-10,68
2008-04-11,69
2008-04-12,69
2008-04-13,70
2008-04-14,70
2008-04-15,71
2008-04-16,72
2008-04-17,72
2008-04-18,73
2008-04-19,73
2008-04-20,74
2008-04-21,74
2008-04-22,75
2008-04-23,75
2008-04-24,76
2008-04-25,76
2008-04-26,77
2008-04-27,77
2008-04-28,78
2008-04-29,78
2008-04-30,79
2008-05-01,80
2008-05-02,78
2008-05-03,77
2008-05-04,76
2008-05-05,74
2008-05-06,73
2008-05-07,72
2008-05-08,70
2008-05-09,69
2008-05-10,68
2008-05-11,66
2008-05-12,65
2008-05-13,64
2008-05-14,62
2008-05-15,61
2008-05-16,60
2008-05-17,58
2008-05-18,57
2008-05-19,56
2008-05-20,54
2008-05-21,53
2008-05-22,52
2008-05-23,50
2008-05-24,49
2008-05-25,48
2008-05-26,46
2008-05-27,45
2008-05-28,44
2008-05-29,42
2008-05-30,41
2008-05-31,40
2008-06-01,39
2008-06-02,39
2008-06-03,39
2008-06-04,39
2008-06-05,39
2008-06-06,39
2008-06-07,39
2008-06-08,39
2008-06-09,39
2008-06-10,39
2008-06-11,39
2008-06-12,39
2008-06-13,39
2008-06-14,39
2008-06-15,39
2008-06-16,39
2008-06-17,39
2008-06-18,39
2008-06-19,39
2008-06-20,39
2008-06-21,39
2008-06-22,39
2008-06-23,39
2008-06-24,39
2008-06-25,39
2008-06-26,39
2008-06-27,39
2008-06-28,39
2008-06-29,39
2008-06-30,39
2008-07-01,39
2008-07-02,39
2008-07-03,39
2008-07-04,39
2008-07-05,39
2008-07-06,39
2008-07-07,39
2008-07-08,39
2008-07-09,39
2008-07-10,39
2008-07-11,39
2008-07-12,39
2008-07-13,39
2008-07-14,39
2008-07-15,39
2008-07-16,39
2008-07-17,39
2008-07-18,39
2008-07-19,39
2008-07-20,39
2008-07-21,39
2008-07-22,39
2008-07-23,39
2008-07-24,39
2008-07-25,39
2008-07-26,39
2008-07-27,39
2008-07-28,39
2008-07-29,39
2008-07-30,39
2008-07-31,39
2008-08-01,39
2008-08-02,39
2008-08-03,39
2008-08-04,39
2008-08-05,39
2008-08-06,39
2008-08-07,39
2008-08-08,39
2008-08-09,39
2008-08-10,39
2008-08-11,39
2008-08-12,39
2008-08-13,39
2008-08-14,39
2008-08-15,39
2008-08-16,39
2008-08-17,39
2008-08-18,39
2008-08-19,39
2008-08-20,39
2008-08-21,39
2008-08-22,39
2008-08-23,39
2008-08-24,39
2008-08-25,39
2008-08-26,39
2008-08-27,39
2008-08-28,39
2008-08-29,39
2008-08-30,39
2008-08-31,39
2008-09-01,39
2008-09-02,39
2008-09-03,39
2008-09-04,39
2008-09-05,39
2008-09-06,39
2008-09-07,39
2008-09-08,39
2008-09-09,39
2008-09-10,39
2008-09-11,39
2008-09-12,39
2008-09-13,39
2008-09-14,39
2008-09-15,39
2008-09-16,39
2008-09-17,39
2008-09-18,39
2008-09-19,39
2008-09-20,39
2008-09-21,39
2008-09-22,39
2008-09-23,39
2008-09-24,39
2008-09-25,39
2008-09-26,39
2008-09-27,39
2008-09-28,39
2008-09-29,39
2008-09-30,39
2008-10-01,39
2008-10-02,39
2008-10-03,39
2008-10-04,39
2008-10-05,39
2008-10-06,39
2008-10-07,39
2008-10-08,39
2008-10-09,39
2008-10-10,39
2008-10-11,39
2008-10-12,39
2008-10-13,39
2008-10-14,39
2008-10-15,39
2008-10-16,39
2008-10-17,39
2008-10-18,39
2008-10-19,39
2008-10-20,39
2008-10-21,39
2008-10-22,39
2008-10-23,39
2008-10-24,39
2008-10-25,39
2008-10-26,39
2008-10-27,39
2008-10-28,39
2008-10-29,39
2008-10-30,39
2008-10-31,39
2008-11-01,40
2008-11-02,40
2008-11-03,40
2008-11-04,40
2008-11-05,40
2008-11-06,40
2008-11-07,40
2008-11-08,40
2008-11-09,40
2008-11-10,40
2008-11-11,40
2008-11-12,40
2008-11-13,40
2008-11-14,40
2008-11-15,40
2008-11-16,40
2008-11-17,40
2008-11-18,40
2008-11-19,40
2008-11-20,40
2008-11-21,40
2008-11-22,40
2008-11-23,40
2008-11-24,40
2008-11-25,40
2008-11-26,40
2008-11-27,40
2008-11-28,40
2008-11-29,40
2008-11-30,40
2008-12-01,41
2008-12-02,41
2008-12-03,41
2008-12-04,41
2008-12-05,41
2008-12-06,41
2008-12-07,41
2008-12-08,41
2008-12-09,41
2008-12-10,41
2008-12-11,41
2008-12-12,41
2008-12-13,41
2008-12-14,41
2008-12-15,41
2008-12-16,41
2008-12-17,41
2008-12-18,41
2008-12-19,41
2008-12-20,41
2008-12-21,41
2008-12-22,41
2008-12-23,41
2008-12-24,41
2008-12-25,41
2008-12-26,41
2008-12-27,41
2008-12-28,41
2008-12-29,41
2008-12-30,41
2008-12-31,41
2009-01-01,41
2009-01-02,40
2009-01-03,40
2009-01-04,40
2009-01-05,40
2009-01-06,40
2009-01-07,39
2009-01-08,39
2009-01-09,39
2009-01-10,39
2009-01-11,39
2009-01-12,38
2009-01-13,38
2009-01-14,38
2009-01-15,38
2009-01-16,38
2009-01-17,37
2009-01-18,37
2009-01-19,37
2009-01-20,37
2009-01-21,37
2009-01-22,36
2009-01-23,36
2009-01-24,36
2009-01-25,36
2009-01-26,36
2009-01-27,35
2009-01-28,35
2009-01-29,35
2009-01-30,35
2009-01-31,35
2009-02-01,35
2009-02-02,35
2009-02-03,35
2009-02-04,35
2009-02-05,35
2009-02-06,35
2009-02-07,35
2009-02-08,35
2009-02-09,35
2009-02-10,35
2009-02-11,35
2009-02-12,35
2009-02-13,35
2009-02-14,35
2009-02-15,35
2009-02-16,35
2009-02-17,35
2009-02-18,35
2009-02-19,35
2009-02-20,35
2009-02-21,35
2009-02-22,35
2009-02-23,35
2009-02-24,35
2009-02-25,35
2009-02-26,35
2009-02-27,35
2009-02-28,35
2009-03-01,35
2009-03-02,35
2009-03-03,35
2009-03-04,35
2009-03-05,35
2009-03-06,35
2009-03-07,35
2009-03-08,35
2009-03-09,35
2009-03-10,35
2009-03-11,35
2009-03-12,35
2009-03-13,35
2009-03-14,35
2009-03-15,35
2009-03-16,35
2009-03-17,35
2009-03-18,35
2009-03-19,35
2009-03-20,35
2009-03-21,35
2009-03-22,35
2009-03-23,35
2009-03-24,35
2009-03-25,35
2009-03-26,35
2009-03-27,35
2009-03-28,35
2009-03-29,35
2009-03-30,35
2009-03-31,35
2009-04-01,35
2009-04-02,35
2009-04-03,35
2009-04-04,35
2009-04-05,35
2009-04-06,35
2009-04-07,35
2009-04-08,35
2009-04-09,35
2009-04-10,35
2009-04-11,35
2009-04-12,35
2009-04-13,35
2009-04-14,35
2009-04-15,35
2009-04-16,35
2009-04-17,35
2009-04-18,35
2009-04-19,35
2009-04-20,35
2009-04-21,35
2009-04-22,35
2009-04-23,35
2009-04-24,35
2009-04-25,35
2009-04-26,35
2009-04-27,35
2009-04-28,35
2009-04-29,35
2009-04-30,35
2009-05-01,35
2009-05-02,35
2009-05-03,35
2009-05-04,35
2009-05-05,35
2009-05-06,35
2009-05-07,35
2009-05-08,35
2009-05-09,35
2009-05-10,35
2009-05-11,35
2009-05-12,35
2009-05-13,35
2009-05-14,35
2009-05-15,35
2009-05-16,35
2009-05-17,36
2009-05-18,36
2009-05-19,36
2009-05-20,36
2009-05-21,36
2009-05-22,36
2009-05-23,36
2009-05-24,36
2009-05-25,36
2009-05-26,36
2009-05-27,36
2009-05-28,36
2009-05-29,36
2009-05-30,36
2009-05-31,36
2009-06-01,37
2009-06-02,36
2009-06-03,36
2009-06-04,36
2009-06-05,36
2009-06-06,36
2009-06-07,36
2009-06-08,36
2009-06-09,36
2009-06-10,36
2009-06-11,36
2009-06-12,35
2009-06-13,35
2009-06-14,35
2009-06-15,35
2009-06-16,35
2009-06-17,35
2009-06-18,35
2009-06-19,35
2009-06-20,35
2009-06-21,35
2009-06-22,34
2009-06-23,34
2009-06-24,34
2009-06-25,34
2009-06-26,34
2009-06-27,34
2009-06-28,34
2009-06-29,34
2009-06-30,34
2009-07-01,34
2009-07-02,34
2009-07-03,34
2009-07-04,34
2009-07-05,34
2009-07-06,34
2009-07-07,34
2009-07-08,34
2009-07-09,34
2009-07-10,34
2009-07-11,34
2009-07-12,34
2009-07-13,34
2009-07-14,34
2009-07-15,34
2009-07-16,34
2009-07-17,34
2009-07-18,34
2009-07-19,34
2009-07-20,34
2009-07-21,34
2009-07-22,34
2009-07-23,34
2009-07-24,34
2009-07-25,34
2009-07-26,34
2009-07-27,34
2009-07-28,34
2009-07-29,34
2009-07-30,34
2009-07-31,34
2009-08-01,34
2009-08-02,32
2009-08-03,31
2009-08-04,30
2009-08-05,29
2009-08-06,28
2009-08-07,27
2009-08-08,26
2009-08-09,25
2009-08-10,24
2009-08-11,23
2009-08-12,21
2009-08-13,20
2009-08-14,19
2009-08-15,18
2009-08-16,17
2009-08-17,16
2009-08-18,15
2009-08-19,14
2009-08-20,13
2009-08-21,12
2009-08-22,10
2009-08-23,9
2009-08-24,8
2009-08-25,7
2009-08-26,6
2009-08-27,5
2009-08-28,4
2009-08-29,3
2009-08-30,2
2009-08-31,1
2009-09-01,0
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-19,0
2009-09-20,0
2009-09-21,0
2009-09-22,0
2009-09-23,0
2009-09-24,0
2009-09-25,0
2009-09-26,0
2009-09-27,0
2009-09-28,0
2009-09-29,0
2009-09-30,0
