Date,Accretive Health
2010-03-07,24
2010-03-08,23
2010-03-09,22
2010-03-10,20
2010-03-11,19
2010-03-12,18
2010-03-13,17
2010-03-14,18
2010-03-15,19
2010-03-16,20
2010-03-17,21
2010-03-18,22
2010-03-19,23
2010-03-20,24
2010-03-21,24
2010-03-22,25
2010-03-23,26
2010-03-24,27
2010-03-25,28
2010-03-26,29
2010-03-27,30
2010-03-28,28
2010-03-29,27
2010-03-30,25
2010-03-31,24
2010-04-01,22
2010-04-02,21
2010-04-03,20
2010-04-04,20
2010-04-05,20
2010-04-06,21
2010-04-07,21
2010-04-08,22
2010-04-09,22
2010-04-10,23
2010-04-11,22
2010-04-12,21
2010-04-13,21
2010-04-14,20
2010-04-15,20
2010-04-16,19
2010-04-17,19
2010-04-18,20
2010-04-19,21
2010-04-20,22
2010-04-21,23
2010-04-22,24
2010-04-23,25
2010-04-24,26
2010-04-25,25
2010-04-26,25
2010-04-27,25
2010-04-28,25
2010-04-29,25
2010-04-30,25
2010-05-01,25
2010-05-02,27
2010-05-03,30
2010-05-04,33
2010-05-05,36
2010-05-06,39
2010-05-07,41
2010-05-08,44
2010-05-09,44
2010-05-10,42
2010-05-11,41
2010-05-12,41
2010-05-13,40
2010-05-14,39
2010-05-15,39
2010-05-16,47
2010-05-17,57
2010-05-18,65
2010-05-19,74
2010-05-20,83
2010-05-21,92
2010-05-22,101
2010-05-23,92
2010-05-24,83
2010-05-25,74
2010-05-26,65
2010-05-27,56
2010-05-28,47
2010-05-29,38
2010-05-30,37
2010-06-06,25
2010-06-07,24
2010-06-08,23
2010-06-09,22
2010-06-10,21
2010-06-11,20
2010-06-12,20
2010-06-13,19
2010-06-14,19
2010-06-15,19
2010-06-16,18
2010-06-17,18
2010-06-18,18
2010-06-19,18
2010-06-20,18
2010-06-21,18
2010-06-22,18
2010-06-23,19
2010-06-24,19
2010-06-25,19
2010-06-26,20
2010-06-27,20
2010-06-28,20
2010-06-29,20
2010-06-30,21
2010-07-01,21
2010-07-02,21
2010-07-03,22
2010-07-04,22
2010-07-05,22
2010-07-06,22
2010-07-07,22
2010-07-08,22
2010-07-09,22
2010-07-10,22
2010-07-11,23
2010-07-12,24
2010-07-13,25
2010-07-14,26
2010-07-15,27
2010-07-16,28
2010-07-17,29
2010-07-18,28
2010-07-19,27
2010-07-20,26
2010-07-21,25
2010-07-22,24
2010-07-23,23
2010-07-24,22
2010-07-25,21
2010-07-26,20
2010-07-27,19
2010-07-28,19
2010-07-29,18
2010-07-30,17
2010-07-31,17
2010-08-01,19
2010-08-02,21
2010-08-03,23
2010-08-04,25
2010-08-05,27
2010-08-06,29
2010-08-07,32
2010-08-08,32
2010-08-09,33
2010-08-10,33
2010-08-11,34
2010-08-12,34
2010-08-13,34
2010-08-14,35
2010-08-15,32
2010-08-16,29
2010-08-17,27
2010-08-18,24
2010-08-19,22
2010-08-20,19
2010-08-21,17
2010-08-22,17
2010-08-23,17
2010-08-24,17
2010-08-25,17
2010-08-26,17
2010-08-27,17
2010-08-28,18
2010-08-29,19
2010-09-05,26
2010-09-06,24
2010-09-07,22
2010-09-08,21
2010-09-09,19
2010-09-10,17
2010-09-11,16
2010-09-12,16
2010-09-13,20
2010-09-14,16
2010-09-15,16
2010-09-16,16
2010-09-17,16
2010-09-18,16
2010-09-19,16
2010-09-20,17
2010-09-21,18
2010-09-22,19
2010-09-23,20
2010-09-24,21
2010-09-25,22
2010-09-26,22
2010-09-27,22
2010-09-28,22
2010-09-29,23
2010-09-30,23
2010-10-01,23
2010-10-02,24
2010-10-03,24
2010-10-04,24
2010-10-05,24
2010-10-06,24
2010-10-07,24
2010-10-08,24
2010-10-09,24
2010-10-10,23
2010-10-11,22
2010-10-12,22
2010-10-13,21
2010-10-14,21
2010-10-15,20
2010-10-16,20
2010-10-17,21
2010-10-18,22
2010-10-19,23
2010-10-20,24
2010-10-21,25
2010-10-22,26
2010-10-23,27
2010-10-24,26
2010-10-25,26
2010-10-26,26
2010-10-27,26
2010-10-28,25
2010-10-29,25
2010-10-30,25
2010-10-31,26
2010-11-01,26
2010-11-02,27
2010-11-03,28
2010-11-04,29
2010-11-05,30
2010-11-06,31
2010-11-07,30
2010-11-08,29
2010-11-09,28
2010-11-10,27
2010-11-11,26
2010-11-12,25
2010-11-13,25
2010-11-14,26
2010-11-15,28
2010-11-16,29
2010-11-17,31
2010-11-18,32
2010-11-19,34
2010-11-20,35
2010-11-21,33
2010-11-22,31
2010-11-23,29
2010-11-24,27
2010-11-25,25
2010-11-26,23
2010-11-27,22
2010-11-28,22
2010-12-05,25
2010-12-06,23
2010-12-07,21
2010-12-08,19
2010-12-09,17
2010-12-10,15
2010-12-11,14
2010-12-12,14
2010-12-13,15
2010-12-14,16
2010-12-15,17
2010-12-16,18
2010-12-17,19
2010-12-18,20
2010-12-19,20
2010-12-20,21
2010-12-21,21
2010-12-22,22
2010-12-23,22
2010-12-24,23
2010-12-25,24
2010-12-26,23
2010-12-27,23
2010-12-28,22
2010-12-29,22
2010-12-30,21
2010-12-31,21
2011-01-01,21
2011-01-02,20
2011-01-03,20
2011-01-04,20
2011-01-05,20
2011-01-06,20
2011-01-07,20
2011-01-08,20
2011-01-09,19
2011-01-10,19
2011-01-11,19
2011-01-12,19
2011-01-13,19
2011-01-14,19
2011-01-15,19
2011-01-16,19
2011-01-17,19
2011-01-18,20
2011-01-19,20
2011-01-20,21
2011-01-21,21
2011-01-22,22
2011-01-23,22
2011-01-24,22
2011-01-25,23
2011-01-26,23
2011-01-27,24
2011-01-28,24
2011-01-29,25
2011-01-30,24
2011-01-31,23
2011-02-01,22
2011-02-02,22
2011-02-03,21
2011-02-04,20
2011-02-05,20
2011-02-06,20
2011-02-07,21
2011-02-08,21
2011-02-09,22
2011-02-10,22
2011-02-11,23
2011-02-12,24
2011-02-13,25
2011-02-14,26
2011-02-15,28
2011-02-16,29
2011-02-17,30
2011-02-18,32
2011-02-19,33
2011-02-20,32
2011-02-21,31
2011-02-22,30
2011-02-23,29
2011-02-24,28
2011-02-25,27
2011-02-26,26
2011-02-27,27
