Date,AVEO Pharmaceuticals
2010-07-12,46
2010-07-13,47
2010-07-14,47
2010-07-15,47
2010-07-16,48
2010-07-17,48
2010-07-18,49
2010-07-19,49
2010-07-20,49
2010-07-21,50
2010-07-22,50
2010-07-23,50
2010-07-24,51
2010-07-25,51
2010-07-26,51
2010-07-27,52
2010-07-28,52
2010-07-29,52
2010-07-30,53
2010-07-31,53
2010-08-01,54
2010-08-02,53
2010-08-03,53
2010-08-04,53
2010-08-05,52
2010-08-06,52
2010-08-07,52
2010-08-08,51
2010-08-09,51
2010-08-10,51
2010-08-11,50
2010-08-12,50
2010-08-13,50
2010-08-14,49
2010-08-15,49
2010-08-16,49
2010-08-17,48
2010-08-18,48
2010-08-19,48
2010-08-20,47
2010-08-21,47
2010-08-22,47
2010-08-23,46
2010-08-24,46
2010-08-25,46
2010-08-26,45
2010-08-27,45
2010-08-28,45
2010-08-29,44
2010-08-30,44
2010-08-31,44
2010-09-01,44
2010-09-02,44
2010-09-03,44
2010-09-04,44
2010-09-05,44
2010-09-06,45
2010-09-07,45
2010-09-08,45
2010-09-09,45
2010-09-10,45
2010-09-11,46
2010-09-12,46
2010-09-13,46
2010-09-14,46
2010-09-15,46
2010-09-16,47
2010-09-17,47
2010-09-18,47
2010-09-19,47
2010-09-20,47
2010-09-21,48
2010-09-22,48
2010-09-23,48
2010-09-24,48
2010-09-25,48
2010-09-26,49
2010-09-27,49
2010-09-28,49
2010-09-29,49
2010-09-30,49
2010-10-01,50
2010-10-02,50
2010-10-03,50
2010-10-04,51
2010-10-05,51
2010-10-06,52
2010-10-07,52
2010-10-08,52
2010-10-09,53
2010-10-10,53
2010-10-11,54
2010-10-12,54
2010-10-13,55
2010-10-14,55
2010-10-15,55
2010-10-16,56
2010-10-17,56
2010-10-18,57
2010-10-19,57
2010-10-20,57
2010-10-21,58
2010-10-22,58
2010-10-23,59
2010-10-24,59
2010-10-25,60
2010-10-26,60
2010-10-27,60
2010-10-28,61
2010-10-29,61
2010-10-30,62
2010-10-31,62
2010-11-01,63
2010-11-02,62
2010-11-03,62
2010-11-04,61
2010-11-05,61
2010-11-06,61
2010-11-07,60
2010-11-08,60
2010-11-09,60
2010-11-10,59
2010-11-11,59
2010-11-12,58
2010-11-13,58
2010-11-14,58
2010-11-15,57
2010-11-16,57
2010-11-17,57
2010-11-18,56
2010-11-19,56
2010-11-20,56
2010-11-21,55
2010-11-22,55
2010-11-23,54
2010-11-24,54
2010-11-25,54
2010-11-26,53
2010-11-27,53
2010-11-28,53
2010-11-29,52
2010-11-30,52
2010-12-05,54
2010-12-06,55
2010-12-07,56
2010-12-08,56
2010-12-09,57
2010-12-10,58
2010-12-11,59
2010-12-12,59
2010-12-13,60
2010-12-14,61
2010-12-15,61
2010-12-16,62
2010-12-17,63
2010-12-18,64
2010-12-19,64
2010-12-20,65
2010-12-21,66
2010-12-22,66
2010-12-23,67
2010-12-24,68
2010-12-25,69
2010-12-26,69
2010-12-27,82
2010-12-28,71
2010-12-29,71
2010-12-30,72
2010-12-31,73
2011-01-01,74
2011-01-02,74
2011-01-03,74
2011-01-04,74
2011-01-05,74
2011-01-06,74
2011-01-07,74
2011-01-08,74
2011-01-09,74
2011-01-10,74
2011-01-11,74
2011-01-12,74
2011-01-13,74
2011-01-14,74
2011-01-15,74
2011-01-16,74
2011-01-17,74
2011-01-18,74
2011-01-19,74
2011-01-20,74
2011-01-21,74
2011-01-22,74
2011-01-23,74
2011-01-24,74
2011-01-25,74
2011-01-26,74
2011-01-27,74
2011-01-28,74
2011-01-29,74
2011-01-30,74
2011-01-31,74
2011-02-01,74
2011-02-02,74
2011-02-03,74
2011-02-04,75
2011-02-05,75
2011-02-06,75
2011-02-07,76
2011-02-08,76
2011-02-09,76
2011-02-10,77
2011-02-11,77
2011-02-12,77
2011-02-13,78
2011-02-14,80
2011-02-15,81
2011-02-16,82
2011-02-17,83
2011-02-18,85
2011-02-19,89
2011-02-20,80
2011-02-21,81
2011-02-22,81
2011-02-23,81
2011-02-24,82
2011-02-25,82
2011-02-26,82
2011-02-27,83
2011-03-06,80
2011-03-07,80
2011-03-08,79
2011-03-09,79
2011-03-10,78
2011-03-11,77
2011-03-12,77
2011-03-13,76
2011-03-14,76
2011-03-15,75
2011-03-16,74
2011-03-17,74
2011-03-18,73
2011-03-19,72
2011-03-20,72
2011-03-21,71
2011-03-22,71
2011-03-23,70
2011-03-24,69
2011-03-25,69
2011-03-26,68
2011-03-27,68
2011-03-28,67
2011-03-29,67
2011-03-30,66
2011-03-31,66
2011-04-01,65
2011-04-02,65
2011-04-03,65
2011-04-04,64
2011-04-05,63
2011-04-06,63
2011-04-07,63
2011-04-08,63
2011-04-09,62
2011-04-10,62
2011-04-11,62
2011-04-12,62
2011-04-13,61
2011-04-14,61
2011-04-15,61
2011-04-16,61
2011-04-17,60
2011-04-18,60
2011-04-19,60
2011-04-20,59
2011-04-21,59
2011-04-22,59
2011-04-23,59
2011-04-24,58
2011-04-25,58
2011-04-26,58
2011-04-27,58
2011-04-28,57
2011-04-29,57
2011-04-30,57
2011-05-01,57
2011-05-02,58
2011-05-03,59
2011-05-04,61
2011-05-05,62
2011-05-06,63
2011-05-07,65
2011-05-08,66
2011-05-09,68
2011-05-10,69
2011-05-11,70
2011-05-12,72
2011-05-13,73
2011-05-14,75
2011-05-15,76
2011-05-16,77
2011-05-17,79
2011-05-18,80
2011-05-19,81
2011-05-20,83
2011-05-21,84
2011-05-22,86
2011-05-23,87
2011-05-24,88
2011-05-25,90
2011-05-26,91
2011-05-27,93
2011-05-28,94
2011-05-29,95
