Date,Greenway Medical
2011-12-20,30
2011-12-21,28
2011-12-22,27
2011-12-23,26
2011-12-24,25
2011-12-25,24
2012-01-01,31
2012-01-02,40
2012-01-03,33
2012-01-04,34
2012-01-05,35
2012-01-06,36
2012-01-07,38
2012-01-08,39
2012-01-09,40
2012-01-10,41
2012-01-11,42
2012-01-12,44
2012-01-13,45
2012-01-14,46
2012-01-15,44
2012-01-16,42
2012-01-17,40
2012-01-18,38
2012-01-19,36
2012-01-20,34
2012-01-21,32
2012-01-22,32
2012-01-23,32
2012-01-24,32
2012-01-25,32
2012-01-26,32
2012-01-27,32
2012-01-28,32
2012-01-29,41
2012-01-30,52
2012-01-31,61
2012-02-01,71
2012-02-02,81
2012-02-03,91
2012-02-04,101
2012-02-05,95
2012-02-06,87
2012-02-07,81
2012-02-08,74
2012-02-09,68
2012-02-10,61
2012-02-11,55
2012-02-12,53
2012-02-13,51
2012-02-14,50
2012-02-15,48
2012-02-16,46
2012-02-17,44
2012-02-18,43
2012-02-19,41
2012-02-20,40
2012-02-21,38
2012-02-22,37
2012-02-23,35
2012-02-24,34
2012-02-25,33
2012-02-26,34
2012-02-27,35
2012-02-28,36
2012-02-29,37
2012-03-01,38
2012-03-02,39
2012-03-03,40
2012-03-04,39
2012-03-05,39
2012-03-06,39
2012-03-07,39
2012-03-08,39
2012-03-09,39
2012-03-10,39
2012-03-11,39
2012-03-12,39
2012-03-13,39
2012-03-14,40
2012-03-15,40
2012-03-16,40
2012-03-17,40
2012-03-18,38
2012-03-19,35
2012-03-20,33
2012-03-21,31
2012-03-22,29
2012-03-23,27
2012-03-24,25
2012-03-25,25
2012-04-01,31
2012-04-02,33
2012-04-03,34
2012-04-04,36
2012-04-05,38
2012-04-06,39
2012-04-07,41
2012-04-08,39
2012-04-09,36
2012-04-10,34
2012-04-11,32
2012-04-12,30
2012-04-13,28
2012-04-14,26
2012-04-15,26
2012-04-16,26
2012-04-17,27
2012-04-18,27
2012-04-19,28
2012-04-20,28
2012-04-21,29
2012-04-22,31
2012-04-23,33
2012-04-24,35
2012-04-25,37
2012-04-26,39
2012-04-27,41
2012-04-28,44
2012-04-29,44
2012-04-30,45
2012-05-01,46
2012-05-02,47
2012-05-03,48
2012-05-04,48
2012-05-05,49
2012-05-06,48
2012-05-07,46
2012-05-08,44
2012-05-09,43
2012-05-10,41
2012-05-11,40
2012-05-12,39
2012-05-13,39
2012-05-14,40
2012-05-15,41
2012-05-16,41
2012-05-17,42
2012-05-18,43
2012-05-19,44
2012-05-20,43
2012-05-21,42
2012-05-22,41
2012-05-23,40
2012-05-24,40
2012-05-25,39
2012-05-26,38
2012-05-27,38
2012-05-28,37
2012-05-29,37
2012-05-30,36
2012-05-31,36
2012-06-01,36
2012-06-02,36
2012-06-03,38
2012-06-04,40
2012-06-05,43
2012-06-06,45
2012-06-07,47
2012-06-08,50
2012-06-09,52
2012-06-10,50
2012-06-11,47
2012-06-12,45
2012-06-13,43
2012-06-14,41
2012-06-15,39
2012-06-16,37
2012-06-17,37
2012-06-18,37
2012-06-19,38
2012-06-20,38
2012-06-21,38
2012-06-22,39
2012-06-23,39
2012-06-24,36
2012-07-01,18
2012-07-02,19
2012-07-03,20
2012-07-04,20
2012-07-05,21
2012-07-06,22
2012-07-07,23
2012-07-08,24
2012-07-09,25
2012-07-10,27
2012-07-11,28
2012-07-12,30
2012-07-13,31
2012-07-14,33
2012-07-15,31
2012-07-16,29
2012-07-17,28
2012-07-18,26
2012-07-19,24
2012-07-20,23
2012-07-21,21
2012-07-22,21
2012-07-23,20
2012-07-24,20
2012-07-25,20
2012-07-26,20
2012-07-27,20
2012-07-28,20
2012-07-29,22
2012-07-30,24
2012-07-31,26
2012-08-01,28
2012-08-02,30
2012-08-03,33
2012-08-04,35
2012-08-05,34
2012-08-06,34
2012-08-07,34
2012-08-08,33
2012-08-09,33
2012-08-10,32
2012-08-11,32
2012-08-12,31
2012-08-13,31
2012-08-14,30
2012-08-15,30
2012-08-16,29
2012-08-17,29
2012-08-18,29
2012-08-19,30
2012-08-20,31
2012-08-21,32
2012-08-22,33
2012-08-23,34
2012-08-24,35
2012-08-25,37
2012-08-26,37
2012-08-27,38
2012-08-28,39
2012-08-29,39
2012-08-30,40
2012-08-31,41
2012-09-01,42
2012-09-02,42
2012-09-03,42
2012-09-04,42
2012-09-05,42
2012-09-06,42
2012-09-07,42
2012-09-08,43
2012-09-09,43
2012-09-10,44
2012-09-11,44
2012-09-12,45
2012-09-13,45
2012-09-14,46
2012-09-15,46
2012-09-16,43
2012-09-17,40
2012-09-18,38
2012-09-19,35
2012-09-20,33
2012-09-21,30
2012-09-22,28
2012-09-23,30
2012-09-24,32
2012-09-25,34
2012-09-26,36
2012-09-27,38
2012-09-28,40
2012-09-29,42
2012-09-30,40
2012-10-07,33
2012-10-08,33
2012-10-09,33
2012-10-10,33
2012-10-11,33
2012-10-12,33
2012-10-13,33
2012-10-14,32
2012-10-15,31
2012-10-16,30
2012-10-17,29
2012-10-18,28
2012-10-19,27
2012-10-20,27
2012-10-21,28
2012-10-22,30
2012-10-23,32
2012-10-24,34
2012-10-25,35
2012-10-26,37
2012-10-27,39
2012-10-28,37
2012-10-29,35
2012-10-30,33
2012-10-31,31
2012-11-01,29
2012-11-02,27
2012-11-03,25
2012-11-04,25
2012-11-05,25
2012-11-06,26
2012-11-07,26
2012-11-08,27
2012-11-09,27
2012-11-10,28
2012-11-11,29
2012-11-12,31
2012-11-13,33
2012-11-14,34
2012-11-15,36
2012-11-16,38
2012-11-17,39
2012-11-18,36
2012-11-19,33
2012-11-20,30
2012-11-21,27
2012-11-22,24
2012-11-23,21
2012-11-24,18
2012-11-25,19
2012-11-26,21
2012-11-27,22
2012-11-28,24
2012-11-29,25
2012-11-30,27
2012-12-01,29
2012-12-02,28
2012-12-03,27
2012-12-04,26
2012-12-05,25
2012-12-06,24
2012-12-07,23
2012-12-08,23
2012-12-09,24
2012-12-10,25
2012-12-11,26
2012-12-12,28
2012-12-13,29
2012-12-14,30
2012-12-15,32
2012-12-16,31
2012-12-17,30
2012-12-18,30
2012-12-19,29
2012-12-20,29
2012-12-21,28
2012-12-22,28
2012-12-23,28
2012-12-24,28
2012-12-25,28
2012-12-26,28
2012-12-27,28
2012-12-28,28
2012-12-29,28
2012-12-30,28
