Date,Demandware
2012-10-10,14
2012-10-11,14
2012-10-12,15
2012-10-13,15
2012-10-14,14
2012-10-15,14
2012-10-16,14
2012-10-17,14
2012-10-18,14
2012-10-19,14
2012-10-20,14
2012-10-21,13
2012-10-22,12
2012-10-23,12
2012-10-24,11
2012-10-25,11
2012-10-26,10
2012-10-27,10
2012-10-28,10
2012-10-29,10
2012-10-30,10
2012-10-31,10
2012-11-01,10
2012-11-02,10
2012-11-03,10
2012-11-04,10
2012-11-05,11
2012-11-06,12
2012-11-07,13
2012-11-08,14
2012-11-09,15
2012-11-10,16
2012-11-11,15
2012-11-12,15
2012-11-13,16
2012-11-14,14
2012-11-15,14
2012-11-16,14
2012-11-17,14
2012-11-18,13
2012-11-19,12
2012-11-20,11
2012-11-21,10
2012-11-22,9
2012-11-23,8
2012-11-24,7
2012-11-25,8
2012-11-26,9
2012-11-27,10
2012-11-28,12
2012-11-29,13
2012-11-30,15
2012-12-01,16
2012-12-02,15
2012-12-03,14
2012-12-04,13
2012-12-05,12
2012-12-06,11
2012-12-07,10
2012-12-08,10
2012-12-09,10
2012-12-10,11
2012-12-11,11
2012-12-12,12
2012-12-13,12
2012-12-14,13
2012-12-15,14
2012-12-16,13
2012-12-17,13
2012-12-18,13
2012-12-19,12
2012-12-20,12
2012-12-21,12
2012-12-22,12
2012-12-23,11
2012-12-24,11
2012-12-25,10
2012-12-26,10
2012-12-27,9
2012-12-28,9
2012-12-29,9
2012-12-30,9
2012-12-31,9
