Date,Deltek
2008-08-03,76
2008-08-04,73
2008-08-05,70
2008-08-06,67
2008-08-07,64
2008-08-08,61
2008-08-09,59
2008-08-10,59
2008-08-11,60
2008-08-12,61
2008-08-13,62
2008-08-14,63
2008-08-15,64
2008-08-16,68
2008-08-17,64
2008-08-18,63
2008-08-19,62
2008-08-20,62
2008-08-21,61
2008-08-22,60
2008-08-23,62
2008-08-24,62
2008-08-25,64
2008-08-26,66
2008-08-27,69
2008-08-28,70
2008-08-29,72
2008-08-30,76
2008-08-31,73
2008-09-01,72
2008-09-02,72
2008-09-03,71
2008-09-04,71
2008-09-05,70
2008-09-06,70
2008-09-07,68
2008-09-08,66
2008-09-09,64
2008-09-10,62
2008-09-11,60
2008-09-12,61
2008-09-13,57
2008-09-14,58
2008-09-15,59
2008-09-16,60
2008-09-17,61
2008-09-18,62
2008-09-19,63
2008-09-20,65
2008-09-21,64
2008-09-22,64
2008-09-23,66
2008-09-24,63
2008-09-25,63
2008-09-26,63
2008-09-27,63
2008-09-28,65
2008-09-29,68
2008-09-30,70
2008-10-01,72
2008-10-02,77
2008-10-03,77
2008-10-04,80
2008-10-05,80
2008-10-06,80
2008-10-07,80
2008-10-08,80
2008-10-09,80
2008-10-10,80
2008-10-11,86
2008-10-12,78
2008-10-13,76
2008-10-14,74
2008-10-15,73
2008-10-16,69
2008-10-17,69
2008-10-18,65
2008-10-19,64
2008-10-20,63
2008-10-21,66
2008-10-22,62
2008-10-23,62
2008-10-24,61
2008-10-25,61
2008-10-26,61
2008-10-27,61
2008-10-28,61
2008-10-29,62
2008-10-30,62
2008-10-31,62
