Date,BigBand Networks
2007-06-02,25
2007-06-03,26
2007-06-04,26
2007-06-05,27
2007-06-06,27
2007-06-07,28
2007-06-08,28
2007-06-09,29
2007-06-10,29
2007-06-11,30
2007-06-12,30
2007-06-13,31
2007-06-14,31
2007-06-15,32
2007-06-16,33
2007-06-17,33
2007-06-18,34
2007-06-19,34
2007-06-20,35
2007-06-21,35
2007-06-22,36
2007-06-23,36
2007-06-24,37
2007-06-25,37
2007-06-26,38
2007-06-27,38
2007-06-28,39
2007-06-29,39
2007-06-30,40
2007-07-01,41
2007-07-02,40
2007-07-03,39
2007-07-04,39
2007-07-05,38
2007-07-06,37
2007-07-07,37
2007-07-08,36
2007-07-09,35
2007-07-10,35
2007-07-11,34
2007-07-12,33
2007-07-13,33
2007-07-14,32
2007-07-15,31
2007-07-16,31
2007-07-17,30
2007-07-18,30
2007-07-19,29
2007-07-20,28
2007-07-21,28
2007-07-22,27
2007-07-23,26
2007-07-24,26
2007-07-25,25
2007-07-26,24
2007-07-27,24
2007-07-28,23
2007-07-29,22
2007-07-30,22
2007-07-31,21
2007-08-01,21
2007-08-02,21
2007-08-03,21
2007-08-04,22
2007-08-05,22
2007-08-06,23
2007-08-07,23
2007-08-08,24
2007-08-09,24
2007-08-10,25
2007-08-11,25
2007-08-12,26
2007-08-13,26
2007-08-14,27
2007-08-15,27
2007-08-16,28
2007-08-17,28
2007-08-18,29
2007-08-19,29
2007-08-20,30
2007-08-21,30
2007-08-22,31
2007-08-23,31
2007-08-24,32
2007-08-25,32
2007-08-26,33
2007-08-27,33
2007-08-28,34
2007-08-29,34
2007-08-30,35
2007-08-31,35
2007-09-01,36
2007-09-02,35
2007-09-03,35
2007-09-04,35
2007-09-05,35
2007-09-06,35
2007-09-07,35
2007-09-08,35
2007-09-09,34
2007-09-10,34
2007-09-11,34
2007-09-12,34
2007-09-13,34
2007-09-14,34
2007-09-15,34
2007-09-16,34
2007-09-17,33
2007-09-18,33
2007-09-19,33
2007-09-20,33
2007-09-21,33
2007-09-22,33
2007-09-23,33
2007-09-24,32
2007-09-25,32
2007-09-26,32
2007-09-27,32
2007-09-28,32
2007-09-29,32
2007-09-30,32
2007-10-01,32
2007-10-02,31
2007-10-03,31
2007-10-04,31
2007-10-05,30
2007-10-06,30
2007-10-07,30
2007-10-08,30
2007-10-09,29
2007-10-10,29
2007-10-11,29
2007-10-12,29
2007-10-13,28
2007-10-14,28
2007-10-15,28
2007-10-16,28
2007-10-17,27
2007-10-18,27
2007-10-19,27
2007-10-20,27
2007-10-21,26
2007-10-22,26
2007-10-23,26
2007-10-24,26
2007-10-25,25
2007-10-26,25
2007-10-27,25
2007-10-28,25
2007-10-29,24
2007-10-30,24
2007-10-31,24
2007-11-01,24
2007-11-02,23
2007-11-03,23
2007-11-04,23
2007-11-05,23
2007-11-06,23
2007-11-07,23
2007-11-08,23
2007-11-09,23
2007-11-10,23
2007-11-11,23
2007-11-12,22
2007-11-13,22
2007-11-14,22
2007-11-15,22
2007-11-16,22
2007-11-17,22
2007-11-18,22
2007-11-19,22
2007-11-20,22
2007-11-21,22
2007-11-22,21
2007-11-23,21
2007-11-24,21
2007-11-25,21
2007-11-26,21
2007-11-27,21
2007-11-28,21
2007-11-29,21
2007-11-30,21
2007-12-01,21
2007-12-02,21
2007-12-03,21
2007-12-04,21
2007-12-05,21
2007-12-06,21
2007-12-07,21
2007-12-08,21
2007-12-09,22
2007-12-10,22
2007-12-11,22
2007-12-12,22
2007-12-13,22
2007-12-14,22
2007-12-15,22
2007-12-16,22
2007-12-17,23
2007-12-18,23
2007-12-19,23
2007-12-20,23
2007-12-21,23
2007-12-22,23
2007-12-23,23
2007-12-24,23
2007-12-25,24
2007-12-26,24
2007-12-27,24
2007-12-28,24
2007-12-29,24
2007-12-30,24
2007-12-31,24
2008-01-01,25
2008-01-02,24
2008-01-03,24
2008-01-04,24
2008-01-05,23
2008-01-06,23
2008-01-07,23
2008-01-08,22
2008-01-09,22
2008-01-10,22
2008-01-11,21
2008-01-12,21
2008-01-13,21
2008-01-14,20
2008-01-15,20
2008-01-16,20
2008-01-17,19
2008-01-18,19
2008-01-19,19
2008-01-20,18
2008-01-21,18
2008-01-22,18
2008-01-23,17
2008-01-24,17
2008-01-25,17
2008-01-26,16
2008-01-27,16
2008-01-28,16
2008-01-29,15
2008-01-30,15
2008-01-31,15
2008-02-01,15
2008-02-02,15
2008-02-03,15
2008-02-04,16
2008-02-05,16
2008-02-06,17
2008-02-07,17
2008-02-08,18
2008-02-09,18
2008-02-10,19
2008-02-11,19
2008-02-12,20
2008-02-13,20
2008-02-14,21
2008-02-15,21
2008-02-16,22
2008-02-17,22
2008-02-18,23
2008-02-19,23
2008-02-20,24
2008-02-21,24
2008-02-22,25
2008-02-23,25
2008-02-24,26
2008-02-25,26
2008-02-26,27
2008-02-27,27
2008-02-28,28
2008-02-29,28
2008-03-01,29
2008-03-02,28
2008-03-03,28
2008-03-04,27
2008-03-05,27
2008-03-06,27
2008-03-07,26
2008-03-08,26
2008-03-09,26
2008-03-10,25
2008-03-11,25
2008-03-12,25
2008-03-13,24
2008-03-14,24
2008-03-15,24
2008-03-16,23
2008-03-17,23
2008-03-18,22
2008-03-19,22
2008-03-20,22
2008-03-21,21
2008-03-22,21
2008-03-23,21
2008-03-24,20
2008-03-25,20
2008-03-26,20
2008-03-27,19
2008-03-28,19
2008-03-29,19
2008-03-30,18
2008-03-31,18
2008-04-01,18
2008-04-02,18
2008-04-03,18
2008-04-04,18
2008-04-05,18
2008-04-06,18
2008-04-07,18
2008-04-08,18
2008-04-09,18
2008-04-10,18
2008-04-11,19
2008-04-12,19
2008-04-13,19
2008-04-14,19
2008-04-15,19
2008-04-16,19
2008-04-17,19
2008-04-18,19
2008-04-19,19
2008-04-20,19
2008-04-21,20
2008-04-22,20
2008-04-23,20
2008-04-24,20
2008-04-25,20
2008-04-26,20
2008-04-27,20
2008-04-28,20
2008-04-29,20
2008-04-30,20
2008-05-01,21
2008-05-02,21
2008-05-03,21
2008-05-04,21
2008-05-05,21
2008-05-06,21
2008-05-07,21
2008-05-08,21
2008-05-09,21
2008-05-10,21
2008-05-11,21
2008-05-12,22
2008-05-13,22
2008-05-14,22
2008-05-15,22
2008-05-16,22
2008-05-17,22
2008-05-18,22
2008-05-19,22
2008-05-20,22
2008-05-21,22
2008-05-22,23
2008-05-23,23
2008-05-24,23
2008-05-25,23
2008-05-26,23
2008-05-27,23
2008-05-28,23
2008-05-29,23
2008-05-30,23
2008-05-31,23
