Date,Ellie Mae
2010-05-21,50
2010-05-22,48
2010-05-23,49
2010-05-24,50
2010-05-25,52
2010-05-26,53
2010-05-27,55
2010-05-28,56
2010-05-29,58
2010-05-30,58
2010-05-31,59
2010-06-01,60
2010-06-02,60
2010-06-03,61
2010-06-04,62
2010-06-05,62
2010-06-06,60
2010-06-07,58
2010-06-08,56
2010-06-09,54
2010-06-10,52
2010-06-11,50
2010-06-12,48
2010-06-13,45
2010-06-14,43
2010-06-15,41
2010-06-16,38
2010-06-17,36
2010-06-18,34
2010-06-19,32
2010-06-20,32
2010-06-21,32
2010-06-22,32
2010-06-23,32
2010-06-24,32
2010-06-25,32
2010-06-26,32
2010-06-27,35
2010-07-04,55
2010-07-05,52
2010-07-06,50
2010-07-07,47
2010-07-08,45
2010-07-09,42
2010-07-10,40
2010-07-11,44
2010-07-12,49
2010-07-13,53
2010-07-14,57
2010-07-15,62
2010-07-16,66
2010-07-17,70
2010-07-18,67
2010-07-19,63
2010-07-20,59
2010-07-21,56
2010-07-22,52
2010-07-23,49
2010-07-24,46
2010-07-25,47
2010-07-26,48
2010-07-27,49
2010-07-28,51
2010-07-29,52
2010-07-30,53
2010-07-31,55
2010-08-01,55
2010-08-02,55
2010-08-03,56
2010-08-04,56
2010-08-05,57
2010-08-06,57
2010-08-07,58
2010-08-08,57
2010-08-09,56
2010-08-10,55
2010-08-11,54
2010-08-12,54
2010-08-13,53
2010-08-14,52
2010-08-15,52
2010-08-16,52
2010-08-17,52
2010-08-18,52
2010-08-19,52
2010-08-20,52
2010-08-21,52
2010-08-22,51
2010-08-23,50
2010-08-24,49
2010-08-25,49
2010-08-26,48
2010-08-27,47
2010-08-28,47
2010-08-29,49
2010-08-30,52
2010-08-31,55
2010-09-01,57
2010-09-02,60
2010-09-03,62
2010-09-04,65
2010-09-05,62
2010-09-06,57
2010-09-07,54
2010-09-08,50
2010-09-09,47
2010-09-10,43
2010-09-11,40
2010-09-12,45
2010-09-13,51
2010-09-14,56
2010-09-15,62
2010-09-16,68
2010-09-17,73
2010-09-18,79
2010-09-19,73
2010-09-20,66
2010-09-21,60
2010-09-22,54
2010-09-23,48
2010-09-24,42
2010-09-25,36
2010-09-26,38
2010-10-03,49
2010-10-04,47
2010-10-05,45
2010-10-06,43
2010-10-07,41
2010-10-08,39
2010-10-09,38
2010-10-10,39
2010-10-11,41
2010-10-12,43
2010-10-13,45
2010-10-14,47
2010-10-15,49
2010-10-16,51
2010-10-17,53
2010-10-18,55
2010-10-19,57
2010-10-20,59
2010-10-21,61
2010-10-22,63
2010-10-23,66
2010-10-24,66
2010-10-25,67
2010-10-26,67
2010-10-27,68
2010-10-28,68
2010-10-29,69
2010-10-30,69
2010-10-31,68
2010-11-01,68
2010-11-02,67
2010-11-03,66
2010-11-04,65
2010-11-05,65
2010-11-06,64
2010-11-07,61
2010-11-08,57
2010-11-09,54
2010-11-10,52
2010-11-11,49
2010-11-12,46
2010-11-13,44
2010-11-14,44
2010-11-15,44
2010-11-16,44
2010-11-17,44
2010-11-18,44
2010-11-19,44
2010-11-20,44
2010-11-21,43
2010-11-22,42
2010-11-23,41
2010-11-24,40
2010-11-25,39
2010-11-26,38
2010-11-27,38
2010-11-28,38
2010-11-29,38
2010-11-30,38
2010-12-01,38
2010-12-02,38
2010-12-03,38
2010-12-04,38
2010-12-05,38
2010-12-06,38
2010-12-07,38
2010-12-08,38
2010-12-09,38
2010-12-10,38
2010-12-11,39
2010-12-12,42
2010-12-13,46
2010-12-14,50
2010-12-15,53
2010-12-16,57
2010-12-17,60
2010-12-18,64
2010-12-19,59
2010-12-20,53
2010-12-21,48
2010-12-22,43
2010-12-23,38
2010-12-24,33
2010-12-25,28
2010-12-26,29
2011-01-02,42
2011-01-03,46
2011-01-04,50
2011-01-05,55
2011-01-06,59
2011-01-07,63
2011-01-08,67
2011-01-09,65
2011-01-10,62
2011-01-11,60
2011-01-12,58
2011-01-13,55
2011-01-14,53
2011-01-15,51
2011-01-16,50
2011-01-17,49
2011-01-18,48
2011-01-19,47
2011-01-20,46
2011-01-21,45
2011-01-22,44
2011-01-23,42
2011-01-24,40
2011-01-25,38
2011-01-26,36
2011-01-27,34
2011-01-28,32
2011-01-29,31
2011-01-30,33
2011-01-31,36
2011-02-01,39
2011-02-02,42
2011-02-03,44
2011-02-04,47
2011-02-05,50
2011-02-06,50
2011-02-07,50
2011-02-08,51
2011-02-09,51
2011-02-10,51
2011-02-11,51
2011-02-12,52
2011-02-13,49
2011-02-14,46
2011-02-15,43
2011-02-16,41
2011-02-17,38
2011-02-18,35
2011-02-19,33
2011-02-20,33
2011-02-21,34
2011-02-22,34
2011-02-23,35
2011-02-24,35
2011-02-25,36
2011-02-26,37
2011-02-27,37
2011-02-28,38
2011-03-01,39
2011-03-02,39
2011-03-03,40
2011-03-04,41
2011-03-05,42
2011-03-06,44
2011-03-07,47
2011-03-08,49
2011-03-09,51
2011-03-10,54
2011-03-11,56
2011-03-12,59
2011-03-13,59
2011-03-14,59
2011-03-15,59
2011-03-16,59
2011-03-17,59
2011-03-18,59
2011-03-19,59
2011-03-20,57
2011-03-21,52
2011-03-22,50
2011-03-23,47
2011-03-24,45
2011-03-25,42
2011-03-26,40
2011-03-27,46
2011-04-03,84
2011-04-04,81
2011-04-05,79
2011-04-06,76
2011-04-07,74
2011-04-08,71
2011-04-09,69
2011-04-10,72
2011-04-11,76
2011-04-12,80
2011-04-13,84
2011-04-14,88
2011-04-15,91
2011-04-16,95
2011-04-17,91
2011-04-18,88
2011-04-19,84
2011-04-20,80
2011-04-21,76
2011-04-22,73
2011-04-23,69
2011-04-24,64
2011-04-25,57
2011-04-26,52
2011-04-27,48
2011-04-28,43
2011-04-29,38
2011-04-30,34
2011-05-01,42
2011-05-02,51
2011-05-03,60
2011-05-04,69
2011-05-05,78
2011-05-06,87
2011-05-07,96
2011-05-08,93
2011-05-09,92
2011-05-10,89
2011-05-11,87
2011-05-12,85
2011-05-13,82
2011-05-14,80
2011-05-15,74
2011-05-16,67
2011-05-17,61
2011-05-18,56
2011-05-19,50
2011-05-20,44
2011-05-21,39
2011-05-22,41
2011-05-23,44
2011-05-24,46
2011-05-25,49
2011-05-26,51
2011-05-27,54
2011-05-28,57
2011-05-29,57
2011-05-30,58
2011-05-31,58
2011-06-01,59
2011-06-02,59
2011-06-03,60
2011-06-04,60
2011-06-05,58
2011-06-06,56
2011-06-07,54
2011-06-08,52
2011-06-09,50
2011-06-10,48
2011-06-11,46
2011-06-12,49
2011-06-13,53
2011-06-14,57
2011-06-15,61
2011-06-16,64
2011-06-17,68
2011-06-18,72
2011-06-19,70
2011-06-20,67
2011-06-21,65
2011-06-22,62
2011-06-23,60
2011-06-24,58
2011-06-25,56
2011-06-26,54
2011-07-03,43
2011-07-04,42
2011-07-05,40
2011-07-06,39
2011-07-07,37
2011-07-08,36
2011-07-09,35
2011-07-10,38
2011-07-11,41
2011-07-12,45
2011-07-13,48
2011-07-14,52
2011-07-15,55
2011-07-16,59
2011-07-17,60
2011-07-18,63
2011-07-19,65
2011-07-20,67
2011-07-21,68
2011-07-22,70
2011-07-23,72
2011-07-24,69
2011-07-25,65
2011-07-26,62
2011-07-27,58
2011-07-28,55
2011-07-29,52
2011-07-30,49
2011-07-31,50
2011-08-01,52
2011-08-02,54
2011-08-03,55
2011-08-04,57
2011-08-05,59
2011-08-06,60
2011-08-07,58
2011-08-08,55
2011-08-09,53
2011-08-10,50
2011-08-11,48
2011-08-12,46
2011-08-13,44
2011-08-14,46
2011-08-15,49
2011-08-16,52
2011-08-17,55
2011-08-18,58
2011-08-19,61
2011-08-20,64
2011-08-21,63
2011-08-22,62
2011-08-23,60
2011-08-24,59
2011-08-25,58
2011-08-26,57
2011-08-27,56
2011-08-28,54
2011-08-29,53
2011-08-30,51
2011-08-31,50
2011-09-01,48
2011-09-02,47
2011-09-03,46
2011-09-04,47
2011-09-05,49
2011-09-06,50
2011-09-07,51
2011-09-08,53
2011-09-09,54
2011-09-10,55
2011-09-11,53
2011-09-12,50
2011-09-13,48
2011-09-14,46
2011-09-15,44
2011-09-16,42
2011-09-17,40
2011-09-18,41
2011-09-19,42
2011-09-20,43
2011-09-21,44
2011-09-22,45
2011-09-23,46
2011-09-24,47
2011-09-25,48
