Date,Cardiovascular Systems
2009-03-07,60
2009-03-08,60
2009-03-09,61
2009-03-10,62
2009-03-11,63
2009-03-12,63
2009-03-13,64
2009-03-14,65
2009-03-15,64
2009-03-16,62
2009-03-17,61
2009-03-18,59
2009-03-19,58
2009-03-20,57
2009-03-21,56
2009-03-22,56
2009-03-23,56
2009-03-24,56
2009-03-25,56
2009-03-26,56
2009-03-27,56
2009-03-28,56
2009-03-29,58
2009-05-03,40
2009-05-04,43
2009-05-05,47
2009-05-06,50
2009-05-07,53
2009-05-08,56
2009-05-09,60
2009-05-10,59
2009-05-11,57
2009-05-12,56
2009-05-13,55
2009-05-14,54
2009-05-15,53
2009-05-16,53
2009-05-17,54
2009-05-18,56
2009-05-19,57
2009-05-20,59
2009-05-21,61
2009-05-22,62
2009-05-23,64
2009-05-24,64
2009-05-25,64
2009-05-26,64
2009-05-27,64
2009-05-28,64
2009-05-29,64
2009-05-30,65
2009-05-31,61
2009-06-01,57
2009-06-02,54
2009-06-03,50
2009-06-04,47
2009-06-05,44
2009-06-06,41
2009-06-07,41
2009-06-08,42
2009-06-09,43
2009-06-10,44
2009-06-11,44
2009-06-12,45
2009-06-13,46
2009-06-14,43
2009-06-15,40
2009-06-16,37
2009-06-17,35
2009-06-18,32
2009-06-19,29
2009-06-20,27
2009-06-21,29
2009-06-22,32
2009-06-23,35
2009-06-24,38
2009-06-25,40
2009-06-26,43
2009-06-27,46
2009-06-28,44
2009-06-29,41
2009-06-30,39
2009-07-01,37
2009-07-02,35
2009-07-03,33
2009-07-04,31
2009-07-05,31
2009-07-06,31
2009-07-07,31
2009-07-08,31
2009-07-09,31
2009-07-10,31
2009-07-11,31
2009-07-12,34
2009-07-13,37
2009-07-14,40
2009-07-15,43
2009-07-16,47
2009-07-17,50
2009-07-18,53
2009-07-19,51
2009-07-20,48
2009-07-21,46
2009-07-22,43
2009-07-23,41
2009-07-24,39
2009-07-25,37
2009-07-26,37
2009-08-02,37
2009-08-03,37
2009-08-04,37
2009-08-05,37
2009-08-06,37
2009-08-07,37
2009-08-08,38
2009-08-09,38
2009-08-10,48
2009-08-11,38
2009-08-12,39
2009-08-13,39
2009-08-14,39
2009-08-15,40
2009-08-16,40
2009-08-17,40
2009-08-18,40
2009-08-19,41
2009-08-20,41
2009-08-21,41
2009-08-22,42
2009-08-23,43
2009-08-24,44
2009-08-25,46
2009-08-26,47
2009-08-27,48
2009-08-28,50
2009-08-29,51
2009-08-30,51
2009-08-31,50
2009-09-01,50
2009-09-02,50
2009-09-03,49
2009-09-04,49
2009-09-05,49
2009-09-06,47
2009-09-07,46
2009-09-08,44
2009-09-09,43
2009-09-10,41
2009-09-11,40
2009-09-12,39
2009-09-13,40
2009-09-14,41
2009-09-15,42
2009-09-16,43
2009-09-17,44
2009-09-18,45
2009-09-19,46
2009-09-20,48
2009-09-21,51
2009-09-22,53
2009-09-23,56
2009-09-24,58
2009-09-25,61
2009-09-26,64
2009-09-27,61
2009-09-28,59
2009-09-29,57
2009-09-30,54
2009-10-01,52
2009-10-02,49
2009-10-03,47
2009-10-04,45
2009-10-05,43
2009-10-06,41
2009-10-07,39
2009-10-08,37
2009-10-09,35
2009-10-10,33
2009-10-11,39
2009-10-12,45
2009-10-13,52
2009-10-14,58
2009-10-15,65
2009-10-16,71
2009-10-17,77
2009-10-18,74
2009-10-19,71
2009-10-20,68
2009-10-21,65
2009-10-22,62
2009-10-23,59
2009-10-24,56
2009-10-25,54
2009-11-01,44
2009-11-02,43
2009-11-03,42
2009-11-04,41
2009-11-05,40
2009-11-06,39
2009-11-07,38
2009-11-08,40
2009-11-09,42
2009-11-10,44
2009-11-11,46
2009-11-12,48
2009-11-13,50
2009-11-14,52
2009-11-15,51
2009-11-16,51
2009-11-17,50
2009-11-18,49
2009-11-19,48
2009-11-20,48
2009-11-21,47
2009-11-22,44
2009-11-23,41
2009-11-24,38
2009-11-25,35
2009-11-26,32
2009-11-27,29
2009-11-28,27
2009-11-29,29
2009-11-30,31
2009-12-01,34
2009-12-02,36
2009-12-03,39
2009-12-04,41
2009-12-05,44
2009-12-06,48
2009-12-07,52
2009-12-08,57
2009-12-09,61
2009-12-10,65
2009-12-11,69
2009-12-12,74
2009-12-13,69
2009-12-14,63
2009-12-15,58
2009-12-16,53
2009-12-17,48
2009-12-18,43
2009-12-19,38
2009-12-20,38
2009-12-21,38
2009-12-22,38
2009-12-23,38
2009-12-24,38
2009-12-25,38
2009-12-26,39
2009-12-27,39
2009-12-28,39
2009-12-29,39
2009-12-30,39
2009-12-31,39
2010-01-01,39
2010-01-02,40
2010-01-03,40
2010-01-04,40
2010-01-05,40
2010-01-06,41
2010-01-07,41
2010-01-08,41
2010-01-09,42
2010-01-10,43
2010-01-11,45
2010-01-12,47
2010-01-13,48
2010-01-14,50
2010-01-15,52
2010-01-16,54
2010-01-17,52
2010-01-18,50
2010-01-19,48
2010-01-20,46
2010-01-21,44
2010-01-22,42
2010-01-23,40
2010-01-24,42
2010-01-25,44
2010-01-26,46
2010-01-27,48
2010-01-28,50
2010-01-29,52
2010-01-30,54
2010-01-31,54
2010-02-07,53
2010-02-08,52
2010-02-09,51
2010-02-10,50
2010-02-11,48
2010-02-12,47
2010-02-13,45
2010-02-14,45
2010-02-15,44
2010-02-16,43
2010-02-17,43
2010-02-18,42
2010-02-19,42
2010-02-20,42
2010-02-21,45
2010-02-22,48
2010-02-23,51
2010-02-24,54
2010-02-25,57
2010-02-26,60
2010-02-27,63
2010-02-28,61
2010-03-01,61
2010-03-02,59
2010-03-03,58
2010-03-04,57
2010-03-05,55
2010-03-06,54
2010-03-07,53
2010-03-08,50
2010-03-09,49
2010-03-10,47
2010-03-11,46
2010-03-12,44
2010-03-13,43
2010-03-14,43
2010-03-15,43
2010-03-16,43
2010-03-17,44
2010-03-18,44
2010-03-19,44
2010-03-20,45
2010-03-21,45
2010-03-22,46
2010-03-23,47
2010-03-24,47
2010-03-25,48
2010-03-26,48
2010-03-27,49
2010-03-28,46
