Date,Covisint
2013-06-24,75
2013-06-25,76
2013-06-26,75
2013-06-27,78
2013-06-28,75
2013-06-29,75
2013-06-30,74
2013-07-01,74
2013-07-02,74
2013-07-03,74
2013-07-04,76
2013-07-05,74
2013-07-06,74
2013-07-07,74
2013-07-08,75
2013-07-09,76
2013-07-10,78
2013-07-11,77
2013-07-12,78
2013-07-13,79
2013-07-14,82
2013-07-15,85
2013-07-16,97
2013-07-17,91
2013-07-18,96
2013-07-19,106
2013-07-20,100
2013-07-21,98
2013-07-22,97
2013-07-23,96
2013-07-24,96
2013-07-25,97
2013-07-26,94
2013-07-27,91
2013-07-28,86
2013-07-29,82
2013-07-30,77
2013-07-31,80
2013-08-01,68
2013-08-02,64
2013-08-03,60
2013-08-04,64
2013-08-05,68
2013-08-06,75
2013-08-07,76
2013-08-08,80
2013-08-09,87
2013-08-10,89
2013-08-11,84
2013-08-12,81
2013-08-13,78
2013-08-14,76
2013-08-15,79
2013-08-16,68
2013-08-17,65
2013-08-18,65
2013-08-19,65
2013-08-20,72
2013-08-21,66
2013-08-22,67
2013-08-23,68
2013-08-24,68
2013-08-25,67
2013-08-26,66
2013-08-27,65
2013-08-28,65
2013-08-29,65
2013-08-30,63
2013-08-31,61
2013-09-01,61
2013-09-02,61
2013-09-03,64
2013-09-04,61
2013-09-05,65
2013-09-06,61
2013-09-07,62
2013-09-08,64
2013-09-09,67
2013-09-10,69
2013-09-11,78
2013-09-12,74
2013-09-13,77
2013-09-14,84
2013-09-15,78
2013-09-16,76
2013-09-17,82
2013-09-18,73
2013-09-19,71
2013-09-20,72
2013-09-21,68
2013-09-22,71
2013-09-23,75
2013-09-24,79
2013-09-25,84
2013-09-26,86
2013-09-27,93
2013-09-28,100
2013-09-29,90
2013-09-30,87
2013-10-01,87
2013-10-02,80
2013-10-03,77
2013-10-04,74
2013-10-05,71
2013-10-06,71
2013-10-07,71
2013-10-08,80
2013-10-09,71
2013-10-10,71
2013-10-11,77
2013-10-12,71
2013-10-13,70
2013-10-14,69
2013-10-15,68
2013-10-16,67
2013-10-17,67
2013-10-18,69
2013-10-19,64
2013-10-20,64
2013-10-21,65
2013-10-22,72
2013-10-23,67
2013-10-24,68
2013-10-25,69
2013-10-26,70
2013-10-27,70
2013-10-28,70
2013-10-29,70
2013-10-30,77
2013-10-31,70
2013-11-01,70
2013-11-02,71
2013-11-03,69
2013-11-04,67
2013-11-05,71
2013-11-06,64
2013-11-07,63
2013-11-08,66
2013-11-09,60
2013-11-10,62
2013-11-11,65
2013-11-12,69
2013-11-13,71
2013-11-14,79
2013-11-15,77
2013-11-16,84
2013-11-17,79
2013-11-18,78
2013-11-19,77
2013-11-20,77
2013-11-21,80
2013-11-22,77
2013-11-23,75
2013-11-24,72
2013-11-25,70
2013-11-26,73
2013-11-27,66
2013-11-28,64
2013-11-29,64
2013-11-30,60
2013-12-01,62
2013-12-02,64
2013-12-03,66
2013-12-04,68
2013-12-05,71
2013-12-06,79
2013-12-07,75
2013-12-08,75
2013-12-09,75
2013-12-10,75
2013-12-11,76
2013-12-12,75
2013-12-13,78
2013-12-14,78
2013-12-15,74
2013-12-16,73
2013-12-17,72
2013-12-18,72
2013-12-19,73
2013-12-20,69
2013-12-21,72
2013-12-22,62
2013-12-23,56
2013-12-24,50
2013-12-25,44
2013-12-26,38
2013-12-27,32
2013-12-28,26
2013-12-29,27
2013-12-30,28
2013-12-31,30
2014-01-01,31
2014-01-02,33
2014-01-03,34
2014-01-04,36
2014-01-05,41
2014-01-06,47
2014-01-07,53
2014-01-08,61
2014-01-09,65
2014-01-10,71
2014-01-11,77
2014-01-12,79
2014-01-13,81
2014-01-14,83
2014-01-15,88
2014-01-16,92
2014-01-17,89
2014-01-18,92
2014-01-19,91
2014-01-20,91
2014-01-21,95
2014-01-22,90
2014-01-23,89
2014-01-24,95
2014-01-25,89
2014-01-26,89
2014-01-27,89
2014-01-28,91
2014-01-29,90
2014-01-30,90
2014-01-31,103
2014-02-01,91
