Date,SuccessFactors
2008-06-04,58
2008-06-05,57
2008-06-06,57
2008-06-07,59
2008-06-08,56
2008-06-09,55
2008-06-10,55
2008-06-11,53
2008-06-12,52
2008-06-13,51
2008-06-14,51
2008-06-15,51
2008-06-16,51
2008-06-17,51
2008-06-18,51
2008-06-19,51
2008-06-20,51
2008-06-21,51
2008-06-22,52
2008-06-23,53
2008-06-24,54
2008-06-25,56
2008-06-26,60
2008-06-27,58
2008-06-28,60
2008-06-29,59
2008-06-30,58
2008-07-01,57
2008-07-02,56
2008-07-03,55
2008-07-04,54
2008-07-05,53
2008-07-06,53
2008-07-07,53
2008-07-08,54
2008-07-09,54
2008-07-10,56
2008-07-11,55
2008-07-12,56
2008-07-13,56
2008-07-14,56
2008-07-15,57
2008-07-16,59
2008-07-17,58
2008-07-18,58
2008-07-19,59
2008-07-20,56
2008-07-21,54
2008-07-22,51
2008-07-23,49
2008-07-24,46
2008-07-25,44
2008-07-26,42
2008-07-27,45
2008-07-28,48
2008-07-29,51
2008-07-30,57
2008-07-31,57
2008-08-01,60
2008-08-02,63
2008-08-03,63
2008-08-04,63
2008-08-05,64
2008-08-06,64
2008-08-07,69
2008-08-08,65
2008-08-09,66
2008-08-10,66
2008-08-11,66
2008-08-12,66
2008-08-13,66
2008-08-14,66
2008-08-15,66
2008-08-16,67
2008-08-17,65
2008-08-18,63
2008-08-19,62
2008-08-20,61
2008-08-21,60
2008-08-22,58
2008-08-23,56
2008-08-24,56
2008-08-25,56
2008-08-26,57
2008-08-27,56
2008-08-28,56
2008-08-29,56
2008-08-30,56
2008-08-31,56
2008-09-01,56
2008-09-02,56
2008-09-03,56
2008-09-04,56
2008-09-05,56
2008-09-06,56
2008-09-07,56
2008-09-08,56
2008-09-09,56
2008-09-10,56
2008-09-11,58
2008-09-12,56
2008-09-13,57
2008-09-14,56
2008-09-15,56
2008-09-16,56
2008-09-17,55
2008-09-18,60
2008-09-19,55
2008-09-20,55
2008-09-21,56
2008-09-22,57
2008-09-23,58
2008-09-24,62
2008-09-25,61
2008-09-26,62
2008-09-27,66
2008-09-28,63
2008-09-29,62
2008-09-30,61
2008-10-01,61
2008-10-02,63
2008-10-03,59
2008-10-04,59
2008-10-05,60
2008-10-06,62
2008-10-07,66
2008-10-08,68
2008-10-09,69
2008-10-10,70
2008-10-11,72
2008-10-12,71
2008-10-13,71
2008-10-14,73
2008-10-15,72
2008-10-16,71
2008-10-17,70
2008-10-18,70
2008-10-19,69
2008-10-20,68
2008-10-21,67
2008-10-22,69
2008-10-23,65
2008-10-24,64
2008-10-25,63
2008-10-26,64
2008-10-27,66
2008-10-28,69
2008-10-29,70
2008-10-30,77
2008-10-31,74
2008-11-01,76
2008-11-02,73
2008-11-03,71
2008-11-04,71
2008-11-05,70
2008-11-06,63
2008-11-07,61
2008-11-08,59
2008-11-09,61
2008-11-10,63
2008-11-11,66
2008-11-12,68
2008-11-13,75
2008-11-14,73
2008-11-15,76
2008-11-16,73
2008-11-17,72
2008-11-18,69
2008-11-19,66
2008-11-20,64
2008-11-21,62
2008-11-22,60
2008-11-23,57
2008-11-24,55
2008-11-25,53
2008-11-26,50
2008-11-27,48
2008-11-28,47
2008-11-29,44
2008-11-30,45
2008-12-01,46
2008-12-02,47
2008-12-03,50
2008-12-04,49
2008-12-05,50
2008-12-06,52
2008-12-07,52
2008-12-08,52
2008-12-09,52
2008-12-10,53
2008-12-11,53
2008-12-12,53
2008-12-13,54
2008-12-14,53
2008-12-15,53
2008-12-16,55
2008-12-17,52
2008-12-18,51
2008-12-19,51
2008-12-20,51
2008-12-21,47
2008-12-22,44
2008-12-23,41
2008-12-24,38
2008-12-25,35
2008-12-26,32
2008-12-27,29
2008-12-28,29
2008-12-29,29
2008-12-30,30
2008-12-31,30
