Date,Pacific Biosciences
2010-12-11,33
2010-12-12,33
2010-12-13,32
2010-12-14,32
2010-12-15,32
2010-12-16,32
2010-12-17,32
2010-12-18,32
2010-12-19,31
2010-12-20,30
2010-12-21,29
2010-12-22,28
2010-12-23,27
2010-12-24,26
2010-12-25,25
2010-12-26,24
2010-12-27,22
2010-12-28,21
2010-12-29,19
2010-12-30,18
2010-12-31,17
2011-01-01,16
2011-01-02,16
2011-01-03,17
2011-01-04,18
2011-01-05,18
2011-01-06,19
2011-01-07,20
2011-01-08,21
2011-01-09,21
2011-01-10,21
2011-01-11,21
2011-01-12,21
2011-01-13,21
2011-01-14,21
2011-01-15,21
2011-01-16,20
2011-01-17,20
2011-01-18,19
2011-01-19,19
2011-01-20,18
2011-01-21,18
2011-01-22,18
2011-01-23,18
2011-01-24,18
2011-01-25,19
2011-01-26,19
2011-01-27,20
2011-01-28,20
2011-01-29,21
2011-01-30,21
2011-02-06,25
2011-02-07,25
2011-02-08,25
2011-02-09,25
2011-02-10,25
2011-02-11,25
2011-02-12,25
2011-02-13,24
2011-02-14,23
2011-02-15,23
2011-02-16,22
2011-02-17,22
2011-02-18,21
2011-02-19,21
2011-02-20,20
2011-02-21,20
2011-02-22,20
2011-02-23,19
2011-02-24,19
2011-02-25,19
2011-02-26,19
2011-02-27,18
2011-02-28,18
2011-03-01,18
2011-03-02,18
2011-03-03,17
2011-03-04,17
2011-03-05,17
2011-03-06,17
2011-03-07,17
2011-03-08,17
2011-03-09,17
2011-03-10,17
2011-03-11,17
2011-03-12,17
2011-03-13,17
2011-03-14,18
2011-03-15,18
2011-03-16,19
2011-03-17,19
2011-03-18,20
2011-03-19,21
2011-03-20,20
2011-03-21,20
2011-03-22,20
2011-03-23,20
2011-03-24,19
2011-03-25,19
2011-03-26,19
2011-03-27,19
2011-05-01,22
2011-05-02,22
2011-05-03,21
2011-05-04,21
2011-05-05,20
2011-05-06,20
2011-05-07,20
2011-05-08,20
2011-05-09,20
2011-05-10,20
2011-05-11,20
2011-05-12,20
2011-05-13,20
2011-05-14,20
2011-05-15,20
2011-05-16,20
2011-05-17,21
2011-05-18,21
2011-05-19,22
2011-05-20,22
2011-05-21,23
2011-05-22,23
2011-05-23,24
2011-05-24,24
2011-05-25,25
2011-05-26,25
2011-05-27,26
2011-05-28,27
2011-05-29,25
2011-05-30,25
2011-05-31,23
2011-06-01,22
2011-06-02,21
2011-06-03,20
2011-06-04,19
2011-06-05,17
2011-06-06,16
2011-06-07,14
2011-06-08,13
2011-06-09,11
2011-06-10,10
2011-06-11,9
2011-06-12,10
2011-06-13,12
2011-06-14,14
2011-06-15,15
2011-06-16,17
2011-06-17,19
2011-06-18,21
2011-06-19,21
2011-06-20,21
2011-06-21,21
2011-06-22,21
2011-06-23,21
2011-06-24,21
2011-06-25,21
2011-06-26,20
2011-06-27,19
2011-06-28,18
2011-06-29,17
2011-06-30,16
2011-07-01,15
2011-07-02,15
2011-07-03,15
2011-07-04,15
2011-07-05,15
2011-07-06,15
2011-07-07,15
2011-07-08,16
2011-07-09,16
2011-07-10,15
2011-07-11,14
2011-07-12,13
2011-07-13,13
2011-07-14,12
2011-07-15,11
2011-07-16,11
2011-07-17,11
2011-07-18,11
2011-07-19,11
2011-07-20,12
2011-07-21,12
2011-07-22,12
2011-07-23,13
2011-07-24,14
2011-07-25,15
2011-07-26,16
2011-07-27,17
2011-07-28,18
2011-07-29,19
2011-07-30,21
2011-07-31,20
2011-08-07,15
2011-08-08,14
2011-08-09,14
2011-08-10,13
2011-08-11,13
2011-08-12,12
2011-08-13,12
2011-08-14,12
2011-08-15,13
2011-08-16,14
2011-08-17,14
2011-08-18,15
2011-08-19,16
2011-08-20,17
2011-08-21,16
2011-08-22,16
2011-08-23,16
2011-08-24,15
2011-08-25,15
2011-08-26,15
2011-08-27,15
2011-08-28,14
2011-08-29,13
2011-08-30,12
2011-08-31,12
2011-09-01,11
2011-09-02,10
2011-09-03,10
2011-09-04,11
2011-09-05,12
2011-09-06,13
2011-09-07,15
2011-09-08,16
2011-09-09,17
2011-09-10,19
2011-09-11,18
2011-09-12,17
2011-09-13,16
2011-09-14,15
2011-09-15,14
2011-09-16,13
2011-09-17,13
2011-09-18,16
2011-09-19,19
2011-09-20,22
2011-09-21,25
2011-09-22,28
2011-09-23,31
2011-09-24,34
2011-09-25,32
2011-09-26,30
2011-09-27,27
2011-09-28,25
2011-09-29,23
2011-09-30,21
2011-10-01,19
2011-10-02,18
2011-10-03,17
2011-10-04,16
2011-10-05,16
2011-10-06,15
2011-10-07,14
2011-10-08,14
2011-10-09,13
2011-10-10,13
2011-10-11,13
2011-10-12,12
2011-10-13,12
2011-10-14,12
2011-10-15,12
2011-10-16,12
2011-10-17,12
2011-10-18,13
2011-10-19,13
2011-10-20,14
2011-10-21,14
2011-10-22,15
2011-10-23,14
2011-10-24,14
2011-10-25,14
2011-10-26,13
2011-10-27,13
2011-10-28,13
2011-10-29,13
2011-10-30,13
2011-11-06,13
2011-11-07,13
2011-11-08,13
2011-11-09,13
2011-11-10,13
2011-11-11,13
2011-11-12,13
2011-11-13,12
2011-11-14,12
2011-11-15,12
2011-11-16,12
2011-11-17,12
2011-11-18,12
2011-11-19,12
2011-11-20,12
2011-11-21,12
2011-11-22,13
2011-11-23,13
2011-11-24,14
2011-11-25,14
2011-11-26,15
2011-11-27,15
2011-11-28,15
2011-11-29,16
2011-11-30,16
2011-12-01,17
2011-12-02,17
2011-12-03,18
2011-12-04,17
2011-12-05,16
2011-12-06,15
2011-12-07,14
2011-12-08,13
2011-12-09,12
2011-12-10,11
2011-12-11,11
2011-12-12,12
2011-12-13,12
2011-12-14,13
2011-12-15,13
2011-12-16,14
2011-12-17,15
2011-12-18,14
2011-12-19,13
2011-12-20,12
2011-12-21,12
2011-12-22,11
2011-12-23,10
2011-12-24,10
2011-12-25,9
2011-12-26,9
2011-12-27,9
2011-12-28,8
2011-12-29,8
2011-12-30,8
2011-12-31,8
2012-01-01,9
2012-01-02,11
2012-01-03,13
2012-01-04,15
2012-01-05,17
2012-01-06,19
2012-01-07,21
2012-01-08,21
2012-01-09,21
2012-01-10,22
2012-01-11,22
2012-01-12,22
2012-01-13,23
2012-01-14,23
2012-01-15,21
2012-01-16,19
2012-01-17,17
2012-01-18,15
2012-01-19,13
2012-01-20,11
2012-01-21,10
2012-01-22,11
2012-01-23,13
2012-01-24,15
2012-01-25,17
2012-01-26,18
2012-01-27,20
2012-01-28,22
2012-01-29,20
