Date,Nielsen Holdings
2011-11-04,51
2011-11-05,51
2011-11-06,50
2011-11-07,50
2011-11-08,50
2011-11-09,50
2011-11-10,51
2011-11-11,51
2011-11-12,53
2011-11-13,50
2011-11-14,50
2011-11-15,51
2011-11-16,53
2011-11-17,52
2011-11-18,53
2011-11-19,55
2011-11-20,53
2011-11-21,49
2011-11-22,48
2011-11-23,46
2011-11-24,44
2011-11-25,45
2011-11-26,41
2011-11-27,42
2011-11-28,43
2011-11-29,44
2011-11-30,46
