Date,ARAMARK
2013-06-30,87
2013-07-01,84
2013-07-02,81
2013-07-03,80
2013-07-04,83
2013-07-05,73
2013-07-06,74
2013-07-07,73
2013-07-08,75
2013-07-09,77
2013-07-10,79
2013-07-11,82
2013-07-12,89
2013-07-13,91
2013-07-14,90
2013-07-15,87
2013-07-16,88
2013-07-17,88
2013-07-18,89
2013-07-19,90
2013-07-20,104
2013-07-21,90
2013-07-22,91
2013-07-23,92
2013-07-24,92
2013-07-25,93
2013-07-26,96
2013-07-27,104
2013-07-28,96
2013-07-29,95
2013-07-30,96
2013-07-31,96
2013-08-01,96
2013-08-02,103
2013-08-03,105
2013-08-04,96
2013-08-05,95
2013-08-06,95
2013-08-07,93
2013-08-08,95
2013-08-09,92
2013-08-10,100
2013-08-11,91
2013-08-12,91
2013-08-13,92
2013-08-14,91
2013-08-15,91
2013-08-16,92
2013-08-17,101
2013-08-18,92
2013-08-19,90
2013-08-20,90
2013-08-21,89
2013-08-22,90
2013-08-23,91
2013-08-24,97
2013-08-25,89
2013-08-26,89
2013-08-27,90
2013-08-28,90
2013-08-29,91
2013-08-30,91
2013-08-31,103
2013-09-01,91
2013-09-02,90
2013-09-03,90
2013-09-04,91
2013-09-05,89
2013-09-06,91
2013-09-07,96
2013-09-08,92
2013-09-09,89
2013-09-10,89
2013-09-11,92
2013-09-12,91
2013-09-13,91
2013-09-14,101
2013-09-15,95
2013-09-16,91
2013-09-17,91
2013-09-18,92
2013-09-19,92
2013-09-20,92
2013-09-21,103
2013-09-22,91
2013-09-23,92
2013-09-24,93
2013-09-25,93
2013-09-26,97
2013-09-27,99
2013-09-28,103
2013-09-29,95
2013-09-30,94
2013-10-01,94
2013-10-02,94
2013-10-03,92
2013-10-04,92
2013-10-05,100
2013-10-06,91
2013-10-07,90
2013-10-08,89
2013-10-09,91
2013-10-10,89
2013-10-11,91
2013-10-12,93
2013-10-13,94
2013-10-14,87
2013-10-15,87
2013-10-16,88
2013-10-17,88
2013-10-18,87
2013-10-19,98
2013-10-20,87
2013-10-21,88
2013-10-22,89
2013-10-23,89
2013-10-24,92
2013-10-25,93
2013-10-26,100
2013-10-27,97
2013-10-28,90
2013-10-29,90
2013-10-30,89
2013-10-31,92
2013-11-01,87
2013-11-02,96
2013-11-03,87
2013-11-04,87
2013-11-05,87
2013-11-06,88
2013-11-07,91
2013-11-08,90
2013-11-09,100
2013-11-10,90
2013-11-11,91
2013-11-12,92
2013-11-13,93
2013-11-14,94
2013-11-15,96
2013-11-16,109
2013-11-17,98
2013-11-18,95
2013-11-19,94
2013-11-20,96
2013-11-21,92
2013-11-22,93
2013-11-23,101
2013-11-24,89
2013-11-25,85
2013-11-26,82
2013-11-27,81
2013-11-28,85
2013-11-29,76
2013-11-30,73
2013-12-01,74
2013-12-02,77
2013-12-03,80
2013-12-04,82
2013-12-05,88
2013-12-06,89
2013-12-07,99
2013-12-08,97
2013-12-09,93
2013-12-10,94
2013-12-11,97
2013-12-12,97
2013-12-13,100
2013-12-14,116
2013-12-15,97
2013-12-16,94
2013-12-17,91
2013-12-18,88
2013-12-19,85
2013-12-20,84
2013-12-21,84
2013-12-22,79
2013-12-23,70
2013-12-24,70
2013-12-25,72
2013-12-26,58
2013-12-27,54
2013-12-28,56
2013-12-29,52
2013-12-30,55
2013-12-31,58
2014-01-01,65
2014-01-02,63
2014-01-03,67
2014-01-04,73
2014-01-05,77
2014-01-06,77
2014-01-07,81
2014-01-08,85
2014-01-09,91
2014-01-10,93
2014-01-11,110
2014-01-12,99
2014-01-13,98
2014-01-14,98
2014-01-15,99
2014-01-16,99
2014-01-17,100
2014-01-18,107
2014-01-19,102
2014-01-20,97
2014-01-21,96
2014-01-22,96
2014-01-23,95
2014-01-24,94
2014-01-25,107
2014-01-26,94
2014-01-27,95
2014-01-28,96
2014-01-29,96
2014-01-30,98
2014-01-31,98
2014-02-01,113
