Date,Service Team
2013-05-16,56
2013-05-17,57
2013-05-18,58
2013-05-19,55
2013-05-20,55
2013-05-21,55
2013-05-22,54
2013-05-23,54
2013-05-24,57
2013-05-25,57
2013-05-26,53
2013-05-27,53
2013-05-28,53
2013-05-29,53
2013-05-30,53
2013-05-31,54
2013-06-01,53
2013-06-02,53
2013-06-03,53
2013-06-04,54
2013-06-05,55
2013-06-06,56
2013-06-07,55
2013-06-08,60
2013-06-09,58
2013-06-10,57
2013-06-11,57
2013-06-12,58
2013-06-13,58
2013-06-14,59
2013-06-15,66
2013-06-16,64
2013-06-17,59
2013-06-18,58
2013-06-19,60
2013-06-20,57
2013-06-21,58
2013-06-22,60
2013-06-23,58
2013-06-24,57
2013-06-25,58
2013-06-26,58
2013-06-27,61
2013-06-28,61
2013-06-29,63
2013-06-30,59
2013-07-01,58
2013-07-02,57
2013-07-03,57
2013-07-04,61
2013-07-05,55
2013-07-06,58
2013-07-07,57
2013-07-08,56
2013-07-09,56
2013-07-10,59
2013-07-11,57
2013-07-12,61
2013-07-13,62
2013-07-14,59
2013-07-15,60
2013-07-16,61
2013-07-17,61
2013-07-18,62
2013-07-19,63
2013-07-20,69
2013-07-21,66
2013-07-22,62
2013-07-23,62
2013-07-24,60
2013-07-25,60
2013-07-26,60
2013-07-27,63
2013-07-28,58
2013-07-29,58
2013-07-30,60
2013-07-31,59
2013-08-01,62
2013-08-02,60
2013-08-03,68
2013-08-04,66
2013-08-05,72
2013-08-06,77
2013-08-07,90
2013-08-08,92
2013-08-09,94
2013-08-10,109
2013-08-11,97
2013-08-12,94
2013-08-13,94
2013-08-14,89
2013-08-15,88
2013-08-16,89
2013-08-17,86
2013-08-18,82
2013-08-19,81
2013-08-20,81
2013-08-21,81
2013-08-22,93
2013-08-23,82
2013-08-24,86
2013-08-25,78
2013-08-26,73
2013-08-27,70
2013-08-28,67
2013-08-29,63
2013-08-30,59
2013-08-31,60
2013-09-01,57
2013-09-02,58
2013-09-03,60
2013-09-04,62
2013-09-05,63
2013-09-06,65
2013-09-07,69
2013-09-08,68
2013-09-09,64
2013-09-10,63
2013-09-11,62
2013-09-12,63
2013-09-13,60
2013-09-14,64
2013-09-15,60
2013-09-16,58
2013-09-17,57
2013-09-18,58
2013-09-19,56
2013-09-20,58
2013-09-21,57
2013-09-22,55
2013-09-23,56
2013-09-24,57
2013-09-25,59
2013-09-26,59
2013-09-27,59
2013-09-28,65
2013-09-29,63
2013-09-30,61
2013-10-01,62
2013-10-02,62
2013-10-03,65
2013-10-04,66
2013-10-05,69
2013-10-06,67
2013-10-07,66
2013-10-08,66
2013-10-09,67
2013-10-10,67
2013-10-11,68
2013-10-12,75
2013-10-13,68
2013-10-14,66
2013-10-15,67
2013-10-16,66
2013-10-17,63
2013-10-18,62
2013-10-19,65
2013-10-20,61
2013-10-21,61
2013-10-22,63
2013-10-23,63
2013-10-24,63
2013-10-25,67
2013-10-26,67
2013-10-27,64
2013-10-28,65
2013-10-29,66
2013-10-30,66
2013-10-31,73
2013-11-01,67
2013-11-02,71
2013-11-03,69
2013-11-04,64
2013-11-05,64
2013-11-06,61
2013-11-07,61
2013-11-08,58
2013-11-09,62
2013-11-10,58
2013-11-11,59
2013-11-12,60
2013-11-13,63
2013-11-14,63
2013-11-15,64
2013-11-16,67
2013-11-17,69
2013-11-18,63
2013-11-19,62
2013-11-20,63
2013-11-21,64
2013-11-22,60
2013-11-23,67
2013-11-24,58
2013-11-25,57
2013-11-26,56
2013-11-27,57
2013-11-28,55
2013-11-29,52
2013-11-30,52
2013-12-01,51
2013-12-02,51
2013-12-03,51
2013-12-04,52
2013-12-05,51
2013-12-06,53
2013-12-07,56
2013-12-08,52
2013-12-09,52
2013-12-10,54
2013-12-11,54
2013-12-12,54
2013-12-13,57
2013-12-14,57
2013-12-15,55
2013-12-16,53
2013-12-17,54
2013-12-18,51
2013-12-19,51
2013-12-20,50
2013-12-21,51
2013-12-22,50
2013-12-23,45
2013-12-24,43
2013-12-25,45
2013-12-26,40
2013-12-27,37
2013-12-28,36
2013-12-29,38
2013-12-30,37
2013-12-31,41
2014-01-01,38
2014-01-02,39
2014-01-03,40
2014-01-04,43
2014-01-05,43
2014-01-06,45
2014-01-07,47
2014-01-08,52
2014-01-09,52
2014-01-10,54
2014-01-11,62
2014-01-12,57
2014-01-13,58
2014-01-14,58
2014-01-15,59
2014-01-16,60
2014-01-17,61
2014-01-18,66
2014-01-19,61
2014-01-20,61
2014-01-21,61
2014-01-22,64
2014-01-23,63
2014-01-24,62
2014-01-25,68
2014-01-26,63
2014-01-27,63
2014-01-28,64
2014-01-29,64
2014-01-30,65
2014-01-31,65
2014-02-01,72
2014-02-02,64
2014-02-03,63
2014-02-04,62
2014-02-05,61
2014-02-06,60
2014-02-07,60
2014-02-08,61
2014-02-09,58
2014-02-10,57
2014-02-11,57
2014-02-12,58
2014-02-13,61
2014-02-14,57
2014-02-15,59
2014-02-16,64
2014-02-17,62
2014-02-18,67
2014-02-19,68
2014-02-20,77
2014-02-21,78
2014-02-22,80
2014-02-23,79
2014-02-24,76
2014-02-25,75
2014-02-26,78
2014-02-27,74
2014-02-28,74
