Date,BroadSoft
2011-02-05,55
2011-02-06,54
2011-02-07,54
2011-02-08,54
2011-02-09,54
2011-02-10,53
2011-02-11,53
2011-02-12,53
2011-02-13,50
2011-02-14,46
2011-02-15,43
2011-02-16,40
2011-02-17,37
2011-02-18,34
2011-02-19,31
2011-02-20,32
2011-02-21,34
2011-02-22,36
2011-02-23,38
2011-02-24,40
2011-02-25,42
2011-02-26,44
2011-02-27,42
2011-03-06,38
2011-03-07,42
2011-03-08,46
2011-03-09,50
2011-03-10,54
2011-03-11,58
2011-03-12,62
2011-03-13,61
2011-03-14,61
2011-03-15,61
2011-03-16,60
2011-03-17,60
2011-03-18,60
2011-03-19,60
2011-03-20,58
2011-03-21,57
2011-03-22,56
2011-03-23,55
2011-03-24,54
2011-03-25,53
2011-03-26,52
2011-03-27,53
2011-03-28,55
2011-03-29,57
2011-03-30,59
2011-03-31,61
2011-04-01,62
2011-04-02,64
2011-04-03,61
2011-04-04,58
2011-04-05,55
2011-04-06,52
2011-04-07,49
2011-04-08,46
2011-04-09,43
2011-04-10,46
2011-04-11,50
2011-04-12,53
2011-04-13,57
2011-04-14,60
2011-04-15,63
2011-04-16,67
2011-04-17,65
2011-04-18,62
2011-04-19,59
2011-04-20,57
2011-04-21,55
2011-04-22,52
2011-04-23,50
2011-04-24,50
2011-04-25,50
2011-04-26,50
2011-04-27,51
2011-04-28,51
2011-04-29,51
2011-04-30,52
2011-05-01,50
2011-05-02,48
2011-05-03,46
2011-05-04,44
2011-05-05,42
2011-05-06,40
2011-05-07,39
2011-05-08,41
2011-05-09,44
2011-05-10,46
2011-05-11,49
2011-05-12,51
2011-05-13,54
2011-05-14,56
2011-05-15,54
2011-05-16,52
2011-05-17,50
2011-05-18,49
2011-05-19,47
2011-05-20,45
2011-05-21,44
2011-05-22,44
2011-05-23,44
2011-05-24,44
2011-05-25,44
2011-05-26,44
2011-05-27,44
2011-05-28,45
2011-05-29,44
2011-06-05,41
2011-06-06,42
2011-06-07,43
2011-06-08,44
2011-06-09,45
2011-06-10,46
2011-06-11,47
2011-06-12,46
2011-06-13,46
2011-06-14,46
2011-06-15,46
2011-06-16,45
2011-06-17,45
2011-06-18,45
2011-06-19,45
2011-06-20,45
2011-06-21,46
2011-06-22,46
2011-06-23,46
2011-06-24,46
2011-06-25,47
2011-06-26,46
2011-06-27,45
2011-06-28,44
2011-06-29,44
2011-06-30,43
2011-07-01,42
2011-07-02,42
2011-07-03,41
2011-07-04,40
2011-07-05,39
2011-07-06,38
2011-07-07,37
2011-07-08,36
2011-07-09,36
2011-07-10,37
2011-07-11,38
2011-07-12,39
2011-07-13,40
2011-07-14,41
2011-07-15,42
2011-07-16,43
2011-07-17,43
2011-07-18,44
2011-07-19,45
2011-07-20,45
2011-07-21,46
2011-07-22,47
2011-07-23,48
2011-07-24,47
2011-07-25,47
2011-07-26,46
2011-07-27,46
2011-07-28,45
2011-07-29,45
2011-07-30,45
2011-07-31,47
2011-08-01,49
2011-08-02,51
2011-08-03,53
2011-08-04,55
2011-08-05,57
2011-08-06,59
2011-08-07,60
2011-08-08,62
2011-08-09,64
2011-08-10,65
2011-08-11,67
2011-08-12,69
2011-08-13,70
2011-08-14,69
2011-08-15,67
2011-08-16,65
2011-08-17,63
2011-08-18,62
2011-08-19,60
2011-08-20,58
2011-08-21,55
2011-08-22,52
2011-08-23,49
2011-08-24,47
2011-08-25,44
2011-08-26,41
2011-08-27,39
2011-08-28,40
