Date,Toys R Us
2013-08-09,26
2013-08-10,26
2013-08-11,25
2013-08-12,26
2013-08-13,25
2013-08-14,25
2013-08-15,25
2013-08-16,25
2013-08-17,25
2013-08-18,24
2013-08-19,25
2013-08-20,24
2013-08-21,24
2013-08-22,24
2013-08-23,24
2013-08-24,24
2013-08-25,23
2013-08-26,24
2013-08-27,23
2013-08-28,23
2013-08-29,23
2013-08-30,23
2013-08-31,23
2013-09-01,23
2013-09-02,23
2013-09-03,24
2013-09-04,23
2013-09-05,23
2013-09-06,23
2013-09-07,24
2013-09-08,24
2013-09-09,25
2013-09-10,24
2013-09-11,24
2013-09-12,24
2013-09-13,24
2013-09-14,24
2013-09-15,24
2013-09-16,25
2013-09-17,24
2013-09-18,24
2013-09-19,24
2013-09-20,24
2013-09-21,25
2013-09-22,25
2013-09-23,26
2013-09-24,25
2013-09-25,25
2013-09-26,25
2013-09-27,25
2013-09-28,25
2013-09-29,25
2013-09-30,26
2013-10-01,25
2013-10-02,25
2013-10-03,25
2013-10-04,25
2013-10-05,25
2013-10-06,25
2013-10-07,26
2013-10-08,26
2013-10-09,26
2013-10-10,26
2013-10-11,26
2013-10-12,27
2013-10-13,27
2013-10-14,29
2013-10-15,29
2013-10-16,29
2013-10-17,30
2013-10-18,31
2013-10-19,32
2013-10-20,32
2013-10-21,34
2013-10-22,32
2013-10-23,32
2013-10-24,32
2013-10-25,32
2013-10-26,33
2013-10-27,33
2013-10-28,35
2013-10-29,35
2013-10-30,36
2013-10-31,37
2013-11-01,38
2013-11-02,39
2013-11-03,40
2013-11-04,44
2013-11-05,43
2013-11-06,44
2013-11-07,46
2013-11-08,47
2013-11-09,49
2013-11-10,50
2013-11-11,53
2013-11-12,54
2013-11-13,54
2013-11-14,56
2013-11-15,57
2013-11-16,59
2013-11-17,60
2013-11-18,64
2013-11-19,64
2013-11-20,65
2013-11-21,66
2013-11-22,68
2013-11-23,70
2013-11-24,74
2013-11-25,80
2013-11-26,82
2013-11-27,86
2013-11-28,90
2013-11-29,94
2013-11-30,103
2013-12-01,97
2013-12-02,96
2013-12-03,100
2013-12-04,97
2013-12-05,95
2013-12-06,94
2013-12-07,94
2013-12-08,94
2013-12-09,97
2013-12-10,94
2013-12-11,94
2013-12-12,94
2013-12-13,94
2013-12-14,94
2013-12-15,94
2013-12-16,96
2013-12-17,94
2013-12-18,92
2013-12-19,92
2013-12-20,92
2013-12-21,92
2013-12-22,89
2013-12-23,85
2013-12-24,81
2013-12-25,84
2013-12-26,72
2013-12-27,71
2013-12-28,65
2013-12-29,61
2013-12-30,57
2013-12-31,52
2014-01-01,46
2014-01-02,43
2014-01-03,37
2014-01-04,33
2014-01-05,32
2014-01-06,31
2014-01-07,29
2014-01-08,27
2014-01-09,26
2014-01-10,25
2014-01-11,24
2014-01-12,23
2014-01-13,24
2014-01-14,23
2014-01-15,22
2014-01-16,22
2014-01-17,22
2014-01-18,22
2014-01-19,22
2014-01-20,22
2014-01-21,22
2014-01-22,21
2014-01-23,21
2014-01-24,21
2014-01-25,21
2014-01-26,20
2014-01-27,22
2014-01-28,20
2014-01-29,20
2014-01-30,20
2014-01-31,20
2014-02-01,20
2014-02-02,20
2014-02-03,21
2014-02-04,20
2014-02-05,20
2014-02-06,20
2014-02-07,20
2014-02-08,20
2014-02-09,20
2014-02-10,21
2014-02-11,20
2014-02-12,20
2014-02-13,20
2014-02-14,20
2014-02-15,20
2014-02-16,20
2014-02-17,21
2014-02-18,21
2014-02-19,21
2014-02-20,21
2014-02-21,21
2014-02-22,22
2014-02-23,22
2014-02-24,23
2014-02-25,22
2014-02-26,22
2014-02-27,22
2014-02-28,22
2014-03-01,22
