Date,Kior
2012-08-05,18
2012-08-06,18
2012-08-07,18
2012-08-08,18
2012-08-09,18
2012-08-10,18
2012-08-11,18
2012-08-12,19
2012-08-13,21
2012-08-14,22
2012-08-15,24
2012-08-16,26
2012-08-17,27
2012-08-18,29
2012-08-19,28
2012-08-20,27
2012-08-21,26
2012-08-22,26
2012-08-23,25
2012-08-24,24
2012-08-25,24
2012-08-26,24
2012-08-27,25
2012-08-28,25
2012-08-29,25
2012-08-30,26
2012-08-31,26
2012-09-01,27
2012-09-02,26
2012-09-03,26
2012-09-04,26
2012-09-05,25
2012-09-06,25
2012-09-07,25
2012-09-08,25
2012-09-09,24
2012-09-10,24
2012-09-11,24
2012-09-12,23
2012-09-13,23
2012-09-14,23
2012-09-15,23
2012-09-16,22
2012-09-17,21
2012-09-18,21
2012-09-19,20
2012-09-20,20
2012-09-21,19
2012-09-22,19
2012-09-23,20
2012-09-24,21
2012-09-25,22
2012-09-26,23
2012-09-27,24
2012-09-28,25
2012-09-29,26
2012-09-30,25
