Date,Convio
2010-04-13,75
2010-04-14,74
2010-04-15,73
2010-04-16,72
2010-04-17,71
2010-04-18,69
2010-04-19,66
2010-04-20,64
2010-04-21,61
2010-04-22,59
2010-04-23,57
2010-04-24,55
2010-04-25,59
2010-04-26,63
2010-04-27,67
2010-04-28,71
2010-04-29,75
2010-04-30,79
2010-05-01,83
2010-05-02,81
2010-05-03,79
2010-05-04,78
2010-05-05,76
2010-05-06,74
2010-05-07,73
2010-05-08,71
2010-05-09,72
2010-05-10,72
2010-05-11,73
2010-05-12,73
2010-05-13,74
2010-05-14,75
2010-05-15,76
2010-05-16,73
2010-05-17,70
2010-05-18,67
2010-05-19,64
2010-05-20,61
2010-05-21,58
2010-05-22,55
2010-05-23,57
2010-05-24,60
2010-05-25,63
2010-05-26,66
2010-05-27,68
2010-05-28,71
2010-05-29,74
2010-05-30,71
2010-05-31,68
2010-06-01,65
2010-06-02,62
2010-06-03,59
2010-06-04,56
2010-06-05,54
2010-06-06,55
2010-06-07,57
2010-06-08,59
2010-06-09,61
2010-06-10,63
2010-06-11,65
2010-06-12,67
2010-06-13,66
2010-06-14,66
2010-06-15,66
2010-06-16,66
2010-06-17,66
2010-06-18,66
2010-06-19,66
2010-06-20,63
2010-06-21,60
2010-06-22,58
2010-06-23,55
2010-06-24,52
2010-06-25,50
2010-06-26,47
2010-06-27,48
2010-07-04,58
2010-07-05,61
2010-07-06,65
2010-07-07,68
2010-07-08,72
2010-07-09,75
2010-07-10,79
2010-07-11,80
2010-07-12,82
2010-07-13,84
2010-07-14,86
2010-07-15,88
2010-07-16,90
2010-07-17,92
2010-07-18,86
2010-07-19,81
2010-07-20,75
2010-07-21,70
2010-07-22,64
2010-07-23,59
2010-07-24,54
2010-07-25,55
2010-07-26,56
2010-07-27,58
2010-07-28,59
2010-07-29,60
2010-07-30,61
2010-07-31,62
2010-08-01,60
2010-08-02,57
2010-08-03,54
2010-08-04,52
2010-08-05,49
2010-08-06,47
2010-08-07,45
2010-08-08,46
2010-08-09,47
2010-08-10,48
2010-08-11,50
2010-08-12,51
2010-08-13,52
2010-08-14,54
2010-08-15,56
2010-08-16,59
2010-08-17,61
2010-08-18,64
2010-08-19,66
2010-08-20,69
2010-08-21,72
2010-08-22,71
2010-08-23,71
2010-08-24,71
2010-08-25,70
2010-08-26,69
2010-08-27,69
2010-08-28,68
2010-08-29,63
2010-08-30,56
2010-08-31,51
2010-09-01,46
2010-09-02,41
2010-09-03,36
2010-09-04,31
2010-09-05,32
2010-09-06,33
2010-09-07,35
2010-09-08,36
2010-09-09,38
2010-09-10,39
2010-09-11,41
2010-09-12,43
2010-09-13,45
2010-09-14,47
2010-09-15,49
2010-09-16,51
2010-09-17,53
2010-09-18,55
2010-09-19,56
2010-09-20,57
2010-09-21,58
2010-09-22,59
2010-09-23,60
2010-09-24,61
2010-09-25,62
2010-09-26,61
2010-10-03,58
2010-10-04,61
2010-10-05,64
2010-10-06,67
2010-10-07,70
2010-10-08,73
2010-10-09,76
2010-10-10,73
2010-10-11,70
2010-10-12,67
2010-10-13,65
2010-10-14,62
2010-10-15,59
2010-10-16,57
2010-10-17,60
2010-10-18,64
2010-10-19,68
2010-10-20,72
2010-10-21,76
2010-10-22,80
2010-10-23,84
2010-10-24,83
2010-10-25,83
2010-10-26,83
2010-10-27,83
2010-10-28,82
2010-10-29,82
2010-10-30,82
2010-10-31,78
2010-11-01,74
2010-11-02,71
2010-11-03,68
2010-11-04,65
2010-11-05,62
2010-11-06,59
2010-11-07,60
2010-11-08,63
2010-11-09,64
2010-11-10,66
2010-11-11,68
2010-11-12,70
2010-11-13,71
2010-11-14,68
2010-11-15,65
2010-11-16,62
2010-11-17,59
2010-11-18,56
2010-11-19,53
2010-11-20,50
2010-11-21,49
2010-11-22,48
2010-11-23,47
2010-11-24,47
2010-11-25,46
2010-11-26,45
2010-11-27,45
2010-11-28,48
2010-11-29,52
2010-11-30,55
2010-12-01,58
2010-12-02,62
2010-12-03,65
2010-12-04,69
2010-12-05,65
2010-12-06,61
2010-12-07,57
2010-12-08,54
2010-12-09,50
2010-12-10,47
2010-12-11,44
2010-12-12,47
2010-12-13,50
2010-12-14,53
2010-12-15,56
2010-12-16,60
2010-12-17,63
2010-12-18,66
2010-12-19,63
2010-12-20,58
2010-12-21,55
2010-12-22,51
2010-12-23,48
2010-12-24,45
2010-12-25,42
2010-12-26,40
2011-01-02,35
2011-01-03,36
2011-01-04,38
2011-01-05,39
2011-01-06,41
2011-01-07,42
2011-01-08,44
2011-01-09,46
2011-01-10,48
2011-01-11,50
2011-01-12,53
2011-01-13,55
2011-01-14,57
2011-01-15,59
2011-01-16,58
2011-01-17,55
2011-01-18,54
2011-01-19,52
2011-01-20,50
2011-01-21,48
2011-01-22,47
2011-01-23,46
2011-01-24,45
2011-01-25,45
2011-01-26,44
2011-01-27,44
2011-01-28,43
2011-01-29,43
2011-01-30,45
2011-01-31,48
2011-02-01,51
2011-02-02,54
2011-02-03,57
2011-02-04,60
2011-02-05,63
2011-02-06,62
2011-02-07,61
2011-02-08,61
2011-02-09,60
2011-02-10,60
2011-02-11,59
2011-02-12,59
2011-02-13,58
2011-02-14,58
2011-02-15,58
2011-02-16,58
2011-02-17,57
2011-02-18,57
2011-02-19,57
2011-02-20,56
2011-02-21,55
2011-02-22,54
2011-02-23,53
2011-02-24,52
2011-02-25,51
2011-02-26,51
2011-02-27,51
2011-02-28,51
2011-03-01,51
2011-03-02,51
2011-03-03,51
2011-03-04,51
2011-03-05,52
2011-03-06,55
2011-03-07,58
2011-03-08,62
2011-03-09,65
2011-03-10,68
2011-03-11,71
2011-03-12,74
2011-03-13,71
2011-03-14,67
2011-03-15,64
2011-03-16,61
2011-03-17,58
2011-03-18,55
2011-03-19,52
2011-03-20,54
2011-03-21,56
2011-03-22,59
2011-03-23,61
2011-03-24,64
2011-03-25,66
2011-03-26,69
2011-03-27,66
2011-04-03,50
2011-04-04,52
2011-04-05,54
2011-04-06,56
2011-04-07,58
2011-04-08,60
2011-04-09,62
2011-04-10,63
2011-04-11,64
2011-04-12,65
2011-04-13,67
2011-04-14,68
2011-04-15,69
2011-04-16,71
2011-04-17,67
2011-04-18,64
2011-04-19,61
2011-04-20,58
2011-04-21,55
2011-04-22,52
2011-04-23,49
2011-04-24,49
2011-04-25,50
2011-04-26,51
2011-04-27,52
2011-04-28,53
2011-04-29,54
2011-04-30,55
2011-05-01,54
2011-05-02,54
2011-05-03,54
2011-05-04,54
2011-05-05,54
2011-05-06,54
2011-05-07,54
2011-05-08,55
2011-05-09,56
2011-05-10,57
2011-05-11,59
2011-05-12,60
2011-05-13,61
2011-05-14,63
2011-05-15,65
2011-05-16,68
2011-05-17,70
2011-05-18,73
2011-05-19,75
2011-05-20,78
2011-05-21,80
2011-05-22,77
2011-05-23,72
2011-05-24,68
2011-05-25,65
2011-05-26,61
2011-05-27,57
2011-05-28,54
2011-05-29,55
2011-05-30,57
2011-05-31,58
2011-06-01,60
2011-06-02,61
2011-06-03,63
2011-06-04,65
2011-06-05,65
2011-06-06,66
2011-06-07,66
2011-06-08,67
2011-06-09,67
2011-06-10,68
2011-06-11,68
2011-06-12,63
2011-06-13,58
2011-06-14,53
2011-06-15,49
2011-06-16,44
2011-06-17,39
2011-06-18,35
2011-06-19,38
2011-06-20,42
2011-06-21,46
2011-06-22,50
2011-06-23,54
2011-06-24,57
2011-06-25,61
2011-06-26,59
