Date,Research Pharmaceutical
2010-06-06,81
2010-06-07,81
2010-06-08,81
2010-06-09,79
2010-06-10,86
2010-06-11,77
2010-06-12,77
2010-06-13,78
2010-06-14,79
2010-06-15,82
2010-06-16,81
2010-06-17,84
2010-06-18,83
2010-06-19,87
2010-06-20,83
2010-06-21,82
2010-06-22,85
2010-06-23,82
2010-06-24,81
2010-06-25,85
2010-06-26,80
2010-06-27,80
2010-06-28,80
2010-06-29,80
2010-06-30,80
2010-07-01,87
2010-07-02,85
2010-07-03,83
2010-07-04,81
2010-07-05,82
2010-07-06,83
2010-07-07,87
2010-07-08,84
2010-07-09,85
2010-07-10,86
2010-07-11,84
2010-07-12,82
2010-07-13,84
2010-07-14,84
2010-07-15,78
2010-07-16,81
2010-07-17,75
2010-07-18,75
2010-07-19,76
2010-07-20,77
2010-07-21,78
2010-07-22,80
2010-07-23,80
2010-07-24,81
2010-07-25,85
2010-07-26,81
2010-07-27,82
2010-07-28,82
2010-07-29,85
2010-07-30,82
2010-07-31,83
2010-08-01,82
2010-08-02,81
2010-08-03,80
2010-08-04,84
2010-08-05,78
2010-08-06,77
2010-08-07,83
2010-08-08,76
2010-08-09,75
2010-08-10,74
2010-08-11,73
2010-08-12,81
2010-08-13,71
2010-08-14,71
2010-08-15,70
2010-08-16,70
2010-08-17,77
2010-08-18,75
2010-08-19,70
2010-08-20,70
2010-08-21,74
2010-08-22,70
2010-08-23,70
2010-08-24,71
2010-08-25,72
2010-08-26,72
2010-08-27,72
2010-08-28,75
2010-08-29,73
2010-08-30,73
2010-08-31,75
2010-09-01,73
2010-09-02,77
2010-09-03,73
2010-09-04,74
2010-09-05,73
2010-09-06,72
2010-09-07,76
2010-09-08,71
2010-09-09,71
2010-09-10,69
2010-09-11,69
2010-09-12,71
2010-09-13,74
2010-09-14,80
2010-09-15,82
2010-09-16,84
2010-09-17,84
2010-09-18,87
2010-09-19,92
2010-09-20,81
2010-09-21,79
2010-09-22,76
2010-09-23,76
2010-09-24,73
2010-09-25,69
2010-09-26,68
2010-09-27,67
2010-09-28,68
2010-09-29,66
2010-09-30,72
2010-10-01,64
2010-10-02,64
2010-10-03,66
2010-10-04,68
2010-10-05,71
2010-10-06,73
2010-10-07,81
2010-10-08,78
2010-10-09,81
2010-10-10,79
2010-10-11,78
2010-10-12,77
2010-10-13,77
2010-10-14,74
2010-10-15,73
2010-10-16,73
2010-10-17,71
2010-10-18,71
2010-10-19,72
2010-10-20,70
2010-10-21,78
2010-10-22,69
2010-10-23,69
2010-10-24,68
2010-10-25,68
2010-10-26,69
2010-10-27,70
2010-10-28,66
2010-10-29,66
2010-10-30,70
2010-10-31,65
2010-11-01,65
2010-11-02,64
2010-11-03,64
2010-11-04,64
2010-11-05,65
2010-11-06,63
2010-11-07,64
2010-11-08,65
2010-11-09,66
2010-11-10,67
2010-11-11,70
2010-11-12,69
2010-11-13,71
2010-11-14,70
2010-11-15,70
2010-11-16,71
2010-11-17,75
2010-11-18,72
2010-11-19,75
2010-11-20,76
2010-11-21,71
2010-11-22,69
2010-11-23,67
2010-11-24,65
2010-11-25,66
2010-11-26,61
2010-11-27,59
2010-11-28,59
2010-11-29,59
2010-11-30,60
2010-12-01,60
2010-12-02,64
2010-12-03,61
2010-12-04,62
2010-12-05,63
2010-12-06,60
2010-12-07,63
2010-12-08,61
2010-12-09,58
2010-12-10,61
2010-12-11,57
2010-12-12,59
2010-12-13,61
2010-12-14,64
2010-12-15,65
2010-12-16,69
2010-12-17,69
2010-12-18,71
2010-12-19,68
2010-12-20,65
2010-12-21,62
2010-12-22,62
2010-12-23,56
2010-12-24,53
2010-12-25,51
2010-12-26,53
2010-12-27,56
2010-12-28,59
2010-12-29,62
2010-12-30,68
2010-12-31,68
2011-01-01,71
2011-01-02,73
2011-01-03,75
2011-01-04,78
2011-01-05,80
2011-01-06,83
2011-01-07,87
2011-01-08,91
2011-01-09,87
2011-01-10,86
2011-01-11,90
2011-01-12,85
2011-01-13,86
2011-01-14,84
2011-01-15,89
2011-01-16,83
2011-01-17,82
2011-01-18,85
2011-01-19,81
2011-01-20,80
2011-01-21,86
2011-01-22,80
2011-01-23,81
2011-01-24,83
2011-01-25,86
2011-01-26,95
2011-01-27,91
2011-01-28,93
2011-01-29,100
2011-01-30,102
2011-01-31,92
2011-02-01,90
2011-02-02,89
2011-02-03,87
2011-02-04,95
2011-02-05,84
2011-02-06,87
2011-02-07,83
2011-02-08,83
2011-02-09,85
2011-02-10,82
2011-02-11,91
2011-02-12,82
2011-02-13,80
2011-02-14,78
2011-02-15,76
2011-02-16,74
2011-02-17,72
2011-02-18,75
2011-02-19,68
2011-02-20,68
2011-02-21,68
2011-02-22,68
2011-02-23,68
2011-02-24,75
2011-02-25,68
2011-02-26,68
2011-02-27,68
2011-02-28,69
2011-03-01,70
2011-03-02,74
2011-03-03,72
2011-03-04,80
2011-03-05,74
2011-03-06,73
2011-03-07,73
2011-03-08,76
2011-03-09,79
2011-03-10,71
2011-03-11,74
2011-03-12,71
2011-03-13,71
2011-03-14,72
2011-03-15,79
2011-03-16,73
2011-03-17,74
2011-03-18,84
2011-03-19,76
2011-03-20,76
2011-03-21,76
2011-03-22,76
2011-03-23,80
2011-03-24,77
2011-03-25,86
2011-03-26,78
2011-03-27,78
2011-03-28,79
2011-03-29,80
2011-03-30,80
2011-03-31,85
2011-04-01,84
2011-04-02,83
2011-04-03,82
2011-04-04,84
2011-04-05,81
2011-04-06,80
2011-04-07,79
2011-04-08,86
2011-04-09,78
2011-04-10,81
2011-04-11,79
2011-04-12,82
2011-04-13,80
2011-04-14,83
2011-04-15,84
2011-04-16,83
2011-04-17,86
2011-04-18,85
2011-04-19,91
2011-04-20,87
2011-04-21,93
2011-04-22,93
2011-04-23,90
2011-04-24,87
2011-04-25,85
2011-04-26,83
2011-04-27,81
2011-04-28,81
2011-04-29,79
2011-04-30,77
2011-05-01,76
2011-05-02,78
2011-05-03,84
2011-05-04,82
2011-05-05,87
2011-05-06,87
2011-05-07,90
2011-05-08,88
2011-05-09,83
2011-05-10,81
2011-05-11,79
2011-05-12,80
2011-05-13,75
2011-05-14,77
2011-05-15,76
2011-05-16,76
2011-05-17,78
2011-05-18,81
2011-05-19,81
2011-05-20,83
2011-05-21,89
2011-05-22,88
2011-05-23,83
2011-05-24,82
2011-05-25,89
2011-05-26,80
2011-05-27,79
2011-05-28,82
2011-05-29,79
2011-05-30,79
2011-05-31,79
2011-06-01,79
2011-06-02,79
2011-06-03,81
2011-06-04,79
2011-06-05,78
2011-06-06,77
2011-06-07,84
2011-06-08,75
2011-06-09,74
2011-06-10,73
2011-06-11,72
2011-06-12,71
2011-06-13,70
2011-06-14,73
2011-06-15,68
2011-06-16,69
2011-06-17,66
2011-06-18,70
2011-06-19,67
2011-06-20,70
2011-06-21,78
2011-06-22,75
2011-06-23,78
2011-06-24,85
2011-06-25,89
2011-06-26,82
2011-06-27,81
2011-06-28,83
2011-06-29,80
2011-06-30,78
2011-07-01,79
2011-07-02,76
2011-07-03,77
2011-07-04,81
2011-07-05,79
2011-07-06,80
2011-07-07,82
2011-07-08,83
2011-07-09,83
2011-07-10,83
2011-07-11,83
2011-07-12,83
2011-07-13,88
2011-07-14,83
2011-07-15,89
2011-07-16,86
2011-07-17,83
2011-07-18,83
2011-07-19,83
2011-07-20,83
2011-07-21,90
2011-07-22,85
2011-07-23,86
2011-07-24,81
2011-07-25,80
2011-07-26,79
2011-07-27,81
2011-07-28,76
2011-07-29,75
2011-07-30,78
2011-07-31,75
2011-08-01,76
2011-08-02,78
2011-08-03,81
2011-08-04,81
2011-08-05,82
2011-08-06,96
2011-08-07,82
2011-08-08,80
2011-08-09,78
2011-08-10,80
2011-08-11,74
2011-08-12,80
2011-08-13,71
2011-08-14,71
2011-08-15,69
2011-08-16,69
2011-08-17,68
2011-08-18,76
2011-08-19,67
2011-08-20,68
2011-08-21,68
2011-08-22,70
2011-08-23,71
2011-08-24,73
2011-08-25,77
2011-08-26,77
2011-08-27,81
2011-08-28,76
2011-08-29,74
2011-08-30,73
2011-08-31,73
2011-09-01,70
2011-09-02,70
2011-09-03,70
2011-09-04,68
2011-09-05,72
2011-09-06,70
2011-09-07,71
2011-09-08,72
2011-09-09,73
2011-09-10,79
2011-09-11,73
2011-09-12,72
2011-09-13,72
2011-09-14,71
2011-09-15,71
2011-09-16,74
2011-09-17,69
2011-09-18,71
2011-09-19,73
2011-09-20,75
2011-09-21,77
2011-09-22,88
2011-09-23,81
2011-09-24,88
2011-09-25,83
2011-09-26,82
2011-09-27,82
2011-09-28,82
2011-09-29,80
2011-09-30,79
2011-10-01,84
2011-10-02,78
2011-10-03,77
2011-10-04,79
2011-10-05,76
2011-10-06,77
2011-10-07,75
2011-10-08,82
2011-10-09,74
2011-10-10,75
2011-10-11,73
2011-10-12,73
2011-10-13,72
2011-10-14,75
2011-10-15,73
2011-10-16,74
2011-10-17,69
2011-10-18,68
2011-10-19,67
2011-10-20,69
2011-10-21,65
2011-10-22,66
2011-10-23,64
2011-10-24,64
2011-10-25,65
2011-10-26,66
2011-10-27,67
2011-10-28,66
2011-10-29,67
2011-10-30,68
2011-10-31,70
2011-11-01,73
2011-11-02,74
2011-11-03,79
2011-11-04,76
2011-11-05,78
2011-11-06,76
2011-11-07,74
2011-11-08,73
2011-11-09,74
2011-11-10,70
2011-11-11,75
2011-11-12,67
2011-11-13,67
2011-11-14,67
2011-11-15,69
2011-11-16,67
2011-11-17,77
2011-11-18,67
2011-11-19,68
2011-11-20,68
2011-11-21,64
2011-11-22,63
2011-11-23,67
2011-11-24,61
2011-11-25,60
2011-11-26,59
2011-11-27,62
2011-11-28,65
2011-11-29,71
2011-11-30,72
