Date,Tripwire
2011-03-11,47
2011-03-12,47
2011-03-13,46
2011-03-14,46
2011-03-15,46
2011-03-16,46
2011-03-17,46
2011-03-18,48
2011-03-19,46
2011-03-20,45
2011-03-21,45
2011-03-22,45
2011-03-23,44
2011-03-24,44
2011-03-25,43
2011-03-26,43
2011-03-27,43
2011-03-28,44
2011-03-29,45
2011-03-30,46
2011-03-31,47
2011-05-01,44
2011-05-02,44
2011-05-03,44
2011-05-04,43
2011-05-05,43
2011-05-06,43
2011-05-07,44
2011-05-08,44
2011-05-09,45
2011-05-10,47
2011-05-11,48
2011-05-12,50
2011-05-13,51
2011-05-14,55
2011-05-15,53
2011-05-16,53
2011-05-17,53
2011-05-18,56
2011-05-19,53
2011-05-20,54
2011-05-21,54
2011-05-22,53
2011-05-23,54
2011-05-24,54
2011-05-25,57
2011-05-26,55
2011-05-27,56
2011-05-28,60
2011-05-29,55
2011-05-30,53
2011-05-31,51
2011-06-01,49
2011-06-02,47
2011-06-03,45
2011-06-04,45
2011-06-05,44
2011-06-06,44
2011-06-07,44
2011-06-08,44
2011-06-09,44
2011-06-10,44
2011-06-11,44
2011-06-12,43
2011-06-13,42
2011-06-14,41
2011-06-15,41
2011-06-16,40
2011-06-17,39
2011-06-18,39
2011-06-19,40
2011-06-20,41
2011-06-21,42
2011-06-22,44
2011-06-23,45
2011-06-24,46
2011-06-25,48
2011-06-26,50
2011-06-27,53
2011-06-28,56
2011-06-29,63
2011-06-30,61
2011-07-01,64
2011-07-02,67
2011-07-03,62
2011-07-04,57
2011-07-05,53
2011-07-06,48
2011-07-07,47
2011-07-08,40
2011-07-09,35
2011-07-10,39
2011-07-11,43
2011-07-12,49
2011-07-13,51
2011-07-14,57
2011-07-15,59
2011-07-16,63
2011-07-17,61
2011-07-18,59
2011-07-19,57
2011-07-20,55
2011-07-21,53
2011-07-22,51
2011-07-23,49
2011-07-24,48
2011-07-25,48
2011-07-26,47
2011-07-27,47
2011-07-28,46
2011-07-29,46
2011-07-30,46
2011-07-31,47
2011-08-01,48
2011-08-02,49
2011-08-03,51
2011-08-04,52
2011-08-05,53
2011-08-06,55
2011-08-07,54
2011-08-08,53
2011-08-09,54
2011-08-10,51
2011-08-11,50
2011-08-12,49
2011-08-13,49
2011-08-14,49
2011-08-15,49
2011-08-16,50
2011-08-17,50
2011-08-18,51
2011-08-19,51
2011-08-20,52
2011-08-21,51
2011-08-22,50
2011-08-23,51
2011-08-24,49
2011-08-25,48
2011-08-26,47
2011-08-27,47
2011-08-28,54
2011-08-29,66
2011-08-30,69
2011-08-31,77
2011-09-01,94
2011-09-02,92
2011-09-03,107
2011-09-04,94
2011-09-05,94
2011-09-06,82
2011-09-07,76
2011-09-08,70
2011-09-09,64
2011-09-10,61
2011-09-11,60
2011-09-12,63
2011-09-13,65
2011-09-14,68
2011-09-15,71
2011-09-16,77
2011-09-17,76
2011-09-18,75
2011-09-19,75
2011-09-20,74
2011-09-21,77
2011-09-22,78
2011-09-23,73
2011-09-24,74
2011-09-25,69
2011-09-26,65
2011-09-27,66
2011-09-28,60
2011-09-29,54
2011-09-30,50
2011-10-01,47
2011-10-02,48
2011-10-03,49
2011-10-04,52
2011-10-05,51
2011-10-06,52
2011-10-07,53
2011-10-08,59
2011-10-09,54
2011-10-10,53
2011-10-11,52
2011-10-12,51
2011-10-13,53
2011-10-14,49
2011-10-15,49
2011-10-16,50
2011-10-17,51
2011-10-18,52
2011-10-19,55
2011-10-20,54
2011-10-21,59
2011-10-22,57
2011-10-23,56
2011-10-24,55
2011-10-25,54
2011-10-26,56
2011-10-27,52
2011-10-28,51
2011-10-29,51
2011-10-30,50
2011-10-31,49
