Date,Compbenefits
2007-09-28,40
2007-09-29,40
2007-09-30,42
2007-10-01,44
2007-10-02,46
2007-10-03,48
2007-10-04,50
2007-10-05,52
2007-10-06,55
2007-10-07,54
2007-10-08,54
2007-10-09,53
2007-10-10,53
2007-10-11,52
2007-10-12,51
2007-10-13,51
2007-10-14,53
2007-10-15,55
2007-10-16,57
2007-10-17,59
2007-10-18,61
2007-10-19,63
2007-10-20,66
2007-10-21,64
2007-10-22,62
2007-10-23,61
2007-10-24,59
2007-10-25,58
2007-10-26,56
2007-10-27,55
2007-10-28,52
2007-10-29,50
2007-10-30,48
2007-10-31,46
2007-11-01,44
2007-11-02,41
2007-11-03,39
2007-11-04,40
2007-11-05,40
2007-11-06,41
2007-11-07,41
2007-11-08,42
2007-11-09,43
2007-11-10,44
2007-11-11,42
2007-11-12,41
2007-11-13,39
2007-11-14,38
2007-11-15,36
2007-11-16,35
2007-11-17,34
2007-11-18,34
2007-11-19,35
2007-11-20,35
2007-11-21,36
2007-11-22,36
2007-11-23,37
2007-11-24,38
2007-11-25,40
2007-12-02,54
2007-12-03,53
2007-12-04,52
2007-12-05,51
2007-12-06,50
2007-12-07,49
2007-12-08,48
2007-12-09,46
2007-12-10,44
2007-12-11,42
2007-12-12,41
2007-12-13,39
2007-12-14,37
2007-12-15,36
2007-12-16,37
2007-12-17,38
2007-12-18,39
2007-12-19,40
2007-12-20,41
2007-12-21,42
2007-12-22,43
2007-12-23,44
2007-12-24,45
2007-12-25,46
2007-12-26,47
2007-12-27,48
2007-12-28,49
2007-12-29,51
2007-12-30,52
2007-12-31,53
2008-01-01,54
2008-01-02,55
2008-01-03,56
2008-01-04,57
2008-01-05,58
2008-01-06,59
2008-01-07,60
2008-01-08,61
2008-01-09,62
2008-01-10,63
2008-01-11,64
2008-01-12,65
2008-01-13,62
2008-01-14,59
2008-01-15,56
2008-01-16,53
2008-01-17,50
2008-01-18,47
2008-01-19,44
2008-01-20,45
2008-01-21,46
2008-01-22,48
2008-01-23,49
2008-01-24,50
2008-01-25,51
2008-01-26,53
2008-01-27,51
2008-01-28,49
2008-01-29,47
2008-01-30,45
2008-01-31,43
2008-02-01,41
2008-02-02,40
2008-02-03,41
2008-02-04,42
2008-02-05,43
2008-02-06,44
2008-02-07,46
2008-02-08,47
2008-02-09,48
2008-02-10,50
2008-02-11,52
2008-02-12,54
2008-02-13,56
2008-02-14,58
2008-02-15,60
2008-02-16,63
2008-02-17,61
2008-02-18,61
2008-02-19,60
2008-02-20,58
2008-02-21,57
2008-02-22,56
2008-02-23,55
2008-02-24,53
2008-03-02,40
2008-03-03,39
2008-03-04,38
2008-03-05,37
2008-03-06,35
2008-03-07,34
2008-03-08,33
2008-03-09,34
2008-03-10,35
2008-03-11,36
2008-03-12,38
2008-03-13,39
2008-03-14,40
2008-03-15,42
2008-03-16,40
2008-03-17,39
2008-03-18,37
2008-03-19,36
2008-03-20,34
2008-03-21,33
2008-03-22,32
2008-03-23,32
2008-03-24,33
2008-03-25,33
2008-03-26,34
2008-03-27,34
2008-03-28,35
2008-03-29,36
2008-03-30,37
2008-03-31,38
2008-04-01,40
2008-04-02,41
2008-04-03,42
2008-04-04,44
2008-04-05,45
2008-04-06,44
2008-04-07,43
2008-04-08,42
2008-04-09,41
2008-04-10,40
2008-04-11,39
2008-04-12,38
2008-04-13,37
2008-04-14,37
2008-04-15,36
2008-04-16,36
2008-04-17,35
2008-04-18,35
2008-04-19,35
2008-04-20,35
2008-04-21,35
2008-04-22,35
2008-04-23,35
2008-04-24,35
2008-04-25,35
2008-04-26,36
2008-04-27,36
2008-04-28,36
2008-04-29,36
2008-04-30,36
2008-05-01,36
2008-05-02,36
2008-05-03,37
2008-05-04,36
2008-05-05,35
2008-05-06,34
2008-05-07,33
2008-05-08,32
2008-05-09,31
2008-05-10,30
2008-05-11,30
2008-05-12,31
2008-05-13,32
2008-05-14,32
2008-05-15,33
2008-05-16,34
2008-05-17,35
2008-05-18,37
2008-05-19,40
2008-05-20,42
2008-05-21,44
2008-05-22,47
2008-05-23,50
2008-05-24,54
2008-05-25,47
