Date,AuthenTec
2008-03-21,88
2008-03-22,90
2008-03-23,88
2008-03-24,88
2008-03-25,87
2008-03-26,86
2008-03-27,84
2008-03-28,83
2008-03-29,82
2008-03-30,79
2008-03-31,76
2008-04-01,73
2008-04-02,71
2008-04-03,68
2008-04-04,65
2008-04-05,63
2008-04-06,62
2008-04-07,61
2008-04-08,60
2008-04-09,60
2008-04-10,59
2008-04-11,58
2008-04-12,58
2008-04-13,64
2008-04-14,70
2008-04-15,76
2008-04-16,83
2008-04-17,89
2008-04-18,95
2008-04-19,101
2008-04-20,97
2008-04-21,92
2008-04-22,88
2008-04-23,84
2008-04-24,80
2008-04-25,76
2008-04-26,72
2008-04-27,72
2008-04-28,73
2008-04-29,73
2008-04-30,74
2008-05-01,74
2008-05-02,75
2008-05-03,76
2008-05-04,77
2008-05-05,78
2008-05-06,80
2008-05-07,81
2008-05-08,82
2008-05-09,84
2008-05-10,85
2008-05-11,82
2008-05-12,79
2008-05-13,77
2008-05-14,74
2008-05-15,71
2008-05-16,68
2008-05-17,66
2008-05-18,65
2008-05-19,65
2008-05-20,65
2008-05-21,64
2008-05-22,64
2008-05-23,64
2008-05-24,64
2008-05-25,62
2008-06-01,53
2008-06-02,53
2008-06-03,53
2008-06-04,53
2008-06-05,53
2008-06-06,53
2008-06-07,53
2008-06-08,55
2008-06-09,57
2008-06-10,59
2008-06-11,62
2008-06-12,64
2008-06-13,66
2008-06-14,69
2008-06-15,68
2008-06-16,67
2008-06-17,67
2008-06-18,66
2008-06-19,65
2008-06-20,65
2008-06-21,64
2008-06-22,61
2008-06-23,58
2008-06-24,55
2008-06-25,53
2008-06-26,50
2008-06-27,47
2008-06-28,45
2008-06-29,47
2008-06-30,50
2008-07-01,52
2008-07-02,54
2008-07-03,57
2008-07-04,59
2008-07-05,62
2008-07-06,61
2008-07-07,61
2008-07-08,61
2008-07-09,60
2008-07-10,60
2008-07-11,60
2008-07-12,60
2008-07-13,61
2008-07-14,63
2008-07-15,64
2008-07-16,66
2008-07-17,67
2008-07-18,69
2008-07-19,71
2008-07-20,69
2008-07-21,68
2008-07-22,67
2008-07-23,66
2008-07-24,65
2008-07-25,64
2008-07-26,63
2008-07-27,67
2008-07-28,71
2008-07-29,75
2008-07-30,79
2008-07-31,83
2008-08-01,87
2008-08-02,91
2008-08-03,86
2008-08-04,81
2008-08-05,76
2008-08-06,71
2008-08-07,66
2008-08-08,61
2008-08-09,57
2008-08-10,57
2008-08-11,58
2008-08-12,59
2008-08-13,60
2008-08-14,61
2008-08-15,62
2008-08-16,63
2008-08-17,61
2008-08-18,60
2008-08-19,58
2008-08-20,56
2008-08-21,55
2008-08-22,53
2008-08-23,52
2008-08-24,54
2008-08-25,56
2008-08-26,58
2008-08-27,60
2008-08-28,62
2008-08-29,64
2008-08-30,67
2008-08-31,65
