Date,Renewable Energy Group
2011-06-23,66
2011-06-24,64
2011-06-25,62
2011-06-26,63
2011-07-03,68
2011-07-04,67
2011-07-05,67
2011-07-06,66
2011-07-07,66
2011-07-08,65
2011-07-09,65
2011-07-10,67
2011-07-11,70
2011-07-12,73
2011-07-13,76
2011-07-14,79
2011-07-15,82
2011-07-16,85
2011-07-17,82
2011-07-18,79
2011-07-19,76
2011-07-20,73
2011-07-21,70
2011-07-22,67
2011-07-23,64
2011-07-24,62
2011-07-25,60
2011-07-26,58
2011-07-27,56
2011-07-28,54
2011-07-29,52
2011-07-30,50
2011-07-31,49
2011-08-01,48
2011-08-02,47
2011-08-03,46
2011-08-04,45
2011-08-05,44
2011-08-06,43
2011-08-07,45
2011-08-08,48
2011-08-09,50
2011-08-10,53
2011-08-11,56
2011-08-12,58
2011-08-13,61
2011-08-14,59
2011-08-15,57
2011-08-16,56
2011-08-17,54
2011-08-18,53
2011-08-19,51
2011-08-20,50
2011-08-21,51
2011-08-22,52
2011-08-23,53
2011-08-24,54
2011-08-25,55
2011-08-26,56
2011-08-27,57
2011-08-28,56
2011-08-29,55
2011-08-30,55
2011-08-31,54
2011-09-01,53
2011-09-02,53
2011-09-03,52
2011-09-04,51
2011-09-05,50
2011-09-06,50
2011-09-07,49
2011-09-08,49
2011-09-09,48
2011-09-10,48
2011-09-11,50
2011-09-12,53
2011-09-13,56
2011-09-14,59
2011-09-15,62
2011-09-16,65
2011-09-17,68
2011-09-18,68
2011-09-19,67
2011-09-20,67
2011-09-21,67
2011-09-22,67
2011-09-23,67
2011-09-24,67
2011-09-25,68
2011-10-02,75
2011-10-03,71
2011-10-04,67
2011-10-05,63
2011-10-06,59
2011-10-07,55
2011-10-08,51
2011-10-09,54
2011-10-10,58
2011-10-11,61
2011-10-12,65
2011-10-13,68
2011-10-14,72
2011-10-15,76
2011-10-16,77
2011-10-17,79
2011-10-18,80
2011-10-19,81
2011-10-20,83
2011-10-21,84
2011-10-22,85
2011-10-23,82
2011-10-24,77
2011-10-25,73
2011-10-26,70
2011-10-27,66
2011-10-28,62
2011-10-29,59
2011-10-30,63
2011-10-31,68
2011-11-01,72
2011-11-02,77
2011-11-03,81
2011-11-04,86
2011-11-05,90
2011-11-06,87
2011-11-07,83
2011-11-08,80
2011-11-09,77
2011-11-10,74
2011-11-11,71
2011-11-12,68
2011-11-13,69
2011-11-14,72
2011-11-15,73
2011-11-16,75
2011-11-17,77
2011-11-18,79
2011-11-19,80
2011-11-20,75
2011-11-21,69
2011-11-22,64
2011-11-23,59
2011-11-24,54
2011-11-25,49
2011-11-26,44
2011-11-27,47
2011-11-28,50
2011-11-29,53
2011-11-30,56
2011-12-01,59
2011-12-02,62
2011-12-03,65
2011-12-04,64
2011-12-05,63
2011-12-06,62
2011-12-07,61
2011-12-08,61
2011-12-09,60
2011-12-10,59
2011-12-11,55
2011-12-12,52
2011-12-13,48
2011-12-14,45
2011-12-15,41
2011-12-16,38
2011-12-17,35
2011-12-18,38
2011-12-19,42
2011-12-20,45
2011-12-21,48
2011-12-22,52
2011-12-23,55
2011-12-24,59
2011-12-25,56
2012-01-01,40
2012-01-02,43
2012-01-03,46
2012-01-04,48
2012-01-05,51
2012-01-06,54
2012-01-07,57
2012-01-08,59
2012-01-09,61
2012-01-10,64
2012-01-11,66
2012-01-12,68
2012-01-13,70
2012-01-14,73
2012-01-15,70
2012-01-16,66
2012-01-17,63
2012-01-18,60
2012-01-19,57
2012-01-20,54
2012-01-21,51
2012-01-22,53
2012-01-23,55
2012-01-24,57
2012-01-25,59
2012-01-26,61
2012-01-27,63
2012-01-28,65
2012-01-29,64
2012-01-30,62
2012-01-31,61
2012-02-01,60
2012-02-02,59
2012-02-03,58
2012-02-04,57
2012-02-05,57
2012-02-06,57
2012-02-07,58
2012-02-08,58
2012-02-09,59
2012-02-10,59
2012-02-11,60
2012-02-12,59
2012-02-13,59
2012-02-14,59
2012-02-15,58
2012-02-16,58
2012-02-17,58
2012-02-18,58
2012-02-19,59
2012-02-20,61
2012-02-21,63
2012-02-22,65
2012-02-23,66
2012-02-24,68
2012-02-25,70
2012-02-26,68
2012-02-27,66
2012-02-28,64
2012-02-29,62
2012-03-01,60
2012-03-02,59
2012-03-03,57
2012-03-04,56
2012-03-05,56
2012-03-06,55
2012-03-07,55
2012-03-08,54
2012-03-09,54
2012-03-10,54
2012-03-11,59
2012-03-12,65
2012-03-13,70
2012-03-14,76
2012-03-15,81
2012-03-16,87
2012-03-17,93
2012-03-18,88
2012-03-19,82
2012-03-20,77
2012-03-21,72
2012-03-22,67
2012-03-23,62
2012-03-24,57
2012-03-25,56
2012-04-01,51
2012-04-02,52
2012-04-03,53
2012-04-04,54
2012-04-05,55
2012-04-06,56
2012-04-07,57
2012-04-08,56
2012-04-09,55
2012-04-10,54
2012-04-11,53
2012-04-12,52
2012-04-13,51
2012-04-14,51
2012-04-15,51
2012-04-16,52
2012-04-17,53
2012-04-18,54
2012-04-19,54
2012-04-20,55
2012-04-21,56
2012-04-22,56
2012-04-23,56
2012-04-24,56
2012-04-25,57
2012-04-26,57
2012-04-27,57
2012-04-28,58
2012-04-29,57
2012-04-30,57
2012-05-01,56
2012-05-02,56
2012-05-03,55
2012-05-04,55
2012-05-05,55
2012-05-06,56
2012-05-07,58
2012-05-08,60
2012-05-09,62
2012-05-10,64
2012-05-11,66
2012-05-12,68
2012-05-13,69
2012-05-14,71
2012-05-15,72
2012-05-16,73
2012-05-17,74
2012-05-18,75
2012-05-19,77
2012-05-20,73
2012-05-21,68
2012-05-22,64
2012-05-23,60
2012-05-24,56
2012-05-25,52
2012-05-26,49
2012-05-27,52
2012-05-28,55
2012-05-29,58
2012-05-30,61
2012-05-31,64
2012-06-01,67
2012-06-02,71
2012-06-03,66
2012-06-04,62
2012-06-05,58
2012-06-06,53
2012-06-07,49
2012-06-08,45
2012-06-09,41
2012-06-10,42
2012-06-11,43
2012-06-12,45
2012-06-13,46
2012-06-14,48
2012-06-15,49
2012-06-16,51
2012-06-17,50
2012-06-18,50
2012-06-19,50
2012-06-20,50
2012-06-21,50
2012-06-22,50
2012-06-23,50
2012-06-24,51
2012-07-01,55
2012-07-02,55
2012-07-03,55
2012-07-04,55
2012-07-05,55
2012-07-06,55
2012-07-07,55
2012-07-08,56
2012-07-09,57
2012-07-10,58
2012-07-11,59
2012-07-12,60
2012-07-13,62
2012-07-14,63
2012-07-15,59
2012-07-16,54
2012-07-17,50
2012-07-18,46
2012-07-19,42
2012-07-20,38
2012-07-21,35
2012-07-22,37
2012-07-23,40
2012-07-24,42
2012-07-25,44
2012-07-26,47
2012-07-27,49
2012-07-28,52
2012-07-29,51
2012-07-30,49
2012-07-31,48
2012-08-01,47
2012-08-02,46
2012-08-03,45
2012-08-04,44
2012-08-05,45
2012-08-06,46
2012-08-07,48
2012-08-08,49
2012-08-09,50
2012-08-10,52
2012-08-11,53
2012-08-12,51
2012-08-13,48
2012-08-14,45
2012-08-15,43
2012-08-16,40
2012-08-17,38
2012-08-18,36
2012-08-19,38
2012-08-20,41
2012-08-21,43
2012-08-22,46
2012-08-23,48
2012-08-24,51
2012-08-25,54
2012-08-26,54
2012-08-27,55
2012-08-28,56
2012-08-29,56
2012-08-30,57
2012-08-31,57
2012-09-01,58
2012-09-02,57
2012-09-03,56
2012-09-04,55
2012-09-05,55
2012-09-06,54
2012-09-07,53
2012-09-08,53
2012-09-09,53
2012-09-10,54
2012-09-11,55
2012-09-12,55
2012-09-13,56
2012-09-14,57
2012-09-15,58
2012-09-16,58
2012-09-17,58
2012-09-18,58
2012-09-19,59
2012-09-20,59
2012-09-21,59
2012-09-22,60
2012-09-23,59
2012-09-24,58
2012-09-25,57
2012-09-26,56
2012-09-27,55
2012-09-28,54
2012-09-29,54
2012-09-30,54
2012-10-07,56
2012-10-08,53
2012-10-09,51
2012-10-10,48
2012-10-11,46
2012-10-12,43
2012-10-13,41
2012-10-14,43
2012-10-15,45
2012-10-16,47
2012-10-17,49
2012-10-18,51
2012-10-19,53
2012-10-20,56
2012-10-21,55
2012-10-22,55
2012-10-23,55
2012-10-24,54
2012-10-25,54
2012-10-26,54
2012-10-27,53
2012-10-28,51
2012-10-29,48
2012-10-30,46
2012-10-31,43
2012-11-01,41
2012-11-02,39
2012-11-03,37
2012-11-04,41
2012-11-05,45
2012-11-06,49
2012-11-07,53
2012-11-08,57
2012-11-09,62
2012-11-10,66
2012-11-11,64
2012-11-12,63
2012-11-13,61
2012-11-14,59
2012-11-15,57
2012-11-16,56
2012-11-17,54
2012-11-18,54
2012-11-19,53
2012-11-20,52
2012-11-21,52
2012-11-22,51
2012-11-23,51
2012-11-24,51
2012-11-25,51
2012-11-26,52
2012-11-27,53
2012-11-28,53
2012-11-29,54
2012-11-30,54
2012-12-01,55
2012-12-02,53
2012-12-03,52
2012-12-04,50
2012-12-05,49
2012-12-06,47
2012-12-07,46
2012-12-08,45
2012-12-09,45
2012-12-10,45
2012-12-11,45
2012-12-12,46
2012-12-13,46
2012-12-14,46
2012-12-15,47
2012-12-16,47
2012-12-17,47
2012-12-18,47
2012-12-19,47
2012-12-20,47
2012-12-21,47
2012-12-22,47
2012-12-23,47
2012-12-24,48
2012-12-25,49
2012-12-26,50
2012-12-27,51
2012-12-28,52
2012-12-29,53
2012-12-30,50
