Date,BladeLogic
2007-10-26,21
2007-10-27,22
2007-10-28,22
2007-10-29,22
2007-10-30,22
2007-10-31,23
2007-11-01,23
2007-11-02,23
2007-11-03,24
2007-11-04,24
2007-11-05,24
2007-11-06,24
2007-11-07,24
2007-11-08,24
2007-11-09,24
2007-11-10,25
2007-11-11,25
2007-11-12,25
2007-11-13,25
2007-11-14,25
2007-11-15,25
2007-11-16,25
2007-11-17,25
2007-11-18,24
2007-11-19,23
2007-11-20,22
2007-11-21,21
2007-11-22,20
2007-11-23,19
2007-11-24,19
2007-11-25,18
2007-11-26,17
2007-11-27,16
2007-11-28,16
2007-11-29,15
2007-11-30,14
2007-12-01,14
2007-12-02,14
2007-12-03,14
2007-12-04,14
2007-12-05,14
2007-12-06,14
2007-12-07,14
2007-12-08,14
2007-12-09,15
2007-12-10,17
2007-12-11,19
2007-12-12,21
2007-12-13,23
2007-12-14,25
2007-12-15,27
2007-12-16,26
2007-12-17,26
2007-12-18,26
2007-12-19,25
2007-12-20,25
2007-12-21,25
2007-12-22,25
2007-12-23,25
2007-12-24,25
2007-12-25,25
2007-12-26,25
2007-12-27,25
2007-12-28,25
2007-12-29,25
2007-12-30,25
2008-01-06,25
2008-01-07,25
2008-01-08,25
2008-01-09,25
2008-01-10,25
2008-01-11,25
2008-01-12,25
2008-01-13,23
2008-01-14,22
2008-01-15,21
2008-01-16,19
2008-01-17,18
2008-01-18,17
2008-01-19,16
2008-01-20,16
2008-01-21,16
2008-01-22,16
2008-01-23,17
2008-01-24,17
2008-01-25,17
2008-01-26,18
2008-01-27,19
2008-01-28,21
2008-01-29,22
2008-01-30,24
2008-01-31,26
2008-02-01,27
2008-02-02,29
2008-02-03,28
2008-02-04,26
2008-02-05,24
2008-02-06,23
2008-02-07,21
2008-02-08,20
2008-02-09,19
2008-02-10,19
2008-02-11,20
2008-02-12,21
2008-02-13,22
2008-02-14,23
2008-02-15,24
2008-02-16,25
2008-02-17,23
2008-02-18,22
2008-02-19,21
2008-02-20,20
2008-02-21,19
2008-02-22,18
2008-02-23,17
2008-02-24,17
2008-02-25,17
2008-02-26,18
2008-02-27,18
2008-02-28,19
2008-02-29,19
2008-03-01,20
2008-03-02,19
2008-03-03,18
2008-03-04,18
2008-03-05,17
2008-03-06,17
2008-03-07,16
2008-03-08,16
2008-03-09,17
2008-03-10,18
2008-03-11,19
2008-03-12,20
2008-03-13,21
2008-03-14,22
2008-03-15,23
2008-03-16,34
2008-03-17,45
2008-03-18,57
2008-03-19,68
2008-03-20,79
2008-03-21,91
2008-03-22,103
2008-03-23,93
2008-03-24,80
2008-03-25,70
2008-03-26,60
2008-03-27,50
2008-03-28,40
2008-03-29,30
2008-03-30,29
2008-04-06,25
2008-04-07,25
2008-04-08,24
2008-04-09,24
2008-04-10,23
2008-04-11,23
2008-04-12,23
2008-04-13,22
2008-04-14,21
2008-04-15,20
2008-04-16,19
2008-04-17,18
2008-04-18,17
2008-04-19,17
2008-04-20,17
2008-04-21,18
2008-04-22,18
2008-04-23,18
2008-04-24,19
2008-04-25,19
2008-04-26,20
2008-04-27,20
2008-04-28,19
2008-04-29,19
2008-04-30,19
2008-05-01,19
2008-05-02,19
2008-05-03,19
2008-05-04,18
2008-05-05,18
2008-05-06,18
2008-05-07,17
2008-05-08,17
2008-05-09,17
2008-05-10,17
2008-05-11,17
2008-05-12,17
2008-05-13,17
2008-05-14,17
2008-05-15,17
2008-05-16,17
2008-05-17,18
2008-05-18,18
2008-05-19,18
2008-05-20,18
2008-05-21,19
2008-05-22,19
2008-05-23,19
2008-05-24,20
2008-05-25,18
2008-05-26,17
2008-05-27,16
2008-05-28,15
2008-05-29,14
2008-05-30,13
2008-05-31,12
2008-06-01,12
2008-06-02,13
2008-06-03,13
2008-06-04,14
2008-06-05,14
2008-06-06,15
2008-06-07,16
2008-06-08,16
2008-06-09,16
2008-06-10,17
2008-06-11,17
2008-06-12,18
2008-06-13,18
2008-06-14,19
2008-06-15,19
2008-06-16,20
2008-06-17,21
2008-06-18,22
2008-06-19,23
2008-06-20,24
2008-06-21,25
2008-06-22,24
2008-06-23,22
2008-06-24,21
2008-06-25,19
2008-06-26,18
2008-06-27,17
2008-06-28,16
2008-06-29,16
2008-07-06,17
2008-07-07,16
2008-07-08,15
2008-07-09,15
2008-07-10,14
2008-07-11,13
2008-07-12,13
2008-07-13,13
2008-07-14,13
2008-07-15,14
2008-07-16,14
2008-07-17,15
2008-07-18,15
2008-07-19,16
2008-07-20,16
2008-07-21,16
2008-07-22,16
2008-07-23,16
2008-07-24,16
2008-07-25,16
2008-07-26,16
2008-07-27,17
2008-07-28,18
2008-07-29,19
2008-07-30,20
2008-07-31,21
2008-08-01,22
2008-08-02,23
2008-08-03,21
2008-08-04,19
2008-08-05,18
2008-08-06,16
2008-08-07,14
2008-08-08,12
2008-08-09,11
2008-08-10,11
2008-08-11,11
2008-08-12,11
2008-08-13,12
2008-08-14,12
2008-08-15,12
2008-08-16,13
2008-08-17,13
2008-08-18,13
2008-08-19,13
2008-08-20,13
2008-08-21,13
2008-08-22,13
2008-08-23,14
2008-08-24,13
2008-08-25,13
2008-08-26,12
2008-08-27,12
2008-08-28,11
2008-08-29,11
2008-08-30,11
2008-08-31,11
2008-09-01,11
2008-09-02,11
2008-09-03,11
2008-09-04,11
2008-09-05,11
2008-09-06,11
2008-09-07,9
2008-09-08,7
2008-09-09,6
2008-09-10,4
2008-09-11,3
2008-09-12,1
2008-09-13,0
2008-09-14,0
2008-09-15,0
2008-09-16,0
2008-09-17,0
2008-09-18,0
2008-09-19,0
2008-09-20,0
2008-09-21,0
2008-09-22,0
2008-09-23,0
2008-09-24,0
2008-09-25,0
2008-09-26,0
2008-09-27,0
2008-09-28,0
