Date,Triple-S Management
2007-04-23,58
2007-04-24,58
2007-04-25,57
2007-04-26,57
2007-04-27,56
2007-04-28,56
2007-04-29,55
2007-04-30,55
2007-05-01,55
2007-05-02,55
2007-05-03,55
2007-05-04,55
2007-05-05,55
2007-05-06,55
2007-05-07,55
2007-05-08,55
2007-05-09,55
2007-05-10,55
2007-05-11,55
2007-05-12,56
2007-05-13,56
2007-05-14,56
2007-05-15,56
2007-05-16,56
2007-05-17,56
2007-05-18,56
2007-05-19,56
2007-05-20,56
2007-05-21,56
2007-05-22,57
2007-05-23,57
2007-05-24,57
2007-05-25,57
2007-05-26,57
2007-05-27,57
2007-05-28,57
2007-05-29,57
2007-05-30,57
2007-05-31,57
2007-06-01,58
2007-06-02,57
2007-06-03,57
2007-06-04,57
2007-06-05,57
2007-06-06,56
2007-06-07,56
2007-06-08,56
2007-06-09,56
2007-06-10,55
2007-06-11,55
2007-06-12,55
2007-06-13,55
2007-06-14,54
2007-06-15,54
2007-06-16,54
2007-06-17,54
2007-06-18,54
2007-06-19,53
2007-06-20,53
2007-06-21,53
2007-06-22,53
2007-06-23,52
2007-06-24,52
2007-06-25,52
2007-06-26,52
2007-06-27,51
2007-06-28,51
2007-06-29,51
2007-06-30,51
2007-07-01,51
2007-07-02,51
2007-07-03,51
2007-07-04,51
2007-07-05,51
2007-07-06,51
2007-07-07,51
2007-07-08,51
2007-07-09,51
2007-07-10,51
2007-07-11,51
2007-07-12,52
2007-07-13,52
2007-07-14,52
2007-07-15,52
2007-07-16,52
2007-07-17,52
2007-07-18,52
2007-07-19,52
2007-07-20,52
2007-07-21,52
2007-07-22,53
2007-07-23,53
2007-07-24,53
2007-07-25,53
2007-07-26,53
2007-07-27,53
2007-07-28,53
2007-07-29,53
2007-07-30,53
2007-07-31,53
2007-08-01,54
2007-08-02,54
2007-08-03,55
2007-08-04,56
2007-08-05,57
2007-08-06,58
2007-08-07,58
2007-08-08,59
2007-08-09,60
2007-08-10,61
2007-08-11,62
2007-08-12,62
2007-08-13,63
2007-08-14,64
2007-08-15,65
2007-08-16,66
2007-08-17,66
2007-08-18,67
2007-08-19,68
2007-08-20,69
2007-08-21,70
2007-08-22,70
2007-08-23,71
2007-08-24,72
2007-08-25,73
2007-08-26,74
2007-08-27,74
2007-08-28,75
2007-08-29,76
2007-08-30,77
2007-08-31,78
2007-09-01,79
2007-09-02,78
2007-09-03,77
2007-09-04,77
2007-09-05,76
2007-09-06,76
2007-09-07,75
2007-09-08,75
2007-09-09,74
2007-09-10,73
2007-09-11,73
2007-09-12,72
2007-09-13,72
2007-09-14,71
2007-09-15,71
2007-09-16,70
2007-09-17,69
2007-09-18,69
2007-09-19,68
2007-09-20,68
2007-09-21,67
2007-09-22,67
2007-09-23,66
2007-09-24,65
2007-09-25,65
2007-09-26,64
2007-09-27,64
2007-09-28,63
2007-09-29,63
2007-09-30,62
2007-10-01,62
2007-10-02,61
2007-10-03,60
2007-10-04,60
2007-10-05,59
2007-10-06,59
2007-10-07,58
2007-10-08,58
2007-10-09,57
2007-10-10,57
2007-10-11,56
2007-10-12,56
2007-10-13,55
2007-10-14,55
2007-10-15,54
2007-10-16,54
2007-10-17,53
2007-10-18,53
2007-10-19,52
2007-10-20,52
2007-10-21,51
2007-10-22,51
2007-10-23,50
2007-10-24,50
2007-10-25,49
2007-10-26,49
2007-10-27,48
2007-10-28,48
2007-10-29,47
2007-10-30,47
2007-10-31,46
2007-11-01,46
2007-11-02,47
2007-11-03,49
2007-11-04,51
2007-11-05,52
2007-11-06,54
2007-11-07,56
2007-11-08,58
2007-11-09,59
2007-11-10,61
2007-11-11,63
2007-11-12,65
2007-11-13,66
2007-11-14,68
2007-11-15,70
2007-11-16,72
2007-11-17,73
2007-11-18,75
2007-11-19,77
2007-11-20,78
2007-11-21,80
2007-11-22,82
2007-11-23,84
2007-11-24,85
2007-11-25,87
2007-11-26,89
2007-11-27,91
2007-11-28,92
2007-11-29,94
2007-11-30,96
2007-12-01,98
2007-12-02,97
2007-12-03,97
2007-12-04,97
2007-12-05,97
2007-12-06,97
2007-12-07,97
2007-12-08,96
2007-12-09,96
2007-12-10,96
2007-12-11,96
2007-12-12,96
2007-12-13,96
2007-12-14,95
2007-12-15,95
2007-12-16,95
2007-12-17,95
2007-12-18,95
2007-12-19,95
2007-12-20,94
2007-12-21,94
2007-12-22,94
2007-12-23,94
2007-12-24,94
2007-12-25,94
2007-12-26,93
2007-12-27,93
2007-12-28,93
2007-12-29,93
2007-12-30,93
2007-12-31,93
2008-01-01,93
2008-01-02,92
2008-01-03,92
2008-01-04,92
2008-01-05,91
2008-01-06,91
2008-01-07,91
2008-01-08,91
2008-01-09,90
2008-01-10,90
2008-01-11,90
2008-01-12,90
2008-01-13,89
2008-01-14,89
2008-01-15,89
2008-01-16,89
2008-01-17,88
2008-01-18,88
2008-01-19,88
2008-01-20,88
2008-01-21,87
2008-01-22,87
2008-01-23,87
2008-01-24,87
2008-01-25,86
2008-01-26,86
2008-01-27,86
2008-01-28,86
2008-01-29,85
2008-01-30,85
2008-01-31,85
2008-02-01,85
2008-02-02,84
2008-02-03,83
2008-02-04,82
2008-02-05,81
2008-02-06,81
2008-02-07,80
2008-02-08,79
2008-02-09,78
2008-02-10,77
2008-02-11,77
2008-02-12,76
2008-02-13,75
2008-02-14,74
2008-02-15,73
2008-02-16,73
2008-02-17,72
2008-02-18,71
2008-02-19,70
2008-02-20,69
2008-02-21,69
2008-02-22,68
2008-02-23,67
2008-02-24,66
2008-02-25,65
2008-02-26,65
2008-02-27,64
2008-02-28,63
2008-02-29,62
2008-03-01,62
2008-03-02,62
2008-03-03,62
2008-03-04,62
2008-03-05,63
2008-03-06,63
2008-03-07,63
2008-03-08,64
2008-03-09,64
2008-03-10,64
2008-03-11,65
2008-03-12,65
2008-03-13,65
2008-03-14,66
2008-03-15,66
2008-03-16,66
2008-03-17,67
2008-03-18,67
2008-03-19,67
2008-03-20,68
2008-03-21,68
2008-03-22,68
2008-03-23,69
2008-03-24,69
2008-03-25,69
2008-03-26,70
2008-03-27,70
2008-03-28,70
2008-03-29,71
2008-03-30,71
2008-03-31,71
2008-04-01,72
2008-04-02,72
2008-04-03,72
2008-04-04,72
2008-04-05,72
2008-04-06,72
2008-04-07,73
2008-04-08,73
2008-04-09,73
2008-04-10,73
2008-04-11,73
2008-04-12,73
2008-04-13,74
2008-04-14,74
2008-04-15,74
2008-04-16,74
2008-04-17,74
2008-04-18,74
2008-04-19,75
2008-04-20,75
2008-04-21,75
2008-04-22,75
2008-04-23,75
2008-04-24,75
2008-04-25,76
2008-04-26,76
2008-04-27,76
2008-04-28,76
2008-04-29,76
2008-04-30,76
2008-05-01,77
2008-05-02,76
2008-05-03,75
2008-05-04,75
2008-05-05,74
2008-05-06,74
2008-05-07,73
2008-05-08,72
2008-05-09,72
2008-05-10,71
2008-05-11,71
2008-05-12,70
2008-05-13,70
2008-05-14,69
2008-05-15,68
2008-05-16,68
2008-05-17,67
2008-05-18,67
2008-05-19,66
2008-05-20,65
2008-05-21,65
2008-05-22,64
2008-05-23,64
2008-05-24,63
2008-05-25,63
2008-05-26,62
2008-05-27,61
2008-05-28,61
2008-05-29,60
2008-05-30,60
2008-05-31,59
2008-06-01,59
2008-06-02,60
2008-06-03,61
2008-06-04,62
2008-06-05,64
2008-06-06,65
2008-06-07,66
2008-06-08,68
2008-06-09,69
2008-06-10,70
2008-06-11,72
2008-06-12,73
2008-06-13,74
2008-06-14,75
2008-06-15,77
2008-06-16,78
2008-06-17,79
2008-06-18,81
2008-06-19,82
2008-06-20,83
2008-06-21,85
2008-06-22,86
2008-06-23,87
2008-06-24,88
2008-06-25,90
2008-06-26,91
2008-06-27,92
2008-06-28,94
2008-06-29,95
2008-06-30,96
2008-07-01,98
2008-07-02,97
2008-07-03,97
2008-07-04,97
2008-07-05,97
2008-07-06,97
2008-07-07,96
2008-07-08,96
2008-07-09,96
2008-07-10,96
2008-07-11,96
2008-07-12,95
2008-07-13,95
2008-07-14,95
2008-07-15,95
2008-07-16,95
2008-07-17,94
2008-07-18,94
2008-07-19,94
2008-07-20,94
2008-07-21,94
2008-07-22,93
2008-07-23,93
2008-07-24,93
2008-07-25,93
2008-07-26,93
2008-07-27,92
2008-07-28,92
2008-07-29,92
2008-07-30,92
2008-07-31,92
2008-08-01,92
2008-08-02,91
2008-08-03,90
2008-08-04,89
2008-08-05,88
2008-08-06,88
2008-08-07,87
2008-08-08,86
2008-08-09,85
2008-08-10,85
2008-08-11,84
2008-08-12,83
2008-08-13,82
2008-08-14,81
2008-08-15,81
2008-08-16,80
2008-08-17,79
2008-08-18,78
2008-08-19,78
2008-08-20,77
2008-08-21,76
2008-08-22,75
2008-08-23,74
2008-08-24,74
2008-08-25,73
2008-08-26,72
2008-08-27,71
2008-08-28,71
2008-08-29,70
2008-08-30,69
2008-08-31,68
2008-09-01,68
2008-09-02,68
2008-09-03,69
2008-09-04,69
2008-09-05,70
2008-09-06,71
2008-09-07,71
2008-09-08,72
2008-09-09,73
2008-09-10,73
2008-09-11,74
2008-09-12,74
2008-09-13,75
2008-09-14,76
2008-09-15,76
2008-09-16,77
2008-09-17,78
2008-09-18,78
2008-09-19,79
2008-09-20,80
2008-09-21,80
2008-09-22,81
2008-09-23,81
2008-09-24,82
2008-09-25,83
2008-09-26,83
2008-09-27,84
2008-09-28,85
2008-09-29,85
2008-09-30,86
