Date,Birds Eye Foods
2009-09-10,44
2009-09-11,44
2009-09-12,49
2009-09-13,44
2009-09-14,44
2009-09-15,44
2009-09-16,45
2009-09-17,48
2009-09-18,44
2009-09-19,46
2009-09-20,44
2009-09-21,44
2009-09-22,44
2009-09-23,45
2009-09-24,44
2009-09-25,44
2009-09-26,46
2009-09-27,45
2009-09-28,44
2009-09-29,49
2009-09-30,45
2009-10-01,45
2009-10-02,48
2009-10-03,49
2009-10-04,46
2009-10-05,46
2009-10-06,46
2009-10-07,46
2009-10-08,46
2009-10-09,46
2009-10-10,52
2009-10-11,46
2009-10-12,48
2009-10-13,49
2009-10-14,48
2009-10-15,51
2009-10-16,50
2009-10-17,52
2009-10-18,49
2009-10-19,48
2009-10-20,47
2009-10-21,46
2009-10-22,45
2009-10-23,45
2009-10-24,47
2009-10-25,42
2009-10-26,43
2009-10-27,42
2009-10-28,41
2009-10-29,43
2009-10-30,43
2009-10-31,41
2009-11-01,44
2009-11-02,42
2009-11-03,45
2009-11-04,44
2009-11-05,45
2009-11-06,48
2009-11-07,49
2009-11-08,48
2009-11-09,49
2009-11-10,52
2009-11-11,51
2009-11-12,54
2009-11-13,53
2009-11-14,60
2009-11-15,55
2009-11-16,55
2009-11-17,57
2009-11-18,56
2009-11-19,57
2009-11-20,61
2009-11-21,65
2009-11-22,56
2009-11-23,55
2009-11-24,54
2009-11-25,59
2009-11-26,52
2009-11-27,52
2009-11-28,50
2009-11-29,49
2009-11-30,48
2009-12-01,47
2009-12-02,49
2009-12-03,45
2009-12-04,44
2009-12-05,46
2009-12-06,44
2009-12-07,45
2009-12-08,47
2009-12-09,48
2009-12-10,52
2009-12-11,50
2009-12-12,54
2009-12-13,49
2009-12-14,47
2009-12-15,47
2009-12-16,43
2009-12-17,41
2009-12-18,39
2009-12-19,38
2009-12-20,36
2009-12-21,36
2009-12-22,36
2009-12-23,36
2009-12-24,37
2009-12-25,37
2009-12-26,37
2009-12-27,35
2009-12-28,34
2009-12-29,33
2009-12-30,33
2009-12-31,33
2010-01-01,31
2010-01-02,31
2010-01-03,33
2010-01-04,38
2010-01-05,39
2010-01-06,42
2010-01-07,45
2010-01-08,51
2010-01-09,52
2010-01-10,51
2010-01-11,51
2010-01-12,57
2010-01-13,52
2010-01-14,53
2010-01-15,56
2010-01-16,54
2010-01-17,55
2010-01-18,53
2010-01-19,56
2010-01-20,53
2010-01-21,52
2010-01-22,52
2010-01-23,52
2010-01-24,52
2010-01-25,49
2010-01-26,47
2010-01-27,48
2010-01-28,44
2010-01-29,43
2010-01-30,44
2010-01-31,44
2010-02-01,46
2010-02-02,48
2010-02-03,51
2010-02-04,53
2010-02-05,57
2010-02-06,59
2010-02-07,58
2010-02-08,54
2010-02-09,52
2010-02-10,50
2010-02-11,49
2010-02-12,46
2010-02-13,47
2010-02-14,45
2010-02-15,48
2010-02-16,47
2010-02-17,49
2010-02-18,49
2010-02-19,53
2010-02-20,51
2010-02-21,50
2010-02-22,49
2010-02-23,49
2010-02-24,51
2010-02-25,48
2010-02-26,49
2010-02-27,47
2010-02-28,47
2010-03-01,51
2010-03-02,49
2010-03-03,50
2010-03-04,51
2010-03-05,54
2010-03-06,56
2010-03-07,52
2010-03-08,51
2010-03-09,50
2010-03-10,52
2010-03-11,49
2010-03-12,51
2010-03-13,48
2010-03-14,48
2010-03-15,49
2010-03-16,48
2010-03-17,48
2010-03-18,48
2010-03-19,52
2010-03-20,51
2010-03-21,49
2010-03-22,50
2010-03-23,51
2010-03-24,52
2010-03-25,52
2010-03-26,57
2010-03-27,55
2010-03-28,53
2010-03-29,53
2010-03-30,52
2010-03-31,54
2010-04-01,51
2010-04-02,55
2010-04-03,54
2010-04-04,50
2010-04-05,51
2010-04-06,48
2010-04-07,47
2010-04-08,46
2010-04-09,46
2010-04-10,44
2010-04-11,44
2010-04-12,44
2010-04-13,45
2010-04-14,47
2010-04-15,47
2010-04-16,47
2010-04-17,49
2010-04-18,46
2010-04-19,46
2010-04-20,46
2010-04-21,47
2010-04-22,45
2010-04-23,44
2010-04-24,48
2010-04-25,45
2010-04-26,47
2010-04-27,48
2010-04-28,51
2010-04-29,52
2010-04-30,58
2010-05-01,55
2010-05-02,54
2010-05-03,52
2010-05-04,51
2010-05-05,52
2010-05-06,49
2010-05-07,49
2010-05-08,46
2010-05-09,50
2010-05-10,48
2010-05-11,49
2010-05-12,50
2010-05-13,51
2010-05-14,54
2010-05-15,53
2010-05-16,55
2010-05-17,53
2010-05-18,55
2010-05-19,54
2010-05-20,54
2010-05-21,58
2010-05-22,57
2010-05-23,54
2010-05-24,53
2010-05-25,52
2010-05-26,52
2010-05-27,54
2010-05-28,51
2010-05-29,50
2010-05-30,50
2010-05-31,54
2010-06-01,50
2010-06-02,53
2010-06-03,50
2010-06-04,54
2010-06-05,52
2010-06-06,49
2010-06-07,48
2010-06-08,50
2010-06-09,46
2010-06-10,47
2010-06-11,44
2010-06-12,43
2010-06-13,41
2010-06-14,43
2010-06-15,39
2010-06-16,39
2010-06-17,37
2010-06-18,36
2010-06-19,36
2010-06-20,36
2010-06-21,37
2010-06-22,38
2010-06-23,40
2010-06-24,40
2010-06-25,43
2010-06-26,43
2010-06-27,45
2010-06-28,44
2010-06-29,46
2010-06-30,45
2010-07-01,45
2010-07-02,46
2010-07-03,50
2010-07-04,46
2010-07-05,51
2010-07-06,46
2010-07-07,46
2010-07-08,46
2010-07-09,47
2010-07-10,46
2010-07-11,51
2010-07-12,47
2010-07-13,48
2010-07-14,51
2010-07-15,51
2010-07-16,51
2010-07-17,53
2010-07-18,52
2010-07-19,52
2010-07-20,58
2010-07-21,55
2010-07-22,55
2010-07-23,54
2010-07-24,55
2010-07-25,53
2010-07-26,53
2010-07-27,50
2010-07-28,48
2010-07-29,47
2010-07-30,47
2010-07-31,45
2010-08-01,43
2010-08-02,43
2010-08-03,42
2010-08-04,42
2010-08-05,41
2010-08-06,42
2010-08-07,41
2010-08-08,42
2010-08-09,39
2010-08-10,40
2010-08-11,39
2010-08-12,38
2010-08-13,38
2010-08-14,38
2010-08-15,39
2010-08-16,41
2010-08-17,43
2010-08-18,47
2010-08-19,48
2010-08-20,50
2010-08-21,51
2010-08-22,49
2010-08-23,48
2010-08-24,46
2010-08-25,45
2010-08-26,44
2010-08-27,43
2010-08-28,43
2010-08-29,40
2010-08-30,40
2010-08-31,40
2010-09-01,40
2010-09-02,43
2010-09-03,41
2010-09-04,41
2010-09-05,40
2010-09-06,41
2010-09-07,43
2010-09-08,42
2010-09-09,44
2010-09-10,44
2010-09-11,44
2010-09-12,46
2010-09-13,44
2010-09-14,45
2010-09-15,44
2010-09-16,46
2010-09-17,45
2010-09-18,45
2010-09-19,46
2010-09-20,45
2010-09-21,45
2010-09-22,47
2010-09-23,45
2010-09-24,45
2010-09-25,50
2010-09-26,44
2010-09-27,43
2010-09-28,42
2010-09-29,42
2010-09-30,41
2010-10-01,40
2010-10-02,41
2010-10-03,41
2010-10-04,42
2010-10-05,43
2010-10-06,44
2010-10-07,46
2010-10-08,46
2010-10-09,48
2010-10-10,47
2010-10-11,47
2010-10-12,47
2010-10-13,48
2010-10-14,50
2010-10-15,48
2010-10-16,51
2010-10-17,49
2010-10-18,49
2010-10-19,49
2010-10-20,49
2010-10-21,51
2010-10-22,49
2010-10-23,49
2010-10-24,52
2010-10-25,49
2010-10-26,49
2010-10-27,50
2010-10-28,49
2010-10-29,53
2010-10-30,49
2010-10-31,49
2010-11-01,50
2010-11-02,50
2010-11-03,54
2010-11-04,51
2010-11-05,53
2010-11-06,53
2010-11-07,53
2010-11-08,55
2010-11-09,53
2010-11-10,53
2010-11-11,55
2010-11-12,53
2010-11-13,56
2010-11-14,52
2010-11-15,53
2010-11-16,52
2010-11-17,53
2010-11-18,50
2010-11-19,53
2010-11-20,50
2010-11-21,52
2010-11-22,50
2010-11-23,53
2010-11-24,50
2010-11-25,50
2010-11-26,53
2010-11-27,50
2010-11-28,49
2010-11-29,52
2010-11-30,49
2010-12-01,49
2010-12-02,51
2010-12-03,49
2010-12-04,50
2010-12-05,50
2010-12-06,49
2010-12-07,49
2010-12-08,49
2010-12-09,50
2010-12-10,49
2010-12-11,53
2010-12-12,48
2010-12-13,48
2010-12-14,47
2010-12-15,48
2010-12-16,48
2010-12-17,46
2010-12-18,46
2010-12-19,47
2010-12-20,44
2010-12-21,43
2010-12-22,43
2010-12-23,42
2010-12-24,40
2010-12-25,40
2010-12-26,37
2010-12-27,37
2010-12-28,35
2010-12-29,34
2010-12-30,34
2010-12-31,32
2011-01-01,31
2011-01-02,34
2011-01-03,37
2011-01-04,40
2011-01-05,43
2011-01-06,46
2011-01-07,51
2011-01-08,56
2011-01-09,52
2011-01-10,51
2011-01-11,51
2011-01-12,49
2011-01-13,49
2011-01-14,47
2011-01-15,48
2011-01-16,47
2011-01-17,47
2011-01-18,48
2011-01-19,49
2011-01-20,50
2011-01-21,49
2011-01-22,50
2011-01-23,49
2011-01-24,48
2011-01-25,48
2011-01-26,49
2011-01-27,47
2011-01-28,47
2011-01-29,47
2011-01-30,45
2011-01-31,46
2011-02-01,45
2011-02-02,44
2011-02-03,45
2011-02-04,44
2011-02-05,45
2011-02-06,54
2011-02-07,60
2011-02-08,68
2011-02-09,76
2011-02-10,86
2011-02-11,92
2011-02-12,122
2011-02-13,103
2011-02-14,90
2011-02-15,88
2011-02-16,81
2011-02-17,78
2011-02-18,72
2011-02-19,81
2011-02-20,67
2011-02-21,60
2011-02-22,56
2011-02-23,53
2011-02-24,50
2011-02-25,45
2011-02-26,41
2011-02-27,42
2011-02-28,42
2011-03-01,44
2011-03-02,46
2011-03-03,45
2011-03-04,46
2011-03-05,50
2011-03-06,47
2011-03-07,50
2011-03-08,47
2011-03-09,48
2011-03-10,47
2011-03-11,48
2011-03-12,49
2011-03-13,46
2011-03-14,46
2011-03-15,48
2011-03-16,46
2011-03-17,46
2011-03-18,46
2011-03-19,47
2011-03-20,46
2011-03-21,46
2011-03-22,49
2011-03-23,46
2011-03-24,46
2011-03-25,48
2011-03-26,48
2011-03-27,46
2011-03-28,45
2011-03-29,44
2011-03-30,43
2011-03-31,45
