Date,Douglas Dynamics
2009-12-06,73
2009-12-07,74
2009-12-08,75
2009-12-09,75
2009-12-10,76
2009-12-11,77
2009-12-12,78
2009-12-13,78
2009-12-14,79
2009-12-15,80
2009-12-16,81
2009-12-17,81
2009-12-18,82
2009-12-19,83
2009-12-20,84
2009-12-21,84
2009-12-22,85
2009-12-23,86
2009-12-24,87
2009-12-25,87
2009-12-26,88
2009-12-27,89
2009-12-28,90
2009-12-29,90
2009-12-30,91
2009-12-31,92
2010-01-01,93
2010-01-02,92
2010-01-03,91
2010-01-04,91
2010-01-05,90
2010-01-06,89
2010-01-07,89
2010-01-08,88
2010-01-09,87
2010-01-10,87
2010-01-11,86
2010-01-12,85
2010-01-13,85
2010-01-14,84
2010-01-15,83
2010-01-16,83
2010-01-17,82
2010-01-18,82
2010-01-19,81
2010-01-20,80
2010-01-21,80
2010-01-22,79
2010-01-23,78
2010-01-24,78
2010-01-25,77
2010-01-26,76
2010-01-27,76
2010-01-28,75
2010-01-29,74
2010-01-30,74
2010-01-31,73
2010-02-01,73
2010-02-02,73
2010-02-03,73
2010-02-04,74
2010-02-05,74
2010-02-06,74
2010-02-07,75
2010-02-08,75
2010-02-09,75
2010-02-10,76
2010-02-11,76
2010-02-12,76
2010-02-13,77
2010-02-14,77
2010-02-15,78
2010-02-16,78
2010-02-17,78
2010-02-18,79
2010-02-19,79
2010-02-20,79
2010-02-21,80
2010-02-22,80
2010-02-23,80
2010-02-24,81
2010-02-25,81
2010-02-26,81
2010-02-27,82
2010-02-28,82
2010-03-01,83
2010-03-02,83
2010-03-03,83
2010-03-04,83
2010-03-05,84
2010-03-06,84
2010-03-07,84
2010-03-08,85
2010-03-09,85
2010-03-10,85
2010-03-11,86
2010-03-12,86
2010-03-13,86
2010-03-14,87
2010-03-15,87
2010-03-16,87
2010-03-17,88
2010-03-18,88
2010-03-19,88
2010-03-20,89
2010-03-21,89
2010-03-22,89
2010-03-23,90
2010-03-24,90
2010-03-25,90
2010-03-26,91
2010-03-27,91
2010-03-28,91
2010-03-29,92
2010-03-30,92
2010-03-31,92
2010-04-01,93
2010-04-02,93
2010-04-03,93
2010-04-04,93
2010-04-05,93
2010-04-06,94
2010-04-07,94
2010-04-08,94
2010-04-09,94
2010-04-10,95
2010-04-11,95
2010-04-12,95
2010-04-13,95
2010-04-14,96
2010-04-15,96
2010-04-16,96
2010-04-17,96
2010-04-18,96
2010-04-19,97
2010-04-20,97
2010-04-21,97
2010-04-22,97
2010-04-23,98
2010-04-24,98
2010-04-25,98
2010-04-26,98
2010-04-27,99
2010-04-28,99
2010-04-29,99
2010-04-30,99
2010-05-01,100
2010-05-02,99
2010-05-03,98
2010-05-04,97
2010-05-05,96
2010-05-06,95
2010-05-07,94
2010-05-08,93
2010-05-09,93
2010-05-10,92
2010-05-11,91
2010-05-12,90
2010-05-13,89
2010-05-14,88
2010-05-15,87
2010-05-16,86
2010-05-17,86
2010-05-18,85
2010-05-19,84
2010-05-20,83
2010-05-21,82
2010-05-22,81
2010-05-23,80
2010-05-24,79
2010-05-25,79
2010-05-26,78
2010-05-27,77
2010-05-28,76
2010-05-29,75
2010-05-30,74
2010-05-31,73
2010-06-01,73
2010-06-02,72
2010-06-03,72
2010-06-04,71
2010-06-05,71
2010-06-06,70
2010-06-07,70
2010-06-08,69
2010-06-09,69
2010-06-10,69
2010-06-11,68
2010-06-12,68
2010-06-13,67
2010-06-14,67
2010-06-15,66
2010-06-16,66
2010-06-17,66
2010-06-18,65
2010-06-19,65
2010-06-20,64
2010-06-21,64
2010-06-22,63
2010-06-23,63
2010-06-24,63
2010-06-25,62
2010-06-26,62
2010-06-27,61
2010-06-28,61
2010-06-29,60
2010-06-30,60
2010-07-01,60
2010-07-02,59
2010-07-03,58
2010-07-04,57
2010-07-05,57
2010-07-06,56
2010-07-07,55
2010-07-08,55
2010-07-09,54
2010-07-10,53
2010-07-11,53
2010-07-12,52
2010-07-13,51
2010-07-14,51
2010-07-15,50
2010-07-16,49
2010-07-17,49
2010-07-18,48
2010-07-19,47
2010-07-20,47
2010-07-21,46
2010-07-22,45
2010-07-23,45
2010-07-24,44
2010-07-25,43
2010-07-26,43
2010-07-27,42
2010-07-28,41
2010-07-29,41
2010-07-30,40
2010-07-31,39
2010-08-01,39
2010-08-02,40
2010-08-03,41
2010-08-04,42
2010-08-05,43
2010-08-06,44
2010-08-07,45
2010-08-08,46
2010-08-09,48
2010-08-10,49
2010-08-11,50
2010-08-12,51
2010-08-13,52
2010-08-14,53
2010-08-15,54
2010-08-16,55
2010-08-17,57
2010-08-18,58
2010-08-19,59
2010-08-20,60
2010-08-21,61
2010-08-22,62
2010-08-23,63
2010-08-24,64
2010-08-25,66
2010-08-26,67
2010-08-27,68
2010-08-28,69
2010-08-29,70
2010-08-30,71
2010-08-31,72
2010-09-01,74
2010-09-02,72
2010-09-03,71
2010-09-04,70
2010-09-05,69
2010-09-06,68
2010-09-07,66
2010-09-08,65
2010-09-09,64
2010-09-10,63
2010-09-11,62
2010-09-12,60
2010-09-13,59
2010-09-14,58
2010-09-15,57
2010-09-16,56
2010-09-17,54
2010-09-18,53
2010-09-19,52
2010-09-20,51
2010-09-21,50
2010-09-22,48
2010-09-23,47
2010-09-24,46
2010-09-25,45
2010-09-26,44
2010-09-27,42
2010-09-28,41
2010-09-29,40
2010-09-30,39
2010-10-01,38
2010-10-02,38
2010-10-03,39
2010-10-04,40
2010-10-05,40
2010-10-06,41
2010-10-07,42
2010-10-08,42
2010-10-09,43
2010-10-10,44
2010-10-11,44
2010-10-12,45
2010-10-13,46
2010-10-14,46
2010-10-15,47
2010-10-16,48
2010-10-17,48
2010-10-18,49
2010-10-19,50
2010-10-20,50
2010-10-21,51
2010-10-22,52
2010-10-23,52
2010-10-24,53
2010-10-25,54
2010-10-26,54
2010-10-27,55
2010-10-28,56
2010-10-29,56
2010-10-30,57
2010-10-31,58
2010-11-01,59
2010-11-02,59
2010-11-03,60
2010-11-04,61
2010-11-05,62
2010-11-06,63
2010-11-07,64
2010-11-08,65
2010-11-09,66
2010-11-10,67
2010-11-11,68
2010-11-12,69
2010-11-13,70
2010-11-14,71
2010-11-15,72
2010-11-16,73
2010-11-17,73
2010-11-18,74
2010-11-19,75
2010-11-20,76
2010-11-21,77
2010-11-22,78
2010-11-23,79
2010-11-24,80
2010-11-25,81
2010-11-26,82
2010-11-27,83
2010-11-28,84
2010-11-29,85
2010-11-30,86
2010-12-01,87
2010-12-02,86
2010-12-03,85
2010-12-04,84
2010-12-05,83
2010-12-06,82
2010-12-07,81
2010-12-08,80
2010-12-09,79
2010-12-10,78
2010-12-11,77
2010-12-12,76
2010-12-13,75
2010-12-14,74
2010-12-15,73
2010-12-16,72
2010-12-17,72
2010-12-18,71
2010-12-19,70
2010-12-20,69
2010-12-21,68
2010-12-22,67
2010-12-23,66
2010-12-24,65
2010-12-25,64
2010-12-26,63
2010-12-27,62
2010-12-28,61
2010-12-29,60
2010-12-30,59
2010-12-31,58
2011-01-01,58
2011-01-02,57
2011-01-03,57
2011-01-04,57
2011-01-05,57
2011-01-06,57
2011-01-07,57
2011-01-08,57
2011-01-09,56
2011-01-10,56
2011-01-11,56
2011-01-12,56
2011-01-13,56
2011-01-14,56
2011-01-15,56
2011-01-16,56
2011-01-17,55
2011-01-18,55
2011-01-19,55
2011-01-20,55
2011-01-21,55
2011-01-22,55
2011-01-23,55
2011-01-24,55
2011-01-25,54
2011-01-26,54
2011-01-27,54
2011-01-28,54
2011-01-29,54
2011-01-30,54
2011-01-31,54
2011-02-01,54
2011-02-02,54
2011-02-03,54
2011-02-04,54
2011-02-05,54
2011-02-06,55
2011-02-07,55
2011-02-08,55
2011-02-09,55
2011-02-10,55
2011-02-11,56
2011-02-12,56
2011-02-13,56
2011-02-14,56
2011-02-15,57
2011-02-16,57
2011-02-17,57
2011-02-18,57
2011-02-19,57
2011-02-20,58
2011-02-21,58
2011-02-22,58
2011-02-23,58
2011-02-24,58
2011-02-25,59
2011-02-26,59
2011-02-27,59
2011-02-28,59
2011-03-01,60
2011-03-02,59
2011-03-03,58
2011-03-04,57
2011-03-05,57
2011-03-06,56
2011-03-07,55
2011-03-08,55
2011-03-09,54
2011-03-10,53
2011-03-11,53
2011-03-12,52
2011-03-13,51
2011-03-14,51
2011-03-15,50
2011-03-16,49
2011-03-17,49
2011-03-18,48
2011-03-19,47
2011-03-20,47
2011-03-21,46
2011-03-22,45
2011-03-23,45
2011-03-24,44
2011-03-25,43
2011-03-26,43
2011-03-27,42
2011-03-28,41
2011-03-29,41
2011-03-30,40
2011-03-31,39
2011-04-01,39
2011-04-02,40
2011-04-03,41
2011-04-04,42
2011-04-05,43
2011-04-06,44
2011-04-07,45
2011-04-08,46
2011-04-09,48
2011-04-10,49
2011-04-11,50
2011-04-12,51
2011-04-13,52
2011-04-14,53
2011-04-15,54
2011-04-16,56
2011-04-17,57
2011-04-18,58
2011-04-19,59
2011-04-20,60
2011-04-21,61
2011-04-22,62
2011-04-23,63
2011-04-24,65
2011-04-25,66
2011-04-26,67
2011-04-27,68
2011-04-28,69
2011-04-29,70
2011-04-30,71
2011-05-01,73
2011-05-02,73
2011-05-03,73
2011-05-04,73
2011-05-05,73
2011-05-06,73
2011-05-07,73
2011-05-08,74
2011-05-09,74
2011-05-10,74
2011-05-11,74
2011-05-12,74
2011-05-13,74
2011-05-14,75
2011-05-15,75
2011-05-16,75
2011-05-17,75
2011-05-18,75
2011-05-19,75
2011-05-20,76
2011-05-21,76
2011-05-22,76
2011-05-23,76
2011-05-24,76
2011-05-25,76
2011-05-26,77
2011-05-27,77
2011-05-28,77
2011-05-29,77
2011-05-30,77
2011-05-31,77
2011-06-01,78
