Date,Animal Health International
2006-10-21,64
2006-10-22,65
2006-10-23,65
2006-10-24,66
2006-10-25,66
2006-10-26,67
2006-10-27,67
2006-10-28,68
2006-10-29,68
2006-10-30,69
2006-10-31,69
2006-11-01,70
2006-11-02,70
2006-11-03,71
2006-11-04,71
2006-11-05,72
2006-11-06,72
2006-11-07,73
2006-11-08,73
2006-11-09,74
2006-11-10,74
2006-11-11,75
2006-11-12,75
2006-11-13,76
2006-11-14,76
2006-11-15,77
2006-11-16,77
2006-11-17,78
2006-11-18,78
2006-11-19,79
2006-11-20,79
2006-11-21,80
2006-11-22,80
2006-11-23,81
2006-11-24,81
2006-11-25,82
2006-11-26,82
2006-11-27,83
2006-11-28,83
2006-11-29,84
2006-11-30,84
2006-12-01,85
2006-12-02,85
2006-12-03,85
2006-12-04,86
2006-12-05,86
2006-12-06,87
2006-12-07,87
2006-12-08,88
2006-12-09,88
2006-12-10,89
2006-12-11,89
2006-12-12,90
2006-12-13,90
2006-12-14,91
2006-12-15,91
2006-12-16,92
2006-12-17,92
2006-12-18,93
2006-12-19,93
2006-12-20,94
2006-12-21,94
2006-12-22,95
2006-12-23,95
2006-12-24,96
2006-12-25,96
2006-12-26,97
2006-12-27,97
2006-12-28,98
2006-12-29,98
2006-12-30,99
2006-12-31,99
2007-01-01,100
2007-01-02,99
2007-01-03,98
2007-01-04,98
2007-01-05,97
2007-01-06,96
2007-01-07,96
2007-01-08,95
2007-01-09,94
2007-01-10,94
2007-01-11,93
2007-01-12,92
2007-01-13,92
2007-01-14,91
2007-01-15,90
2007-01-16,90
2007-01-17,89
2007-01-18,89
2007-01-19,88
2007-01-20,87
2007-01-21,87
2007-01-22,86
2007-01-23,85
2007-01-24,85
2007-01-25,84
2007-01-26,83
2007-01-27,83
2007-01-28,82
2007-01-29,81
2007-01-30,81
2007-01-31,80
2007-02-01,80
2007-02-02,79
2007-02-03,78
2007-02-04,77
2007-02-05,76
2007-02-06,75
2007-02-07,75
2007-02-08,74
2007-02-09,73
2007-02-10,72
2007-02-11,71
2007-02-12,70
2007-02-13,70
2007-02-14,69
2007-02-15,68
2007-02-16,67
2007-02-17,66
2007-02-18,66
2007-02-19,65
2007-02-20,64
2007-02-21,63
2007-02-22,62
2007-02-23,61
2007-02-24,61
2007-02-25,60
2007-02-26,59
2007-02-27,58
2007-02-28,57
2007-03-01,57
2007-03-02,57
2007-03-03,57
2007-03-04,57
2007-03-05,57
2007-03-06,57
2007-03-07,57
2007-03-08,57
2007-03-09,57
2007-03-10,57
2007-03-11,57
2007-03-12,57
2007-03-13,57
2007-03-14,57
2007-03-15,57
2007-03-16,57
2007-03-17,58
2007-03-18,58
2007-03-19,58
2007-03-20,58
2007-03-21,58
2007-03-22,58
2007-03-23,58
2007-03-24,58
2007-03-25,58
2007-03-26,58
2007-03-27,58
2007-03-28,58
2007-03-29,58
2007-03-30,58
2007-03-31,58
2007-04-01,59
2007-04-02,58
2007-04-03,58
2007-04-04,58
2007-04-05,58
2007-04-06,58
2007-04-07,58
2007-04-08,58
2007-04-09,57
2007-04-10,57
2007-04-11,57
2007-04-12,57
2007-04-13,57
2007-04-14,57
2007-04-15,57
2007-04-16,57
2007-04-17,56
2007-04-18,56
2007-04-19,56
2007-04-20,56
2007-04-21,56
2007-04-22,56
2007-04-23,56
2007-04-24,55
2007-04-25,55
2007-04-26,55
2007-04-27,55
2007-04-28,55
2007-04-29,55
2007-04-30,55
2007-05-01,55
2007-05-02,55
2007-05-03,55
2007-05-04,55
2007-05-05,55
2007-05-06,55
2007-05-07,55
2007-05-08,55
2007-05-09,55
2007-05-10,55
2007-05-11,55
2007-05-12,55
2007-05-13,55
2007-05-14,55
2007-05-15,55
2007-05-16,55
2007-05-17,55
2007-05-18,55
2007-05-19,55
2007-05-20,55
2007-05-21,55
2007-05-22,55
2007-05-23,55
2007-05-24,55
2007-05-25,55
2007-05-26,55
2007-05-27,55
2007-05-28,55
2007-05-29,55
2007-05-30,55
2007-05-31,55
2007-06-01,56
2007-06-02,56
2007-06-03,56
2007-06-04,56
2007-06-05,56
2007-06-06,56
2007-06-07,56
2007-06-08,56
2007-06-09,56
2007-06-10,56
2007-06-11,56
2007-06-12,56
2007-06-13,56
2007-06-14,56
2007-06-15,56
2007-06-16,56
2007-06-17,56
2007-06-18,56
2007-06-19,56
2007-06-20,56
2007-06-21,56
2007-06-22,56
2007-06-23,56
2007-06-24,56
2007-06-25,56
2007-06-26,56
2007-06-27,56
2007-06-28,56
2007-06-29,56
2007-06-30,56
2007-07-01,56
2007-07-02,55
2007-07-03,54
2007-07-04,54
2007-07-05,53
2007-07-06,53
2007-07-07,52
2007-07-08,51
2007-07-09,51
2007-07-10,50
2007-07-11,50
2007-07-12,49
2007-07-13,49
2007-07-14,48
2007-07-15,47
2007-07-16,47
2007-07-17,46
2007-07-18,46
2007-07-19,45
2007-07-20,44
2007-07-21,44
2007-07-22,43
2007-07-23,43
2007-07-24,42
2007-07-25,42
2007-07-26,41
2007-07-27,40
2007-07-28,40
2007-07-29,39
2007-07-30,39
2007-07-31,38
2007-08-01,38
2007-08-02,38
2007-08-03,38
2007-08-04,38
2007-08-05,39
2007-08-06,39
2007-08-07,39
2007-08-08,40
2007-08-09,40
2007-08-10,40
2007-08-11,41
2007-08-12,41
2007-08-13,41
2007-08-14,42
2007-08-15,42
2007-08-16,42
2007-08-17,43
2007-08-18,43
2007-08-19,43
2007-08-20,44
2007-08-21,44
2007-08-22,44
2007-08-23,45
2007-08-24,45
2007-08-25,45
2007-08-26,46
2007-08-27,46
2007-08-28,46
2007-08-29,47
2007-08-30,47
2007-08-31,47
2007-09-01,48
2007-09-02,48
2007-09-03,48
2007-09-04,48
2007-09-05,49
2007-09-06,49
2007-09-07,49
2007-09-08,50
2007-09-09,50
2007-09-10,50
2007-09-11,51
2007-09-12,51
2007-09-13,51
2007-09-14,51
2007-09-15,52
2007-09-16,52
2007-09-17,52
2007-09-18,53
2007-09-19,53
2007-09-20,53
2007-09-21,54
2007-09-22,54
2007-09-23,54
2007-09-24,54
2007-09-25,55
2007-09-26,55
2007-09-27,55
2007-09-28,56
2007-09-29,56
2007-09-30,56
2007-10-01,57
2007-10-02,56
2007-10-03,56
2007-10-04,55
2007-10-05,55
2007-10-06,54
2007-10-07,54
2007-10-08,53
2007-10-09,53
2007-10-10,52
2007-10-11,52
2007-10-12,52
2007-10-13,51
2007-10-14,51
2007-10-15,50
2007-10-16,50
2007-10-17,49
2007-10-18,49
2007-10-19,48
2007-10-20,48
2007-10-21,47
2007-10-22,47
2007-10-23,47
2007-10-24,46
2007-10-25,46
2007-10-26,45
2007-10-27,45
2007-10-28,44
2007-10-29,44
2007-10-30,43
2007-10-31,43
2007-11-01,43
2007-11-02,43
2007-11-03,43
2007-11-04,43
2007-11-05,43
2007-11-06,43
2007-11-07,43
2007-11-08,43
2007-11-09,43
2007-11-10,43
2007-11-11,43
2007-11-12,43
2007-11-13,43
2007-11-14,43
2007-11-15,43
2007-11-16,44
2007-11-17,44
2007-11-18,44
2007-11-19,44
2007-11-20,44
2007-11-21,44
2007-11-22,44
2007-11-23,44
2007-11-24,44
2007-11-25,44
2007-11-26,44
2007-11-27,44
2007-11-28,44
2007-11-29,44
2007-11-30,44
2007-12-01,45
2007-12-02,45
2007-12-03,45
2007-12-04,45
2007-12-05,46
2007-12-06,46
2007-12-07,46
2007-12-08,47
2007-12-09,47
2007-12-10,47
2007-12-11,47
2007-12-12,48
2007-12-13,48
2007-12-14,48
2007-12-15,49
2007-12-16,49
2007-12-17,49
2007-12-18,49
2007-12-19,50
2007-12-20,50
2007-12-21,50
2007-12-22,51
2007-12-23,51
2007-12-24,51
2007-12-25,51
2007-12-26,52
2007-12-27,52
2007-12-28,52
2007-12-29,53
2007-12-30,53
2007-12-31,53
2008-01-01,54
2008-01-02,53
2008-01-03,53
2008-01-04,53
2008-01-05,52
2008-01-06,52
2008-01-07,52
2008-01-08,51
2008-01-09,51
2008-01-10,51
2008-01-11,50
2008-01-12,50
2008-01-13,50
2008-01-14,49
2008-01-15,49
2008-01-16,49
2008-01-17,48
2008-01-18,48
2008-01-19,48
2008-01-20,47
2008-01-21,47
2008-01-22,47
2008-01-23,46
2008-01-24,46
2008-01-25,46
2008-01-26,45
2008-01-27,45
2008-01-28,45
2008-01-29,44
2008-01-30,44
2008-01-31,44
2008-02-01,44
