Date,ReachLocal
2010-04-04,38
2010-04-05,38
2010-04-06,39
2010-04-07,39
2010-04-08,40
2010-04-09,40
2010-04-10,41
2010-04-11,41
2010-04-12,42
2010-04-13,42
2010-04-14,43
2010-04-15,43
2010-04-16,44
2010-04-17,45
2010-04-18,46
2010-04-19,47
2010-04-20,48
2010-04-21,49
2010-04-22,50
2010-04-23,52
2010-04-24,53
2010-04-25,52
2010-04-26,51
2010-04-27,50
2010-04-28,50
2010-04-29,49
2010-04-30,48
2010-05-01,48
2010-05-02,47
2010-05-03,47
2010-05-04,46
2010-05-05,46
2010-05-06,45
2010-05-07,45
2010-05-08,45
2010-05-09,46
2010-05-10,47
2010-05-11,48
2010-05-12,50
2010-05-13,51
2010-05-14,52
2010-05-15,54
2010-05-16,60
2010-05-17,68
2010-05-18,74
2010-05-19,81
2010-05-20,88
2010-05-21,95
2010-05-22,102
2010-05-23,94
2010-05-24,84
2010-05-25,77
2010-05-26,69
2010-05-27,61
2010-05-28,54
2010-05-29,46
2010-05-30,46
2010-06-06,48
2010-06-07,49
2010-06-08,50
2010-06-09,51
2010-06-10,52
2010-06-11,53
2010-06-12,54
2010-06-13,55
2010-06-14,56
2010-06-15,57
2010-06-16,58
2010-06-17,59
2010-06-18,60
2010-06-19,61
2010-06-20,59
2010-06-21,57
2010-06-22,55
2010-06-23,54
2010-06-24,52
2010-06-25,50
2010-06-26,49
2010-06-27,50
2010-06-28,52
2010-06-29,54
2010-06-30,56
2010-07-01,58
2010-07-02,59
2010-07-03,61
2010-07-04,57
2010-07-05,53
2010-07-06,49
2010-07-07,45
2010-07-08,41
2010-07-09,37
2010-07-10,33
2010-07-11,36
2010-07-12,39
2010-07-13,43
2010-07-14,46
2010-07-15,50
2010-07-16,53
2010-07-17,57
2010-07-18,57
2010-07-19,58
2010-07-20,58
2010-07-21,58
2010-07-22,58
2010-07-23,58
2010-07-24,59
2010-07-25,55
2010-07-26,51
2010-07-27,48
2010-07-28,44
2010-07-29,41
2010-07-30,38
2010-07-31,35
2010-08-01,37
2010-08-02,39
2010-08-03,41
2010-08-04,43
2010-08-05,45
2010-08-06,47
2010-08-07,50
2010-08-08,49
2010-08-09,48
2010-08-10,47
2010-08-11,46
2010-08-12,45
2010-08-13,44
2010-08-14,44
2010-08-15,44
2010-08-16,45
2010-08-17,46
2010-08-18,47
2010-08-19,48
2010-08-20,48
2010-08-21,49
2010-08-22,50
2010-08-23,50
2010-08-24,51
2010-08-25,52
2010-08-26,53
2010-08-27,54
2010-08-28,55
2010-08-29,53
2010-09-05,40
2010-09-06,38
2010-09-07,36
2010-09-08,34
2010-09-09,32
2010-09-10,30
2010-09-11,28
2010-09-12,29
2010-09-13,30
2010-09-14,31
2010-09-15,33
2010-09-16,34
2010-09-17,35
2010-09-18,37
2010-09-19,40
2010-09-20,43
2010-09-21,46
2010-09-22,50
2010-09-23,53
2010-09-24,56
2010-09-25,60
2010-09-26,55
2010-09-27,51
2010-09-28,46
2010-09-29,42
2010-09-30,37
2010-10-01,33
2010-10-02,29
2010-10-03,30
2010-10-04,31
2010-10-05,32
2010-10-06,33
2010-10-07,34
2010-10-08,35
2010-10-09,36
2010-10-10,36
2010-10-11,36
2010-10-12,37
2010-10-13,37
2010-10-14,38
2010-10-15,38
2010-10-16,39
2010-10-17,43
2010-10-18,48
2010-10-19,53
2010-10-20,58
2010-10-21,63
2010-10-22,68
2010-10-23,72
2010-10-24,68
2010-10-25,64
2010-10-26,60
2010-10-27,56
2010-10-28,52
2010-10-29,48
2010-10-30,45
2010-10-31,45
2010-11-01,46
2010-11-02,46
2010-11-03,47
2010-11-04,47
2010-11-05,48
2010-11-06,49
2010-11-07,50
2010-11-08,51
2010-11-09,52
2010-11-10,54
2010-11-11,55
2010-11-12,56
2010-11-13,58
2010-11-14,56
2010-11-15,55
2010-11-16,54
2010-11-17,52
2010-11-18,51
2010-11-19,49
2010-11-20,48
2010-11-21,46
2010-11-22,44
2010-11-23,42
2010-11-24,41
2010-11-25,39
2010-11-26,38
2010-11-27,37
2010-11-28,40
2010-12-05,60
2010-12-06,57
2010-12-07,54
2010-12-08,52
2010-12-09,49
2010-12-10,46
2010-12-11,44
2010-12-12,46
2010-12-13,48
2010-12-14,51
2010-12-15,53
2010-12-16,55
2010-12-17,58
2010-12-18,60
2010-12-19,56
2010-12-20,52
2010-12-21,48
2010-12-22,44
2010-12-23,40
2010-12-24,36
2010-12-25,33
2010-12-26,32
2010-12-27,31
2010-12-28,31
2010-12-29,30
2010-12-30,30
2010-12-31,29
2011-01-01,29
2011-01-02,34
2011-01-03,39
2011-01-04,45
2011-01-05,50
2011-01-06,56
2011-01-07,61
2011-01-08,67
2011-01-09,64
2011-01-10,62
2011-01-11,59
2011-01-12,57
2011-01-13,54
2011-01-14,52
2011-01-15,50
2011-01-16,51
2011-01-17,53
2011-01-18,55
2011-01-19,56
2011-01-20,58
2011-01-21,59
2011-01-22,61
2011-01-23,61
2011-01-24,60
2011-01-25,60
2011-01-26,60
2011-01-27,60
2011-01-28,60
2011-01-29,60
2011-01-30,58
2011-01-31,56
2011-02-01,54
2011-02-02,52
2011-02-03,50
2011-02-04,48
2011-02-05,47
2011-02-06,46
2011-02-07,45
2011-02-08,45
2011-02-09,44
2011-02-10,44
2011-02-11,43
2011-02-12,43
2011-02-13,48
2011-02-14,53
2011-02-15,58
2011-02-16,63
2011-02-17,68
2011-02-18,73
2011-02-19,78
2011-02-20,75
2011-02-21,72
2011-02-22,69
2011-02-23,66
2011-02-24,63
2011-02-25,60
2011-02-26,57
2011-02-27,54
2011-03-06,43
2011-03-07,48
2011-03-08,53
2011-03-09,58
2011-03-10,63
2011-03-11,68
2011-03-12,73
2011-03-13,73
2011-03-14,74
2011-03-15,75
2011-03-16,75
2011-03-17,76
2011-03-18,76
2011-03-19,77
2011-03-20,72
2011-03-21,66
2011-03-22,62
2011-03-23,57
2011-03-24,53
2011-03-25,48
2011-03-26,44
2011-03-27,44
2011-03-28,44
2011-03-29,44
2011-03-30,44
2011-03-31,44
2011-04-01,44
2011-04-02,44
2011-04-03,45
2011-04-04,45
2011-04-05,46
2011-04-06,46
2011-04-07,47
2011-04-08,48
2011-04-09,49
2011-04-10,51
2011-04-11,54
2011-04-12,57
2011-04-13,60
2011-04-14,62
2011-04-15,65
2011-04-16,68
2011-04-17,66
2011-04-18,64
2011-04-19,62
2011-04-20,60
2011-04-21,58
2011-04-22,56
2011-04-23,54
2011-04-24,56
2011-04-25,58
2011-04-26,61
2011-04-27,63
2011-04-28,65
2011-04-29,68
2011-04-30,70
2011-05-01,68
2011-05-02,66
2011-05-03,65
2011-05-04,63
2011-05-05,62
2011-05-06,60
2011-05-07,59
2011-05-08,58
2011-05-09,58
2011-05-10,58
2011-05-11,57
2011-05-12,57
2011-05-13,57
2011-05-14,57
2011-05-15,59
2011-05-16,61
2011-05-17,63
2011-05-18,65
2011-05-19,67
2011-05-20,69
2011-05-21,72
2011-05-22,73
2011-05-23,76
2011-05-24,77
2011-05-25,79
2011-05-26,81
2011-05-27,83
2011-05-28,85
2011-05-29,82
