Date,Gulfstream
2007-05-06,69
2007-05-07,66
2007-05-08,70
2007-05-09,64
2007-05-10,64
2007-05-11,62
2007-05-12,66
2007-05-13,61
2007-05-14,61
2007-05-15,61
2007-05-16,62
2007-05-17,61
2007-05-18,61
2007-05-19,62
2007-05-20,60
2007-05-21,64
2007-05-22,60
2007-05-23,62
2007-05-24,60
2007-05-25,61
2007-05-26,60
2007-05-27,59
2007-05-28,59
2007-05-29,61
2007-05-30,60
2007-05-31,64
2007-06-01,60
2007-06-02,63
2007-06-03,61
2007-06-04,65
2007-06-05,61
2007-06-06,61
2007-06-07,61
2007-06-08,63
2007-06-09,61
2007-06-10,61
2007-06-11,62
2007-06-12,62
2007-06-13,67
2007-06-14,63
2007-06-15,65
2007-06-16,75
2007-06-17,65
2007-06-18,66
2007-06-19,71
2007-06-20,67
2007-06-21,67
2007-06-22,70
2007-06-23,69
2007-06-24,70
2007-06-25,67
2007-06-26,68
2007-06-27,65
2007-06-28,64
2007-06-29,66
2007-06-30,63
2007-07-01,61
2007-07-02,62
2007-07-03,59
2007-07-04,60
2007-07-05,57
2007-07-06,56
2007-07-07,56
2007-07-08,56
2007-07-09,57
2007-07-10,59
2007-07-11,61
2007-07-12,62
2007-07-13,63
2007-07-14,65
2007-07-15,67
2007-07-16,64
2007-07-17,65
2007-07-18,63
2007-07-19,63
2007-07-20,63
2007-07-21,66
2007-07-22,70
2007-07-23,61
2007-07-24,61
2007-07-25,62
2007-07-26,60
2007-07-27,59
2007-07-28,63
2007-07-29,59
2007-07-30,60
2007-07-31,64
2007-08-01,62
2007-08-02,63
2007-08-03,64
2007-08-04,65
2007-08-05,69
2007-08-06,63
2007-08-07,64
2007-08-08,63
2007-08-09,63
2007-08-10,60
2007-08-11,63
2007-08-12,60
2007-08-13,61
2007-08-14,65
2007-08-15,63
2007-08-16,64
2007-08-17,65
2007-08-18,70
2007-08-19,65
2007-08-20,64
2007-08-21,66
2007-08-22,64
2007-08-23,68
2007-08-24,62
2007-08-25,68
2007-08-26,61
2007-08-27,61
2007-08-28,65
2007-08-29,64
2007-08-30,61
2007-08-31,61
2007-09-01,61
2007-09-02,60
2007-09-03,64
2007-09-04,59
2007-09-05,58
2007-09-06,58
2007-09-07,57
2007-09-08,57
2007-09-09,58
2007-09-10,57
2007-09-11,56
2007-09-12,56
2007-09-13,56
2007-09-14,58
2007-09-15,56
2007-09-16,59
2007-09-17,57
2007-09-18,56
2007-09-19,58
2007-09-20,57
2007-09-21,58
2007-09-22,58
2007-09-23,60
2007-09-24,60
2007-09-25,59
2007-09-26,62
2007-09-27,61
2007-09-28,61
2007-09-29,65
2007-09-30,61
2007-10-01,60
2007-10-02,63
2007-10-03,58
2007-10-04,57
2007-10-05,57
2007-10-06,56
2007-10-07,56
2007-10-08,54
2007-10-09,57
2007-10-10,55
2007-10-11,54
2007-10-12,56
2007-10-13,54
2007-10-14,54
2007-10-15,55
2007-10-16,57
2007-10-17,56
2007-10-18,58
2007-10-19,57
2007-10-20,58
2007-10-21,58
2007-10-22,57
2007-10-23,59
2007-10-24,56
2007-10-25,57
2007-10-26,56
2007-10-27,57
2007-10-28,56
2007-10-29,57
2007-10-30,57
2007-10-31,61
2007-11-01,58
2007-11-02,62
2007-11-03,60
2007-11-04,59
2007-11-05,57
2007-11-06,57
2007-11-07,56
2007-11-08,53
2007-11-09,52
2007-11-10,52
2007-11-11,53
2007-11-12,51
2007-11-13,52
2007-11-14,52
2007-11-15,53
2007-11-16,53
2007-11-17,58
2007-11-18,53
2007-11-19,53
2007-11-20,53
2007-11-21,51
2007-11-22,49
2007-11-23,48
2007-11-24,48
2007-11-25,49
2007-11-26,53
2007-11-27,52
2007-11-28,59
2007-11-29,55
2007-11-30,58
2007-12-01,58
2007-12-02,58
2007-12-03,56
2007-12-04,56
2007-12-05,55
2007-12-06,55
2007-12-07,53
2007-12-08,54
2007-12-09,52
2007-12-10,54
2007-12-11,51
2007-12-12,51
2007-12-13,50
2007-12-14,51
2007-12-15,53
2007-12-16,50
2007-12-17,48
2007-12-18,49
2007-12-19,47
2007-12-20,47
2007-12-21,45
2007-12-22,45
2007-12-23,47
2007-12-24,45
2007-12-25,45
2007-12-26,45
2007-12-27,46
2007-12-28,45
2007-12-29,48
2007-12-30,48
2007-12-31,52
2008-01-01,56
2008-01-02,59
2008-01-03,63
2008-01-04,67
2008-01-05,72
2008-01-06,74
2008-01-07,70
2008-01-08,72
2008-01-09,70
2008-01-10,70
2008-01-11,71
2008-01-12,70
2008-01-13,73
2008-01-14,69
2008-01-15,70
2008-01-16,69
2008-01-17,70
2008-01-18,69
2008-01-19,69
2008-01-20,75
2008-01-21,72
2008-01-22,76
2008-01-23,75
2008-01-24,76
2008-01-25,84
2008-01-26,80
2008-01-27,79
2008-01-28,80
2008-01-29,81
2008-01-30,76
2008-01-31,75
2008-02-01,74
2008-02-02,74
2008-02-03,74
2008-02-04,72
2008-02-05,73
2008-02-06,71
2008-02-07,70
2008-02-08,70
2008-02-09,70
2008-02-10,73
2008-02-11,70
2008-02-12,75
2008-02-13,71
2008-02-14,71
2008-02-15,74
2008-02-16,73
2008-02-17,72
2008-02-18,77
2008-02-19,74
2008-02-20,74
2008-02-21,75
2008-02-22,75
2008-02-23,76
2008-02-24,74
2008-02-25,78
2008-02-26,76
2008-02-27,70
2008-02-28,70
2008-02-29,68
2008-03-01,66
2008-03-02,66
2008-03-03,63
2008-03-04,65
2008-03-05,60
2008-03-06,59
2008-03-07,60
2008-03-08,57
2008-03-09,63
2008-03-10,71
2008-03-11,76
2008-03-12,81
2008-03-13,87
2008-03-14,93
2008-03-15,109
2008-03-16,102
2008-03-17,95
2008-03-18,92
2008-03-19,93
2008-03-20,87
2008-03-21,93
2008-03-22,82
2008-03-23,81
2008-03-24,81
2008-03-25,82
2008-03-26,79
2008-03-27,78
2008-03-28,78
2008-03-29,77
2008-03-30,80
2008-03-31,75
2008-04-01,71
2008-04-02,73
2008-04-03,67
2008-04-04,65
2008-04-05,64
2008-04-06,64
2008-04-07,61
2008-04-08,60
2008-04-09,60
2008-04-10,59
2008-04-11,59
2008-04-12,58
2008-04-13,59
2008-04-14,58
2008-04-15,59
2008-04-16,59
2008-04-17,62
2008-04-18,60
2008-04-19,61
2008-04-20,61
2008-04-21,62
2008-04-22,62
2008-04-23,62
2008-04-24,63
2008-04-25,62
2008-04-26,70
2008-04-27,62
2008-04-28,61
2008-04-29,61
2008-04-30,59
2008-05-01,59
2008-05-02,57
2008-05-03,63
2008-05-04,58
2008-05-05,55
2008-05-06,54
2008-05-07,53
2008-05-08,52
2008-05-09,52
2008-05-10,54
2008-05-11,50
2008-05-12,51
2008-05-13,50
2008-05-14,51
2008-05-15,53
2008-05-16,51
2008-05-17,52
2008-05-18,54
2008-05-19,52
2008-05-20,52
2008-05-21,52
2008-05-22,53
2008-05-23,53
2008-05-24,52
2008-05-25,51
2008-05-26,55
2008-05-27,50
2008-05-28,50
2008-05-29,50
2008-05-30,49
2008-05-31,51
2008-06-01,49
2008-06-02,49
2008-06-03,50
2008-06-04,49
2008-06-05,49
2008-06-06,51
2008-06-07,50
2008-06-08,51
2008-06-09,50
2008-06-10,52
2008-06-11,50
2008-06-12,51
2008-06-13,50
2008-06-14,53
2008-06-15,51
2008-06-16,53
2008-06-17,52
2008-06-18,52
2008-06-19,54
2008-06-20,53
2008-06-21,57
2008-06-22,54
2008-06-23,56
2008-06-24,54
2008-06-25,56
2008-06-26,56
2008-06-27,54
2008-06-28,55
2008-06-29,59
2008-06-30,55
2008-07-01,55
2008-07-02,56
2008-07-03,57
2008-07-04,62
2008-07-05,57
2008-07-06,57
2008-07-07,57
2008-07-08,59
2008-07-09,57
2008-07-10,57
2008-07-11,59
2008-07-12,64
2008-07-13,57
2008-07-14,56
2008-07-15,57
2008-07-16,54
2008-07-17,54
2008-07-18,55
2008-07-19,51
2008-07-20,50
2008-07-21,50
2008-07-22,51
2008-07-23,50
2008-07-24,52
2008-07-25,50
2008-07-26,50
2008-07-27,50
2008-07-28,51
2008-07-29,51
2008-07-30,51
2008-07-31,52
2008-08-01,51
2008-08-02,54
2008-08-03,52
2008-08-04,52
2008-08-05,55
2008-08-06,53
2008-08-07,54
2008-08-08,55
2008-08-09,55
2008-08-10,60
2008-08-11,54
2008-08-12,58
2008-08-13,53
2008-08-14,55
2008-08-15,52
2008-08-16,56
2008-08-17,52
2008-08-18,55
2008-08-19,54
2008-08-20,55
2008-08-21,59
2008-08-22,57
2008-08-23,60
2008-08-24,58
2008-08-25,56
2008-08-26,55
2008-08-27,55
2008-08-28,54
2008-08-29,52
2008-08-30,54
2008-08-31,51
2008-09-01,51
2008-09-02,49
2008-09-03,48
2008-09-04,47
2008-09-05,46
2008-09-06,46
2008-09-07,45
2008-09-08,46
2008-09-09,45
2008-09-10,45
2008-09-11,45
2008-09-12,45
2008-09-13,48
2008-09-14,47
2008-09-15,46
2008-09-16,46
2008-09-17,46
2008-09-18,46
2008-09-19,46
2008-09-20,46
2008-09-21,48
2008-09-22,46
2008-09-23,48
2008-09-24,47
2008-09-25,49
2008-09-26,47
2008-09-27,48
2008-09-28,50
2008-09-29,45
2008-09-30,44
2008-10-01,42
2008-10-02,42
2008-10-03,41
2008-10-04,40
2008-10-05,40
2008-10-06,41
2008-10-07,42
2008-10-08,43
2008-10-09,44
2008-10-10,45
2008-10-11,48
2008-10-12,45
2008-10-13,44
2008-10-14,44
2008-10-15,46
2008-10-16,43
2008-10-17,43
2008-10-18,42
2008-10-19,44
2008-10-20,43
2008-10-21,45
2008-10-22,45
2008-10-23,46
2008-10-24,48
2008-10-25,48
2008-10-26,49
2008-10-27,47
2008-10-28,50
2008-10-29,47
2008-10-30,48
2008-10-31,47
2008-11-01,48
2008-11-02,46
2008-11-03,46
2008-11-04,47
2008-11-05,46
2008-11-06,45
2008-11-07,45
2008-11-08,47
2008-11-09,46
2008-11-10,45
2008-11-11,45
2008-11-12,45
2008-11-13,45
2008-11-14,48
2008-11-15,47
2008-11-16,46
2008-11-17,46
2008-11-18,46
2008-11-19,47
2008-11-20,48
2008-11-21,48
2008-11-22,50
2008-11-23,47
2008-11-24,46
2008-11-25,47
2008-11-26,45
2008-11-27,45
2008-11-28,43
2008-11-29,44
2008-11-30,43
2008-12-01,43
2008-12-02,44
2008-12-03,47
2008-12-04,45
2008-12-05,46
2008-12-06,46
2008-12-07,49
2008-12-08,45
2008-12-09,46
2008-12-10,45
2008-12-11,44
2008-12-12,46
2008-12-13,44
2008-12-14,43
2008-12-15,44
2008-12-16,42
2008-12-17,43
2008-12-18,42
2008-12-19,41
2008-12-20,43
2008-12-21,42
2008-12-22,43
2008-12-23,49
2008-12-24,45
2008-12-25,46
2008-12-26,48
2008-12-27,49
2008-12-28,49
2008-12-29,50
2008-12-30,50
2008-12-31,49
