Date,Marrone Bio Innovations
2013-07-11,80
2013-07-12,81
2013-07-13,82
2013-07-14,83
2013-07-15,84
2013-07-16,85
2013-07-17,85
2013-07-18,86
2013-07-19,87
2013-07-20,88
2013-07-21,89
2013-07-22,90
2013-07-23,91
2013-07-24,92
2013-07-25,93
2013-07-26,94
2013-07-27,95
2013-07-28,96
2013-07-29,97
2013-07-30,98
2013-07-31,99
2013-08-01,100
2013-08-02,98
2013-08-03,96
2013-08-04,94
2013-08-05,93
2013-08-06,91
2013-08-07,89
2013-08-08,88
2013-08-09,86
2013-08-10,84
2013-08-11,83
2013-08-12,81
2013-08-13,79
2013-08-14,78
2013-08-15,76
2013-08-16,74
2013-08-17,73
2013-08-18,71
2013-08-19,69
2013-08-20,68
2013-08-21,66
2013-08-22,64
2013-08-23,63
2013-08-24,61
2013-08-25,59
2013-08-26,58
2013-08-27,56
2013-08-28,54
2013-08-29,53
2013-08-30,51
2013-08-31,49
2013-09-01,48
2013-09-02,47
2013-09-03,47
2013-09-04,47
2013-09-05,47
2013-09-06,47
2013-09-07,47
2013-09-08,47
2013-09-09,46
2013-09-10,46
2013-09-11,46
2013-09-12,46
2013-09-13,46
2013-09-14,46
2013-09-15,46
2013-09-16,46
2013-09-17,45
2013-09-18,45
2013-09-19,45
2013-09-20,45
2013-09-21,45
2013-09-22,45
2013-09-23,45
2013-09-24,44
2013-09-25,44
2013-09-26,44
2013-09-27,44
2013-09-28,44
2013-09-29,44
2013-09-30,44
2013-10-01,44
2013-10-02,44
2013-10-03,44
2013-10-04,44
2013-10-05,44
2013-10-06,44
2013-10-07,44
2013-10-08,44
2013-10-09,44
2013-10-10,44
2013-10-11,44
2013-10-12,44
2013-10-13,44
2013-10-14,44
2013-10-15,44
2013-10-16,44
2013-10-17,44
2013-10-18,44
2013-10-19,44
2013-10-20,44
2013-10-21,44
2013-10-22,44
2013-10-23,44
2013-10-24,44
2013-10-25,44
2013-10-26,44
2013-10-27,44
2013-10-28,44
2013-10-29,44
2013-10-30,44
2013-10-31,44
2013-11-01,45
2013-11-02,44
2013-11-03,44
2013-11-04,44
2013-11-05,43
2013-11-06,43
2013-11-07,43
2013-11-08,42
2013-11-09,42
2013-11-10,42
2013-11-11,41
2013-11-12,41
2013-11-13,41
2013-11-14,40
2013-11-15,40
2013-11-16,40
2013-11-17,39
2013-11-18,39
2013-11-19,39
2013-11-20,38
2013-11-21,38
2013-11-22,38
2013-11-23,37
2013-11-24,37
2013-11-25,37
2013-11-26,36
2013-11-27,36
2013-11-28,36
2013-11-29,35
2013-11-30,35
2013-12-01,35
2013-12-02,35
2013-12-03,35
2013-12-04,36
2013-12-05,36
2013-12-06,37
2013-12-07,37
2013-12-08,37
2013-12-09,38
2013-12-10,38
2013-12-11,39
2013-12-12,39
2013-12-13,40
2013-12-14,40
2013-12-15,40
2013-12-16,41
2013-12-17,41
2013-12-18,42
2013-12-19,42
2013-12-20,42
2013-12-21,43
2013-12-22,43
2013-12-23,44
2013-12-24,44
2013-12-25,45
2013-12-26,45
2013-12-27,45
2013-12-28,46
2013-12-29,46
2013-12-30,47
2013-12-31,47
2014-01-01,48
2014-01-02,48
2014-01-03,49
2014-01-04,49
2014-01-05,50
2014-01-06,51
2014-01-07,51
2014-01-08,52
2014-01-09,53
2014-01-10,53
2014-01-11,54
2014-01-12,55
2014-01-13,55
2014-01-14,56
2014-01-15,57
2014-01-16,57
2014-01-17,58
2014-01-18,58
2014-01-19,59
2014-01-20,60
2014-01-21,60
2014-01-22,61
2014-01-23,62
2014-01-24,62
2014-01-25,63
2014-01-26,64
2014-01-27,64
2014-01-28,65
2014-01-29,66
2014-01-30,66
2014-01-31,67
2014-02-01,68
