Date,Limco
2008-05-09,51
2008-05-10,52
2008-05-11,53
2008-05-12,54
2008-05-13,55
2008-05-14,55
2008-05-15,56
2008-05-16,57
2008-05-17,58
2008-05-18,59
2008-05-19,60
2008-05-20,60
2008-05-21,61
2008-05-22,62
2008-05-23,63
2008-05-24,64
2008-05-25,65
2008-05-26,65
2008-05-27,66
2008-05-28,67
2008-05-29,68
2008-05-30,69
2008-05-31,70
2008-06-01,71
2008-06-02,70
2008-06-03,70
2008-06-04,70
2008-06-05,70
2008-06-06,70
2008-06-07,70
2008-06-08,69
2008-06-09,69
2008-06-10,69
2008-06-11,69
2008-06-12,69
2008-06-13,69
2008-06-14,68
2008-06-15,68
2008-06-16,68
2008-06-17,68
2008-06-18,68
2008-06-19,68
2008-06-20,67
2008-06-21,67
2008-06-22,67
2008-06-23,67
2008-06-24,67
2008-06-25,67
2008-06-26,66
2008-06-27,66
2008-06-28,66
2008-06-29,66
2008-06-30,66
2008-07-01,66
2008-07-02,65
2008-07-03,65
2008-07-04,65
2008-07-05,64
2008-07-06,64
2008-07-07,64
2008-07-08,63
2008-07-09,63
2008-07-10,63
2008-07-11,62
2008-07-12,62
2008-07-13,62
2008-07-14,61
2008-07-15,61
2008-07-16,61
2008-07-17,60
2008-07-18,60
2008-07-19,60
2008-07-20,59
2008-07-21,59
2008-07-22,59
2008-07-23,58
2008-07-24,58
2008-07-25,58
2008-07-26,57
2008-07-27,57
2008-07-28,57
2008-07-29,56
2008-07-30,56
2008-07-31,56
2008-08-01,56
2008-08-02,55
2008-08-03,54
2008-08-04,53
2008-08-05,53
2008-08-06,52
2008-08-07,51
2008-08-08,51
2008-08-09,50
2008-08-10,49
2008-08-11,49
2008-08-12,48
2008-08-13,47
2008-08-14,47
2008-08-15,46
2008-08-16,45
2008-08-17,45
2008-08-18,44
2008-08-19,43
2008-08-20,43
2008-08-21,42
2008-08-22,41
2008-08-23,41
2008-08-24,40
2008-08-25,39
2008-08-26,39
2008-08-27,38
2008-08-28,37
2008-08-29,37
2008-08-30,36
2008-08-31,35
2008-09-01,35
2008-09-02,35
2008-09-03,36
2008-09-04,37
2008-09-05,38
2008-09-06,39
2008-09-07,40
2008-09-08,40
2008-09-09,41
2008-09-10,42
2008-09-11,43
2008-09-12,44
2008-09-13,45
2008-09-14,45
2008-09-15,46
2008-09-16,47
2008-09-17,48
2008-09-18,49
2008-09-19,50
2008-09-20,50
2008-09-21,51
2008-09-22,52
2008-09-23,53
2008-09-24,54
2008-09-25,55
2008-09-26,55
2008-09-27,56
2008-09-28,57
2008-09-29,58
2008-09-30,59
