Date,Chefs Warehouse
2011-02-21,42
2011-02-22,45
2011-02-23,47
2011-02-24,50
2011-02-25,53
2011-02-26,55
2011-02-27,54
2011-02-28,51
2011-03-01,49
2011-03-02,48
2011-03-03,46
2011-03-04,44
2011-03-05,43
2011-03-06,42
2011-03-07,41
2011-03-08,40
2011-03-09,39
2011-03-10,39
2011-03-11,38
2011-03-12,37
2011-03-13,37
2011-03-14,37
2011-03-15,37
2011-03-16,37
2011-03-17,37
2011-03-18,37
2011-03-19,37
2011-03-20,37
2011-03-21,37
2011-03-22,37
2011-03-23,37
2011-03-24,37
2011-03-25,37
2011-03-26,37
2011-03-27,39
2011-04-03,53
2011-04-04,53
2011-04-05,53
2011-04-06,53
2011-04-07,53
2011-04-08,53
2011-04-09,53
2011-04-10,52
2011-04-11,52
2011-04-12,51
2011-04-13,51
2011-04-14,50
2011-04-15,50
2011-04-16,50
2011-04-17,51
2011-04-18,53
2011-04-19,55
2011-04-20,57
2011-04-21,59
2011-04-22,61
2011-04-23,63
2011-04-24,59
2011-04-25,55
2011-04-26,51
2011-04-27,47
2011-04-28,43
2011-04-29,39
2011-04-30,35
2011-05-01,42
2011-05-02,51
2011-05-03,59
2011-05-04,67
2011-05-05,75
2011-05-06,83
2011-05-07,91
2011-05-08,86
2011-05-09,79
2011-05-10,74
2011-05-11,68
2011-05-12,63
2011-05-13,58
2011-05-14,53
2011-05-15,55
2011-05-16,58
2011-05-17,60
2011-05-18,63
2011-05-19,65
2011-05-20,68
2011-05-21,71
2011-05-22,68
2011-05-23,65
2011-05-24,63
2011-05-25,60
2011-05-26,58
2011-05-27,55
2011-05-28,53
2011-05-29,55
2011-05-30,59
2011-05-31,62
2011-06-01,64
2011-06-02,67
2011-06-03,70
2011-06-04,73
2011-06-05,71
2011-06-06,67
2011-06-07,64
2011-06-08,62
2011-06-09,59
2011-06-10,56
2011-06-11,54
2011-06-12,54
2011-06-13,55
2011-06-14,56
2011-06-15,56
2011-06-16,57
2011-06-17,57
2011-06-18,58
2011-06-19,55
2011-06-20,51
2011-06-21,47
2011-06-22,44
2011-06-23,40
2011-06-24,37
2011-06-25,34
2011-06-26,38
2011-07-03,60
2011-07-04,59
2011-07-05,58
2011-07-06,56
2011-07-07,55
2011-07-08,54
2011-07-09,53
2011-07-10,50
2011-07-11,47
2011-07-12,45
2011-07-13,42
2011-07-14,40
2011-07-15,37
2011-07-16,35
2011-07-17,37
2011-07-18,39
2011-07-19,41
2011-07-20,43
2011-07-21,45
2011-07-22,47
2011-07-23,49
2011-07-24,56
2011-07-25,63
2011-07-26,71
2011-07-27,78
2011-07-28,85
2011-07-29,92
2011-07-30,100
2011-07-31,96
2011-08-01,92
2011-08-02,89
2011-08-03,85
2011-08-04,82
2011-08-05,78
2011-08-06,75
2011-08-07,70
2011-08-08,65
2011-08-09,61
2011-08-10,57
2011-08-11,53
2011-08-12,49
2011-08-13,45
2011-08-14,42
2011-08-15,40
2011-08-16,38
2011-08-17,36
2011-08-18,34
2011-08-19,32
2011-08-20,30
2011-08-21,32
2011-08-22,35
2011-08-23,37
2011-08-24,40
2011-08-25,42
2011-08-26,44
2011-08-27,47
2011-08-28,46
2011-08-29,45
2011-08-30,45
2011-08-31,44
2011-09-01,44
2011-09-02,43
2011-09-03,43
2011-09-04,42
2011-09-05,41
2011-09-06,41
2011-09-07,40
2011-09-08,40
2011-09-09,39
2011-09-10,39
2011-09-11,39
2011-09-12,40
2011-09-13,40
2011-09-14,41
2011-09-15,41
2011-09-16,42
2011-09-17,42
2011-09-18,42
2011-09-19,42
2011-09-20,42
2011-09-21,42
2011-09-22,42
2011-09-23,42
2011-09-24,42
2011-09-25,43
2011-10-02,52
2011-10-03,51
2011-10-04,50
2011-10-05,49
2011-10-06,48
2011-10-07,47
2011-10-08,47
2011-10-09,46
2011-10-10,46
2011-10-11,45
2011-10-12,45
2011-10-13,44
2011-10-14,43
2011-10-15,43
2011-10-16,42
2011-10-17,41
2011-10-18,40
2011-10-19,39
2011-10-20,38
2011-10-21,37
2011-10-22,36
2011-10-23,38
2011-10-24,41
2011-10-25,43
2011-10-26,46
2011-10-27,48
2011-10-28,51
2011-10-29,54
2011-10-30,54
2011-10-31,54
2011-11-01,55
2011-11-02,55
2011-11-03,56
2011-11-04,56
2011-11-05,57
2011-11-06,63
2011-11-07,70
2011-11-08,76
2011-11-09,82
2011-11-10,89
2011-11-11,95
2011-11-12,101
2011-11-13,95
2011-11-14,88
2011-11-15,81
2011-11-16,75
2011-11-17,69
2011-11-18,62
2011-11-19,56
2011-11-20,53
2011-11-21,50
2011-11-22,47
2011-11-23,44
2011-11-24,41
2011-11-25,38
2011-11-26,35
2011-11-27,37
2011-11-28,40
2011-11-29,42
2011-11-30,45
2011-12-01,47
2011-12-02,50
2011-12-03,53
2011-12-04,57
2011-12-05,61
2011-12-06,65
2011-12-07,69
2011-12-08,73
2011-12-09,77
2011-12-10,81
2011-12-11,77
2011-12-12,73
2011-12-13,69
2011-12-14,65
2011-12-15,61
2011-12-16,57
2011-12-17,53
2011-12-18,57
2011-12-19,62
2011-12-20,67
2011-12-21,72
2011-12-22,77
2011-12-23,82
2011-12-24,86
2011-12-25,81
2012-01-01,51
2012-01-02,53
2012-01-03,54
2012-01-04,56
2012-01-05,57
2012-01-06,59
2012-01-07,61
2012-01-08,60
2012-01-09,60
2012-01-10,60
2012-01-11,60
2012-01-12,60
2012-01-13,60
2012-01-14,60
2012-01-15,62
2012-01-16,66
2012-01-17,68
2012-01-18,71
2012-01-19,74
2012-01-20,77
2012-01-21,80
2012-01-22,76
2012-01-23,71
2012-01-24,68
2012-01-25,64
2012-01-26,61
2012-01-27,57
2012-01-28,54
2012-01-29,53
2012-01-30,52
2012-01-31,51
2012-02-01,51
2012-02-02,50
2012-02-03,49
2012-02-04,49
2012-02-05,53
2012-02-06,59
2012-02-07,64
2012-02-08,69
2012-02-09,74
2012-02-10,79
2012-02-11,84
2012-02-12,80
2012-02-13,75
2012-02-14,71
2012-02-15,67
2012-02-16,63
2012-02-17,59
2012-02-18,56
2012-02-19,58
2012-02-20,61
2012-02-21,63
2012-02-22,65
2012-02-23,67
2012-02-24,69
2012-02-25,72
2012-02-26,67
2012-02-27,60
2012-02-28,55
2012-02-29,51
2012-03-01,46
2012-03-02,41
2012-03-03,37
2012-03-04,37
2012-03-05,37
2012-03-06,37
2012-03-07,37
2012-03-08,37
2012-03-09,37
2012-03-10,37
2012-03-11,40
2012-03-12,43
2012-03-13,46
2012-03-14,49
2012-03-15,52
2012-03-16,55
2012-03-17,58
2012-03-18,56
2012-03-19,52
2012-03-20,49
2012-03-21,47
2012-03-22,44
2012-03-23,41
2012-03-24,39
2012-03-25,41
2012-04-01,54
2012-04-02,55
2012-04-03,56
2012-04-04,56
2012-04-05,57
2012-04-06,57
2012-04-07,58
2012-04-08,55
2012-04-09,52
2012-04-10,49
2012-04-11,46
2012-04-12,43
2012-04-13,40
2012-04-14,38
2012-04-15,39
2012-04-16,40
2012-04-17,41
2012-04-18,42
2012-04-19,43
2012-04-20,44
2012-04-21,46
2012-04-22,44
2012-04-23,43
2012-04-24,42
2012-04-25,41
2012-04-26,40
2012-04-27,39
2012-04-28,38
2012-04-29,41
2012-04-30,46
2012-05-01,49
2012-05-02,53
2012-05-03,57
2012-05-04,61
2012-05-05,65
2012-05-06,60
2012-05-07,54
2012-05-08,49
2012-05-09,45
2012-05-10,40
2012-05-11,35
2012-05-12,31
2012-05-13,33
2012-05-14,36
2012-05-15,38
2012-05-16,41
2012-05-17,43
2012-05-18,46
2012-05-19,48
2012-05-20,47
2012-05-21,46
2012-05-22,45
2012-05-23,44
2012-05-24,43
2012-05-25,42
2012-05-26,41
2012-05-27,42
2012-05-28,43
2012-05-29,44
2012-05-30,45
2012-05-31,46
2012-06-01,47
2012-06-02,49
2012-06-03,52
2012-06-04,55
2012-06-05,58
2012-06-06,61
2012-06-07,64
2012-06-08,67
2012-06-09,71
2012-06-10,71
2012-06-11,72
2012-06-12,72
2012-06-13,73
2012-06-14,73
2012-06-15,74
2012-06-16,74
2012-06-17,73
2012-06-18,71
2012-06-19,70
2012-06-20,68
2012-06-21,67
2012-06-22,66
2012-06-23,65
2012-06-24,67
2012-07-01,77
2012-07-02,77
2012-07-03,75
2012-07-04,74
2012-07-05,73
2012-07-06,72
2012-07-07,71
2012-07-08,67
2012-07-09,63
2012-07-10,59
2012-07-11,56
2012-07-12,52
2012-07-13,48
2012-07-14,45
2012-07-15,47
2012-07-16,50
2012-07-17,53
2012-07-18,56
2012-07-19,59
2012-07-20,62
2012-07-21,65
2012-07-22,68
2012-07-23,72
2012-07-24,76
2012-07-25,79
2012-07-26,83
2012-07-27,87
2012-07-28,90
2012-07-29,89
2012-07-30,86
2012-07-31,84
2012-08-01,83
2012-08-02,81
2012-08-03,79
2012-08-04,78
2012-08-05,79
2012-08-06,81
2012-08-07,82
2012-08-08,84
2012-08-09,85
2012-08-10,87
2012-08-11,88
2012-08-12,86
2012-08-13,83
2012-08-14,81
2012-08-15,78
2012-08-16,76
2012-08-17,74
2012-08-18,71
2012-08-19,70
2012-08-20,69
2012-08-21,68
2012-08-22,67
2012-08-23,66
2012-08-24,65
2012-08-25,64
2012-08-26,65
2012-08-27,66
2012-08-28,67
2012-08-29,68
2012-08-30,69
2012-08-31,70
2012-09-01,71
2012-09-02,72
2012-09-03,73
2012-09-04,74
2012-09-05,75
2012-09-06,77
2012-09-07,78
2012-09-08,79
2012-09-09,79
2012-09-10,78
2012-09-11,78
2012-09-12,78
2012-09-13,78
2012-09-14,78
2012-09-15,78
2012-09-16,78
2012-09-17,79
2012-09-18,80
2012-09-19,81
2012-09-20,81
2012-09-21,82
2012-09-22,83
2012-09-23,81
2012-09-24,80
2012-09-25,78
2012-09-26,77
2012-09-27,75
2012-09-28,74
2012-09-29,73
2012-09-30,72
