Date,Freescale Semiconductor
2011-07-29,45
2011-07-30,45
2011-07-31,44
2011-08-07,39
2011-08-08,39
2011-08-09,39
2011-08-10,39
2011-08-11,39
2011-08-12,39
2011-08-13,39
2011-08-14,40
2011-08-15,42
2011-08-16,44
2011-08-17,46
2011-08-18,47
2011-08-19,49
2011-08-20,51
2011-08-21,51
2011-08-22,51
2011-08-23,51
2011-08-24,52
2011-08-25,52
2011-08-26,52
2011-08-27,53
2011-08-28,50
2011-08-29,48
2011-08-30,46
2011-08-31,43
2011-09-01,41
2011-09-02,39
2011-09-03,37
2011-09-04,36
2011-09-05,35
2011-09-06,34
2011-09-07,33
2011-09-08,32
2011-09-09,31
2011-09-10,31
2011-09-11,31
2011-09-12,32
2011-09-13,33
2011-09-14,34
2011-09-15,35
2011-09-16,36
2011-09-17,37
2011-09-18,37
2011-09-19,38
2011-09-20,39
2011-09-21,40
2011-09-22,40
2011-09-23,41
2011-09-24,42
2011-09-25,42
2011-09-26,41
2011-09-27,41
2011-09-28,40
2011-09-29,40
2011-09-30,40
2011-10-01,40
2011-10-02,38
2011-10-03,37
2011-10-04,36
2011-10-05,34
2011-10-06,33
2011-10-07,32
2011-10-08,31
2011-10-09,31
2011-10-10,32
2011-10-11,33
2011-10-12,34
2011-10-13,35
2011-10-14,36
2011-10-15,37
2011-10-16,37
2011-10-17,37
2011-10-18,37
2011-10-19,37
2011-10-20,37
2011-10-21,37
2011-10-22,38
2011-10-23,37
2011-10-24,37
2011-10-25,36
2011-10-26,36
2011-10-27,36
2011-10-28,35
2011-10-29,35
2011-10-30,34
2011-11-06,29
2011-11-07,31
2011-11-08,33
2011-11-09,35
2011-11-10,37
2011-11-11,38
2011-11-12,40
2011-11-13,38
2011-11-14,36
2011-11-15,34
2011-11-16,32
2011-11-17,30
2011-11-18,28
2011-11-19,26
2011-11-20,26
2011-11-21,26
2011-11-22,26
2011-11-23,27
2011-11-24,27
2011-11-25,27
2011-11-26,28
2011-11-27,28
2011-11-28,28
2011-11-29,28
2011-11-30,28
2011-12-01,28
2011-12-02,29
2011-12-03,29
2011-12-04,29
2011-12-05,29
2011-12-06,29
2011-12-07,29
2011-12-08,29
2011-12-09,29
2011-12-10,30
2011-12-11,30
2011-12-12,30
2011-12-13,30
2011-12-14,30
2011-12-15,30
2011-12-16,30
2011-12-17,30
2011-12-18,29
2011-12-19,28
2011-12-20,27
2011-12-21,27
2011-12-22,26
2011-12-23,25
2011-12-24,25
2011-12-25,24
2011-12-26,24
2011-12-27,23
2011-12-28,23
2011-12-29,22
2011-12-30,22
2011-12-31,22
2012-01-01,23
2012-01-02,24
2012-01-03,25
2012-01-04,26
2012-01-05,27
2012-01-06,28
2012-01-07,29
2012-01-08,29
2012-01-09,30
2012-01-10,30
2012-01-11,31
2012-01-12,31
2012-01-13,32
2012-01-14,33
2012-01-15,31
2012-01-16,30
2012-01-17,28
2012-01-18,27
2012-01-19,25
2012-01-20,24
2012-01-21,23
2012-01-22,24
2012-01-23,25
2012-01-24,26
2012-01-25,27
2012-01-26,28
2012-01-27,29
2012-01-28,30
2012-01-29,30
2012-02-05,36
2012-02-06,36
2012-02-07,36
2012-02-08,36
2012-02-09,36
2012-02-10,36
2012-02-11,37
2012-02-12,37
2012-02-13,37
2012-02-14,37
2012-02-15,38
2012-02-16,38
2012-02-17,38
2012-02-18,39
2012-02-19,39
2012-02-20,40
2012-02-21,41
2012-02-22,41
2012-02-23,42
2012-02-24,42
2012-02-25,43
2012-02-26,42
2012-02-27,41
2012-02-28,40
2012-02-29,39
2012-03-01,38
2012-03-02,37
2012-03-03,37
2012-03-04,37
2012-03-05,37
2012-03-06,37
2012-03-07,38
2012-03-08,38
2012-03-09,38
2012-03-10,39
2012-03-11,38
2012-03-12,38
2012-03-13,37
2012-03-14,37
2012-03-15,36
2012-03-16,36
2012-03-17,36
2012-03-18,35
2012-03-19,34
2012-03-20,33
2012-03-21,32
2012-03-22,31
2012-03-23,30
2012-03-24,29
2012-03-25,31
2012-03-26,34
2012-03-27,37
2012-03-28,40
2012-03-29,42
2012-03-30,45
2012-03-31,48
2012-04-01,45
2012-04-02,43
2012-04-03,40
2012-04-04,38
2012-04-05,35
2012-04-06,32
2012-04-07,30
2012-04-08,30
2012-04-09,30
2012-04-10,30
2012-04-11,31
2012-04-12,31
2012-04-13,31
2012-04-14,32
2012-04-15,33
2012-04-16,35
2012-04-17,36
2012-04-18,38
2012-04-19,40
2012-04-20,41
2012-04-21,43
2012-04-22,40
2012-04-23,38
2012-04-24,35
2012-04-25,33
2012-04-26,30
2012-04-27,28
2012-04-28,26
2012-04-29,26
2012-05-06,30
2012-05-07,32
2012-05-08,34
2012-05-09,36
2012-05-10,38
2012-05-11,40
2012-05-12,43
2012-05-13,41
2012-05-14,39
2012-05-15,37
2012-05-16,35
2012-05-17,33
2012-05-18,31
2012-05-19,29
2012-05-20,28
2012-05-21,26
2012-05-22,25
2012-05-23,24
2012-05-24,23
2012-05-25,22
2012-05-26,21
2012-05-27,22
2012-05-28,24
2012-05-29,26
2012-05-30,28
2012-05-31,30
2012-06-01,32
2012-06-02,34
2012-06-03,35
2012-06-04,36
2012-06-05,38
2012-06-06,39
2012-06-07,40
2012-06-08,42
2012-06-09,43
2012-06-10,41
2012-06-11,39
2012-06-12,37
2012-06-13,35
2012-06-14,33
2012-06-15,31
2012-06-16,29
2012-06-17,29
2012-06-18,29
2012-06-19,29
2012-06-20,29
2012-06-21,29
2012-06-22,29
2012-06-23,30
2012-06-24,29
2012-06-25,28
2012-06-26,27
2012-06-27,27
2012-06-28,26
2012-06-29,25
2012-06-30,25
2012-07-01,27
2012-07-02,29
2012-07-03,31
2012-07-04,33
2012-07-05,35
2012-07-06,38
2012-07-07,40
2012-07-08,37
2012-07-09,35
2012-07-10,32
2012-07-11,30
2012-07-12,27
2012-07-13,25
2012-07-14,23
2012-07-15,23
2012-07-16,23
2012-07-17,24
2012-07-18,24
2012-07-19,25
2012-07-20,25
2012-07-21,26
2012-07-22,27
2012-07-23,28
2012-07-24,30
2012-07-25,31
2012-07-26,33
2012-07-27,34
2012-07-28,36
2012-07-29,35
