Date,Graham Packaging
2010-07-29,36
2010-07-30,35
2010-07-31,34
2010-08-01,32
2010-08-02,30
2010-08-03,29
2010-08-04,27
2010-08-05,26
2010-08-06,24
2010-08-07,23
2010-08-08,30
2010-08-09,37
2010-08-10,44
2010-08-11,52
2010-08-12,59
2010-08-13,66
2010-08-14,74
2010-08-15,71
2010-08-16,67
2010-08-17,64
2010-08-18,62
2010-08-19,59
2010-08-20,56
2010-08-21,53
2010-08-22,50
2010-08-23,46
2010-08-24,42
2010-08-25,39
2010-08-26,35
2010-08-27,32
2010-08-28,29
2010-08-29,28
2010-09-05,27
2010-09-06,27
2010-09-07,27
2010-09-08,27
2010-09-09,27
2010-09-10,27
2010-09-11,27
2010-09-12,27
2010-09-13,27
2010-09-14,28
2010-09-15,28
2010-09-16,29
2010-09-17,29
2010-09-18,30
2010-09-19,32
2010-09-20,34
2010-09-21,37
2010-09-22,39
2010-09-23,41
2010-09-24,43
2010-09-25,46
2010-09-26,44
2010-09-27,42
2010-09-28,40
2010-09-29,38
2010-09-30,37
2010-10-01,35
2010-10-02,33
2010-10-03,32
2010-10-04,31
2010-10-05,31
2010-10-06,30
2010-10-07,29
2010-10-08,28
2010-10-09,28
2010-10-10,27
2010-10-11,26
2010-10-12,25
2010-10-13,24
2010-10-14,23
2010-10-15,22
2010-10-16,22
2010-10-17,22
2010-10-18,22
2010-10-19,22
2010-10-20,22
2010-10-21,22
2010-10-22,22
2010-10-23,23
2010-10-24,23
2010-10-25,23
2010-10-26,24
2010-10-27,24
2010-10-28,25
2010-10-29,25
2010-10-30,26
2010-10-31,26
2010-11-01,27
2010-11-02,27
2010-11-03,28
2010-11-04,28
2010-11-05,29
2010-11-06,30
2010-11-07,30
2010-11-08,30
2010-11-09,30
2010-11-10,31
2010-11-11,31
2010-11-12,31
2010-11-13,32
2010-11-14,32
2010-11-15,32
2010-11-16,32
2010-11-17,32
2010-11-18,32
2010-11-19,32
2010-11-20,32
2010-11-21,31
2010-11-22,29
2010-11-23,28
2010-11-24,27
2010-11-25,26
2010-11-26,25
2010-11-27,24
2010-11-28,26
2010-12-05,39
2010-12-06,38
2010-12-07,38
2010-12-08,37
2010-12-09,36
2010-12-10,36
2010-12-11,35
2010-12-12,34
2010-12-13,33
2010-12-14,33
2010-12-15,32
2010-12-16,32
2010-12-17,31
2010-12-18,31
2010-12-19,30
2010-12-20,29
2010-12-21,28
2010-12-22,27
2010-12-23,26
2010-12-24,25
2010-12-25,24
2010-12-26,23
2010-12-27,23
2010-12-28,22
2010-12-29,22
2010-12-30,21
2010-12-31,21
2011-01-01,21
2011-01-02,23
2011-01-03,26
2011-01-04,28
2011-01-05,31
2011-01-06,33
2011-01-07,36
2011-01-08,39
2011-01-09,38
2011-01-10,38
2011-01-11,37
2011-01-12,37
2011-01-13,36
2011-01-14,36
2011-01-15,36
2011-01-16,36
2011-01-17,36
2011-01-18,36
2011-01-19,36
2011-01-20,37
2011-01-21,37
2011-01-22,37
2011-01-23,37
2011-01-24,36
2011-01-25,36
2011-01-26,36
2011-01-27,36
2011-01-28,36
2011-01-29,36
2011-01-30,35
2011-01-31,34
2011-02-01,33
2011-02-02,32
2011-02-03,31
2011-02-04,30
2011-02-05,29
2011-02-06,31
2011-02-07,34
2011-02-08,37
2011-02-09,40
2011-02-10,43
2011-02-11,46
2011-02-12,49
2011-02-13,47
2011-02-14,45
2011-02-15,44
2011-02-16,42
2011-02-17,41
2011-02-18,39
2011-02-19,38
2011-02-20,37
2011-02-21,36
2011-02-22,35
2011-02-23,34
2011-02-24,33
2011-02-25,32
2011-02-26,31
2011-02-27,30
2011-03-06,25
2011-03-07,25
2011-03-08,25
2011-03-09,25
2011-03-10,25
2011-03-11,25
2011-03-12,25
2011-03-13,24
2011-03-14,24
2011-03-15,23
2011-03-16,23
2011-03-17,22
2011-03-18,22
2011-03-19,22
2011-03-20,25
2011-03-21,28
2011-03-22,32
2011-03-23,35
2011-03-24,39
2011-03-25,42
2011-03-26,46
2011-03-27,45
2011-03-28,45
2011-03-29,44
2011-03-30,44
2011-03-31,43
2011-04-01,43
2011-04-02,43
2011-04-03,44
2011-04-04,46
2011-04-05,48
2011-04-06,49
2011-04-07,51
2011-04-08,53
2011-04-09,55
2011-04-10,61
2011-04-11,69
2011-04-12,75
2011-04-13,82
2011-04-14,89
2011-04-15,96
2011-04-16,103
2011-04-17,95
2011-04-18,84
2011-04-19,76
2011-04-20,68
2011-04-21,60
2011-04-22,52
2011-04-23,44
2011-04-24,43
2011-04-25,43
2011-04-26,43
2011-04-27,43
2011-04-28,43
2011-04-29,43
2011-04-30,43
2011-05-01,44
2011-05-02,45
2011-05-03,46
2011-05-04,47
2011-05-05,48
2011-05-06,49
2011-05-07,50
2011-05-08,50
2011-05-09,49
2011-05-10,48
2011-05-11,48
2011-05-12,47
2011-05-13,47
2011-05-14,47
2011-05-15,46
2011-05-16,45
2011-05-17,44
2011-05-18,43
2011-05-19,42
2011-05-20,41
2011-05-21,40
2011-05-22,38
2011-05-23,37
2011-05-24,35
2011-05-25,34
2011-05-26,32
2011-05-27,31
2011-05-28,30
2011-05-29,30
