Date,Springleaf
2013-11-08,78
2013-11-09,82
2013-11-10,86
2013-11-11,83
2013-11-12,86
2013-11-13,91
2013-11-14,93
2013-11-15,96
2013-11-16,107
2013-11-17,109
2013-11-18,96
2013-11-19,94
2013-11-20,93
2013-11-21,93
2013-11-22,89
2013-11-23,99
2013-11-24,89
2013-11-25,82
2013-11-26,79
2013-11-27,76
2013-11-28,87
2013-11-29,70
2013-11-30,70
2013-12-01,79
2013-12-02,74
2013-12-03,77
2013-12-04,82
2013-12-05,83
2013-12-06,88
2013-12-07,99
2013-12-08,96
2013-12-09,90
2013-12-10,92
2013-12-11,91
2013-12-12,92
2013-12-13,92
2013-12-14,100
2013-12-15,100
2013-12-16,90
2013-12-17,88
2013-12-18,87
2013-12-19,89
2013-12-20,84
2013-12-21,93
2013-12-22,89
2013-12-23,77
2013-12-24,79
2013-12-25,85
2013-12-26,68
2013-12-27,65
2013-12-28,68
2013-12-29,68
2013-12-30,65
2013-12-31,67
2014-01-01,77
2014-01-02,70
2014-01-03,72
2014-01-04,81
2014-01-05,78
2014-01-06,75
2014-01-07,80
2014-01-08,76
2014-01-09,77
2014-01-10,78
2014-01-11,88
2014-01-12,86
2014-01-13,82
2014-01-14,88
2014-01-15,85
2014-01-16,90
2014-01-17,88
2014-01-18,99
2014-01-19,97
2014-01-20,84
2014-01-21,81
2014-01-22,81
2014-01-23,76
2014-01-24,73
2014-01-25,80
2014-01-26,74
2014-01-27,69
2014-01-28,70
2014-01-29,68
2014-01-30,68
2014-01-31,66
2014-02-01,66
2014-02-02,70
2014-02-03,65
2014-02-04,66
2014-02-05,69
2014-02-06,65
2014-02-07,65
2014-02-08,70
2014-02-09,70
2014-02-10,68
2014-02-11,73
2014-02-12,71
2014-02-13,75
2014-02-14,75
2014-02-15,84
2014-02-16,88
2014-02-17,77
2014-02-18,78
2014-02-19,77
2014-02-20,77
2014-02-21,77
2014-02-22,85
2014-02-23,80
2014-02-24,76
2014-02-25,76
2014-02-26,76
2014-02-27,75
2014-02-28,75
