Date,Hilton Worldwide
2013-12-01,64
2013-12-02,61
2013-12-03,70
2013-12-04,70
2013-12-05,67
2013-12-06,75
2013-12-07,76
2013-12-08,77
2013-12-09,81
2013-12-10,78
2013-12-11,87
2013-12-12,79
2013-12-13,101
2013-12-14,113
2013-12-15,89
2013-12-16,86
2013-12-17,86
2013-12-18,83
2013-12-19,86
2013-12-20,75
2013-12-21,71
2013-12-22,67
2013-12-23,63
2013-12-24,59
2013-12-25,55
2013-12-26,51
2013-12-27,47
2013-12-28,44
2013-12-29,48
2013-12-30,51
2013-12-31,61
2014-01-01,64
2014-01-02,69
2014-01-03,71
2014-01-04,81
2014-01-05,79
2014-01-06,79
2014-01-07,75
2014-01-08,84
2014-01-09,76
2014-01-10,85
2014-01-11,78
2014-01-12,81
2014-01-13,81
2014-01-14,79
2014-01-15,77
2014-01-16,89
2014-01-17,76
2014-01-18,85
2014-01-19,77
2014-01-20,80
2014-01-21,84
2014-01-22,85
2014-01-23,93
2014-01-24,82
2014-01-25,102
2014-01-26,80
2014-01-27,95
2014-01-28,86
2014-01-29,91
2014-01-30,92
2014-01-31,90
2014-02-01,103
