Date,Complete Genomics
2010-10-31,40
2010-11-01,41
2010-11-02,42
2010-11-03,42
2010-11-04,43
2010-11-05,44
2010-11-06,45
2010-11-07,52
2010-11-08,61
2010-11-09,70
2010-11-10,78
2010-11-11,86
2010-11-12,95
2010-11-13,103
2010-11-14,95
2010-11-15,82
2010-11-16,73
2010-11-17,65
2010-11-18,56
2010-11-19,47
2010-11-20,39
2010-11-21,36
2010-11-22,34
2010-11-23,32
2010-11-24,29
2010-11-25,27
2010-11-26,25
2010-11-27,23
2010-11-28,23
2010-11-29,24
2010-11-30,25
2010-12-01,25
2010-12-02,26
2010-12-03,27
2010-12-04,28
2010-12-05,28
2010-12-06,28
2010-12-07,28
2010-12-08,28
2010-12-09,28
2010-12-10,28
2010-12-11,28
2010-12-12,28
2010-12-13,29
2010-12-14,29
2010-12-15,30
2010-12-16,30
2010-12-17,31
2010-12-18,32
2010-12-19,30
2010-12-20,29
2010-12-21,28
2010-12-22,27
2010-12-23,26
2010-12-24,24
2010-12-25,24
2010-12-26,21
2011-01-02,20
2011-01-03,20
2011-01-04,20
2011-01-05,20
2011-01-06,20
2011-01-07,20
2011-01-08,20
2011-01-09,20
2011-01-10,20
2011-01-11,20
2011-01-12,20
2011-01-13,20
2011-01-14,20
2011-01-15,20
2011-01-16,20
2011-01-17,20
2011-01-18,20
2011-01-19,21
2011-01-20,21
2011-01-21,21
2011-01-22,22
2011-01-23,21
2011-01-24,20
2011-01-25,20
2011-01-26,19
2011-01-27,19
2011-01-28,18
2011-01-29,18
2011-01-30,20
2011-01-31,23
2011-02-01,25
2011-02-02,28
2011-02-03,30
2011-02-04,32
2011-02-05,35
2011-02-06,33
2011-02-07,31
2011-02-08,29
2011-02-09,28
2011-02-10,26
2011-02-11,24
2011-02-12,23
2011-02-13,23
2011-02-14,24
2011-02-15,25
2011-02-16,26
2011-02-17,27
2011-02-18,28
2011-02-19,29
2011-02-20,28
2011-02-21,28
2011-02-22,28
2011-02-23,28
2011-02-24,28
2011-02-25,27
2011-02-26,27
2011-02-27,26
2011-02-28,24
2011-03-01,23
2011-03-02,21
2011-03-03,20
2011-03-04,19
2011-03-05,18
2011-03-06,21
2011-03-07,24
2011-03-08,27
2011-03-09,30
2011-03-10,33
2011-03-11,37
2011-03-12,40
2011-03-13,38
2011-03-14,36
2011-03-15,35
2011-03-16,33
2011-03-17,32
2011-03-18,30
2011-03-19,29
2011-03-20,30
2011-03-21,31
2011-03-22,32
2011-03-23,33
2011-03-24,35
2011-03-25,36
2011-03-26,37
2011-03-27,35
2011-04-03,20
2011-04-04,20
2011-04-05,20
2011-04-06,20
2011-04-07,20
2011-04-08,20
2011-04-09,20
2011-04-10,22
2011-04-11,24
2011-04-12,26
2011-04-13,28
2011-04-14,30
2011-04-15,32
2011-04-16,34
2011-04-17,37
2011-04-18,40
2011-04-19,44
2011-04-20,47
2011-04-21,50
2011-04-22,54
2011-04-23,57
2011-04-24,53
2011-04-25,50
2011-04-26,46
2011-04-27,43
2011-04-28,40
2011-04-29,36
2011-04-30,33
2011-05-01,33
2011-05-02,32
2011-05-03,32
2011-05-04,32
2011-05-05,32
2011-05-06,32
2011-05-07,32
2011-05-08,31
2011-05-09,31
2011-05-10,30
2011-05-11,29
2011-05-12,29
2011-05-13,28
2011-05-14,28
2011-05-15,29
2011-05-16,30
2011-05-17,31
2011-05-18,32
2011-05-19,33
2011-05-20,34
2011-05-21,36
2011-05-22,35
2011-05-23,34
2011-05-24,33
2011-05-25,33
2011-05-26,32
2011-05-27,31
2011-05-28,31
2011-05-29,30
2011-05-30,29
2011-05-31,28
2011-06-01,28
2011-06-02,27
2011-06-03,26
2011-06-04,26
2011-06-05,26
2011-06-06,26
2011-06-07,26
2011-06-08,26
2011-06-09,27
2011-06-10,27
2011-06-11,27
2011-06-12,27
2011-06-13,26
2011-06-14,25
2011-06-15,25
2011-06-16,24
2011-06-17,24
2011-06-18,24
2011-06-19,25
2011-06-20,26
2011-06-21,27
2011-06-22,28
2011-06-23,29
2011-06-24,30
2011-06-25,31
2011-06-26,29
2011-07-03,21
2011-07-04,21
2011-07-05,21
2011-07-06,21
2011-07-07,21
2011-07-08,21
2011-07-09,21
2011-07-10,22
2011-07-11,24
2011-07-12,25
2011-07-13,26
2011-07-14,28
2011-07-15,29
2011-07-16,31
2011-07-17,30
2011-07-18,28
2011-07-19,27
2011-07-20,25
2011-07-21,24
2011-07-22,23
2011-07-23,22
2011-07-24,22
2011-07-25,23
2011-07-26,24
2011-07-27,24
2011-07-28,25
2011-07-29,26
2011-07-30,27
2011-07-31,29
2011-08-01,30
2011-08-02,32
2011-08-03,34
2011-08-04,36
2011-08-05,38
2011-08-06,40
2011-08-07,39
2011-08-08,38
2011-08-09,37
2011-08-10,36
2011-08-11,35
2011-08-12,34
2011-08-13,33
2011-08-14,33
2011-08-15,34
2011-08-16,34
2011-08-17,34
2011-08-18,35
2011-08-19,35
2011-08-20,36
2011-08-21,34
2011-08-22,32
2011-08-23,30
2011-08-24,29
2011-08-25,27
2011-08-26,25
2011-08-27,24
2011-08-28,27
2011-08-29,31
2011-08-30,35
2011-08-31,39
2011-09-01,43
2011-09-02,47
2011-09-03,51
2011-09-04,47
2011-09-05,42
2011-09-06,38
2011-09-07,34
2011-09-08,30
2011-09-09,26
2011-09-10,22
2011-09-11,21
2011-09-12,20
2011-09-13,19
2011-09-14,18
2011-09-15,17
2011-09-16,16
2011-09-17,15
2011-09-18,18
2011-09-19,22
2011-09-20,25
2011-09-21,29
2011-09-22,32
2011-09-23,36
2011-09-24,39
2011-09-25,38
2011-10-02,34
2011-10-03,36
2011-10-04,38
2011-10-05,40
2011-10-06,42
2011-10-07,44
2011-10-08,47
2011-10-09,45
2011-10-10,43
2011-10-11,42
2011-10-12,40
2011-10-13,38
2011-10-14,36
2011-10-15,35
2011-10-16,34
2011-10-17,33
2011-10-18,32
2011-10-19,31
2011-10-20,30
2011-10-21,29
2011-10-22,29
2011-10-23,29
2011-10-24,30
2011-10-25,31
2011-10-26,32
2011-10-27,33
2011-10-28,34
2011-10-29,35
2011-10-30,35
2011-10-31,34
2011-11-01,34
2011-11-02,34
2011-11-03,34
2011-11-04,34
2011-11-05,34
2011-11-06,34
2011-11-07,34
2011-11-08,35
2011-11-09,35
2011-11-10,35
2011-11-11,36
2011-11-12,36
2011-11-13,34
2011-11-14,31
2011-11-15,28
2011-11-16,26
2011-11-17,23
2011-11-18,21
2011-11-19,19
2011-11-20,18
2011-11-21,17
2011-11-22,16
2011-11-23,16
2011-11-24,15
2011-11-25,14
2011-11-26,14
2011-11-27,16
2011-11-28,19
2011-11-29,21
2011-11-30,24
2011-12-01,26
2011-12-02,29
2011-12-03,32
2011-12-04,30
2011-12-05,29
2011-12-06,28
2011-12-07,26
2011-12-08,25
2011-12-09,24
2011-12-10,23
2011-12-11,24
2011-12-12,26
2011-12-13,27
2011-12-14,29
2011-12-15,30
2011-12-16,31
2011-12-17,33
2011-12-18,31
2011-12-19,29
2011-12-20,27
2011-12-21,25
2011-12-22,23
2011-12-23,22
2011-12-24,20
2011-12-25,19
