Date,Healthcare Of Today
2010-11-11,77
2010-11-12,77
2010-11-13,76
2010-11-14,76
2010-11-15,75
2010-11-16,75
2010-11-17,74
2010-11-18,73
2010-11-19,73
2010-11-20,72
2010-11-21,72
2010-11-22,71
2010-11-23,71
2010-11-24,70
2010-11-25,70
2010-11-26,69
2010-11-27,69
2010-11-28,68
2010-11-29,68
2010-11-30,67
2010-12-01,67
2010-12-02,68
2010-12-03,69
2010-12-04,70
2010-12-05,71
2010-12-06,72
2010-12-07,73
2010-12-08,74
2010-12-09,75
2010-12-10,76
2010-12-11,77
2010-12-12,78
2010-12-13,79
2010-12-14,80
2010-12-15,81
2010-12-16,82
2010-12-17,84
2010-12-18,85
2010-12-19,86
2010-12-20,87
2010-12-21,88
2010-12-22,89
2010-12-23,90
2010-12-24,91
2010-12-25,92
2010-12-26,93
2010-12-27,94
2010-12-28,95
2010-12-29,96
2010-12-30,97
2010-12-31,98
2011-01-01,100
2011-01-02,98
2011-01-03,97
2011-01-04,96
2011-01-05,95
2011-01-06,94
2011-01-07,93
2011-01-08,92
2011-01-09,91
2011-01-10,90
2011-01-11,89
2011-01-12,88
2011-01-13,87
2011-01-14,86
2011-01-15,85
2011-01-16,84
2011-01-17,82
2011-01-18,81
2011-01-19,80
2011-01-20,79
2011-01-21,78
2011-01-22,77
2011-01-23,76
2011-01-24,75
2011-01-25,74
2011-01-26,73
2011-01-27,72
2011-01-28,71
2011-01-29,70
2011-01-30,69
2011-01-31,68
2011-02-01,67
2011-02-02,67
2011-02-03,68
2011-02-04,69
2011-02-05,70
2011-02-06,71
2011-02-07,71
2011-02-08,72
2011-02-09,73
2011-02-10,74
2011-02-11,75
2011-02-12,76
2011-02-13,76
2011-02-14,77
2011-02-15,78
2011-02-16,79
2011-02-17,80
2011-02-18,80
2011-02-19,81
2011-02-20,82
2011-02-21,83
2011-02-22,84
2011-02-23,85
2011-02-24,85
2011-02-25,86
2011-02-26,87
2011-02-27,88
2011-02-28,89
2011-03-01,90
2011-03-02,89
2011-03-03,88
2011-03-04,87
2011-03-05,87
2011-03-06,86
2011-03-07,85
2011-03-08,85
2011-03-09,84
2011-03-10,83
2011-03-11,83
2011-03-12,82
2011-03-13,81
2011-03-14,81
2011-03-15,80
2011-03-16,79
2011-03-17,79
2011-03-18,78
2011-03-19,77
2011-03-20,77
2011-03-21,76
2011-03-22,75
2011-03-23,75
2011-03-24,74
2011-03-25,73
2011-03-26,73
2011-03-27,72
2011-03-28,71
2011-03-29,71
2011-03-30,70
2011-03-31,69
2011-04-01,69
2011-04-02,69
2011-04-03,69
2011-04-04,69
2011-04-05,69
2011-04-06,69
2011-04-07,69
2011-04-08,69
2011-04-09,69
2011-04-10,69
2011-04-11,70
2011-04-12,70
2011-04-13,70
2011-04-14,70
2011-04-15,70
2011-04-16,70
2011-04-17,70
2011-04-18,70
2011-04-19,70
2011-04-20,70
2011-04-21,71
2011-04-22,71
2011-04-23,71
2011-04-24,71
2011-04-25,71
2011-04-26,71
2011-04-27,71
2011-04-28,71
2011-04-29,71
2011-04-30,71
2011-05-01,72
2011-05-02,72
2011-05-03,73
2011-05-04,74
2011-05-05,75
2011-05-06,76
2011-05-07,76
2011-05-08,77
2011-05-09,78
2011-05-10,79
2011-05-11,80
2011-05-12,80
2011-05-13,81
2011-05-14,82
2011-05-15,83
2011-05-16,84
2011-05-17,84
2011-05-18,85
2011-05-19,86
2011-05-20,87
2011-05-21,88
2011-05-22,88
2011-05-23,89
2011-05-24,90
2011-05-25,91
2011-05-26,92
2011-05-27,92
2011-05-28,93
2011-05-29,94
2011-05-30,95
2011-05-31,96
2011-06-01,97
2011-06-02,95
2011-06-03,94
2011-06-04,93
2011-06-05,92
2011-06-06,91
2011-06-07,90
2011-06-08,88
2011-06-09,87
2011-06-10,86
2011-06-11,85
2011-06-12,84
2011-06-13,83
2011-06-14,81
2011-06-15,80
2011-06-16,79
2011-06-17,78
2011-06-18,77
2011-06-19,76
2011-06-20,74
2011-06-21,73
2011-06-22,72
2011-06-23,71
2011-06-24,70
2011-06-25,69
2011-06-26,67
2011-06-27,66
2011-06-28,65
2011-06-29,64
2011-06-30,63
2011-07-01,62
2011-07-02,61
2011-07-03,60
2011-07-04,60
2011-07-05,59
2011-07-06,59
2011-07-07,58
2011-07-08,58
2011-07-09,57
2011-07-10,57
2011-07-11,56
2011-07-12,56
2011-07-13,55
2011-07-14,55
2011-07-15,54
2011-07-16,54
2011-07-17,53
2011-07-18,53
2011-07-19,52
2011-07-20,52
2011-07-21,51
2011-07-22,51
2011-07-23,50
2011-07-24,50
2011-07-25,49
2011-07-26,49
2011-07-27,48
2011-07-28,48
2011-07-29,47
2011-07-30,47
2011-07-31,46
2011-08-01,46
2011-08-02,47
2011-08-03,49
2011-08-04,50
2011-08-05,52
2011-08-06,54
2011-08-07,55
2011-08-08,57
2011-08-09,58
2011-08-10,60
2011-08-11,62
2011-08-12,63
2011-08-13,65
2011-08-14,66
2011-08-15,68
2011-08-16,70
2011-08-17,71
2011-08-18,73
2011-08-19,75
2011-08-20,76
2011-08-21,78
2011-08-22,79
2011-08-23,81
2011-08-24,83
2011-08-25,84
2011-08-26,86
2011-08-27,87
2011-08-28,89
2011-08-29,91
2011-08-30,92
2011-08-31,94
2011-09-01,96
2011-09-02,95
2011-09-03,95
2011-09-04,95
2011-09-05,95
2011-09-06,95
2011-09-07,95
2011-09-08,95
2011-09-09,95
2011-09-10,95
2011-09-11,95
2011-09-12,95
2011-09-13,95
2011-09-14,95
2011-09-15,95
2011-09-16,95
2011-09-17,94
2011-09-18,94
2011-09-19,94
2011-09-20,94
2011-09-21,94
2011-09-22,94
2011-09-23,94
2011-09-24,94
2011-09-25,94
2011-09-26,94
2011-09-27,94
2011-09-28,94
2011-09-29,94
2011-09-30,94
2011-10-01,94
2011-10-02,93
2011-10-03,93
2011-10-04,92
2011-10-05,92
2011-10-06,91
2011-10-07,91
2011-10-08,90
2011-10-09,90
2011-10-10,89
2011-10-11,89
2011-10-12,88
2011-10-13,88
2011-10-14,87
2011-10-15,87
2011-10-16,86
2011-10-17,86
2011-10-18,85
2011-10-19,85
2011-10-20,84
2011-10-21,84
2011-10-22,83
2011-10-23,83
2011-10-24,82
2011-10-25,82
2011-10-26,81
2011-10-27,81
2011-10-28,80
2011-10-29,80
2011-10-30,79
2011-10-31,79
2011-11-01,79
2011-11-02,78
2011-11-03,77
2011-11-04,76
2011-11-05,75
2011-11-06,75
2011-11-07,74
2011-11-08,73
2011-11-09,72
2011-11-10,72
2011-11-11,71
2011-11-12,70
2011-11-13,69
2011-11-14,69
2011-11-15,68
2011-11-16,67
2011-11-17,66
2011-11-18,65
2011-11-19,65
2011-11-20,64
2011-11-21,63
2011-11-22,62
2011-11-23,62
2011-11-24,61
2011-11-25,60
2011-11-26,59
2011-11-27,59
2011-11-28,58
2011-11-29,57
2011-11-30,56
2011-12-01,56
2011-12-02,55
2011-12-03,55
2011-12-04,55
2011-12-05,55
2011-12-06,55
2011-12-07,55
2011-12-08,54
2011-12-09,54
2011-12-10,54
2011-12-11,54
2011-12-12,54
2011-12-13,54
2011-12-14,53
2011-12-15,53
2011-12-16,53
2011-12-17,53
2011-12-18,53
2011-12-19,53
2011-12-20,52
2011-12-21,52
2011-12-22,52
2011-12-23,52
2011-12-24,52
2011-12-25,52
2011-12-26,51
2011-12-27,51
2011-12-28,51
2011-12-29,51
2011-12-30,51
2011-12-31,51
2012-01-01,51
2012-01-02,52
2012-01-03,53
2012-01-04,55
2012-01-05,56
2012-01-06,58
2012-01-07,59
2012-01-08,60
2012-01-09,62
2012-01-10,63
2012-01-11,65
2012-01-12,66
2012-01-13,68
2012-01-14,69
2012-01-15,70
2012-01-16,72
2012-01-17,73
2012-01-18,75
2012-01-19,76
2012-01-20,77
2012-01-21,79
2012-01-22,80
2012-01-23,82
2012-01-24,83
2012-01-25,85
2012-01-26,86
2012-01-27,87
2012-01-28,89
2012-01-29,90
2012-01-30,92
2012-01-31,93
2012-02-01,95
2012-02-02,95
2012-02-03,95
2012-02-04,95
2012-02-05,95
2012-02-06,95
2012-02-07,96
2012-02-08,96
2012-02-09,96
2012-02-10,96
2012-02-11,96
2012-02-12,96
2012-02-13,97
2012-02-14,97
2012-02-15,97
2012-02-16,97
2012-02-17,97
2012-02-18,97
2012-02-19,98
2012-02-20,98
2012-02-21,98
2012-02-22,98
2012-02-23,98
2012-02-24,98
2012-02-25,99
2012-02-26,99
2012-02-27,99
2012-02-28,99
2012-02-29,99
2012-03-01,100
2012-03-02,99
2012-03-03,99
2012-03-04,99
2012-03-05,99
2012-03-06,98
2012-03-07,98
2012-03-08,98
2012-03-09,98
2012-03-10,97
2012-03-11,97
2012-03-12,97
2012-03-13,97
2012-03-14,97
2012-03-15,96
2012-03-16,96
2012-03-17,96
2012-03-18,96
2012-03-19,95
2012-03-20,95
2012-03-21,95
2012-03-22,95
2012-03-23,95
2012-03-24,94
2012-03-25,94
2012-03-26,94
2012-03-27,94
2012-03-28,93
2012-03-29,93
2012-03-30,93
2012-03-31,93
2012-04-01,93
2012-04-02,91
2012-04-03,90
2012-04-04,89
2012-04-05,88
2012-04-06,87
2012-04-07,86
2012-04-08,85
2012-04-09,83
2012-04-10,82
2012-04-11,81
2012-04-12,80
2012-04-13,79
2012-04-14,78
2012-04-15,77
2012-04-16,76
2012-04-17,74
2012-04-18,73
2012-04-19,72
2012-04-20,71
2012-04-21,70
2012-04-22,69
2012-04-23,68
2012-04-24,66
2012-04-25,65
2012-04-26,64
2012-04-27,63
2012-04-28,62
2012-04-29,61
2012-04-30,60
2012-05-01,59
