Date,SciQuest
2010-06-26,50
2010-06-27,50
2010-06-28,51
2010-06-29,51
2010-06-30,52
2010-07-01,52
2010-07-02,53
2010-07-03,53
2010-07-04,50
2010-07-05,46
2010-07-06,43
2010-07-07,39
2010-07-08,36
2010-07-09,33
2010-07-10,30
2010-07-11,32
2010-07-12,35
2010-07-13,38
2010-07-14,41
2010-07-15,44
2010-07-16,47
2010-07-17,50
2010-07-18,49
2010-07-19,48
2010-07-20,47
2010-07-21,47
2010-07-22,46
2010-07-23,45
2010-07-24,45
2010-07-25,45
2010-07-26,45
2010-07-27,46
2010-07-28,46
2010-07-29,46
2010-07-30,47
2010-07-31,47
2010-08-01,48
2010-08-02,49
2010-08-03,50
2010-08-04,51
2010-08-05,52
2010-08-06,53
2010-08-07,54
2010-08-08,51
2010-08-09,47
2010-08-10,44
2010-08-11,41
2010-08-12,38
2010-08-13,35
2010-08-14,32
2010-08-15,33
2010-08-16,34
2010-08-17,35
2010-08-18,37
2010-08-19,38
2010-08-20,39
2010-08-21,41
2010-08-22,40
2010-08-23,40
2010-08-24,40
2010-08-25,40
2010-08-26,40
2010-08-27,40
2010-08-28,40
2010-08-29,41
2010-09-05,47
2010-09-06,48
2010-09-07,48
2010-09-08,49
2010-09-09,49
2010-09-10,50
2010-09-11,51
2010-09-12,51
2010-09-13,51
2010-09-14,52
2010-09-15,52
2010-09-16,53
2010-09-17,53
2010-09-18,54
2010-09-19,60
2010-09-20,67
2010-09-21,74
2010-09-22,81
2010-09-23,87
2010-09-24,94
2010-09-25,101
2010-09-26,96
2010-09-27,91
2010-09-28,86
2010-09-29,82
2010-09-30,77
2010-10-01,73
2010-10-02,68
2010-10-03,66
2010-10-04,64
2010-10-05,62
2010-10-06,59
2010-10-07,57
2010-10-08,55
2010-10-09,53
2010-10-10,50
2010-10-11,46
2010-10-12,44
2010-10-13,41
2010-10-14,39
2010-10-15,36
2010-10-16,34
2010-10-17,33
2010-10-18,33
2010-10-19,32
2010-10-20,32
2010-10-21,31
2010-10-22,31
2010-10-23,31
2010-10-24,33
2010-10-25,35
2010-10-26,37
2010-10-27,39
2010-10-28,41
2010-10-29,43
2010-10-30,46
2010-10-31,46
2010-11-01,46
2010-11-02,46
2010-11-03,46
2010-11-04,46
2010-11-05,46
2010-11-06,46
2010-11-07,46
2010-11-08,47
2010-11-09,47
2010-11-10,47
2010-11-11,47
2010-11-12,48
2010-11-13,48
2010-11-14,46
2010-11-15,43
2010-11-16,40
2010-11-17,38
2010-11-18,35
2010-11-19,33
2010-11-20,31
2010-11-21,30
2010-11-22,30
2010-11-23,29
2010-11-24,29
2010-11-25,28
2010-11-26,28
2010-11-27,28
2010-11-28,29
2010-12-05,35
2010-12-06,34
2010-12-07,32
2010-12-08,31
2010-12-09,29
2010-12-10,28
2010-12-11,27
2010-12-12,28
2010-12-13,29
2010-12-14,30
2010-12-15,31
2010-12-16,32
2010-12-17,33
2010-12-18,35
2010-12-19,34
2010-12-20,34
2010-12-21,34
2010-12-22,33
2010-12-23,33
2010-12-24,33
2010-12-25,33
2010-12-26,34
2010-12-27,35
2010-12-28,37
2010-12-29,38
2010-12-30,40
2010-12-31,41
2011-01-01,43
2011-01-02,44
2011-01-03,45
2011-01-04,47
2011-01-05,48
2011-01-06,50
2011-01-07,51
2011-01-08,53
2011-01-09,52
2011-01-10,51
2011-01-11,50
2011-01-12,50
2011-01-13,49
2011-01-14,48
2011-01-15,47
2011-01-16,44
2011-01-17,41
2011-01-18,38
2011-01-19,36
2011-01-20,33
2011-01-21,30
2011-01-22,28
2011-01-23,32
2011-01-24,37
2011-01-25,41
2011-01-26,45
2011-01-27,50
2011-01-28,54
2011-01-29,59
2011-01-30,58
2011-01-31,56
2011-02-01,55
2011-02-02,55
2011-02-03,54
2011-02-04,53
2011-02-05,53
2011-02-06,50
2011-02-07,47
2011-02-08,44
2011-02-09,41
2011-02-10,38
2011-02-11,35
2011-02-12,32
2011-02-13,33
2011-02-14,34
2011-02-15,35
2011-02-16,37
2011-02-17,38
2011-02-18,39
2011-02-19,41
2011-02-20,40
2011-02-21,39
2011-02-22,38
2011-02-23,37
2011-02-24,36
2011-02-25,35
2011-02-26,34
2011-02-27,35
2011-03-06,45
2011-03-07,44
2011-03-08,43
2011-03-09,41
2011-03-10,40
2011-03-11,39
2011-03-12,38
2011-03-13,39
2011-03-14,41
2011-03-15,43
2011-03-16,45
2011-03-17,47
2011-03-18,48
2011-03-19,50
2011-03-20,50
2011-03-21,48
2011-03-22,47
2011-03-23,47
2011-03-24,46
2011-03-25,45
2011-03-26,45
2011-03-27,46
2011-03-28,48
2011-03-29,49
2011-03-30,51
2011-03-31,52
2011-04-01,54
2011-04-02,55
2011-04-03,54
2011-04-04,53
2011-04-05,52
2011-04-06,52
2011-04-07,51
2011-04-08,50
2011-04-09,50
2011-04-10,50
2011-04-11,50
2011-04-12,50
2011-04-13,50
2011-04-14,50
2011-04-15,50
2011-04-16,50
2011-04-17,48
2011-04-18,45
2011-04-19,43
2011-04-20,40
2011-04-21,38
2011-04-22,36
2011-04-23,34
2011-04-24,33
2011-04-25,33
2011-04-26,33
2011-04-27,33
2011-04-28,33
2011-04-29,33
2011-04-30,33
2011-05-01,36
2011-05-02,39
2011-05-03,42
2011-05-04,45
2011-05-05,48
2011-05-06,51
2011-05-07,55
2011-05-08,55
2011-05-09,55
2011-05-10,55
2011-05-11,56
2011-05-12,56
2011-05-13,56
2011-05-14,57
2011-05-15,56
2011-05-16,55
2011-05-17,54
2011-05-18,53
2011-05-19,52
2011-05-20,51
2011-05-21,50
2011-05-22,49
2011-05-23,49
2011-05-24,49
2011-05-25,48
2011-05-26,48
2011-05-27,48
2011-05-28,48
2011-05-29,51
2011-06-05,65
2011-06-06,60
2011-06-07,55
2011-06-08,50
2011-06-09,45
2011-06-10,40
2011-06-11,36
2011-06-12,38
2011-06-13,40
2011-06-14,42
2011-06-15,44
2011-06-16,46
2011-06-17,48
2011-06-18,50
2011-06-19,50
2011-06-20,50
2011-06-21,50
2011-06-22,50
2011-06-23,50
2011-06-24,50
2011-06-25,50
2011-06-26,49
2011-06-27,49
2011-06-28,49
2011-06-29,48
2011-06-30,48
2011-07-01,48
2011-07-02,48
2011-07-03,48
2011-07-04,49
2011-07-05,49
2011-07-06,49
2011-07-07,50
2011-07-08,50
2011-07-09,50
2011-07-10,50
2011-07-11,50
2011-07-12,50
2011-07-13,50
2011-07-14,50
2011-07-15,51
2011-07-16,51
2011-07-17,50
2011-07-18,48
2011-07-19,47
2011-07-20,46
2011-07-21,45
2011-07-22,44
2011-07-23,43
2011-07-24,43
2011-07-25,43
2011-07-26,43
2011-07-27,43
2011-07-28,43
2011-07-29,43
2011-07-30,43
2011-07-31,43
2011-08-01,44
2011-08-02,45
2011-08-03,45
2011-08-04,46
2011-08-05,46
2011-08-06,47
2011-08-07,46
2011-08-08,45
2011-08-09,44
2011-08-10,43
2011-08-11,42
2011-08-12,41
2011-08-13,40
2011-08-14,39
2011-08-15,38
2011-08-16,38
2011-08-17,37
2011-08-18,37
2011-08-19,36
2011-08-20,36
2011-08-21,35
2011-08-22,36
2011-08-23,36
2011-08-24,36
2011-08-25,37
2011-08-26,37
2011-08-27,38
2011-08-28,33
