Date,Exponential Interactive
2013-10-26,56
2013-10-27,56
2013-10-28,55
2013-10-29,54
2013-10-30,54
2013-10-31,53
2013-11-01,53
2013-11-02,53
2013-11-03,53
2013-11-04,53
2013-11-05,54
2013-11-06,54
2013-11-07,54
2013-11-08,55
2013-11-09,55
2013-11-10,55
2013-11-11,56
2013-11-12,56
2013-11-13,56
2013-11-14,56
2013-11-15,57
2013-11-16,57
2013-11-17,57
2013-11-18,58
2013-11-19,58
2013-11-20,58
2013-11-21,59
2013-11-22,59
2013-11-23,59
2013-11-24,59
2013-11-25,60
2013-11-26,60
2013-11-27,60
2013-11-28,61
2013-11-29,61
2013-11-30,61
2013-12-01,62
2013-12-02,61
2013-12-03,60
2013-12-04,60
2013-12-05,59
2013-12-06,59
2013-12-07,58
2013-12-08,57
2013-12-09,57
2013-12-10,56
2013-12-11,56
2013-12-12,55
2013-12-13,55
2013-12-14,54
2013-12-15,53
2013-12-16,53
2013-12-17,52
2013-12-18,52
2013-12-19,51
2013-12-20,50
2013-12-21,50
2013-12-22,49
2013-12-23,49
2013-12-24,48
2013-12-25,48
2013-12-26,47
2013-12-27,46
2013-12-28,46
2013-12-29,45
2013-12-30,45
2013-12-31,44
2014-01-01,44
2014-01-02,44
2014-01-03,44
2014-01-04,44
2014-01-05,44
2014-01-06,45
2014-01-07,45
2014-01-08,45
2014-01-09,45
2014-01-10,46
2014-01-11,46
2014-01-12,46
2014-01-13,46
2014-01-14,46
2014-01-15,47
2014-01-16,47
2014-01-17,47
2014-01-18,47
2014-01-19,48
2014-01-20,48
2014-01-21,48
2014-01-22,48
2014-01-23,48
2014-01-24,49
2014-01-25,49
2014-01-26,49
2014-01-27,49
2014-01-28,50
2014-01-29,50
2014-01-30,50
2014-01-31,50
2014-02-01,51
