Date,Peregrine Semiconductor
2011-01-29,44
2011-01-30,44
2011-01-31,44
2011-02-01,44
2011-02-02,45
2011-02-03,46
2011-02-04,48
2011-02-05,49
2011-02-06,51
2011-02-07,52
2011-02-08,54
2011-02-09,55
2011-02-10,56
2011-02-11,58
2011-02-12,59
2011-02-13,61
2011-02-14,62
2011-02-15,64
2011-02-16,65
2011-02-17,66
2011-02-18,68
2011-02-19,69
2011-02-20,71
2011-02-21,72
2011-02-22,74
2011-02-23,75
2011-02-24,76
2011-02-25,78
2011-02-26,79
2011-02-27,81
2011-02-28,82
2011-03-01,84
2011-03-02,83
2011-03-03,83
2011-03-04,82
2011-03-05,82
2011-03-06,81
2011-03-07,81
2011-03-08,80
2011-03-09,80
2011-03-10,79
2011-03-11,79
2011-03-12,78
2011-03-13,78
2011-03-14,77
2011-03-15,77
2011-03-16,76
2011-03-17,76
2011-03-18,75
2011-03-19,75
2011-03-20,74
2011-03-21,74
2011-03-22,73
2011-03-23,73
2011-03-24,72
2011-03-25,72
2011-03-26,71
2011-03-27,71
2011-03-28,70
2011-03-29,70
2011-03-30,69
2011-03-31,69
2011-04-01,69
2011-04-02,70
2011-04-03,71
2011-04-04,72
2011-04-05,73
2011-04-06,74
2011-04-07,75
2011-04-08,76
2011-04-09,77
2011-04-10,78
2011-04-11,79
2011-04-12,80
2011-04-13,81
2011-04-14,82
2011-04-15,83
2011-04-16,84
2011-04-17,85
2011-04-18,86
2011-04-19,87
2011-04-20,88
2011-04-21,89
2011-04-22,90
2011-04-23,91
2011-04-24,92
2011-04-25,93
2011-04-26,94
2011-04-27,95
2011-04-28,96
2011-04-29,97
2011-04-30,98
2011-05-01,100
2011-05-02,99
2011-05-03,98
2011-05-04,97
2011-05-05,96
2011-05-06,95
2011-05-07,94
2011-05-08,93
2011-05-09,92
2011-05-10,91
2011-05-11,90
2011-05-12,89
2011-05-13,88
2011-05-14,87
2011-05-15,86
2011-05-16,85
2011-05-17,85
2011-05-18,84
2011-05-19,83
2011-05-20,82
2011-05-21,81
2011-05-22,80
2011-05-23,79
2011-05-24,78
2011-05-25,77
2011-05-26,76
2011-05-27,75
2011-05-28,74
2011-05-29,73
2011-05-30,72
2011-05-31,71
2011-06-01,71
2011-06-02,70
2011-06-03,70
2011-06-04,70
2011-06-05,70
2011-06-06,70
2011-06-07,70
2011-06-08,70
2011-06-09,70
2011-06-10,70
2011-06-11,70
2011-06-12,69
2011-06-13,69
2011-06-14,69
2011-06-15,69
2011-06-16,69
2011-06-17,69
2011-06-18,69
2011-06-19,69
2011-06-20,69
2011-06-21,69
2011-06-22,68
2011-06-23,68
2011-06-24,68
2011-06-25,68
2011-06-26,68
2011-06-27,68
2011-06-28,68
2011-06-29,68
2011-06-30,68
2011-07-01,68
2011-07-02,67
2011-07-03,66
2011-07-04,66
2011-07-05,65
2011-07-06,65
2011-07-07,64
2011-07-08,64
2011-07-09,63
2011-07-10,63
2011-07-11,62
2011-07-12,61
2011-07-13,61
2011-07-14,60
2011-07-15,60
2011-07-16,59
2011-07-17,59
2011-07-18,58
2011-07-19,58
2011-07-20,57
2011-07-21,57
2011-07-22,56
2011-07-23,55
2011-07-24,55
2011-07-25,54
2011-07-26,54
2011-07-27,53
2011-07-28,53
2011-07-29,52
2011-07-30,52
2011-07-31,51
2011-08-07,57
2011-08-08,59
2011-08-09,60
2011-08-10,61
2011-08-11,62
2011-08-12,63
2011-08-13,64
2011-08-14,66
2011-08-15,67
2011-08-16,68
2011-08-17,69
2011-08-18,70
2011-08-19,71
2011-08-20,73
2011-08-21,74
2011-08-22,75
2011-08-23,76
2011-08-24,77
2011-08-25,78
2011-08-26,80
2011-08-27,81
2011-08-28,82
2011-08-29,91
2011-08-30,84
2011-08-31,85
2011-09-01,87
2011-09-02,86
2011-09-03,85
2011-09-04,84
2011-09-05,83
2011-09-06,83
2011-09-07,82
2011-09-08,81
2011-09-09,80
2011-09-10,79
2011-09-11,78
2011-09-12,76
2011-09-13,75
2011-09-14,74
2011-09-15,73
2011-09-16,72
2011-09-17,71
2011-09-18,70
2011-09-19,69
2011-09-20,68
2011-09-21,67
2011-09-22,66
2011-09-23,65
2011-09-24,64
2011-09-25,63
2011-09-26,64
2011-09-27,63
2011-09-28,63
2011-09-29,62
2011-09-30,62
2011-10-01,64
2011-10-02,57
2011-10-03,56
2011-10-04,56
2011-10-05,55
2011-10-06,55
2011-10-07,54
2011-10-08,54
2011-10-09,53
2011-10-10,53
2011-10-11,52
2011-10-12,52
2011-10-13,51
2011-10-14,51
2011-10-15,50
2011-10-16,50
2011-10-17,49
2011-10-18,49
2011-10-19,48
2011-10-20,48
2011-10-21,47
2011-10-22,47
2011-10-23,46
2011-10-24,46
2011-10-25,45
2011-10-26,45
2011-10-27,44
2011-10-28,44
2011-10-29,43
2011-10-30,43
2011-11-01,42
2011-11-02,42
2011-11-03,42
2011-11-04,42
2011-11-05,42
2011-11-06,43
2011-11-07,43
2011-11-08,43
2011-11-09,43
2011-11-10,44
2011-11-11,44
2011-11-12,44
2011-11-13,44
2011-11-14,45
2011-11-15,45
2011-11-16,45
2011-11-17,45
2011-11-18,45
2011-11-19,46
2011-11-20,46
2011-11-21,46
2011-11-22,46
2011-11-23,47
2011-11-24,47
2011-11-25,47
2011-11-26,47
2011-11-27,48
2011-11-28,48
2011-11-29,48
2011-11-30,48
2011-12-01,49
2011-12-02,49
2011-12-03,49
2011-12-04,49
2011-12-05,49
2011-12-06,49
2011-12-07,50
2011-12-08,50
2011-12-09,50
2011-12-10,50
2011-12-11,50
2011-12-12,51
2011-12-13,51
2011-12-14,51
2011-12-15,51
2011-12-16,51
2011-12-17,52
2011-12-18,52
2011-12-19,52
2011-12-20,52
2011-12-21,52
2011-12-22,53
2011-12-23,53
2011-12-24,53
2011-12-25,53
2011-12-26,53
2011-12-27,54
2011-12-28,54
2011-12-29,54
2011-12-30,54
2011-12-31,54
2012-01-01,55
2012-01-02,55
2012-01-03,55
2012-01-04,55
2012-01-05,56
2012-01-06,56
2012-01-07,56
2012-01-08,56
2012-01-09,57
2012-01-10,57
2012-01-11,57
2012-01-12,57
2012-01-13,58
2012-01-14,58
2012-01-15,58
2012-01-16,58
2012-01-17,59
2012-01-18,59
2012-01-19,59
2012-01-20,59
2012-01-21,60
2012-01-22,60
2012-01-23,60
2012-01-24,60
2012-01-25,61
2012-01-26,61
2012-01-27,61
2012-01-28,61
2012-01-29,62
2012-01-30,62
2012-01-31,62
2012-02-05,61
2012-02-06,76
2012-02-07,60
2012-02-08,60
2012-02-09,59
2012-02-10,59
2012-02-11,59
2012-02-12,58
2012-02-13,58
2012-02-14,58
2012-02-15,57
2012-02-16,57
2012-02-17,56
2012-02-18,56
2012-02-19,56
2012-02-20,56
2012-02-21,56
2012-02-22,55
2012-02-23,55
2012-02-24,55
2012-02-25,54
2012-02-26,54
2012-02-27,53
2012-02-28,52
2012-02-29,52
2012-03-01,52
2012-03-02,52
2012-03-03,53
2012-03-04,54
2012-03-05,55
2012-03-06,56
2012-03-07,57
2012-03-08,57
2012-03-09,58
2012-03-10,59
2012-03-11,60
2012-03-12,61
2012-03-13,62
2012-03-14,62
2012-03-15,63
2012-03-16,64
2012-03-17,65
2012-03-18,66
2012-03-19,67
2012-03-20,67
2012-03-21,68
2012-03-22,69
2012-03-23,70
2012-03-24,71
2012-03-25,72
2012-03-26,72
2012-03-27,73
2012-03-28,74
2012-03-29,75
2012-03-30,76
2012-03-31,77
2012-04-01,78
2012-04-02,78
2012-04-03,78
2012-04-04,78
2012-04-05,78
2012-04-06,78
2012-04-07,78
2012-04-08,78
2012-04-09,77
2012-04-10,77
2012-04-11,77
2012-04-12,77
2012-04-13,77
2012-04-14,77
2012-04-15,77
2012-04-16,77
2012-04-17,77
2012-04-18,77
2012-04-19,77
2012-04-20,77
2012-04-21,77
2012-04-22,77
2012-04-23,77
2012-04-24,77
2012-04-25,77
2012-04-26,77
2012-04-27,77
2012-04-28,77
2012-04-29,77
