Date,Force10 Networks
2011-05-27,32
2011-05-28,32
2011-05-29,32
2011-05-30,32
2011-05-31,32
2011-06-01,32
2011-06-02,34
2011-06-03,36
2011-06-04,38
2011-06-05,41
2011-06-06,43
2011-06-07,45
2011-06-08,47
2011-06-09,50
2011-06-10,52
2011-06-11,54
2011-06-12,56
2011-06-13,59
2011-06-14,62
2011-06-15,64
2011-06-16,66
2011-06-17,68
2011-06-18,71
2011-06-19,73
2011-06-20,75
2011-06-21,77
2011-06-22,79
2011-06-23,81
2011-06-24,84
2011-06-25,86
2011-06-26,88
2011-06-27,90
2011-06-28,93
2011-06-29,95
2011-06-30,97
2011-07-01,100
2011-07-02,98
2011-07-03,96
2011-07-04,94
2011-07-05,93
2011-07-06,91
2011-07-07,89
2011-07-08,88
2011-07-09,86
2011-07-10,84
2011-07-11,82
2011-07-12,81
2011-07-13,79
2011-07-14,77
2011-07-15,76
2011-07-16,74
2011-07-17,72
2011-07-18,72
2011-07-19,70
2011-07-20,69
2011-07-21,67
2011-07-22,66
2011-07-23,64
2011-07-24,63
2011-07-25,59
2011-07-26,57
2011-07-27,56
2011-07-28,54
2011-07-29,52
2011-07-30,51
2011-07-31,49
2011-08-07,44
2011-08-08,44
2011-08-09,44
2011-08-10,43
2011-08-11,43
2011-08-12,43
2011-08-13,42
2011-08-14,42
2011-08-15,42
2011-08-16,41
2011-08-17,41
2011-08-18,40
2011-08-19,40
2011-08-20,40
2011-08-21,39
2011-08-22,39
2011-08-23,39
2011-08-24,38
2011-08-25,38
2011-08-26,38
2011-08-27,37
2011-08-28,37
2011-08-29,37
2011-08-30,36
2011-08-31,36
2011-09-01,36
2011-09-02,35
2011-09-03,35
2011-09-04,34
2011-09-05,34
2011-09-06,33
2011-09-07,33
2011-09-08,32
2011-09-09,32
2011-09-10,32
2011-09-11,31
2011-09-12,31
2011-09-13,31
2011-09-14,30
2011-09-15,30
2011-09-16,29
2011-09-17,29
2011-09-18,28
2011-09-19,28
2011-09-20,27
2011-09-21,27
2011-09-22,26
2011-09-23,26
2011-09-24,26
2011-09-25,25
2011-09-26,25
2011-09-27,25
2011-09-28,25
2011-09-29,25
2011-09-30,25
2011-10-01,25
2011-10-02,23
2011-10-03,23
2011-10-04,23
2011-10-05,23
2011-10-06,23
2011-10-07,24
2011-10-08,24
2011-10-09,24
2011-10-10,24
2011-10-11,24
2011-10-12,25
2011-10-13,25
2011-10-14,25
2011-10-15,25
2011-10-16,25
2011-10-17,26
2011-10-18,26
2011-10-19,26
2011-10-20,26
2011-10-21,26
2011-10-22,27
2011-10-23,27
2011-10-24,27
2011-10-25,27
2011-10-26,27
2011-10-27,28
2011-10-28,28
2011-10-29,28
2011-10-30,28
2011-11-01,29
2011-11-02,28
2011-11-03,28
2011-11-04,27
2011-11-05,27
2011-11-06,27
2011-11-07,26
2011-11-08,26
2011-11-09,26
2011-11-10,25
2011-11-11,25
2011-11-12,24
2011-11-13,24
2011-11-14,24
2011-11-15,23
2011-11-16,23
2011-11-17,23
2011-11-18,22
2011-11-19,22
2011-11-20,22
2011-11-21,21
2011-11-22,21
2011-11-23,20
2011-11-24,20
2011-11-25,20
2011-11-26,19
2011-11-27,19
2011-11-28,19
2011-11-29,18
2011-11-30,18
2011-12-01,18
2011-12-02,18
2011-12-03,18
2011-12-04,18
2011-12-05,18
2011-12-06,18
2011-12-07,18
2011-12-08,18
2011-12-09,18
2011-12-10,18
2011-12-11,18
2011-12-12,18
2011-12-13,18
2011-12-14,18
2011-12-15,18
2011-12-16,18
2011-12-17,18
2011-12-18,18
2011-12-19,18
2011-12-20,18
2011-12-21,18
2011-12-22,18
2011-12-23,18
2011-12-24,18
2011-12-25,18
2011-12-26,18
2011-12-27,18
2011-12-28,18
2011-12-29,18
2011-12-30,18
2011-12-31,18
2012-01-01,18
2012-01-02,18
2012-01-03,18
2012-01-04,18
2012-01-05,18
2012-01-06,18
2012-01-07,18
2012-01-08,18
2012-01-09,18
2012-01-10,18
2012-01-11,18
2012-01-12,19
2012-01-13,19
2012-01-14,19
2012-01-15,19
2012-01-16,19
2012-01-17,19
2012-01-18,19
2012-01-19,19
2012-01-20,19
2012-01-21,19
2012-01-22,20
2012-01-23,20
2012-01-24,20
2012-01-25,20
2012-01-26,20
2012-01-27,20
2012-01-28,20
2012-01-29,20
2012-01-30,20
2012-01-31,20
2012-02-01,21
2012-02-02,21
2012-02-03,21
2012-02-04,21
2012-02-05,21
2012-02-06,21
2012-02-07,21
2012-02-08,21
2012-02-09,21
2012-02-10,21
2012-02-11,21
2012-02-12,21
2012-02-13,21
2012-02-14,21
2012-02-15,21
2012-02-16,21
2012-02-17,21
2012-02-18,21
2012-02-19,21
2012-02-20,21
2012-02-21,21
2012-02-22,21
2012-02-23,21
2012-02-24,21
2012-02-25,21
2012-02-26,21
2012-02-27,21
2012-02-28,21
2012-02-29,21
2012-03-01,21
2012-03-02,20
2012-03-03,20
2012-03-04,20
2012-03-05,20
2012-03-06,20
2012-03-07,20
2012-03-08,20
2012-03-09,20
2012-03-10,20
2012-03-11,20
2012-03-12,20
2012-03-13,20
2012-03-14,20
2012-03-15,20
2012-03-16,20
2012-03-17,20
2012-03-18,20
2012-03-19,20
2012-03-20,20
2012-03-21,20
2012-03-22,20
2012-03-23,20
2012-03-24,20
2012-03-25,20
2012-03-26,20
2012-03-27,20
2012-03-28,20
2012-03-29,20
2012-03-30,20
2012-03-31,20
2012-04-01,20
2012-04-02,19
2012-04-03,19
2012-04-04,19
2012-04-05,19
2012-04-06,19
2012-04-07,19
2012-04-08,19
2012-04-09,19
2012-04-10,19
2012-04-11,19
2012-04-12,19
2012-04-13,19
2012-04-14,19
2012-04-15,19
2012-04-16,19
2012-04-17,18
2012-04-18,18
2012-04-19,18
2012-04-20,18
2012-04-21,18
2012-04-22,18
2012-04-23,18
2012-04-24,18
2012-04-25,18
2012-04-26,18
2012-04-27,18
2012-04-28,18
2012-04-29,18
2012-04-30,18
2012-05-01,18
2012-05-02,17
2012-05-03,17
2012-05-04,17
2012-05-05,17
2012-05-06,17
2012-05-07,17
2012-05-08,16
2012-05-09,16
2012-05-10,16
2012-05-11,16
2012-05-12,16
2012-05-13,16
2012-05-14,15
2012-05-15,15
2012-05-16,15
2012-05-17,15
2012-05-18,15
2012-05-19,15
2012-05-20,14
2012-05-21,14
2012-05-22,14
2012-05-23,14
2012-05-24,14
2012-05-25,14
2012-05-26,13
2012-05-27,13
2012-05-28,13
2012-05-29,13
2012-05-30,13
2012-05-31,13
2012-06-01,13
2012-06-02,12
2012-06-03,12
2012-06-04,12
2012-06-05,12
2012-06-06,12
2012-06-07,12
2012-06-08,12
2012-06-09,12
2012-06-10,12
2012-06-11,12
2012-06-12,12
2012-06-13,12
2012-06-14,12
2012-06-15,12
2012-06-16,12
2012-06-17,11
2012-06-18,11
2012-06-19,11
2012-06-20,11
2012-06-21,11
2012-06-22,11
2012-06-23,11
2012-06-24,11
2012-06-25,11
2012-06-26,11
2012-06-27,11
2012-06-28,11
2012-06-29,11
2012-06-30,11
2012-07-01,11
2012-07-02,11
2012-07-03,11
2012-07-04,11
2012-07-05,11
2012-07-06,11
2012-07-07,11
2012-07-08,11
2012-07-09,12
2012-07-10,12
2012-07-11,12
2012-07-12,12
2012-07-13,12
2012-07-14,12
2012-07-15,12
2012-07-16,12
2012-07-17,13
2012-07-18,13
2012-07-19,13
2012-07-20,13
2012-07-21,13
2012-07-22,13
2012-07-23,13
2012-07-24,13
2012-07-25,14
2012-07-26,14
2012-07-27,14
2012-07-28,14
2012-07-29,14
2012-07-30,14
2012-07-31,14
2012-08-01,15
2012-08-02,14
2012-08-03,14
2012-08-04,14
2012-08-05,14
2012-08-06,14
2012-08-07,14
2012-08-08,14
2012-08-09,14
2012-08-10,14
2012-08-11,14
2012-08-12,14
2012-08-13,14
2012-08-14,14
2012-08-15,14
2012-08-16,14
2012-08-17,14
2012-08-18,14
2012-08-19,14
2012-08-20,14
2012-08-21,14
2012-08-22,14
2012-08-23,14
2012-08-24,14
2012-08-25,14
2012-08-26,14
2012-08-27,14
2012-08-28,14
2012-08-29,14
2012-08-30,14
2012-08-31,14
2012-09-01,14
2012-09-02,14
2012-09-03,14
2012-09-04,14
2012-09-05,14
2012-09-06,14
2012-09-07,14
2012-09-08,14
2012-09-09,14
2012-09-10,14
2012-09-11,15
2012-09-12,15
2012-09-13,15
2012-09-14,15
2012-09-15,15
2012-09-16,15
2012-09-17,15
2012-09-18,15
2012-09-19,15
2012-09-20,15
2012-09-21,16
2012-09-22,16
2012-09-23,16
2012-09-24,16
2012-09-25,16
2012-09-26,16
2012-09-27,16
2012-09-28,16
2012-09-29,16
2012-09-30,16
2012-10-01,17
2012-10-02,16
2012-10-03,16
2012-10-04,16
2012-10-05,16
2012-10-06,16
2012-10-07,16
2012-10-08,16
2012-10-09,15
2012-10-10,15
2012-10-11,15
2012-10-12,15
2012-10-13,15
2012-10-14,15
2012-10-15,15
2012-10-16,15
2012-10-17,14
2012-10-18,14
2012-10-19,14
2012-10-20,14
2012-10-21,14
2012-10-22,14
2012-10-23,14
2012-10-24,14
2012-10-25,13
2012-10-26,13
2012-10-27,13
2012-10-28,13
2012-10-29,13
2012-10-30,13
2012-10-31,13
2012-11-01,13
2012-11-02,13
2012-11-03,13
2012-11-04,13
2012-11-05,13
2012-11-06,13
2012-11-07,13
2012-11-08,13
2012-11-09,13
2012-11-10,13
2012-11-11,13
2012-11-12,13
2012-11-13,13
2012-11-14,13
2012-11-15,13
2012-11-16,13
2012-11-17,13
2012-11-18,13
2012-11-19,13
2012-11-20,13
2012-11-21,13
2012-11-22,13
2012-11-23,13
2012-11-24,13
2012-11-25,13
2012-11-26,13
2012-11-27,13
2012-11-28,13
2012-11-29,13
2012-11-30,13
2012-12-01,13
2012-12-02,13
2012-12-03,13
2012-12-04,13
2012-12-05,13
2012-12-06,13
2012-12-07,13
2012-12-08,14
2012-12-09,14
2012-12-10,14
2012-12-11,14
2012-12-12,14
2012-12-13,14
2012-12-14,15
2012-12-15,15
2012-12-16,15
2012-12-17,15
2012-12-18,15
2012-12-19,15
2012-12-20,16
2012-12-21,16
2012-12-22,16
2012-12-23,16
2012-12-24,16
2012-12-25,16
2012-12-26,17
2012-12-27,17
2012-12-28,17
2012-12-29,17
2012-12-30,17
2012-12-31,17
2013-01-01,18
