Date,Bazaarvoice
2011-09-28,25
2011-09-29,24
2011-09-30,23
2011-10-01,23
2011-10-02,24
2011-10-03,25
2011-10-04,27
2011-10-05,28
2011-10-06,29
2011-10-07,31
2011-10-08,32
2011-10-09,30
2011-10-10,28
2011-10-11,26
2011-10-12,24
2011-10-13,22
2011-10-14,20
2011-10-15,19
2011-10-16,20
2011-10-17,21
2011-10-18,22
2011-10-19,23
2011-10-20,24
2011-10-21,25
2011-10-22,27
2011-10-23,27
2011-10-24,28
2011-10-25,29
2011-10-26,30
2011-10-27,30
2011-10-28,31
2011-10-29,32
2011-10-30,31
2011-11-06,27
2011-11-07,28
2011-11-08,29
2011-11-09,30
2011-11-10,31
2011-11-11,32
2011-11-12,33
2011-11-13,31
2011-11-14,29
2011-11-15,28
2011-11-16,26
2011-11-17,25
2011-11-18,23
2011-11-19,22
2011-11-20,21
2011-11-21,21
2011-11-22,21
2011-11-23,20
2011-11-24,20
2011-11-25,20
2011-11-26,20
2011-11-27,21
2011-11-28,22
2011-11-29,23
2011-11-30,24
2011-12-01,25
2011-12-02,26
2011-12-03,27
2011-12-04,26
2011-12-05,26
2011-12-06,26
2011-12-07,26
2011-12-08,26
2011-12-09,26
2011-12-10,26
2011-12-11,26
2011-12-12,26
2011-12-13,26
2011-12-14,26
2011-12-15,26
2011-12-16,26
2011-12-17,26
2011-12-18,25
2011-12-19,24
2011-12-20,22
2011-12-21,21
2011-12-22,20
2011-12-23,19
2011-12-24,18
2011-12-25,17
2011-12-26,15
2011-12-27,14
2011-12-28,12
2011-12-29,11
2011-12-30,10
2011-12-31,9
2012-01-01,11
2012-01-02,13
2012-01-03,15
2012-01-04,17
2012-01-05,19
2012-01-06,21
2012-01-07,23
2012-01-08,23
2012-01-09,23
2012-01-10,24
2012-01-11,24
2012-01-12,24
2012-01-13,24
2012-01-14,25
2012-01-15,25
2012-01-16,25
2012-01-17,26
2012-01-18,26
2012-01-19,27
2012-01-20,27
2012-01-21,28
2012-01-22,28
2012-01-23,29
2012-01-24,29
2012-01-25,30
2012-01-26,30
2012-01-27,31
2012-01-28,32
2012-01-29,31
2012-02-01,29
2012-02-02,28
2012-02-03,27
2012-02-04,27
2012-02-05,29
2012-02-06,31
2012-02-07,34
2012-02-08,36
2012-02-09,40
2012-02-10,41
2012-02-11,47
2012-02-12,45
2012-02-13,42
2012-02-14,41
2012-02-15,40
2012-02-16,39
2012-02-17,38
2012-02-18,38
2012-02-19,46
2012-02-20,55
2012-02-21,64
2012-02-22,73
2012-02-23,82
2012-02-24,91
2012-02-25,112
2012-02-26,96
2012-02-27,86
2012-02-28,81
2012-02-29,83
2012-03-01,66
2012-03-02,59
2012-03-03,53
2012-03-04,51
2012-03-05,50
2012-03-06,51
2012-03-07,47
2012-03-08,46
2012-03-09,45
2012-03-10,44
2012-03-11,42
2012-03-12,40
2012-03-13,39
2012-03-14,37
2012-03-15,36
2012-03-16,37
2012-03-17,33
2012-03-18,33
2012-03-19,34
2012-03-20,34
2012-03-21,35
2012-03-22,35
2012-03-23,38
2012-03-24,37
2012-03-25,36
2012-03-26,35
2012-03-27,35
2012-03-28,34
2012-03-29,34
2012-03-30,34
2012-03-31,33
2012-04-01,32
2012-04-02,31
2012-04-03,33
2012-04-04,30
2012-04-05,30
2012-04-06,29
2012-04-07,29
2012-04-08,30
2012-04-09,31
2012-04-10,32
2012-04-11,34
2012-04-12,37
2012-04-13,36
2012-04-14,38
2012-04-15,37
2012-04-16,36
2012-04-17,36
2012-04-18,37
2012-04-19,35
2012-04-20,34
2012-04-21,34
2012-04-22,33
2012-04-23,33
2012-04-24,33
2012-04-25,32
2012-04-26,32
2012-04-27,32
2012-04-28,32
2012-04-29,33
2012-04-30,35
2012-05-01,36
2012-05-02,38
2012-05-03,39
2012-05-04,41
2012-05-05,44
2012-05-06,40
2012-05-07,37
2012-05-08,35
2012-05-09,32
2012-05-10,30
2012-05-11,27
2012-05-12,25
2012-05-13,27
2012-05-14,29
2012-05-15,31
2012-05-16,34
2012-05-17,36
2012-05-18,38
2012-05-19,42
2012-05-20,41
2012-05-21,42
2012-05-22,43
2012-05-23,43
2012-05-24,44
2012-05-25,45
2012-05-26,51
2012-05-27,44
2012-05-28,42
2012-05-29,40
2012-05-30,38
2012-05-31,36
2012-06-01,34
2012-06-02,32
2012-06-03,33
2012-06-04,34
2012-06-05,35
2012-06-06,36
2012-06-07,38
2012-06-08,38
2012-06-09,39
2012-06-10,37
2012-06-11,35
2012-06-12,33
2012-06-13,31
2012-06-14,29
2012-06-15,27
2012-06-16,26
2012-06-17,27
2012-06-18,28
2012-06-19,30
2012-06-20,31
2012-06-21,33
2012-06-22,37
2012-06-23,36
2012-06-24,35
2012-06-25,35
2012-06-26,35
2012-06-27,34
2012-06-28,34
2012-06-29,34
2012-06-30,34
2012-07-01,33
2012-07-02,32
2012-07-03,32
2012-07-04,31
2012-07-05,31
2012-07-06,31
2012-07-07,30
2012-07-08,29
2012-07-09,29
2012-07-10,29
2012-07-11,29
2012-07-12,29
2012-07-13,29
2012-07-14,29
2012-07-15,30
2012-07-16,31
2012-07-17,34
2012-07-18,34
2012-07-19,37
2012-07-20,38
2012-07-21,39
2012-07-22,37
2012-07-23,35
2012-07-24,34
2012-07-25,32
2012-07-26,31
2012-07-27,29
2012-07-28,28
2012-07-29,29
2012-07-30,30
2012-07-31,31
2012-08-01,32
2012-08-02,35
2012-08-03,34
2012-08-04,36
2012-08-05,35
2012-08-06,35
2012-08-07,35
2012-08-08,35
2012-08-09,35
2012-08-10,35
2012-08-11,35
2012-08-12,34
2012-08-13,33
2012-08-14,32
2012-08-15,32
2012-08-16,30
2012-08-17,29
2012-08-18,29
2012-08-19,30
2012-08-20,32
2012-08-21,33
2012-08-22,35
2012-08-23,36
2012-08-24,40
2012-08-25,40
2012-08-26,38
2012-08-27,36
2012-08-28,34
2012-08-29,32
2012-08-30,30
2012-08-31,29
2012-09-01,27
2012-09-02,27
2012-09-03,27
2012-09-04,27
2012-09-05,28
2012-09-06,28
2012-09-07,28
2012-09-08,29
2012-09-09,28
2012-09-10,27
2012-09-11,26
2012-09-12,28
2012-09-13,25
2012-09-14,24
2012-09-15,24
2012-09-16,24
2012-09-17,25
2012-09-18,25
2012-09-19,26
2012-09-20,26
2012-09-21,28
2012-09-22,28
2012-09-23,28
2012-09-24,28
2012-09-25,28
2012-09-26,28
2012-09-27,28
2012-09-28,28
2012-09-29,28
2012-09-30,28
2012-10-01,28
2012-10-02,28
2012-10-03,29
2012-10-04,30
2012-10-05,29
2012-10-06,31
2012-10-07,29
2012-10-08,28
2012-10-09,28
2012-10-10,27
2012-10-11,27
2012-10-12,26
2012-10-13,28
2012-10-14,26
2012-10-15,26
2012-10-16,26
2012-10-17,26
2012-10-18,26
2012-10-19,26
2012-10-20,27
2012-10-21,27
2012-10-22,28
2012-10-23,29
2012-10-24,30
2012-10-25,34
2012-10-26,32
2012-10-27,35
2012-10-28,32
2012-10-29,31
2012-10-30,30
2012-10-31,29
2012-11-01,27
2012-11-02,26
2012-11-03,25
2012-11-04,27
2012-11-05,30
2012-11-06,33
2012-11-07,38
2012-11-08,38
2012-11-09,41
2012-11-10,44
2012-11-11,42
2012-11-12,41
2012-11-13,40
2012-11-14,41
2012-11-15,37
2012-11-16,36
2012-11-17,35
2012-11-18,33
2012-11-19,32
2012-11-20,32
2012-11-21,29
2012-11-22,28
2012-11-23,27
2012-11-24,26
2012-11-25,26
2012-11-26,27
2012-11-27,28
2012-11-28,28
2012-11-29,30
2012-11-30,29
2012-12-01,30
2012-12-02,30
2012-12-03,30
2012-12-04,30
2012-12-05,30
2012-12-06,30
2012-12-07,30
2012-12-08,33
2012-12-09,30
2012-12-10,30
2012-12-11,30
2012-12-12,30
2012-12-13,30
2012-12-14,30
2012-12-15,30
2012-12-16,28
2012-12-17,27
2012-12-18,25
2012-12-19,24
2012-12-20,24
2012-12-21,21
2012-12-22,20
2012-12-23,18
2012-12-24,17
2012-12-25,16
2012-12-26,14
2012-12-27,13
2012-12-28,12
2012-12-29,11
2012-12-30,12
2012-12-31,13
2013-01-01,14
2013-01-02,15
2013-01-03,16
2013-01-04,17
2013-01-05,18
2013-01-06,21
2013-01-07,24
2013-01-08,27
2013-01-09,30
2013-01-10,33
2013-01-11,37
2013-01-12,44
2013-01-13,39
2013-01-14,38
2013-01-15,38
2013-01-16,38
2013-01-17,37
2013-01-18,37
2013-01-19,36
2013-01-20,35
2013-01-21,34
2013-01-22,33
2013-01-23,32
2013-01-24,31
2013-01-25,31
2013-01-26,30
2013-01-27,30
2013-01-28,30
2013-01-29,30
2013-01-30,30
2013-01-31,30
