Date,Biohorizons
2012-05-20,74
2012-05-21,73
2012-05-22,72
2012-05-23,72
2012-05-24,71
2012-05-25,71
2012-05-26,70
2012-05-27,66
2012-06-03,45
2012-06-04,47
2012-06-05,49
2012-06-06,52
2012-06-07,54
2012-06-08,56
2012-06-09,58
2012-06-10,57
2012-06-11,55
2012-06-12,54
2012-06-13,53
2012-06-14,52
2012-06-15,51
2012-06-16,50
2012-06-17,51
2012-06-18,52
2012-06-19,53
2012-06-20,55
2012-06-21,56
2012-06-22,57
2012-06-23,59
2012-06-24,57
2012-06-25,55
2012-06-26,53
2012-06-27,51
2012-06-28,49
2012-06-29,47
2012-06-30,45
2012-07-01,43
2012-07-02,40
2012-07-03,38
2012-07-04,35
2012-07-05,33
2012-07-06,31
2012-07-07,29
2012-07-08,32
2012-07-09,35
2012-07-10,38
2012-07-11,41
2012-07-12,44
2012-07-13,47
2012-07-14,50
2012-07-15,49
2012-07-16,47
2012-07-17,46
2012-07-18,45
2012-07-19,44
2012-07-20,43
2012-07-21,42
2012-07-22,45
2012-07-23,49
2012-07-24,52
2012-07-25,55
2012-07-26,59
2012-07-27,62
2012-07-28,65
2012-07-29,63
2012-07-30,59
2012-07-31,56
2012-08-01,54
2012-08-02,51
2012-08-03,48
2012-08-04,46
2012-08-05,43
2012-08-06,40
2012-08-07,37
2012-08-08,35
2012-08-09,32
2012-08-10,29
2012-08-11,27
2012-08-12,30
2012-08-13,33
2012-08-14,36
2012-08-15,39
2012-08-16,42
2012-08-17,46
2012-08-18,49
2012-08-19,51
2012-08-20,53
2012-08-21,55
2012-08-22,57
2012-08-23,59
2012-08-24,61
2012-08-25,63
2012-08-26,66
2012-09-02,81
2012-09-03,76
2012-09-04,71
2012-09-05,66
2012-09-06,61
2012-09-07,56
2012-09-08,52
2012-09-09,53
2012-09-10,55
2012-09-11,57
2012-09-12,58
2012-09-13,60
2012-09-14,62
2012-09-15,64
2012-09-16,66
2012-09-17,69
2012-09-18,72
2012-09-19,75
2012-09-20,78
2012-09-21,81
2012-09-22,84
2012-09-23,81
2012-09-24,78
2012-09-25,76
2012-09-26,73
2012-09-27,70
2012-09-28,68
2012-09-29,65
2012-09-30,63
2012-10-01,62
2012-10-02,60
2012-10-03,59
2012-10-04,57
2012-10-05,56
2012-10-06,55
2012-10-07,56
2012-10-08,59
2012-10-09,60
2012-10-10,62
2012-10-11,64
2012-10-12,66
2012-10-13,68
2012-10-14,66
2012-10-15,64
2012-10-16,62
2012-10-17,61
2012-10-18,59
2012-10-19,57
2012-10-20,56
2012-10-21,55
2012-10-22,55
2012-10-23,55
2012-10-24,54
2012-10-25,54
2012-10-26,54
2012-10-27,54
2012-10-28,54
2012-10-29,55
2012-10-30,56
2012-10-31,57
2012-11-01,58
2012-11-02,59
2012-11-03,60
2012-11-04,61
2012-11-05,63
2012-11-06,65
2012-11-07,67
2012-11-08,69
2012-11-09,70
2012-11-10,72
2012-11-11,70
2012-11-12,68
2012-11-13,66
2012-11-14,65
2012-11-15,63
2012-11-16,61
2012-11-17,60
2012-11-18,61
2012-11-19,62
2012-11-20,63
2012-11-21,64
2012-11-22,65
2012-11-23,66
2012-11-24,67
2012-11-25,63
2012-12-02,41
2012-12-03,40
2012-12-04,39
2012-12-05,39
2012-12-06,38
2012-12-07,37
2012-12-08,37
2012-12-09,36
2012-12-10,36
2012-12-11,36
2012-12-12,35
2012-12-13,35
2012-12-14,35
2012-12-15,35
2012-12-16,36
2012-12-17,39
2012-12-18,41
2012-12-19,43
2012-12-20,44
2012-12-21,46
2012-12-22,48
2012-12-23,47
2012-12-24,45
2012-12-25,43
2012-12-26,42
2012-12-27,40
2012-12-28,39
2012-12-29,38
2012-12-30,38
2012-12-31,38
2013-01-01,38
2013-01-02,38
2013-01-03,38
2013-01-04,38
2013-01-05,38
2013-01-06,40
2013-01-07,43
2013-01-08,46
2013-01-09,48
2013-01-10,51
2013-01-11,53
2013-01-12,56
2013-01-13,56
2013-01-14,56
2013-01-15,56
2013-01-16,57
2013-01-17,57
2013-01-18,57
2013-01-19,58
2013-01-20,56
2013-01-21,54
2013-01-22,53
2013-01-23,51
2013-01-24,50
2013-01-25,48
2013-01-26,47
2013-01-27,50
2013-01-28,54
2013-01-29,58
2013-01-30,62
2013-01-31,66
2013-02-01,70
2013-02-02,74
2013-02-03,70
2013-02-04,67
2013-02-05,63
2013-02-06,60
2013-02-07,56
2013-02-08,53
2013-02-09,50
2013-02-10,52
2013-02-11,54
2013-02-12,56
2013-02-13,58
2013-02-14,60
2013-02-15,62
2013-02-16,64
2013-02-17,60
2013-02-18,57
2013-02-19,54
2013-02-20,50
2013-02-21,47
2013-02-22,44
2013-02-23,41
2013-02-24,42
2013-03-03,53
2013-03-04,57
2013-03-05,62
2013-03-06,66
2013-03-07,70
2013-03-08,75
2013-03-09,79
2013-03-10,74
2013-03-11,69
2013-03-12,64
2013-03-13,60
2013-03-14,55
2013-03-15,51
2013-03-16,47
2013-03-17,49
2013-03-18,51
2013-03-19,53
2013-03-20,55
2013-03-21,57
2013-03-22,59
2013-03-23,61
2013-03-24,60
2013-03-25,58
2013-03-26,57
2013-03-27,56
2013-03-28,55
2013-03-29,54
2013-03-30,53
2013-03-31,55
2013-04-01,57
2013-04-02,59
2013-04-03,61
2013-04-04,63
2013-04-05,65
2013-04-06,67
2013-04-07,67
2013-04-08,67
2013-04-09,68
2013-04-10,68
2013-04-11,69
2013-04-12,69
2013-04-13,70
2013-04-14,71
2013-04-15,72
2013-04-16,74
2013-04-17,75
2013-04-18,77
2013-04-19,78
2013-04-20,80
2013-04-21,78
2013-04-22,77
2013-04-23,76
2013-04-24,75
2013-04-25,73
2013-04-26,72
2013-04-27,71
2013-04-28,73
2013-04-29,76
2013-04-30,78
2013-05-01,81
2013-05-02,83
2013-05-03,86
2013-05-04,88
2013-05-05,83
2013-05-06,77
2013-05-07,72
2013-05-08,67
2013-05-09,62
2013-05-10,57
2013-05-11,52
2013-05-12,50
2013-05-13,49
2013-05-14,48
2013-05-15,47
2013-05-16,46
2013-05-17,45
2013-05-18,44
2013-05-19,44
2013-05-20,44
2013-05-21,44
2013-05-22,44
2013-05-23,44
2013-05-24,44
2013-05-25,44
2013-05-26,45
2013-06-02,55
2013-06-03,56
2013-06-04,57
2013-06-05,58
2013-06-06,60
2013-06-07,61
2013-06-08,62
2013-06-09,58
2013-06-10,53
2013-06-11,49
2013-06-12,45
2013-06-13,41
2013-06-14,37
2013-06-15,34
2013-06-16,36
2013-06-17,38
2013-06-18,41
2013-06-19,43
2013-06-20,46
2013-06-21,48
2013-06-22,51
2013-06-23,53
2013-06-24,57
2013-06-25,60
2013-06-26,63
2013-06-27,65
2013-06-28,68
2013-06-29,71
2013-06-30,68
2013-07-01,63
2013-07-02,60
2013-07-03,56
2013-07-04,53
2013-07-05,49
2013-07-06,46
2013-07-07,49
2013-07-08,54
2013-07-09,57
2013-07-10,61
2013-07-11,65
2013-07-12,69
2013-07-13,73
2013-07-14,66
2013-07-15,58
2013-07-16,51
2013-07-17,45
2013-07-18,38
2013-07-19,31
2013-07-20,25
2013-07-21,29
2013-07-22,34
2013-07-23,38
2013-07-24,43
2013-07-25,47
2013-07-26,52
2013-07-27,57
2013-07-28,56
2013-07-29,56
2013-07-30,56
2013-07-31,55
2013-08-01,55
2013-08-02,54
2013-08-03,54
2013-08-04,55
2013-08-05,55
2013-08-06,56
2013-08-07,56
2013-08-08,57
2013-08-09,58
2013-08-10,59
2013-08-11,60
2013-08-12,61
2013-08-13,63
2013-08-14,64
2013-08-15,65
2013-08-16,67
2013-08-17,68
2013-08-18,66
2013-08-19,64
2013-08-20,62
2013-08-21,61
2013-08-22,59
2013-08-23,57
2013-08-24,56
2013-08-25,56
