Date,Och-Ziff Capital
2008-07-25,29
2008-07-26,30
2008-07-27,30
2008-07-28,31
2008-07-29,31
2008-07-30,32
2008-07-31,32
2008-08-01,33
2008-08-02,32
2008-08-03,32
2008-08-04,31
2008-08-05,31
2008-08-06,30
2008-08-07,30
2008-08-08,29
2008-08-09,29
2008-08-10,28
2008-08-11,28
2008-08-12,28
2008-08-13,27
2008-08-14,27
2008-08-15,26
2008-08-16,26
2008-08-17,25
2008-08-18,25
2008-08-19,24
2008-08-20,24
2008-08-21,23
2008-08-22,23
2008-08-23,23
2008-08-24,22
2008-08-25,22
2008-08-26,21
2008-08-27,21
2008-08-28,20
2008-08-29,20
2008-08-30,19
2008-08-31,19
2008-09-01,19
2008-09-02,19
2008-09-03,19
2008-09-04,19
2008-09-05,20
2008-09-06,20
2008-09-07,20
2008-09-08,20
2008-09-09,21
2008-09-10,21
2008-09-11,21
2008-09-12,21
2008-09-13,22
2008-09-14,22
2008-09-15,22
2008-09-16,23
2008-09-17,23
2008-09-18,23
2008-09-19,23
2008-09-20,24
2008-09-21,24
2008-09-22,24
2008-09-23,24
2008-09-24,25
2008-09-25,25
2008-09-26,25
2008-09-27,25
2008-09-28,26
2008-09-29,26
2008-09-30,26
2008-10-01,27
2008-10-02,26
2008-10-03,26
2008-10-04,26
2008-10-05,26
2008-10-06,26
2008-10-07,26
2008-10-08,26
2008-10-09,26
2008-10-10,26
2008-10-11,26
2008-10-12,26
2008-10-13,26
2008-10-14,26
2008-10-15,26
2008-10-16,26
2008-10-17,25
2008-10-18,25
2008-10-19,25
2008-10-20,25
2008-10-21,25
2008-10-22,25
2008-10-23,25
2008-10-24,25
2008-10-25,25
2008-10-26,25
2008-10-27,25
2008-10-28,25
2008-10-29,25
2008-10-30,25
2008-10-31,25
2008-11-01,25
2008-11-02,24
2008-11-03,24
2008-11-04,24
2008-11-05,23
2008-11-06,23
2008-11-07,23
2008-11-08,23
2008-11-09,22
2008-11-10,22
2008-11-11,22
2008-11-12,22
2008-11-13,21
2008-11-14,21
2008-11-15,21
2008-11-16,21
2008-11-17,20
2008-11-18,20
2008-11-19,20
2008-11-20,19
2008-11-21,19
2008-11-22,19
2008-11-23,19
2008-11-24,18
2008-11-25,18
2008-11-26,18
2008-11-27,18
2008-11-28,17
2008-11-29,17
2008-11-30,17
2008-12-01,17
