Date,TomoTherapy
2008-04-27,31
2008-05-04,19
2008-05-05,18
2008-05-06,17
2008-05-07,17
2008-05-08,16
2008-05-09,15
2008-05-10,15
2008-05-11,15
2008-05-12,16
2008-05-13,17
2008-05-14,18
2008-05-15,19
2008-05-16,20
2008-05-17,21
2008-05-18,22
2008-05-19,23
2008-05-20,24
2008-05-21,25
2008-05-22,26
2008-05-23,27
2008-05-24,28
2008-05-25,27
2008-05-26,25
2008-05-27,24
2008-05-28,23
2008-05-29,22
2008-05-30,21
2008-05-31,20
2008-06-01,20
2008-06-02,21
2008-06-03,22
2008-06-04,23
2008-06-05,24
2008-06-06,25
2008-06-07,26
2008-06-08,25
2008-06-09,24
2008-06-10,23
2008-06-11,22
2008-06-12,21
2008-06-13,20
2008-06-14,19
2008-06-15,18
2008-06-16,18
2008-06-17,18
2008-06-18,18
2008-06-19,18
2008-06-20,18
2008-06-21,18
2008-06-22,17
2008-06-23,17
2008-06-24,16
2008-06-25,16
2008-06-26,15
2008-06-27,15
2008-06-28,15
2008-06-29,16
2008-06-30,17
2008-07-01,18
2008-07-02,20
2008-07-03,21
2008-07-04,22
2008-07-05,24
2008-07-06,23
2008-07-07,22
2008-07-08,21
2008-07-09,20
2008-07-10,19
2008-07-11,18
2008-07-12,17
2008-07-13,17
2008-07-14,17
2008-07-15,17
2008-07-16,18
2008-07-17,18
2008-07-18,18
2008-07-19,19
2008-07-20,18
2008-07-21,17
2008-07-22,16
2008-07-23,16
2008-07-24,15
2008-07-25,14
2008-07-26,14
2008-07-27,16
